TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200901,26.495,0.0,503.566,311.42,0.435484,362.361,0.0,17.691,0.0,95.305,0.0,1.698,0.0,2.273,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.4806,0.0,53.2518,-9999,109.457,0.0,113.223,-9999,-5.99881,0.0,-9999,-6.1034,-6.01918,-6.00878,0.0,0.0,0.0,3.66532,3.47035,3.68013,3.71372,9.5493,9.48582,9.7225,9.81713,11.2496,9.8801,12.0637,12.1461,13.5343,12.7793,14.023,14.0858,-9999,-9999
200902,26.836,0.0,456.656,291.271,0.473214,358.598,0.0,17.641,0.0,95.106,0.0,1.325,0.0,2.552,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.1634,0.0,55.7527,-9999,109.538,0.0,119.363,-9999,-5.99546,0.0,-9999,-6.10176,-6.01714,-6.00532,0.0,0.0,0.0,3.71065,3.51327,3.72564,3.75965,9.58507,9.52486,9.76519,9.86142,11.289,9.91469,12.1059,12.1886,12.9021,12.174,13.3702,13.4302,-9999,-9999
200903,26.027,0.0,382.457,239.169,0.515457,358.482,0.0,15.8,0.0,95.239,0.0,2.65,0.0,2.323,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.4692,0.0,61.0429,-9999,109.018,0.0,129.296,-9999,-5.99861,0.0,-9999,-6.10432,-6.0189,-6.00396,0.0,0.0,0.0,3.59559,3.40433,3.61012,3.64307,9.47598,9.41565,9.64944,9.74739,11.2063,9.84208,12.0173,12.0993,11.3511,10.639,11.8022,11.8489,-9999,-9999
200904,23.475,0.0,297.37,193.245,0.555556,340.013,0.0,13.678,0.0,95.52,0.0,0.194,0.0,2.444,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.378,0.0,63.1503,-9999,109.331,0.0,134.382,-9999,-5.9977,0.0,-9999,-6.10321,-6.01845,-6.00606,0.0,0.0,0.0,3.25189,3.07892,3.26503,3.29483,9.15312,9.09175,9.30177,9.39804,10.9208,9.59129,11.7111,11.791,9.99642,9.29005,10.4366,10.4801,-9999,-9999
200905,16.761,0.0,228.018,144.903,0.594086,305.258,0.0,10.15,0.0,95.411,0.0,0.22,0.0,2.29,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.4806,0.0,64.7614,-9999,109.457,0.0,137.695,-9999,-5.99881,0.0,-9999,-6.1034,-6.01918,-6.00878,0.0,0.0,0.0,2.42326,2.29436,2.43305,2.45526,8.37331,8.30983,8.46433,8.55866,10.0819,8.85456,10.8115,10.8853,8.26147,7.57977,8.684,8.72339,-9999,-9999
200906,11.928,0.0,194.737,139.524,0.619444,271.984,0.0,9.489,0.0,95.606,0.0,0.009,0.0,2.47,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.378,0.0,70.7022,-9999,109.331,0.0,150.452,-9999,-5.9977,0.0,-9999,-6.10321,-6.01845,-6.00606,0.0,0.0,0.0,1.85639,1.75764,1.86389,1.8809,7.83185,7.77048,7.89329,7.98412,9.44627,8.29629,10.1298,10.199,8.16151,7.47565,8.58381,8.62295,-9999,-9999
200907,9.676,0.0,207.312,145.558,0.607527,263.349,0.0,9.553,0.0,95.679,0.0,0.122,0.0,2.375,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.1841,0.0,57.6532,-9999,109.518,0.0,123.359,-9999,-5.99567,0.0,-9999,-6.1019,-6.01726,-6.00539,0.0,0.0,0.0,1.63914,1.55195,1.64577,1.66079,7.62399,7.56366,7.67232,7.76269,9.10146,7.99346,9.76008,9.82672,8.32648,7.64485,8.74721,8.78657,-9999,-9999
200908,16.998,0.0,261.956,196.291,0.575269,285.329,0.0,17.535,0.0,95.325,0.0,0.043,0.0,2.686,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.4692,0.0,58.1352,-9999,109.018,0.0,123.137,-9999,-5.99861,0.0,-9999,-6.10432,-6.0189,-6.00396,0.0,0.0,0.0,2.47056,2.33915,2.48055,2.50319,8.4108,8.35047,8.50956,8.60751,10.0908,8.86238,10.821,10.8949,9.96707,9.2918,10.3876,10.43,-9999,-9999
200909,14.368,0.0,340.492,246.246,0.53125,280.188,0.0,12.336,0.0,95.701,0.0,0.74,0.0,2.753,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.378,0.0,52.2448,-9999,109.331,0.0,111.176,-9999,-5.9977,0.0,-9999,-6.10321,-6.01845,-6.00606,0.0,0.0,0.0,2.14718,2.03297,2.15586,2.17553,8.10718,8.0458,8.18526,8.27875,9.76252,8.57405,10.469,10.5405,11.322,10.6518,11.7486,11.7938,-9999,-9999
200910,23.137,0.0,421.663,314.932,0.491263,308.605,0.0,24.799,0.0,95.101,0.0,0.282,0.0,2.967,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,33.8896,0.321237,52.2845,0.0,55.185,-9999,108.991,0.0,115.038,-9999,-5.77541,0.0,-9999,-5.77541,-5.76288,-5.71842,0.0,0.0,0.0,3.23697,3.06479,3.25005,3.27972,8.8467,8.78321,9.01287,9.0426,10.8443,9.5241,11.629,11.7084,13.2149,12.5508,13.6477,13.7058,-9999,-9999
