TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200201,-4.161,1.0,127.377,41.603,1.0,224.746,0.0,0.957,0.974462,91.067,0.0,0.265,1.0,0.552,0.758737,-9999,-9999,-32.218891369,0.903225806452,83.3719489247,1.0,48.7514448925,1.0,-9999,-9999,-9999,-9999,-9999,-9999,415.274,0.999328,-0.715,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.75625,1.0,1.38416,0.980511,1.71981,0.102033,-14.9981,0.984543,-18.6351,0.361204,0.640575,0.883065,0.0944259,0.328434,0.640575,1.06389,0.893145,0.883065,0.817876,0.995003,0.775152,0.837949,0.995003,0.354427,0.116364,0.354427,0.504054,1.71018,0.848914,1.31911,1.71018,0.300779,0.124301,0.245243,0.272148,-9999,-9999
200202,1.46,0.973958,190.887,79.149,0.755952,263.335,0.0,1.921,0.903274,90.435,0.0,1.293,1.0,0.893,0.906994,-9999,-9999,-23.7165396422,0.600446428571,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,377.525,0.973958,-0.046,-9999,-9999,0.751488,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.35004,0.751488,4.39985,0.86756,2.51226,0.176331,-16.6845,0.880208,-9.52664,0.401278,1.24713,0.71875,0.0654299,1.13872,1.1894,1.24207,0.747768,0.706101,0.686012,1.365,1.3188,1.3227,1.36016,0.117866,0.117866,0.131508,0.13331,2.14697,1.16039,1.2078,1.53771,0.667346,0.278862,0.287298,0.471709,-9999,-9999
200203,3.4,1.0,283.183,146.403,0.854167,257.236,0.0,3.207,0.987903,90.591,0.0,2.895,1.0,1.215,0.942876,0.152559479029,0.710349462366,19.2752016399,0.980510752688,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,377.726,1.0,3.151,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.85496,1.0,22.5097,0.965054,12.8527,0.344674,5.36577,0.961022,3.06378,0.348446,1.64216,0.858871,0.0475247,1.56708,1.62071,1.64216,0.840726,0.846102,0.858871,3.15927,3.06664,3.09334,3.15092,1.51711,1.46548,1.47263,1.50781,1.77287,1.77287,2.13263,2.38321,1.09732,1.09732,1.15889,1.21375,-9999,-9999
200204,5.976,0.999306,379.682,177.371,1.0,278.065,0.0,3.791,0.999306,90.359,0.0,2.227,1.0,1.33,0.786806,0.160197227794,0.667361111111,44.0453055556,1.0,328.383006649,0.999305555556,185.889,1.0,-9999,-9999,-9999,-9999,-9999,-9999,385.935,0.997917,8.213,-9999,-9999,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.85244,1.0,43.9001,0.998611,29.0011,0.356242,15.0466,0.997222,9.94003,0.320232,-1.01299,0.990278,0.0621462,-1.05626,-1.01299,-0.941853,0.993056,0.990278,0.983333,6.03943,5.8594,5.86067,6.03943,7.05242,6.80253,7.0184,7.05242,5.03756,4.25887,4.41701,5.0168,6.4868,6.23471,6.25365,6.48293,-9999,-9999
200205,12.136,1.0,452.551,218.925,1.0,309.871,0.0,6.09,1.0,90.64,0.0,3.752,1.0,1.343,0.953629,0.215946874511,0.822580645161,56.7482554491,0.922715053763,405.052311828,1.0,192.137567204,1.0,-9999,-9999,-9999,-9999,-9999,-9999,392.768,0.998656,11.248,-9999,-9999,0.99664,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.33525,0.984543,72.662,0.997984,51.9079,0.497534,5.74361,0.99664,4.10309,0.410202,-2.66261,0.984543,0.101907,-2.79669,-2.77225,-2.66261,0.977823,0.988575,0.984543,11.2942,11.0496,11.1022,11.191,13.9568,13.8463,13.9568,13.9633,9.25336,8.29555,8.48828,9.25336,13.097,12.6624,12.9071,13.097,-9999,-9999
200206,17.176,1.0,485.262,242.288,1.0,332.579,0.0,8.501,1.0,91.033,0.0,3.344,1.0,1.262,0.95625,0.189502878847,0.815277777778,99.4598616582,0.698611111111,445.229411176,0.996527777778,196.265685401,0.996527777778,-9999,-9999,-9999,-9999,-9999,-9999,402.323,0.998611,14.741,-9999,-9999,0.975,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.44147,0.636806,81.9426,0.994444,67.2558,0.766274,14.3495,0.995139,11.7776,0.391227,2.8725,0.985417,0.0823178,2.8725,2.92133,2.93441,0.985417,0.965972,0.986806,13.6318,13.496,13.6318,13.8921,10.7593,10.5945,10.7593,10.8956,9.43956,8.96747,9.43956,9.69173,7.58797,7.50324,7.57241,7.58797,-9999,-9999
200207,17.052,0.995296,469.594,219.407,1.0,339.438,0.0,5.335,0.995296,90.893,0.0,4.455,1.0,1.018,0.803091,0.187322315052,0.66061827957,115.04341604,0.752688172043,413.273797043,1.0,191.705665323,1.0,-9999,-9999,-9999,-9999,-9999,-9999,401.412,0.995296,16.589,-9999,-9999,0.990591,-9999,-9999,40.564,-9999,-9999,0.998656,-9999,-9999,3.27173,0.990591,107.268,0.993952,99.4542,0.813007,2.89308,0.987903,2.68234,0.35599,-0.420406,0.980511,0.11181,-0.551652,-0.548409,-0.420406,0.979167,0.988575,0.980511,12.8387,12.8387,12.9179,13.033,13.2591,13.2591,13.2714,13.522,10.4556,10.2258,10.4556,11.0651,12.005,12.005,12.0656,12.1769,-9999,-9999
200208,16.531,1.0,409.63,191.007,1.0,340.304,0.0,5.123,1.0,90.852,0.0,4.187,1.0,1.073,0.901882,0.167813917698,0.755376344086,85.136980811,0.998655913978,359.296310484,1.0,161.731478495,1.0,-9999,-9999,-9999,-9999,-9999,-9999,400.754,1.0,15.96,-9999,-9999,0.580645,-9999,-9999,43.328,-9999,-9999,1.0,-9999,-9999,-1.77986,0.547715,75.335,1.0,66.1717,0.62658,8.49166,0.995296,7.45879,0.317158,3.22883,0.983199,0.117765,2.90537,3.22883,3.30409,0.987903,0.983199,0.97379,12.1807,11.2889,11.6906,12.1807,8.95187,7.99465,8.6977,8.95187,7.29867,7.36739,8.11181,9.13249,6.06027,6.1731,6.69392,6.86214,-9999,-9999
200209,10.755,1.0,321.837,141.99,1.0,312.347,0.0,3.05,1.0,90.831,0.0,3.018,1.0,0.926,0.960417,0.149883564595,0.784027777778,48.6304317766,0.970833333333,268.508884309,0.999305555556,115.9138125,1.0,-9999,-9999,-9999,-9999,-9999,-9999,391.578,0.999306,12.845,-9999,-9999,0.998611,-9999,-9999,40.756,-9999,-9999,1.0,-9999,-9999,2.2081,0.996528,45.1488,0.998611,37.4543,0.429075,7.17168,0.998611,5.94944,0.270413,0.120494,0.986806,0.090252,-0.162131,0.120494,0.200339,0.990278,0.986806,0.972917,7.54744,7.29476,7.44651,7.54744,7.42695,7.24617,7.42695,7.45689,6.20784,5.34393,5.50818,5.94422,7.10643,6.71913,6.9233,6.99456,-9999,-9999
200210,7.642,1.0,225.542,99.668,1.0,289.891,0.0,2.749,1.0,90.581,0.0,1.282,1.0,0.96,0.928763,0.168333597032,0.733870967742,8.93532801418,0.999327956989,186.556706989,1.0,92.6078360215,1.0,-9999,-9999,-9999,-9999,-9999,-9999,390.403,0.997984,8.685,-9999,-9999,1.0,-9999,-9999,46.833,-9999,-9999,1.0,-9999,-9999,5.2566,0.944892,21.1506,0.995296,17.546,0.285913,1.15147,0.99664,0.955233,0.33576,2.57412,0.967742,0.0661064,2.51311,2.57412,2.66336,0.972446,0.967742,0.964382,4.48888,4.42616,4.48888,4.57042,1.91476,1.89772,1.90706,1.91476,1.75977,1.76516,2.05006,2.61475,1.08735,1.08883,1.24344,1.3654,-9999,-9999
