TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201001,27.591,0.0,492.072,300.115,0.0,385.588,0.0,22.971,0.0,93.935,0.0,5.909,0.0,2.47,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,63.3392,0.0,78.915,-9999,67.3322,0.0,83.89,-9999,-0.675746,0.0,-9999,-0.721679,-0.675746,-0.675288,0.0,0.0,0.0,1.60419,0.969825,1.60419,1.76008,2.27948,1.6915,2.27948,2.43583,1.49217,1.44005,1.5581,1.57758,0.706758,0.721307,0.73747,0.796269,-9999,-9999
201002,28.135,0.0,466.574,270.936,0.0,394.612,0.0,24.554,0.0,94.053,0.0,6.082,0.0,2.554,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,63.3154,0.0,77.4053,-9999,67.5936,0.0,82.6357,-9999,-0.678147,0.0,-9999,-0.727602,-0.678147,-0.67681,0.0,0.0,0.0,1.63216,0.9875,1.63216,1.79574,2.30897,1.7151,2.30897,2.47389,1.52867,1.47366,1.58521,1.61006,0.562985,0.577448,0.594063,0.647028,-9999,-9999
201003,24.407,0.0,418.171,279.673,0.0,368.48,0.0,17.132,0.0,94.523,0.0,0.175,0.0,2.693,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,63.1966,0.0,75.7111,-9999,67.7211,0.0,81.1315,-9999,-0.674585,0.0,-9999,-0.721633,-0.674585,-0.673434,0.0,0.0,0.0,1.43874,0.86479,1.43874,1.54554,2.11217,1.58642,2.11217,2.22012,1.26596,1.23353,1.30974,1.39776,0.969482,0.990753,1.00987,1.07237,-9999,-9999
201004,22.416,0.0,354.464,232.123,0.0,357.898,0.0,14.24,0.0,94.643,0.0,1.581,0.0,2.077,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,63.2826,0.0,73.0072,-9999,67.5475,0.0,77.9274,-9999,-0.676093,0.0,-9999,-0.723506,-0.676093,-0.675123,0.0,0.0,0.0,1.33883,0.801925,1.33883,1.42011,2.01395,1.52543,2.01395,2.0962,1.14038,1.11723,1.16929,1.2698,1.05938,1.07425,1.08733,1.14124,-9999,-9999
201005,16.623,0.0,297.1,178.881,0.0,323.474,0.0,10.063,0.0,94.732,0.0,1.432,0.0,2.145,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,63.3392,0.0,71.2396,-9999,67.3322,0.0,75.7307,-9999,-0.675746,0.0,-9999,-0.721679,-0.675746,-0.675288,0.0,0.0,0.0,1.056,0.624976,1.056,1.07231,1.73129,1.34666,1.73129,1.74806,0.80341,0.789243,0.802323,0.841243,1.07551,1.07931,1.08377,1.12695,-9999,-9999
201006,13.25,0.0,267.769,179.836,0.0,296.696,0.0,9.314,0.0,95.151,0.0,0.0,0.0,2.543,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10.3926,0.131944,63.2826,0.0,69.6016,-9999,67.5475,0.0,74.2923,-9999,-0.676093,0.0,-9999,-0.723506,-0.676093,-0.675123,0.0,0.0,0.0,0.900495,0.528677,0.900495,0.901247,1.57562,1.25218,1.57562,1.57957,0.635142,0.622143,0.638685,0.662188,1.24846,1.24846,1.24938,1.2886,-9999,-9999
201007,12.753,0.0,278.503,143.934,0.0,324.098,0.0,6.142,0.0,95.105,0.0,2.468,0.0,2.479,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10.1802,0.0,63.3122,0.0,70.6616,-9999,67.5892,0.0,75.4351,-9999,-0.677949,0.0,-9999,-0.727206,-0.677949,-0.676647,0.0,0.0,0.0,0.87966,0.515973,0.87966,0.880189,1.55631,1.24318,1.55631,1.56039,0.615791,0.600875,0.621606,0.641785,1.15384,1.14624,1.15384,1.18387,-9999,-9999
201008,14.354,0.0,324.521,209.586,0.0,305.905,0.0,9.885,0.0,94.892,0.0,0.164,0.0,2.517,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10.3276,0.0,63.1966,0.0,79.0178,1.09802,67.7211,0.0,84.675,1.21247,-0.674585,0.0,0.0244646,-0.721633,-0.674585,-0.673434,0.0,0.0,0.0,0.956052,0.563539,0.956052,0.957809,1.62949,1.28517,1.62949,1.63465,0.702692,0.690109,0.702692,0.734513,1.29925,1.30409,1.30652,1.34841,-9999,-9999
201009,17.677,0.940972,385.867,234.557,0.941667,336.44,0.940972,10.171,0.940972,94.813,0.934028,1.924,0.934028,2.628,0.933333,0.389473030213,0.629861111111,132.430914387,0.93125,29.650297619,0.933333333333,408.058779762,0.933333333333,387.832,0.940972,19.442,0.940972,13.448,0.940972,-1.51919,0.940972,49.6809,0.927778,62.1184,0.479234,58.9762,0.927778,73.7408,0.661914,-0.564177,0.926389,0.0160537,-0.56303,-0.529729,-0.527543,0.926389,0.928472,0.928472,1.45947,1.35477,1.45099,1.45947,1.98701,1.91543,1.98701,2.01494,1.73532,1.69023,1.73532,1.75869,2.06039,2.02764,2.06039,2.06665,-9999,-9999
201010,21.002,1.0,442.472,273.211,1.0,350.042,1.0,14.704,1.0,94.622,1.0,1.265,1.0,2.724,0.991263,0.402699819258,0.731182795699,152.761415199,0.995967741935,35.1565860215,1.0,432.543682796,1.0,399.452,0.997312,24.554,1.0,7.532,1.0,0.312836,1.0,42.8084,0.974462,54.6652,0.433151,78.331,0.975134,100.027,0.666727,-0.33121,0.940188,0.0139231,-0.33121,-0.318114,-0.30973,0.940188,0.947581,0.96707,1.50122,1.50122,1.51455,1.52624,1.83045,1.82631,1.83266,1.85129,1.8721,1.82595,1.84496,1.85901,1.96523,1.95011,1.95741,1.96962,-9999,-9999
