TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200701,27.006,0.0,470.863,207.446,0.0,428.142,0.0,7.139,0.0,99.791,0.0,10.429,0.0,1.291,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.9265,0.0,33.6981,-9999,80.1011,0.0,81.978,-9999,0.474925,0.0,-9999,0.27511,0.664976,0.731735,0.0,0.0,0.0,1.8606,1.8606,1.86963,2.04335,1.38675,1.18507,1.32164,1.51201,4.75118,4.75118,4.75994,4.79538,3.47958,3.47917,3.48022,3.84965,-9999,-9999
200702,27.558,0.0,462.352,240.083,0.0,424.645,0.0,8.67,0.0,99.809,0.0,7.481,0.0,1.148,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.8261,0.0,33.3749,-9999,79.9221,0.0,81.2583,-9999,0.473495,0.0,-9999,0.277504,0.670686,0.736498,0.0,0.0,0.0,1.92218,1.92218,1.92377,2.10477,1.44886,1.24947,1.38457,1.56748,4.77517,4.77517,4.78397,4.8196,3.93392,3.93052,3.93392,4.07747,-9999,-9999
200703,26.036,0.0,435.785,179.743,0.0,425.057,0.0,6.14,0.0,99.884,0.0,16.08,0.0,1.058,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.9265,0.0,33.1832,-9999,80.1011,0.0,80.7255,-9999,0.472049,0.0,-9999,0.275176,0.664853,0.731455,0.0,0.0,0.0,1.75667,1.75667,1.77745,1.93903,1.2871,1.08108,1.2179,1.39825,4.70797,4.70797,4.71665,4.75178,3.02852,3.02817,3.02912,3.44075,-9999,-9999
200704,27.864,0.0,391.952,254.024,0.0,404.61,0.0,17.115,0.0,100.127,0.0,0.016,0.0,1.437,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.8953,0.0,32.5975,-9999,80.0454,0.0,79.3208,-9999,0.47349,0.0,-9999,0.275877,0.66671,0.733121,0.0,0.0,0.0,1.96244,1.96163,1.96244,2.14397,1.48838,1.2867,1.42397,1.62035,4.78696,4.78696,4.79579,4.8315,4.13092,3.60672,4.12814,4.13092,-9999,-9999
200705,27.459,0.0,347.382,220.313,0.0,401.036,0.0,17.272,0.0,100.216,0.0,0.096,0.0,1.424,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.9265,0.0,32.9615,-9999,80.1011,0.0,80.1862,-9999,0.474925,0.0,-9999,0.27511,0.664976,0.731735,0.0,0.0,0.0,1.9189,1.9189,1.91942,2.10028,1.444,1.242,1.37994,1.57617,4.76897,4.76897,4.77776,4.81334,3.64647,3.27224,3.64351,3.64647,-9999,-9999
200706,23.461,0.0,323.051,194.168,0.0,371.27,0.0,16.658,0.0,100.218,0.0,0.294,0.0,2.064,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.8953,0.0,33.326,-9999,80.0454,0.0,81.0935,-9999,0.47349,0.0,-9999,0.275877,0.66671,0.733121,0.0,0.0,0.0,1.5235,1.5235,1.563,1.69867,1.05463,0.841434,0.989153,1.17369,4.58216,4.58216,4.59061,4.62479,3.24916,3.12748,3.24672,3.24916,-9999,-9999
200707,22.723,0.0,331.554,222.102,0.0,351.105,0.0,17.023,0.0,100.442,0.0,0.0,0.0,1.678,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.0943,0.59543,32.8328,0.0,34.4344,-9999,79.9341,0.0,83.8332,-9999,0.473495,0.0,-9999,0.277346,0.670301,0.736171,0.0,0.0,0.0,1.4553,1.4553,1.50059,1.62863,0.987105,0.773144,0.920605,1.12371,4.54649,4.54649,4.55487,4.58879,3.67324,3.36916,3.67023,3.67324,-9999,-9999
200708,25.042,0.0,367.856,236.85,0.0,374.775,0.0,18.768,0.0,100.348,0.0,0.054,0.0,1.472,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.94426,0.0,32.9265,0.0,34.1403,-9999,80.1011,0.0,83.0538,-9999,0.472049,0.0,-9999,0.275176,0.664853,0.731455,0.0,0.0,0.0,1.67708,1.67708,1.70183,1.85498,1.20792,0.997038,1.13831,1.31112,4.65685,4.65685,4.66543,4.70018,3.88222,3.24843,3.87832,3.88171,-9999,-9999
200709,27.936,0.0,412.391,277.458,0.0,391.306,0.0,21.607,0.0,100.177,0.0,0.038,0.0,0.993,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.92318,0.0,32.8953,0.0,34.5727,-9999,80.0454,0.0,84.1271,-9999,0.47349,0.0,-9999,0.275877,0.66671,0.733121,0.0,0.0,0.0,1.98501,1.98318,1.98501,2.16408,1.51024,1.30684,1.44654,1.64534,4.78653,4.78653,4.79535,4.83106,4.46822,3.28591,4.46392,4.46757,-9999,-9999
200710,29.17,0.0651882,447.432,280.771,0.0685484,419.608,0.0,18.362,0.0651882,100.049,0.0409946,1.385,0.0,0.905,0.0409946,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.41729,0.0645161,40.4436,0.064516,43.2423,1.11127,72.2192,0.064516,77.2167,1.09992,0.630634,0.063172,0.089982,0.40484,0.786728,0.858252,0.0625,0.063172,0.063172,2.83111,2.81832,2.83111,2.95452,2.18942,1.9978,2.09626,2.17441,4.84273,4.84273,4.85165,4.88779,4.52802,3.5057,4.52369,4.52736,-9999,-9999
200711,28.135,0.986111,465.103,230.443,0.9875,422.188,0.986111,11.965,0.986111,99.716,0.979167,5.832,0.0,1.207,0.94375,0.290553456758,0.924305555556,152.751269977,0.9625,29.0094952524,0.965277777778,470.506417625,0.964583333333,379.9,0.986111,30.413,0.986111,24.1,0.986111,0.989342,0.985417,100.324,0.986111,107.267,1.12867,40.9538,0.986111,43.7878,0.644857,0.0586791,0.966667,0.0663979,-0.103629,-0.0266344,0.0586791,0.958333,0.963889,0.966667,5.67865,5.66175,5.67865,5.72525,5.60987,5.60987,5.67937,5.81721,6.91729,6.81779,6.91729,6.98931,6.33892,6.26744,6.32554,6.35496,-9999,-9999
200712,27.875,1.0,470.409,232.878,1.0,430.244,1.0,9.979,1.0,99.557,0.997984,6.944,0.0,1.24,0.950269,0.319465351003,0.951612903226,163.334923607,0.995295698925,29.0371482498,0.999327956989,468.052848318,0.999327956989,377.293,1.0,30.392,1.0,30.0,1.0,-1.10928,1.0,117.128,1.0,126.806,1.18174,37.4935,1.0,40.5915,0.537539,-1.59486,0.997984,0.0741754,-1.67828,-1.59169,-1.53253,0.998656,0.990591,0.995968,6.81402,6.56618,6.67324,6.81402,8.16103,8.16103,8.25953,8.34655,7.13205,7.02533,7.10501,7.20206,8.39777,8.35817,8.39777,8.48379,-9999,-9999
200801,27.614,1.0,470.863,224.807,1.0,428.575,1.0,9.062,1.0,99.424,0.989247,13.984,0.0,1.74,0.951613,0.422012140849,0.953629032258,156.284946237,1.0,29.1975806452,1.0,467.346102151,1.0,365.915,1.0,29.791,1.0,30.2,1.0,1.75661,1.0,117.742,0.999328,116.663,1.16126,38.1456,1.0,37.7959,0.552017,-0.832512,0.998656,0.0660731,-0.858048,-0.839295,-0.810543,0.998656,0.997312,0.99328,6.53542,6.38219,6.43158,6.52571,7.35822,7.21782,7.30879,7.35057,7.70339,7.42422,7.70803,7.83358,8.24739,7.99456,8.10629,8.24739,-9999,-9999
200802,26.376,0.630029,462.016,168.456,0.630747,432.325,0.630029,6.332,0.630029,99.491,0.60273,15.3,0.0,1.665,0.523707,0.341666885067,0.519396551724,133.093725374,0.618534482759,22.108820922,0.619971264368,460.672182821,0.619971264368,374.466,0.627874,29.072,0.630029,32.3,0.630029,-1.90609,0.630029,111.394,0.627874,111.041,1.31918,36.9175,0.627874,36.8006,0.603278,-1.32507,0.628592,0.090596,-1.47417,-1.32507,-1.26593,0.628592,0.628592,0.628592,3.56768,3.54784,3.73334,3.84888,5.21479,4.92266,5.00365,5.11481,5.08875,4.7523,4.90182,5.08875,5.51135,5.50534,5.51135,5.56242,-9999,-9999
200803,27.127,0.886425,434.559,252.938,0.886425,425.607,0.885081,9.596,0.886425,99.83,0.885081,7.306,0.0,1.096,0.834677,0.297018411624,0.811155913978,184.733863392,0.869623655914,29.9485373054,0.869623655914,467.188204509,0.869623655914,374.985,0.889785,30.403,0.884409,29.4,0.887769,2.97716,0.884409,125.188,0.889785,133.01,1.32753,48.9795,0.889785,52.0402,0.614881,-0.866519,0.883737,0.0835176,-1.02659,-1.0051,-0.782449,0.860887,0.876344,0.88172,4.97213,4.51473,4.59704,5.03047,5.82021,5.53633,5.70503,5.80644,5.09225,4.93589,5.38061,5.92569,6.02107,5.71172,6.02107,6.18228,-9999,-9999
200804,26.606,1.0,390.385,277.7,1.0,378.99,1.0,17.95,1.0,99.965,0.999306,0.643,0.0,1.212,0.988194,0.3024178049,0.986805555556,156.412318841,0.998611111111,38.0405555556,0.997916666667,460.582655549,0.992361111111,375.65,1.0,31.799,1.0,22.9,1.0,1.09541,0.998611,111.6,1.0,107.589,1.15917,49.7945,1.0,48.0049,0.569982,-1.72591,0.951389,0.0633858,-1.72591,-1.09415,-0.888891,0.951389,0.922917,0.905556,3.72509,3.09992,3.72509,4.38247,4.84453,4.7172,4.97664,5.36887,1.53032,1.34536,1.6856,1.77406,4.15447,4.00135,4.1018,4.27082,-9999,-9999
