TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201001,26.79,0.0,503.732,332.818,0.0,363.781,0.0,28.839,0.0,100.175,0.0,0.139,0.0,2.406,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,36.4308,0.0,42.5328,-9999,21.2595,0.0,24.8204,-9999,-0.582177,0.0,-9999,-0.586937,-0.577987,-0.577508,0.0,0.0,0.0,0.992851,0.991672,1.0076,1.04916,1.57385,1.56773,1.58736,1.63162,4.72698,3.92943,7.68383,7.84967,2.38748,2.07442,2.38924,2.40777,-9999,-9999
201002,26.906,0.0,455.773,277.666,0.0,383.929,0.0,23.881,0.0,100.359,0.0,0.682,0.0,2.252,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,36.1879,0.0,42.3393,-9999,21.5815,0.0,25.2501,-9999,-0.583549,0.0,-9999,-0.588128,-0.57884,-0.578351,0.0,0.0,0.0,0.994776,0.993608,1.0091,1.05056,1.57716,1.57074,1.59002,1.6345,4.62418,3.86571,7.51672,7.67895,2.19159,1.86736,2.1933,2.21175,-9999,-9999
201003,22.755,0.0,380.362,231.497,0.0,358.758,0.0,18.162,0.0,100.792,0.0,0.136,0.0,2.186,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,37.014,0.0,43.2262,-9999,20.8248,0.0,24.32,-9999,-0.585586,0.0,-9999,-0.590023,-0.581425,-0.580909,0.0,0.0,0.0,0.857794,0.856968,0.863765,0.897195,1.44255,1.43631,1.4512,1.48299,3.37235,2.89365,5.48184,5.60015,1.99896,1.67435,2.00059,2.01855,-9999,-9999
201004,18.625,0.0,294.339,165.628,0.0,349.136,0.0,10.344,0.0,100.805,0.0,1.245,0.0,1.979,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,36.5561,0.0,42.2455,-9999,21.21,0.0,24.511,-9999,-0.583778,0.0,-9999,-0.588371,-0.579436,-0.578942,0.0,0.0,0.0,0.725686,0.724498,0.729477,0.747253,1.30894,1.30215,1.31317,1.33459,2.32923,2.06499,3.78623,3.86795,1.71133,1.38002,1.71287,1.73055,-9999,-9999
201005,13.851,0.0,224.525,121.644,0.0,327.898,0.0,6.771,0.0,100.759,0.0,1.554,0.0,1.968,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.06426,0.063172,36.4308,0.0,42.1038,-9999,21.2595,0.0,24.5701,-9999,-0.582177,0.0,-9999,-0.586937,-0.577987,-0.577508,0.0,0.0,0.0,0.580709,0.57313,0.580709,0.585375,1.16266,1.15559,1.16266,1.17405,1.4188,1.31446,2.3063,2.35607,1.46161,1.14021,1.46303,1.47982,-9999,-9999
201006,10.324,0.0,191.122,95.596,0.0,316.11,0.0,3.445,0.0,101.33,0.0,0.45,0.0,1.861,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.91261,0.0,36.5561,0.0,41.6106,-9999,21.21,0.0,24.1427,-9999,-0.583778,0.0,-9999,-0.588371,-0.579436,-0.578942,0.0,0.0,0.0,0.480933,0.470085,0.48088,0.483289,1.06466,1.05236,1.06173,1.06466,0.933098,0.897477,1.51677,1.54951,1.31512,0.994867,1.31649,1.33305,-9999,-9999
201007,9.323,0.00873656,203.757,102.997,0.0094086,313.055,0.00873656,3.167,0.00873656,101.302,0.000672043,1.094,0.000672043,1.905,0.000672043,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.2408,0.00873656,37.5801,0.008737,43.0506,0.913573,20.3507,0.008737,23.3131,0.91044,-0.588614,0.00873656,0.0215906,-0.593188,-0.583847,-0.583517,0.00873656,0.00873656,0.00873656,0.454276,0.442793,0.453748,0.455282,1.04288,1.03545,1.0396,1.04288,0.828024,0.804071,1.34597,1.37502,1.35767,1.03847,1.35905,1.37559,-9999,-9999
201008,10.982,1.0,258.714,140.176,1.0,312.753,1.0,5.934,1.0,100.695,1.0,0.781,1.0,2.93,1.0,0.446176659654,0.989247311828,58.4146505376,1.0,24.6424731183,1.0,368.34811828,1.0,381.767,0.998656,11.437,1.0,-9999,-9999,-0.508065,1.0,21.906,0.998656,26.1929,0.450162,26.3173,0.998656,31.4674,0.561718,-0.342758,0.99328,0.0145216,-0.350671,-0.342758,-0.338562,0.992608,0.99328,0.997312,0.463827,0.457536,0.461514,0.463827,0.800294,0.802283,0.806157,0.806825,0.571356,0.571356,0.668744,0.745311,0.928431,0.839398,0.914911,0.952478,-9999,-9999
201009,12.995,1.0,337.971,179.528,1.0,326.049,1.0,6.223,1.0,100.958,1.0,1.587,1.0,2.453,1.0,0.392791683242,0.975,87.7583333333,1.0,31.2819444444,1.0,385.095833333,1.0,381.687,1.0,15.409,1.0,-9999,-9999,0.622917,1.0,19.3002,0.999306,23.0771,0.412265,53.5446,0.999306,64.0228,0.597261,-0.339607,0.9875,0.0165387,-0.339607,-0.336223,-0.335233,0.9875,0.988194,0.9875,0.800401,0.77987,0.782555,0.791298,1.12101,1.11609,1.12708,1.13044,0.674881,0.671322,0.68888,0.787509,1.2468,1.1467,1.18882,1.24585,-9999,-9999
201010,17.086,1.0,420.266,243.68,1.0,334.064,1.0,10.925,1.0,100.855,1.0,2.148,1.0,2.57,1.0,0.406647635577,0.938172043011,123.610887097,1.0,41.936155914,1.0,410.634408602,1.0,381.284,0.991263,20.018,1.0,-9999,-9999,2.22917,1.0,26.553,0.989247,32.0247,0.402249,73.6985,0.989919,88.8856,0.76085,-0.291829,0.952285,0.0195002,-0.331112,-0.296711,-0.291829,0.962366,0.953629,0.952285,1.09349,1.05314,1.07409,1.09349,1.39977,1.36914,1.38268,1.39247,0.734677,0.671529,0.743697,0.778192,1.15846,1.18042,1.19695,1.22181,-9999,-9999
