TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201201,22.36,0.0,503.615,246.189,0.0,394.803,0.0,8.145,0.0,100.635,0.0,2.653,0.0,1.56,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,44.7625,0.0,53.9826,-9999,58.5965,0.0,70.6661,-9999,-0.752693,0.0,-9999,-1.80912,-0.578987,-0.444386,0.0,0.0,0.0,2.40791,1.5226,2.40077,2.5827,3.10811,2.98496,3.02709,3.33172,2.37594,1.33483,2.37614,2.40804,4.71559,3.30836,4.71559,4.77317,-9999,-9999
201202,21.49,0.0,455.261,191.205,0.0,399.551,0.0,5.433,0.0,100.592,0.0,5.538,0.0,1.083,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,44.6081,0.0,52.9486,-9999,58.8936,0.0,69.905,-9999,-0.738187,0.0,-9999,-1.83522,-0.579867,-0.443548,0.0,0.0,0.0,2.29794,1.46993,2.29794,2.48412,2.98225,2.8778,2.92766,3.30515,2.35455,1.31697,2.35474,2.38635,4.23563,2.87645,4.23563,4.37219,-9999,-9999
201203,19.907,0.0,379.091,161.438,0.0,387.93,0.0,5.503,0.0,100.813,0.0,4.105,0.0,1.461,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,44.7625,0.0,54.0546,-9999,58.5965,0.0,70.7604,-9999,-0.752693,0.0,-9999,-1.80912,-0.578987,-0.444386,0.0,0.0,0.0,2.11335,1.37769,2.11335,2.31384,2.81097,2.69234,2.78093,3.18681,2.31285,1.28282,2.31303,2.34409,3.78539,2.53245,3.78539,3.94086,-9999,-9999
201204,18.183,0.0,293.868,148.475,0.0,364.711,0.0,6.024,0.0,101.169,0.0,1.543,0.0,1.331,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,44.6879,0.0,55.044,-9999,58.7401,0.0,72.3527,-9999,-0.745681,0.0,-9999,-1.82174,-0.579413,-0.443981,0.0,0.0,0.0,1.9254,1.28056,1.9254,2.13652,2.61567,2.50481,2.61567,3.1023,2.26507,1.2443,2.26525,2.29567,3.59964,2.38458,3.59964,3.76282,-9999,-9999
201205,13.77,0.0,225.3,125.948,0.0,332.76,0.0,5.787,0.0,101.296,0.0,0.546,0.0,1.341,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,44.608,0.0,57.9008,-9999,58.5457,0.0,75.9919,-9999,-0.736968,0.0,-9999,-1.83565,-0.571551,-0.434987,0.0,0.0,0.0,1.46751,1.03824,1.46751,1.7465,2.14979,2.03906,2.14979,2.87389,2.13856,1.14335,2.13873,2.16744,3.28553,2.12656,3.28553,3.48088,-9999,-9999
201206,12.343,0.0,193.407,82.093,0.0,343.829,0.0,4.092,0.0,101.063,0.0,1.754,0.0,1.548,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,44.6879,0.0,60.008,-9999,58.7401,0.0,78.8776,-9999,-0.745681,0.0,-9999,-1.82174,-0.579413,-0.443981,0.0,0.0,0.0,1.32629,0.961859,1.32629,1.63453,2.01795,1.90571,2.01795,2.7836,2.09638,1.11005,2.09655,2.1247,2.41785,1.48572,2.41785,2.66915,-9999,-9999
201207,11.911,0.0,207.494,106.484,0.0,330.098,0.0,4.867,0.0,101.352,0.0,0.736,0.0,1.679,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.0517,0.643817,44.6932,0.0,58.1593,-9999,59.078,0.0,76.8784,-9999,-0.747384,0.0,-9999,-1.82044,-0.5877,-0.452571,0.0,0.0,0.0,1.28768,0.939881,1.28768,1.60165,1.98151,1.87538,1.98151,2.76032,2.08287,1.09956,2.08304,2.11101,2.96426,1.87055,2.96426,3.19788,-9999,-9999
201208,12.811,0.0,263.363,156.683,0.0,319.36,0.0,7.614,0.0,100.84,0.0,0.114,0.0,2.063,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.02184,0.0,44.7625,0.0,57.929,-9999,58.5965,0.0,75.8322,-9999,-0.752693,0.0,-9999,-1.80912,-0.578987,-0.444386,0.0,0.0,0.0,1.38314,0.99003,1.38314,1.6742,2.08221,1.96212,2.08221,2.79893,2.10831,1.11998,2.10848,2.13679,3.7445,2.50436,3.7445,3.87871,-9999,-9999
201209,16.076,0.0,342.549,211.021,0.0,334.0,0.0,9.56,0.0,100.806,0.0,0.623,0.0,1.689,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.0412,0.0,44.6879,0.0,56.8597,-9999,58.7401,0.0,74.7393,-9999,-0.745681,0.0,-9999,-1.82174,-0.579413,-0.443981,0.0,0.0,0.0,1.71631,1.16743,1.71631,1.93304,2.40759,2.29573,2.40759,2.98916,2.20293,1.19514,2.2031,2.23269,4.22616,2.97307,4.22616,4.24667,-9999,-9999
201210,17.923,0.426747,423.743,241.132,0.40121,346.667,0.426747,11.44,0.426747,100.904,0.420027,0.971,0.420027,1.543,0.420027,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.17718,0.426747,44.8206,0.426747,55.9947,0.556465,62.6086,0.425403,78.2173,0.886054,-1.23039,0.422043,0.0491646,-1.93123,-1.14209,-1.02531,0.421371,0.422043,0.422043,1.80799,1.33319,1.80799,1.9598,3.0172,2.95008,3.01142,3.26442,2.25461,1.60807,2.24791,2.31319,4.08139,3.29904,4.05552,4.08139,-9999,-9999
