TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200701,26.763,0.0,473.641,227.824,0.0,427.666,0.0,7.4,0.0,99.922,0.0,9.254,0.0,1.681,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.4949,0.0,18.9566,-9999,68.7401,0.0,70.4561,-9999,0.703598,0.0,-9999,0.703598,0.802166,0.863804,0.0,0.0,0.0,1.96739,1.77726,2.27692,2.39019,1.2638,1.20094,1.40012,1.4926,0.68325,0.672557,0.674967,0.68325,0.249932,0.249932,0.250883,0.255543,-9999,-9999
200702,28.562,0.0,463.344,274.388,0.0,419.862,0.0,12.989,0.0,99.942,0.0,3.073,0.0,1.393,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.4454,0.0,19.6685,-9999,68.7282,0.0,73.2858,-9999,0.709156,0.0,-9999,0.709156,0.797821,0.864387,0.0,0.0,0.0,2.1293,1.85519,2.39237,2.46418,1.42014,1.27099,1.47585,1.60662,0.694452,0.683584,0.686033,0.694452,0.294094,0.294094,0.295175,0.30037,-9999,-9999
200703,24.769,0.0,434.426,186.772,0.0,422.204,0.0,4.505,0.0,100.042,0.0,10.564,0.0,1.219,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.4597,0.0,20.5547,-9999,68.7042,0.0,76.5014,-9999,0.709534,0.0,-9999,0.709534,0.802752,0.864481,0.0,0.0,0.0,1.79229,1.69049,2.14908,2.30695,1.08276,1.08276,1.28668,1.37028,0.670492,0.659998,0.662363,0.670492,0.207519,0.207519,0.208326,0.212319,-9999,-9999
200704,26.987,0.0,388.385,268.608,0.0,389.158,0.0,16.804,0.0,100.342,0.0,0.0,0.0,2.054,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.4674,0.0,21.7303,-9999,68.724,0.0,80.8668,-9999,0.707372,0.0,-9999,0.707372,0.801016,0.864219,0.0,0.0,0.0,1.99091,1.78676,2.29153,2.39852,1.28354,1.20516,1.40887,1.50742,0.68438,0.673669,0.676083,0.68438,0.287645,0.287645,0.28869,0.293712,-9999,-9999
200705,26.591,0.0,342.335,223.768,0.0,388.014,0.0,17.082,0.0,100.435,0.0,0.036,0.0,1.953,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.4949,0.0,22.0668,-9999,68.7401,0.0,82.0161,-9999,0.703598,0.0,-9999,0.703598,0.802166,0.863804,0.0,0.0,0.0,1.95598,1.76957,2.26617,2.38206,1.25239,1.19325,1.39199,1.48213,0.681863,0.671192,0.673597,0.681863,0.241366,0.241366,0.242259,0.246577,-9999,-9999
200706,18.894,0.0,317.403,193.175,0.0,345.608,0.0,12.726,0.0,100.488,0.0,1.118,0.0,2.706,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.4674,0.0,21.67,-9999,68.724,0.0,80.6424,-9999,0.707372,0.0,-9999,0.707372,0.801016,0.864219,0.0,0.0,0.0,1.34967,1.34967,1.77952,2.04371,0.642303,0.766892,0.917319,1.05406,0.627232,0.617415,0.619627,0.627232,0.212178,0.212178,0.212982,0.216929,-9999,-9999
200707,19.295,0.0,326.171,227.869,0.0,323.385,0.0,14.962,0.0,100.68,0.0,0.0,0.0,2.27,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.4475,0.0,21.7333,-9999,68.7278,0.0,80.9693,-9999,0.708984,0.0,-9999,0.708984,0.79813,0.864371,0.0,0.0,0.0,1.3787,1.3787,1.80435,2.06181,0.669716,0.784562,0.942178,1.07335,0.630273,0.620409,0.622632,0.630273,0.248844,0.248844,0.249775,0.254322,-9999,-9999
200708,22.491,0.0,363.612,246.295,0.0,347.056,0.0,17.367,0.0,100.58,0.0,0.206,0.0,2.179,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.12956,0.920027,18.4597,0.0,21.7614,-9999,68.7042,0.0,80.9926,-9999,0.709534,0.0,-9999,0.709534,0.802752,0.864481,0.0,0.0,0.0,1.62425,1.58964,2.00551,2.20367,0.914714,0.945768,1.14312,1.23158,0.653435,0.643209,0.645514,0.653435,0.264026,0.264026,0.264989,0.26962,-9999,-9999
200709,26.716,0.452778,410.044,278.235,0.425694,366.074,0.424306,22.723,0.452778,100.476,0.44375,0.0,0.0,1.842,0.44375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,374.851,0.452778,-9999,-9999,5.8,0.453472,8.50447,0.0,17.1561,0.448611,19.9337,0.376648,73.1124,0.45,84.9494,0.584975,0.495421,0.431944,0.0326132,0.495421,0.617451,0.680473,0.431944,0.427083,0.427778,1.08564,0.971642,1.21711,1.35177,0.59022,0.555206,0.59022,0.637829,0.910332,0.923796,1.07772,1.16452,0.409706,0.383215,0.459161,0.51208,-9999,-9999
200710,28.539,0.686156,447.436,270.453,0.688844,403.523,0.686156,19.0,0.686156,100.373,0.674059,2.422,0.0,1.684,0.553763,0.228409011303,0.529569892473,122.776728203,0.661962365591,49.5534611993,0.663306451613,485.098104056,0.663306451613,369.16,0.686156,-9999,-9999,9.7,0.686156,6.20215,0.0,44.8835,0.55914,48.9897,0.646593,63.3049,0.55914,69.0965,0.506066,0.973718,0.545699,0.0500411,0.973718,1.02676,1.1602,0.545699,0.545027,0.538306,1.68202,1.62338,1.6607,1.68202,0.708302,0.500505,0.606839,0.708302,3.3222,3.04971,3.28277,3.46834,2.65673,2.14128,2.21363,2.37149,-9999,-9999
