TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200801,29.961,0.0,476.846,270.786,0.0,451.17,0.0,16.149,0.0,98.323,0.0,2.548,0.0,1.542,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,28.3284,0.0,36.5851,-9999,83.7237,0.0,108.126,-9999,-1.0286,0.0,-9999,-1.08745,-1.0286,-1.01248,0.0,0.0,0.0,1.67045,1.56862,1.67016,1.73795,2.66974,2.62738,2.67099,2.75299,0.786937,0.732779,0.802218,0.868432,1.89236,1.88205,1.90863,1.98944,-9999,-9999
200802,26.784,0.0,463.95,181.038,0.0,454.51,0.0,7.472,0.0,98.387,0.0,16.753,0.0,1.241,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,28.3594,0.0,36.3826,-9999,83.9618,0.0,107.716,-9999,-1.02762,0.0,-9999,-1.08604,-1.02762,-1.01249,0.0,0.0,0.0,1.45928,1.40835,1.45928,1.50465,2.45827,2.45827,2.48176,2.54344,0.621589,0.606568,0.652142,0.694353,1.48588,1.48573,1.50757,1.62315,-9999,-9999
200803,26.698,0.0,431.206,250.246,0.0,426.86,0.0,10.606,0.0,98.817,0.0,5.999,0.0,1.34,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,28.3284,0.0,36.2667,-9999,83.7237,0.0,107.185,-9999,-1.0286,0.0,-9999,-1.08745,-1.0286,-1.01248,0.0,0.0,0.0,1.45478,1.40447,1.45478,1.49977,2.45407,2.45407,2.47959,2.54004,0.61954,0.604523,0.649941,0.692038,1.81727,1.81727,1.83961,1.93605,-9999,-9999
200804,25.362,0.0,382.21,271.617,0.0,376.366,0.0,17.107,0.0,99.007,0.0,0.23,0.0,1.43,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,28.3433,0.0,36.2859,-9999,83.8388,0.0,107.332,-9999,-1.02813,0.0,-9999,-1.08677,-1.02813,-1.01248,0.0,0.0,0.0,1.37724,1.34136,1.37724,1.41379,2.37639,2.37639,2.42309,2.46938,0.572543,0.564116,0.604051,0.640672,1.85753,1.84546,1.87137,1.939,-9999,-9999
200805,23.005,0.0,334.806,237.858,0.0,355.723,0.0,17.099,0.0,99.263,0.0,0.0,0.0,1.564,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,28.3449,0.0,33.3677,-9999,83.9714,0.0,98.8514,-9999,-1.02676,0.0,-9999,-1.08441,-1.02676,-1.01108,0.0,0.0,0.0,1.23468,1.22801,1.23468,1.28673,2.2326,2.23861,2.30746,2.33146,0.477516,0.482071,0.513926,0.537881,1.72087,1.71132,1.73615,1.81317,-9999,-9999
200806,22.395,0.0,310.187,211.993,0.0,363.064,0.0,15.352,0.0,99.369,0.0,0.0,0.0,1.724,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,28.3433,0.0,30.6975,-9999,83.8388,0.0,90.8024,-9999,-1.02813,0.0,-9999,-1.08677,-1.02813,-1.01248,0.0,0.0,0.0,1.19602,1.19602,1.20171,1.25282,2.19517,2.20381,2.26985,2.29827,0.44984,0.459864,0.488167,0.508293,1.6202,1.61471,1.63797,1.7271,-9999,-9999
200807,21.173,0.0,320.408,225.105,0.0,340.958,0.0,16.983,0.0,99.371,0.0,0.0,0.0,1.661,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,28.3568,0.0,31.6796,-9999,83.8212,0.0,93.6432,-9999,-1.02902,0.0,-9999,-1.08845,-1.02902,-1.01389,0.0,0.0,0.0,1.12906,1.12906,1.14198,1.1816,2.12928,2.13829,2.20224,2.24854,0.412173,0.426366,0.450678,0.467008,1.66843,1.66006,1.68444,1.76592,-9999,-9999
200808,23.326,0.0389785,359.881,250.81,0.0181452,358.182,0.015457,20.075,0.0389785,99.402,0.0127688,0.0,0.0,1.961,0.0107527,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,28.3592,0.010753,32.5308,0.596191,83.8284,0.010753,96.1597,1.41264,-1.02543,0.00873656,0.0449076,-1.08366,-1.02543,-1.01048,0.0094086,0.00873656,0.00873656,1.25555,1.24392,1.25555,1.30484,2.25276,2.2582,2.32829,2.35546,0.493368,0.494454,0.528421,0.554771,1.75928,1.74474,1.77166,1.83904,-9999,-9999
200809,28.35,0.997917,408.576,276.231,0.997917,414.315,0.997917,26.591,0.997917,99.06,0.995833,0.003,0.0,1.735,0.906944,0.334177361252,0.892361111111,116.092337058,0.995138888889,53.4571100665,0.995833333333,512.71180315,0.995833333333,378.137,0.997917,-9999,-9999,3.233,0.997917,-9999,1.0,28.1449,0.990972,32.9548,0.496815,82.3569,0.990972,96.4317,0.86654,-0.568826,0.967361,0.0242125,-0.583955,-0.568826,-0.550851,0.965972,0.967361,0.961111,1.4309,1.39975,1.43347,1.4851,1.99985,1.98371,1.99985,2.03595,0.744692,0.744469,0.752378,0.924574,1.55359,1.54271,1.5569,1.71976,-9999,-9999
200810,30.853,1.0,448.301,299.327,1.0,428.181,1.0,31.673,1.0,98.929,0.955645,0.896,0.174059,2.003,0.955645,0.399591916778,0.933467741935,140.926879311,0.987231182796,57.6969086022,1.0,532.180107527,1.0,372.232,1.0,-9999,-9999,4.426,1.0,-9999,1.0,36.4732,0.998656,43.6776,0.788757,92.7662,0.998656,111.09,0.869302,0.31364,0.985887,0.0253227,0.266535,0.290339,0.31364,0.983199,0.986559,0.985887,1.87274,1.86712,1.90931,1.95178,1.5824,1.53306,1.59567,1.67637,1.52679,1.53062,1.62287,1.65224,1.5362,1.5362,1.54566,1.62228,-9999,-9999
