TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201101,25.7,0.0,494.636,269.264,0.474462,404.407,0.0,11.277,0.0,98.572,0.0,3.503,0.0,2.548,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,35.0115,0.0,43.5487,-9999,20.9526,0.0,26.0617,-9999,0.822847,0.0,-9999,0.810543,0.822847,0.836934,0.0,0.0,0.0,1.45376,1.30998,1.45376,1.55278,0.630914,0.499439,0.630914,0.693968,1.67638,1.66569,1.67638,1.70203,0.0,0.0,0.0,0.0,-9999,-9999
201102,25.866,0.0,466.167,248.292,0.485863,407.795,0.0,11.143,0.0,99.069,0.0,2.644,0.0,3.019,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,34.7099,0.0,45.1321,-9999,21.2046,0.0,27.5716,-9999,0.822,0.0,-9999,0.810141,0.822,0.836073,0.0,0.0,0.0,1.45625,1.31205,1.45625,1.55558,0.634252,0.501911,0.634252,0.697626,1.68047,1.66976,1.68047,1.70618,0.0,0.0,0.0,0.0,-9999,-9999
201103,23.735,0.0,414.067,179.408,0.518817,403.708,0.0,8.064,0.0,99.065,0.0,4.959,0.0,2.983,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-12.5829,0.354839,34.7018,0.0,47.749,-9999,20.7708,0.0,28.5802,-9999,0.78208,0.0,-9999,0.772857,0.78208,0.793294,0.0,0.0,0.0,1.37217,1.24377,1.37217,1.45942,0.590093,0.470913,0.590093,0.648239,1.41789,1.40885,1.41789,1.43959,0.0,0.0,0.0,0.0,-9999,-9999
201104,20.751,0.0,347.144,185.753,0.540278,371.88,0.0,8.833,0.0,99.453,0.0,1.424,0.0,2.737,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-13.2283,0.0,34.0722,0.0,49.634,-9999,20.3641,0.0,29.665,-9999,0.641597,0.0,-9999,0.641597,0.642431,0.642565,0.0,0.0,0.0,1.25457,1.14735,1.25457,1.32557,0.612972,0.504918,0.612972,0.680405,1.10793,1.10087,1.10793,1.12489,0.0,0.0,0.0,0.0,-9999,-9999
201105,15.838,0.0,287.835,173.782,0.576613,332.29,0.0,8.113,0.0,99.569,0.0,0.586,0.0,2.456,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-13.2341,0.0,33.591,0.0,39.806,1.09378,20.1842,0.0,23.9187,0.895085,0.651686,0.0,0.0395426,0.651686,0.652674,0.656935,0.0,0.0,0.0,1.06355,0.988187,1.06355,1.10133,0.41186,0.331252,0.41186,0.448652,0.724096,0.719481,0.724096,0.735177,0.0,0.0,0.0,0.0,-9999,-9999
201106,13.617,0.825,257.797,154.81,0.875,325.387,0.825,6.117,0.825,99.707,0.7,0.427,0.7,2.544,0.7,0.1907835925,0.697916666667,64.4871031746,0.7,30.6547619048,0.7,381.091269841,0.7,387.295,0.825,15.345,0.825,12.834,0.825,-7.63556,0.824306,24.975,0.825,29.5959,0.330776,31.7919,0.825,37.6741,0.448287,0.391022,0.822222,0.0205212,0.374023,0.391022,0.39493,0.822917,0.822222,0.820833,1.33159,1.2051,1.33159,1.36763,0.94057,0.83108,0.94057,0.972704,0.476117,0.476117,0.520398,0.561031,0.634894,0.634894,0.662375,0.681721,-9999,-9999
201107,13.695,0.993952,268.853,181.945,0.993952,308.281,0.993952,7.492,0.993952,99.884,0.992608,0.813,1.0,2.218,0.992608,0.156271779126,0.98185483871,69.4252942459,0.992607526882,33.3237067713,0.992607526882,381.829609852,0.992607526882,391.69,0.992608,15.972,0.993952,11.16,0.993952,-2.34078,0.99328,22.3653,0.992608,27.4592,0.287308,38.3615,0.992608,47.0987,0.491928,-0.303078,0.959005,0.0284168,-0.303078,-0.293559,-0.290992,0.959005,0.910618,0.968414,1.50841,1.49385,1.50841,1.54796,1.81149,1.78741,1.81149,1.83895,0.49763,0.49763,0.614761,0.662561,1.4123,1.4123,1.54881,1.70063,-9999,-9999
201108,16.654,1.0,316.314,208.587,1.0,327.772,1.0,9.554,1.0,99.751,0.999328,0.0,1.0,2.377,0.999328,0.194062228323,0.996639784946,90.7941477342,0.993951612903,38.8461164493,0.999327956989,403.662720201,0.999327956989,389.973,1.0,19.771,1.0,8.569,1.0,6.8345,1.0,26.6238,1.0,30.5802,0.400342,48.6392,1.0,55.867,0.609571,-1.0573,0.989247,0.0409856,-1.0625,-1.0573,-1.0471,0.969758,0.989247,0.989919,1.25289,1.25289,1.2833,1.32939,2.31019,2.31019,2.33041,2.37167,1.8761,1.07883,1.8761,1.90803,2.68568,2.35272,2.66162,2.68568,-9999,-9999
201109,19.119,1.0,380.316,251.703,0.997917,334.19,1.0,13.154,1.0,99.7,1.0,0.013,1.0,2.444,1.0,0.208513888889,1.0,113.827674716,0.991666666667,45.5486111111,1.0,421.855555556,1.0,389.747,0.995833,23.213,1.0,7.095,1.0,11.0312,1.0,21.3306,1.0,25.721,0.311508,66.2888,1.0,79.9329,0.599467,-0.299109,0.979861,0.0282069,-0.307898,-0.301681,-0.299109,0.965972,0.98125,0.979861,1.12306,1.12306,1.13116,1.14107,1.42217,1.42217,1.43284,1.44379,1.19043,0.822673,1.19043,1.21688,2.12717,1.9618,2.12717,2.13266,-9999,-9999
201110,22.833,1.0,440.508,253.932,0.978495,369.813,1.0,15.389,1.0,99.32,1.0,1.71,1.0,2.906,1.0,0.240133987551,0.993951612903,112.327646572,0.948252688172,42.872983871,1.0,445.706317204,1.0,391.774,0.979839,25.035,1.0,10.327,1.0,12.1431,1.0,27.9878,0.992608,35.1144,0.514951,67.6554,0.992608,84.8825,0.614097,1.08862,0.939516,0.030438,1.06514,1.07333,1.08862,0.946237,0.87164,0.939516,1.35716,1.33256,1.33992,1.35716,0.268549,0.257898,0.268549,0.274779,1.56319,1.45094,1.45198,1.56319,0.815194,0.674686,0.727079,0.815194,-9999,-9999
