TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200601,25.364,0.0,469.317,192.979,0.0,388.837,0.0,4.299,0.0,99.915,0.0,12.035,0.0,2.756,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.34734,0.0,160.517,0.0,190.855,2.67826,10.0009,0.0,11.8911,0.380445,-2.25022,0.0,0.139517,-3.06743,-2.07059,-1.96885,0.0,0.0,0.0,3.62125,3.04507,4.58451,4.76264,6.74834,6.5005,6.69944,6.74834,2.70336,2.70336,2.92975,3.43447,5.7183,5.7183,5.76344,6.02453,-9999,-9999
200602,27.671,0.792411,461.764,288.929,0.793155,386.406,0.792411,8.074,0.792411,100.211,0.786458,4.652,0.0,1.91,0.786458,0.171282094184,0.772321428571,205.99905303,0.785714285714,40.3267045455,0.785714285714,438.020833333,0.785714285714,372.41,0.792411,31.562,0.792411,98.564,0.792411,3.1541,0.792411,161.216,0.787946,191.687,1.50809,9.89953,0.787946,11.7706,0.222461,-2.66616,0.786458,0.0648058,-2.92722,-2.5959,-2.52757,0.765625,0.786458,0.78869,3.14604,2.98084,3.61608,3.6426,6.17017,6.00722,6.17017,6.23568,2.06167,2.06167,2.16566,2.46145,5.47086,5.47086,5.47792,5.69899,-9999,-9999
200603,27.139,1.0,436.465,198.532,1.0,396.788,1.0,5.69,1.0,100.095,1.0,12.507,0.0,2.168,1.0,0.207249882294,0.985887096774,136.370967742,1.0,26.3998655914,1.0,432.350806452,1.0,363.423,1.0,29.43,1.0,98.707,1.0,-0.777554,1.0,95.4208,0.992608,126.466,1.06974,7.19399,0.992608,9.53457,0.175867,-2.45972,0.991935,0.0448615,-2.49419,-2.47152,-2.46924,0.987231,0.991935,0.991935,1.63485,1.6264,1.64697,1.67246,4.09564,4.09564,4.12801,4.14335,1.6997,1.6212,1.68179,1.7024,4.23583,4.17372,4.23583,4.25626,-9999,-9999
200604,26.682,1.0,393.829,218.435,1.0,383.16,1.0,7.391,1.0,100.232,1.0,7.541,0.0,2.235,0.995833,0.219901537821,0.965972222222,148.853117612,0.999305555556,20.7763888889,1.0,431.018055556,1.0,357.748,1.0,28.317,1.0,98.723,1.0,-1.37963,1.0,120.09,0.995833,143.738,1.17722,4.72244,0.995833,5.6524,0.20541,-1.39328,0.992361,0.041791,-1.47396,-1.35367,-1.3464,0.988194,0.994444,0.994444,1.46802,1.4533,1.512,1.51774,2.86567,2.86414,2.86567,2.90736,2.07407,1.1749,1.2716,1.84857,3.0777,2.55171,2.65824,2.92976,-9999,-9999
200605,24.365,1.0,350.066,260.346,1.0,336.1,1.0,10.195,1.0,100.652,1.0,0.01,0.0,2.05,1.0,0.182760343619,0.998655913978,146.280913978,1.0,32.7775537634,1.0,415.826612903,1.0,360.126,1.0,26.286,1.0,98.759,1.0,-3.56922,1.0,155.12,0.997984,145.789,1.09787,4.09314,0.997984,3.84692,0.227041,-1.67003,0.984543,0.0267258,-1.67003,-1.63562,-1.61121,0.984543,0.985215,0.992608,1.22358,1.44157,1.48976,1.56282,3.0929,3.0929,3.12539,3.1399,0.753859,0.797618,0.923323,1.06462,2.77973,2.8135,2.869,2.93516,-9999,-9999
200606,21.682,1.0,326.066,233.099,1.0,323.535,1.0,10.102,1.0,100.767,1.0,0.0,0.0,2.258,1.0,0.174676270686,0.999305555556,123.834604019,0.999305555556,33.5118055556,1.0,397.679861111,1.0,356.889,1.0,21.964,1.0,98.511,1.0,-4.34653,1.0,114.238,0.990972,114.721,0.949107,12.6451,0.990972,12.6986,0.273006,-1.37196,0.964583,0.0258723,-1.37196,-1.33262,-1.24727,0.964583,0.983333,0.988194,0.901783,1.03136,1.26924,1.30962,2.36398,2.36398,2.51651,2.57166,0.450189,0.666255,0.851273,0.931611,2.19606,2.20817,2.29805,2.3292,-9999,-9999
200607,21.616,1.0,334.423,239.463,1.0,322.726,1.0,9.944,1.0,100.853,1.0,0.0,0.0,1.884,1.0,0.158550438662,0.997311827957,130.666166209,0.999327956989,31.9119623656,1.0,397.741935484,1.0,361.406,1.0,21.667,1.0,98.375,1.0,-3.15726,1.0,110.219,0.981855,114.48,1.11395,18.5751,0.987231,19.2933,0.359807,-1.17773,0.920027,0.0217461,-1.17773,-1.08934,-1.08462,0.920027,0.94422,0.950269,0.538824,0.588765,0.605027,0.631667,1.68965,1.68965,1.721,1.99429,0.822542,0.748853,0.822542,0.981145,2.05739,1.93917,1.98376,2.07069,-9999,-9999
200608,22.509,1.0,370.103,266.602,1.0,324.104,1.0,12.017,1.0,100.861,1.0,0.0,0.0,2.22,1.0,0.179119517969,0.986559139785,151.288807531,0.997983870968,35.439516129,1.0,401.465725806,1.0,370.127,1.0,22.065,1.0,98.724,1.0,-1.52419,1.0,148.006,0.989247,138.262,1.30364,15.7312,0.991935,14.6955,0.436202,-1.09258,0.979167,0.0200433,-1.00643,-1.00414,-0.951996,0.988575,0.986559,0.982527,0.401375,0.314031,0.317007,0.401375,1.2783,1.2783,1.32344,1.41218,0.705861,0.65789,0.67131,0.72046,1.52782,1.50431,1.51776,1.53057,-9999,-9999
200609,24.759,0.915972,413.606,287.296,0.919444,343.012,0.915972,14.161,0.915972,100.711,0.874306,0.017,0.0,2.046,0.874306,0.188998033721,0.854861111111,179.20837367,0.873611111111,39.6251570398,0.874305555556,412.127852791,0.874305555556,372.38,0.915972,22.837,0.915972,99.429,0.915972,-0.246544,0.915278,168.483,0.897222,152.582,1.47982,29.6623,0.908333,26.863,0.580215,-0.27879,0.897222,0.0225962,-0.403975,-0.401872,-0.27879,0.884028,0.8875,0.897222,0.799568,0.594511,0.764095,0.859848,0.996383,0.90254,1.05966,1.11645,1.39446,1.27584,1.34376,1.38803,1.24055,1.2173,1.24055,1.24376,-9999,-9999
200610,26.91,0.846774,447.376,296.678,0.851478,362.776,0.847446,15.752,0.846774,100.677,0.798387,0.136,0.0,2.188,0.797715,0.219447049287,0.743951612903,191.570113344,0.778225806452,44.2224243372,0.778225806452,429.460112807,0.778225806452,364.883,0.846774,24.746,0.847446,86.568,0.847446,0.616041,0.846774,118.613,0.829973,115.429,1.31126,66.4966,0.831317,64.7118,0.551162,0.313654,0.826613,0.0206458,0.147306,0.196906,0.34181,0.820565,0.825941,0.804435,1.00054,0.717402,0.743015,1.01143,0.520496,0.522898,0.541419,0.607647,1.815,1.73008,1.80981,1.8616,0.942861,0.948524,0.982384,1.00952,-9999,-9999
