TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201301,27.482,1.0,501.803,300.324,1.0,379.038,0.997984,26.218,1.0,95.64,1.0,2.142,1.0,4.286,0.997312,0.52774636607,0.907930107527,160.878361526,0.96438172043,41.1404569892,1.0,478.375672043,1.0,384.177,0.997984,33.562,1.0,27.689,0.940188,5.2497,0.999328,31.0024,0.992608,39.8573,0.571033,89.9677,0.986559,115.664,0.954728,0.0972077,0.978495,0.017592,0.0704344,0.0878531,0.0899394,0.977823,0.979167,0.979167,1.52174,1.51594,1.52236,1.52566,1.44668,1.42727,1.43466,1.44668,1.51808,1.48516,1.50693,1.51808,1.34,1.3203,1.33905,1.34361,-9999,-9999
201302,27.037,0.65625,461.238,300.117,0.659226,373.304,0.213542,26.005,0.65625,95.7,0.641369,0.043,0.641369,4.232,0.641369,0.546063645656,0.60193452381,-9999,-9999,40.50625,0.629464285714,469.256018519,0.629464285714,381.465,0.654018,34.505,0.65625,19.458,0.68378,5.78177,0.654762,17.8587,0.650298,22.9596,0.497203,88.0291,0.646577,113.172,1.08865,-0.245093,0.642857,0.0198932,-0.253434,-0.251685,-0.247598,0.644345,0.644345,0.639881,1.01907,1.03168,1.03429,1.03829,1.28023,1.28023,1.28509,1.29173,1.00864,1.00324,1.00864,1.01473,1.41477,1.34414,1.38778,1.40393,-9999,-9999
201303,21.863,1.0,394.472,243.409,1.0,360.583,0.0,13.512,1.0,95.782,1.0,3.052,1.0,3.841,1.0,0.419943299959,0.913978494624,-9999,-9999,32.4516129032,1.0,436.94422043,1.0,388.716,0.999328,26.382,1.0,40.572,0.99664,-4.47613,1.0,37.6079,0.990591,52.5874,0.688763,56.644,0.987903,79.2056,0.85142,-0.120653,0.953629,0.0217056,-0.140215,-0.120653,-0.114326,0.900538,0.953629,0.954301,1.48158,1.47093,1.51286,1.52684,1.63332,1.61602,1.63352,1.64117,1.48151,1.43909,1.48151,1.50339,1.63455,1.60479,1.63455,1.64454,-9999,-9999
201304,22.692,1.0,315.276,186.844,1.0,356.176,0.0,16.686,1.0,96.047,1.0,0.467,1.0,2.875,1.0,0.300453601085,0.96875,-9999,-9999,26.2131944444,1.0,434.5125,1.0,384.112,0.999306,24.908,1.0,23.373,1.0,-1.88611,1.0,16.3716,0.99375,23.8673,0.353288,39.4941,0.99375,57.5763,0.545939,-0.156355,0.946528,0.0169619,-0.185578,-0.156355,-0.0911881,0.959028,0.946528,0.94375,0.873382,0.802238,0.823409,0.868684,0.967542,0.899595,0.97762,1.02997,0.852047,0.655355,0.718303,0.852047,1.02526,0.959977,0.970323,1.02526,-9999,-9999
201305,15.959,1.0,248.976,145.661,1.0,336.131,0.554435,8.559,1.0,96.046,1.0,1.161,1.0,3.389,1.0,0.354466201887,0.965053763441,-9999,-9999,21.2674731183,1.0,393.787634409,1.0,383.158,1.0,17.713,1.0,18.845,1.0,-8.7547,1.0,17.2342,0.995296,24.3286,0.395704,25.3529,0.99328,35.7893,0.485084,-0.41076,0.977823,0.0196146,-0.41076,-0.405823,-0.402573,0.977823,0.979167,0.979167,0.424288,0.414427,0.424288,0.439359,0.814365,0.819805,0.832587,0.841932,0.472991,0.463248,0.472991,0.483797,0.850476,0.837048,0.850476,0.866222,-9999,-9999
201306,12.102,1.0,216.58,126.113,1.0,306.965,1.0,5.284,1.0,96.425,1.0,0.387,1.0,2.92,1.0,0.288944051307,0.990277777778,42.200679669,0.998611111111,18.2430555556,1.0,370.254861111,1.0,383.969,0.999306,12.874,1.0,18.02,1.0,-7.07083,1.0,13.1028,0.998611,18.4965,0.379758,22.1926,0.995833,31.328,0.442762,-0.670389,0.952083,0.0217295,-0.681787,-0.670389,-0.645578,0.969444,0.952083,0.95,0.364519,0.28145,0.289107,0.328734,0.974311,0.941723,0.961018,0.97413,0.865988,0.801367,0.865364,1.02851,1.18694,1.12831,1.18423,1.18694,-9999,-9999
201307,11.99,1.0,228.729,145.583,1.0,301.64,1.0,6.285,1.0,96.292,1.0,0.948,1.0,3.443,1.0,0.347672289779,0.927419354839,57.437012963,0.980510752688,20.8408973919,0.999327956989,368.642473118,1.0,383.515,1.0,12.123,1.0,20.765,1.0,-5.47648,1.0,15.1077,0.997312,23.1292,0.399023,24.7552,0.994624,37.8992,0.511426,-0.478599,0.965726,0.0236412,-0.484518,-0.478599,-0.432432,0.972446,0.965726,0.959677,0.478589,0.38897,0.404163,0.478589,0.905087,0.873144,0.88868,0.911021,0.66156,0.56957,0.66156,0.859882,0.951553,0.758891,0.951553,1.0425,-9999,-9999
201308,14.79,1.0,281.256,189.879,1.0,307.351,1.0,8.645,1.0,96.092,0.997984,0.284,0.997984,3.579,0.997984,0.355728728818,0.92002688172,80.3779509185,0.990591397849,26.522983871,0.997983870968,388.026075269,0.997983870968,383.342,1.0,16.499,1.0,24.381,1.0,-0.884238,0.998656,11.6893,0.99664,18.4571,0.395166,39.2506,0.995296,61.9755,0.586373,-0.358226,0.983871,0.0225839,-0.361128,-0.356993,-0.338512,0.985887,0.985215,0.980511,0.569398,0.548392,0.550194,0.569398,0.909787,0.906904,0.90842,0.909787,0.719821,0.427584,0.673014,0.719821,1.01269,0.87132,0.990384,1.01269,-9999,-9999
201309,16.185,1.0,355.182,223.19,1.0,318.843,1.0,9.728,1.0,95.698,1.0,1.007,1.0,4.062,0.999306,0.430101293556,0.870138888889,107.80932971,0.997222222222,30.0326388889,1.0,400.815277778,1.0,383.942,1.0,19.364,1.0,22.463,1.0,0.361165,1.0,20.2499,0.989583,31.7041,0.562007,49.0742,0.98125,76.8328,0.781935,-0.162903,0.954167,0.0223799,-0.166548,-0.159649,-0.151942,0.954167,0.954167,0.954167,0.779103,0.746163,0.758915,0.779602,0.931543,0.912711,0.918564,0.931911,0.67707,0.673432,0.679421,0.688263,0.927273,0.908745,0.919887,0.927273,-9999,-9999
201310,20.619,1.0,429.391,311.881,1.0,329.761,0.415323,17.977,1.0,95.989,1.0,0.29,1.0,4.001,1.0,0.448850612731,0.931451612903,-9999,-9999,42.1555279112,0.999327956989,434.121639785,1.0,384.874,0.998656,26.782,1.0,13.187,1.0,8.38579,0.999328,16.2111,0.991935,25.3809,0.370231,85.3287,0.985215,133.594,1.07225,-0.339514,0.946237,0.0166698,-0.342101,-0.339514,-0.335742,0.946909,0.946237,0.9375,0.647426,0.638287,0.647426,0.649687,0.985407,0.973612,0.987545,0.992388,0.632031,0.56245,0.632031,0.668144,0.954811,0.911991,0.954811,0.982308,-9999,-9999
