TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201101,26.253,0.0,502.591,328.435,0.0,376.984,0.0,19.077,0.0,100.084,0.0,1.025,0.0,3.289,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.9043,0.0,54.7676,-9999,100.068,0.0,105.588,-9999,-0.816621,0.0,-9999,-1.16791,-0.882241,-0.770148,0.0,0.0,0.0,4.57695,4.3512,4.5642,4.57458,5.33434,5.33434,5.35751,5.57746,2.25445,2.21327,2.25445,2.52659,3.62215,3.60138,3.62215,3.81693,-9999,-9999
201102,27.514,0.0,459.739,301.109,0.0,389.234,0.0,19.68,0.0,100.25,0.0,0.742,0.0,3.628,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.5546,0.0,55.4142,-9999,100.998,0.0,108.559,-9999,-0.828538,0.0,-9999,-1.18726,-0.894548,-0.782358,0.0,0.0,0.0,4.7409,4.5141,4.72623,4.73149,5.50859,5.50859,5.52123,5.74736,2.32904,2.27823,2.32904,2.62591,3.39191,3.37432,3.39191,3.5818,-9999,-9999
201103,25.469,0.0,390.272,270.026,0.0,364.208,0.0,18.505,0.0,100.62,0.0,0.128,0.0,3.343,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.5292,0.0,57.446,-9999,100.503,0.0,112.043,-9999,-0.8191,0.0,-9999,-1.17578,-0.884706,-0.772744,0.0,0.0,0.0,4.47438,4.24816,4.46304,4.47438,5.23579,5.23579,5.26653,5.48283,2.20864,2.17436,2.20864,2.46296,3.10988,3.09497,3.10988,3.29512,-9999,-9999
201104,21.117,0.0,308.907,198.289,0.0,346.619,0.0,12.837,0.0,100.955,0.0,1.146,0.0,3.12,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.6663,0.0,60.1337,-9999,100.507,0.0,116.979,-9999,-0.821183,0.0,-9999,-1.17664,-0.886919,-0.774841,0.0,0.0,0.0,3.91111,3.68934,3.90619,3.91111,4.68103,4.68103,4.74587,4.94248,1.95172,1.94982,1.95089,2.11038,2.50598,2.50045,2.50598,2.69701,-9999,-9999
201105,17.36,0.0,241.457,140.606,0.0,340.773,0.0,8.273,0.0,101.332,0.0,2.099,0.0,2.801,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.9043,0.0,62.1538,-9999,100.068,0.0,119.829,-9999,-0.816621,0.0,-9999,-1.16791,-0.882241,-0.770148,0.0,0.0,0.0,3.42923,3.21351,3.42933,3.42941,4.19953,4.19953,4.29118,4.45564,1.73028,1.73028,1.74385,1.81007,1.93061,1.92981,1.93061,2.1157,-9999,-9999
201106,14.512,0.0,208.714,106.158,0.0,331.578,0.0,5.008,0.0,101.244,0.0,3.802,0.0,3.259,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.6663,0.0,62.8909,-9999,100.507,0.0,122.343,-9999,-0.821183,0.0,-9999,-1.17664,-0.886919,-0.774841,0.0,0.0,0.0,3.0691,2.87152,3.07153,3.07336,3.84747,3.84747,3.95643,4.09483,1.56314,1.56314,1.58644,1.60483,1.53294,1.53282,1.53296,1.70591,-9999,-9999
201107,13.006,0.0,221.028,105.937,0.0,333.384,0.0,3.56,0.0,101.155,0.0,4.565,0.0,3.112,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.0015,0.469758,51.5654,0.0,62.9551,-9999,100.95,0.0,123.248,-9999,-0.827827,0.0,-9999,-1.18623,-0.89381,-0.781631,0.0,0.0,0.0,2.88384,2.69595,2.88728,2.88987,3.67047,3.67047,3.78664,3.92874,1.4761,1.4761,1.50371,1.52569,1.54308,1.54291,1.54308,1.72229,-9999,-9999
201108,13.997,0.0,274.363,155.009,0.0,328.632,0.0,4.726,0.0,101.132,0.0,2.591,0.0,2.945,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.68386,0.0,51.5292,0.0,60.2327,-9999,100.503,0.0,117.479,-9999,-0.8191,0.0,-9999,-1.17578,-0.884706,-0.772744,0.0,0.0,0.0,3.00745,2.81321,3.01015,3.01219,3.78412,3.78412,3.89503,4.03524,1.53384,1.53384,1.55834,1.57871,2.11904,2.11904,2.12005,2.30918,-9999,-9999
201109,14.425,0.0,349.999,198.891,0.0,326.205,0.0,5.368,0.0,101.299,0.0,2.686,0.0,3.07,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.63506,0.0,51.6663,0.0,60.393,3.48575,100.507,0.0,117.483,5.36922,-0.821183,0.0,0.188866,-1.17664,-0.886919,-0.774841,0.0,0.0,0.0,3.06055,2.86357,3.06295,3.06475,3.83887,3.83887,3.9475,4.08647,1.55868,1.55868,1.58188,1.60024,2.59358,2.59358,2.59535,2.78518,-9999,-9999
201110,17.361,0.269489,426.749,245.386,0.272177,344.838,0.269489,7.502,0.269489,100.757,0.256048,3.663,0.256048,2.967,0.256048,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,384.525,0.268145,21.01,0.269489,5.445,0.268817,5.74976,0.268817,61.8271,0.268145,65.3725,0.648967,91.6344,0.268145,96.8891,0.970115,-0.642389,0.268817,0.0288026,-0.89419,-0.664301,-0.623772,0.268817,0.268817,0.268817,3.2158,3.11092,3.23089,3.24582,3.86959,3.86011,3.89373,4.01166,2.22801,2.22801,2.24101,2.25853,3.14835,3.1389,3.14835,3.25346,-9999,-9999
