TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200101,26.112,0.0,469.169,212.018,0.0,414.358,0.0,5.538,0.0,100.144,0.0,13.577,0.0,1.018,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,25.4118,0.0,-9999,-9999,78.3586,0.0,-9999,-9999,1.32469,0.0,-9999,0.8733,1.02712,1.53629,0.0,0.0,0.0,1.41151,1.24216,1.30568,1.38868,0.0821559,-0.156905,0.214721,0.318462,1.71733,1.49553,1.65835,1.6786,1.98254,1.69501,1.72908,1.91014,-9999,-9999
200102,26.282,0.0,461.707,180.259,0.0,416.662,0.0,5.86,0.0,99.794,0.0,14.414,0.0,1.703,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,25.2673,0.0,-9999,-9999,78.2443,0.0,-9999,-9999,1.34104,0.0,-9999,0.886782,1.03738,1.55007,0.0,0.0,0.0,1.41608,1.25187,1.31258,1.39395,0.0711816,-0.17113,0.214842,0.310772,1.72017,1.50405,1.6611,1.68137,1.68676,1.45351,1.48328,1.62426,-9999,-9999
200103,26.292,0.0,436.526,202.987,0.0,412.511,0.0,6.689,0.0,100.194,0.0,10.03,0.0,1.22,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,25.2408,0.0,-9999,-9999,78.0967,0.0,-9999,-9999,1.32606,0.0,-9999,0.874187,1.02464,1.53782,0.0,0.0,0.0,1.41626,1.25291,1.31306,1.3942,0.0864233,-0.155134,0.228615,0.326305,1.72023,1.50477,1.66115,1.68143,1.79427,1.54595,1.57584,1.73113,-9999,-9999
200104,27.039,0.0,394.004,222.192,0.0,404.721,0.0,11.954,0.0,100.352,0.0,2.439,0.0,1.926,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,25.3079,0.0,-9999,-9999,78.2329,0.0,-9999,-9999,1.33025,0.0,-9999,0.8778,1.02971,1.5411,0.0,0.0,0.0,1.43576,1.29807,1.34367,1.41695,0.105454,-0.139527,0.26206,0.357751,1.73202,1.54523,1.67254,1.69296,1.50555,1.33929,1.36019,1.46134,-9999,-9999
200105,25.101,0.0,350.317,221.537,0.0,367.319,0.0,14.506,0.0,100.607,0.0,0.112,0.0,1.803,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,25.4118,0.0,-9999,-9999,78.3586,0.0,-9999,-9999,1.32469,0.0,-9999,0.8733,1.02712,1.53629,0.0,0.0,0.0,1.38333,1.18956,1.2633,1.35662,0.0494775,-0.185091,0.162322,0.273077,1.69904,1.44839,1.64069,1.66072,1.33223,1.21177,1.22832,1.29731,-9999,-9999
200106,25.463,0.0,326.349,201.402,0.0,376.599,0.0,14.768,0.0,100.603,0.0,0.0,0.0,2.08,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,25.3079,0.0,-9999,-9999,78.2329,0.0,-9999,-9999,1.33025,0.0,-9999,0.8778,1.02971,1.5411,0.0,0.0,0.0,1.3935,1.20797,1.27937,1.36815,0.0556644,-0.181793,0.17881,0.284023,1.70571,1.46516,1.64713,1.66724,1.27253,1.15611,1.17223,1.239,-9999,-9999
200107,24.439,0.0,334.692,210.645,0.0,364.709,0.0,14.298,0.0,100.706,0.0,0.0,0.0,1.849,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,25.2713,0.0,-9999,-9999,78.2432,0.0,-9999,-9999,1.33999,0.0,-9999,0.885913,1.03664,1.5492,0.0,0.0,0.0,1.36565,1.15134,1.2322,1.33618,0.0133151,-0.220403,0.115528,0.227361,1.68808,1.41678,1.63011,1.65001,1.31996,1.19636,1.213,1.28515,-9999,-9999
200108,24.6,0.431452,370.312,241.314,0.362231,363.481,0.0,15.762,0.428763,100.802,0.375672,0.003,0.0,1.477,0.385753,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,337.134,0.430108,-9999,-9999,4.6,0.410618,-9999,1.0,27.0051,0.0,-9999,1.10187,82.2771,0.0,-9999,1.60844,1.31643,0.0,0.0584654,0.969478,1.00493,1.40658,0.0,0.0,0.0,1.3689,1.16585,1.24171,1.34043,0.0412406,-0.0983485,0.0412406,0.272237,1.68935,1.42556,1.63133,1.65124,0.94632,0.901215,0.915186,0.923703,-9999,-9999
200109,27.57,0.800694,413.718,245.875,0.802083,396.731,0.0,13.447,0.8,100.756,0.761806,0.37,0.0,1.342,0.785417,0.335391005461,0.781944444444,148.700520833,0.7875,-9999,-9999,-9999,-9999,336.485,0.800694,-9999,-9999,3.7,0.8,-9999,1.0,33.0782,0.796528,-9999,0.736492,87.9074,0.796528,-9999,0.791285,0.834998,0.786111,0.0618449,0.563603,0.63265,0.834998,0.774306,0.791667,0.786111,1.72712,1.68179,1.70344,1.71297,0.877973,0.877973,1.04914,1.12211,1.71059,1.66714,1.68372,1.71059,1.4195,1.40762,1.42586,1.42941,-9999,-9999
200110,28.113,0.649194,447.369,241.779,0.739919,412.384,0.0,9.225,0.633065,100.424,0.204301,5.233,0.309812,0.93,0.176747,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,346.636,0.235887,-9999,-9999,5.9,0.648522,-9999,1.0,86.1236,0.630376,-9999,1.2618,66.0376,0.631048,-9999,0.847089,0.454027,0.22379,0.075454,0.228874,0.326986,0.372318,0.225806,0.231183,0.22379,3.98502,3.99692,4.02363,4.25494,3.77633,3.65537,3.77633,3.88018,9.35741,3.47043,9.92234,11.3327,5.86653,3.36379,6.34922,6.79607,-9999,-9999
200111,28.716,1.0,463.771,234.693,1.0,417.579,0.0,7.516,0.997917,100.504,0.974306,3.952,1.0,1.073,0.936111,0.314732556693,0.929861111111,170.314583333,1.0,-9999,-9999,-9999,-9999,366.855,0.967361,-9999,-9999,8.0,1.0,-9999,1.0,107.438,0.998611,-9999,1.42768,41.9754,0.998611,-9999,0.678295,-1.29735,0.963889,0.103047,-1.42619,-1.27186,-1.20839,0.959028,0.963194,0.963194,4.33054,4.35579,4.38774,4.49573,5.74088,5.64882,5.74088,5.84923,3.50003,3.13008,3.45936,3.61765,5.14183,4.96063,5.12358,5.14929,-9999,-9999
200112,28.249,1.0,468.427,235.908,1.0,414.26,0.0,7.845,1.0,100.423,1.0,6.791,1.0,1.248,0.97379,0.379836228167,0.971774193548,165.01344086,1.0,-9999,-9999,-9999,-9999,369.762,1.0,-9999,-9999,10.8,1.0,-9999,1.0,125.942,0.999328,-9999,1.37275,33.8638,0.998656,-9999,0.561222,-2.06228,0.99664,0.12599,-2.07731,-2.03878,-1.91564,0.995296,0.997312,0.997984,5.01933,5.02121,5.16353,5.34839,7.0835,7.11433,7.26403,7.40128,5.3062,5.21723,5.29865,5.33924,7.22494,7.20316,7.22494,7.25178,-9999,-9999
200201,27.204,0.127016,469.169,235.495,0.000672043,415.756,0.0,6.898,0.0920699,100.14,0.126344,12.292,0.126344,1.2,0.112231,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,369.028,0.111559,-9999,-9999,11.9,0.127016,-27.0,1.0,130.711,0.098118,-9999,1.74003,15.2879,0.09879,-9999,0.545925,-2.20841,0.0739247,0.172447,-2.66399,-2.43922,-2.27236,0.0927419,0.0678763,0.0846774,7.48885,7.07413,7.34264,7.40905,9.55106,9.43662,9.68141,10.0264,3.20595,2.33341,2.66437,2.96717,5.89641,5.42659,5.54037,5.8763,-9999,-9999
200202,27.31,0.983631,461.707,167.802,0.0,416.936,0.0,7.145,0.627976,100.273,0.860863,20.283,0.982887,1.967,0.835565,0.46341079526,0.670386904762,-9999,-9999,-9999,-9999,-9999,-9999,377.802,0.739583,-9999,-9999,14.8,0.982887,-9999,1.0,129.56,0.607887,-9999,4.04763,14.98,0.608631,-9999,0.575906,-4.83032,0.414435,-9999,-5.12998,-5.03215,-4.87476,0.322173,0.465774,0.381696,4.25342,4.0953,4.20418,4.38956,9.37091,9.08973,9.20586,9.32591,3.24677,2.36312,2.6983,3.00495,4.2511,3.90877,4.10033,4.24563,-9999,-9999
