TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200801,24.429,0.0,503.848,329.62,0.0,354.098,0.0,20.113,0.0,100.448,0.0,0.243,0.0,2.512,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,35.9038,0.0,45.4514,-9999,12.8308,0.0,16.2428,-9999,0.00790877,0.0,-9999,-0.0262343,0.024945,0.0805016,0.0,0.0,0.0,2.60069,2.36367,2.43406,2.60069,2.41289,2.26692,2.40448,2.59278,6.05185,5.1155,5.35882,10.5599,1.09334,0.824974,0.904267,3.14639,-9999,-9999
200802,21.449,0.0,453.787,300.883,0.0,337.61,0.0,15.654,0.0,100.697,0.0,0.013,0.0,2.656,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,36.1377,0.0,45.1256,-9999,12.46,0.0,15.559,-9999,0.0193965,0.0,-9999,-0.0135097,0.037435,0.09235,0.0,0.0,0.0,2.32218,2.11398,2.18723,2.32225,2.14234,2.00782,2.13962,2.30278,4.72014,3.98983,4.20701,8.23618,1.34601,1.08712,1.16175,2.98086,-9999,-9999
200803,22.875,0.0,375.665,240.072,0.0,347.939,0.0,19.692,0.0,101.069,0.0,0.022,0.0,2.028,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,35.9038,0.0,43.2736,-9999,12.8308,0.0,15.4646,-9999,0.00790877,0.0,-9999,-0.0262343,0.024945,0.0805016,0.0,0.0,0.0,2.46397,2.24549,2.31914,2.46397,2.28697,2.13125,2.27875,2.45607,5.57279,4.71056,4.96697,9.72399,0.993894,0.77644,0.838208,2.74502,-9999,-9999
200804,15.994,0.0,288.981,163.421,0.0,319.582,0.0,9.39,0.0,101.322,0.0,0.266,0.0,2.157,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,36.0168,0.0,41.9027,-9999,12.6516,0.0,14.7191,-9999,0.0134612,0.0,-9999,-0.0200841,0.0309818,0.0862283,0.0,0.0,0.0,1.83438,1.71149,1.74923,1.87607,1.69934,1.61372,1.6979,1.82092,2.80983,2.37509,2.50437,4.90288,1.47499,1.22769,1.3094,2.4283,-9999,-9999
200805,13.051,0.0,219.711,119.84,0.0,315.189,0.0,5.291,0.0,101.442,0.0,0.437,0.0,1.789,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.1646,0.671371,36.0934,0.0,41.5698,-9999,12.6071,0.0,14.52,-9999,0.0202026,0.0,-9999,-0.0131372,0.0390271,0.0923159,0.0,0.0,0.0,1.58322,1.49678,1.52336,1.62388,1.4613,1.39644,1.45996,1.56302,2.00433,1.70783,1.8137,3.49737,1.56451,1.38023,1.42205,2.16521,-9999,-9999
200806,11.57,0.0,187.642,94.848,0.0,308.617,0.0,4.312,0.0,101.756,0.0,0.615,0.0,2.322,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.48589,0.0,36.0168,0.0,42.6832,-9999,12.6516,0.0,14.9933,-9999,0.0134612,0.0,-9999,-0.0200841,0.0309818,0.0862283,0.0,0.0,0.0,1.46052,1.38191,1.40975,1.50046,1.3556,1.29917,1.35255,1.44725,1.65671,1.41677,1.57468,2.89081,1.46061,1.26166,1.30463,1.99776,-9999,-9999
200807,10.107,0.0,201.831,98.129,0.0,304.03,0.0,4.289,0.0,101.188,0.0,0.53,0.0,2.597,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.56832,0.0,36.0533,0.0,42.7265,-9999,12.5169,0.0,14.8337,-9999,0.0122722,0.0,-9999,-0.0208807,0.0289733,0.0858675,0.0,0.0,0.0,1.34649,1.27498,1.31932,1.38538,1.25176,1.20097,1.24717,1.33695,1.39358,1.19174,1.377,2.43167,1.49619,1.29492,1.33803,2.04258,-9999,-9999
200808,10.031,0.399866,258.207,128.811,0.40121,302.312,0.399866,4.36,0.399866,101.688,0.397177,0.631,0.397177,2.481,0.397177,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.96887,0.397177,34.3742,0.399866,37.545,0.448781,18.1745,0.399866,19.851,0.547712,0.0436974,0.390457,0.0303214,-0.00845364,0.0368931,0.0986502,0.389113,0.372984,0.393817,1.52144,1.42942,1.484,1.50464,1.40843,1.36934,1.40089,1.47381,1.41639,1.37089,1.44819,1.91836,1.64295,1.50468,1.62191,1.98336,-9999,-9999
200809,14.112,1.0,338.555,215.218,1.0,302.535,1.0,8.667,1.0,101.171,1.0,0.25,1.0,2.328,1.0,0.353540541568,0.9625,103.529166667,1.0,34.9569444444,1.0,378.303472222,1.0,367.543,1.0,13.947,1.0,9.7,1.0,1.66319,1.0,81.5215,1.0,89.0412,0.770094,11.7417,1.0,12.8248,0.675747,-1.78811,0.940278,0.0476496,-1.83262,-1.79288,-1.63973,0.979861,0.936111,0.901389,4.17085,3.97784,4.17085,4.23372,5.98939,5.77925,5.84071,5.93227,4.15695,3.974,4.09668,4.15695,6.05624,5.93479,6.00868,6.05624,-9999,-9999
200810,17.526,1.0,421.55,265.746,1.0,319.293,1.0,12.701,1.0,101.283,0.999328,0.139,1.0,2.51,1.0,0.361177422884,0.969758064516,148.461021505,1.0,40.3709677419,1.0,395.408602151,1.0,364.906,1.0,17.571,1.0,10.0,1.0,1.88172,1.0,133.423,0.998656,155.662,0.911038,-7.89784,0.998656,-9.21424,0.64817,-4.53795,0.926075,0.049787,-4.59658,-4.53795,-4.50003,0.950941,0.926075,0.914651,5.31762,5.12308,5.29894,5.44925,9.8658,9.73079,9.85498,9.94928,6.10939,6.06404,6.15557,6.39438,10.3217,10.1544,10.3072,10.4248,-9999,-9999
