TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201101,25.781,0.0,475.004,206.137,0.0,426.055,0.0,6.772,0.0,98.25,0.0,13.871,0.0,2.136,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.7345,0.0,75.0378,-9999,42.6182,0.0,46.5265,-9999,-2.01904,0.0,-9999,-2.01904,-1.98166,-1.92474,0.0,0.0,0.0,1.27058,1.19312,1.25822,1.44333,3.27726,3.21458,3.27726,3.30186,2.78069,2.78069,2.90915,2.96878,2.69263,2.69263,2.76235,3.06831,-9999,-9999
201102,25.345,0.0,463.798,175.122,0.0,426.872,0.0,6.37,0.0,98.363,0.0,21.747,0.0,2.158,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.8134,0.0,77.0343,-9999,42.6441,0.0,47.7386,-9999,-2.01654,0.0,-9999,-2.01654,-1.98354,-1.92183,0.0,0.0,0.0,1.25956,1.18803,1.24729,1.43477,3.26384,3.20169,3.26384,3.28744,2.7689,2.7689,2.89682,2.95619,2.34731,2.34731,2.41343,2.71739,-9999,-9999
201103,24.987,0.0,433.688,170.514,0.0,425.908,0.0,5.66,0.0,98.427,0.0,14.946,0.0,2.551,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.7389,0.0,76.7303,-9999,42.6747,0.0,47.6359,-9999,-2.02275,0.0,-9999,-2.02275,-1.98829,-1.92577,0.0,0.0,0.0,1.25067,1.184,1.23847,1.42795,3.26122,3.20016,3.26122,3.2788,2.75959,2.75959,2.88707,2.94625,2.31108,2.31108,2.37741,2.68477,-9999,-9999
201104,24.489,0.0,386.533,198.545,0.0,395.991,0.0,9.739,0.0,98.837,0.0,8.548,0.0,2.54,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.7606,0.0,76.0184,-9999,42.6457,0.0,47.147,-9999,-2.01954,0.0,-9999,-2.01954,-1.98453,-1.92419,0.0,0.0,0.0,1.23755,1.1776,1.22545,1.4174,3.24499,3.18568,3.24499,3.2565,2.74476,2.74476,2.87156,2.93042,2.51037,2.51037,2.57154,2.80873,-9999,-9999
201105,21.974,0.0,339.742,230.555,0.0,346.859,0.0,13.243,0.0,99.155,0.0,0.0,0.0,2.659,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.7345,0.0,69.8086,-9999,42.6182,0.0,43.2842,-9999,-2.01904,0.0,-9999,-2.01904,-1.98166,-1.92474,0.0,0.0,0.0,1.17215,1.13808,1.16058,1.297,3.17961,3.12829,3.17961,3.18024,2.67174,2.67174,2.79517,2.85246,2.86819,2.86819,2.93414,3.16325,-9999,-9999
201106,19.43,0.0,314.51,214.994,0.0,324.974,0.0,12.673,0.0,99.264,0.0,0.004,0.0,2.596,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.94856,0.820139,68.7606,0.0,67.1989,-9999,42.6457,0.0,41.6771,-9999,-2.01954,0.0,-9999,-2.01954,-1.98453,-1.92419,0.0,0.0,0.0,1.10515,1.08457,1.09606,1.15882,3.11367,3.06909,3.11367,3.11408,2.59518,2.59518,2.71508,2.77072,2.72345,2.72345,2.78925,3.03367,-9999,-9999
201107,22.174,0.0,323.411,213.093,0.0,350.262,0.0,14.585,0.0,99.263,0.0,0.006,0.0,2.843,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.88013,0.0,68.8083,0.0,66.3863,-9999,42.6442,0.0,41.1432,-9999,-2.01683,0.0,-9999,-2.01683,-1.98363,-1.92206,0.0,0.0,0.0,1.17742,1.14139,1.1658,1.30781,3.18264,3.12998,3.18264,3.18378,2.67778,2.67778,2.80148,2.8589,2.66429,2.66429,2.72897,2.94717,-9999,-9999
201108,23.295,0.0,361.421,248.345,0.0,343.415,0.0,18.106,0.0,99.234,0.0,0.0,0.0,2.608,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.90453,0.0,68.7389,0.0,73.082,-9999,42.6747,0.0,45.371,-9999,-2.02275,0.0,-9999,-2.02275,-1.98829,-1.92577,0.0,0.0,0.0,1.20594,1.15861,1.1941,1.37282,3.21685,3.16082,3.21685,3.21827,2.70866,2.70866,2.8338,2.89188,2.91979,2.91979,2.98365,3.12876,-9999,-9999
201109,27.155,0.247917,408.807,275.663,0.0,367.533,0.247917,23.581,0.247917,99.039,0.246528,0.0,0.247222,2.347,0.247222,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.54057,0.247222,68.3119,0.247222,75.3412,-9999,44.0987,0.247222,48.6365,-9999,-2.01,0.188889,-9999,-2.01,-1.9828,-1.9317,0.188889,0.18125,0.200694,1.36878,1.27896,1.3505,1.52802,3.36049,3.30236,3.36049,3.46182,2.81347,2.81347,2.94344,3.00377,3.03617,3.03617,3.09954,3.15629,-9999,-9999
201110,29.435,0.973118,447.389,271.993,0.438172,401.271,0.973118,21.784,0.973118,98.613,0.967742,2.561,0.967742,2.102,0.96371,0.404048104937,0.946908602151,159.469088211,0.950268817204,-9999,-9999,481.082902299,0.95497311828,377.732,0.958333,32.891,0.973118,4.233,0.973118,4.86786,0.971774,86.7647,0.955645,95.6929,1.12646,53.8343,0.954973,59.3739,0.828313,-0.523033,0.887769,0.0640869,-0.572639,-0.538648,-0.523033,0.897177,0.892473,0.887769,3.38746,3.29386,3.34443,3.42053,3.86746,3.83251,3.86746,3.94953,3.34783,3.26851,3.34783,4.01596,3.73153,3.73064,3.73429,4.06615,-9999,-9999
