TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201101,23.413,1.0,504.049,303.948,0.994624,382.122,1.0,13.844,1.0,99.187,1.0,2.387,1.0,2.751,0.981855,0.254618275873,0.979838709677,183.056787722,0.985215053763,50.2715053763,1.0,447.048387097,1.0,349.155,0.999328,25.44,1.0,27.009,1.0,7.75,1.0,65.6352,0.998656,89.8476,0.581145,67.2289,0.998656,92.0293,0.51781,0.922296,0.977151,0.0376581,0.922296,0.926947,0.947159,0.977151,0.980511,0.982527,3.82332,3.697,3.7833,3.81285,2.87616,2.7391,2.85414,2.87616,3.25484,3.05655,3.25484,3.32542,2.33394,2.34395,2.45849,2.4964,-9999,-9999
201102,21.417,1.0,450.888,247.559,0.998512,379.715,1.0,9.59,1.0,99.615,1.0,5.279,1.0,2.613,0.942708,0.227703224729,0.936011904762,152.218805181,0.985863095238,38.7472826087,0.998511904762,429.548363095,1.0,354.991,0.994792,23.358,1.0,31.445,1.0,0.388797,1.0,83.5059,0.994792,114.037,0.592764,32.6583,0.994792,44.5986,0.432675,0.165439,0.945685,0.0397722,0.165439,0.174599,0.175183,0.945685,0.947173,0.950893,4.39528,4.24607,4.34456,4.39528,4.2201,4.06945,4.17899,4.2201,4.28947,4.20457,4.25881,4.27636,3.98609,3.94446,3.95268,3.95715,-9999,-9999
201103,18.447,1.0,369.549,217.792,0.997984,347.572,1.0,7.584,1.0,99.714,1.0,1.871,1.0,2.474,0.977151,0.209019935339,0.974462365591,114.254729318,0.99126344086,35.5779140929,0.998655913978,411.38172043,1.0,355.791,1.0,21.066,1.0,19.115,1.0,0.0134409,1.0,62.1498,1.0,82.4088,0.481653,27.3047,1.0,36.2052,0.420224,-0.752152,0.973118,0.0310602,-0.766804,-0.748915,-0.747269,0.976478,0.969758,0.974462,4.14787,4.00072,4.12614,4.14769,4.89514,4.82628,4.89242,4.89514,3.34103,3.34103,3.34737,3.36313,4.43396,4.33871,4.35216,4.36209,-9999,-9999
201104,14.323,1.0,279.045,163.978,1.0,328.976,1.0,5.435,1.0,100.328,1.0,1.707,1.0,1.794,0.974306,0.155070705259,0.972916666667,79.4425975177,0.999305555556,27.1611111111,1.0,385.075694444,1.0,358.977,0.98125,15.934,1.0,21.175,1.0,-3.95352,1.0,34.8763,0.981944,49.6383,0.323516,23.4789,0.981944,33.4168,0.383792,-0.096339,0.915278,0.0260104,-0.16918,-0.11077,-0.102114,0.938889,0.9375,0.901389,2.6907,2.45125,2.46357,2.6907,2.85988,2.55144,2.57434,2.85988,3.20312,3.17572,3.20312,3.52169,3.57001,3.28919,3.29888,3.42423,-9999,-9999
201105,10.511,1.0,207.123,101.853,1.0,317.457,1.0,3.381,1.0,100.188,1.0,1.406,1.0,1.892,0.981183,0.155767057675,0.981182795699,36.8091609223,0.997983870968,17.9109104722,0.998655913978,363.116263441,1.0,349.468,0.989247,11.849,1.0,21.308,1.0,-6.16196,1.0,21.3675,0.987903,32.1152,0.241401,7.32613,0.987231,11.0111,0.375653,-0.322439,0.948925,0.016158,-0.367832,-0.352748,-0.306277,0.950269,0.969086,0.951613,1.76052,1.76052,1.76447,1.83934,2.12835,2.11368,2.12835,2.14854,2.23315,2.27275,2.3571,2.56611,2.64556,2.49332,2.51161,2.62582,-9999,-9999
201106,9.431,1.0,173.22,95.666,1.0,310.189,1.0,2.804,1.0,100.338,1.0,0.8,1.0,1.825,0.995833,0.14477914978,0.995138888889,32.1620567376,0.999305555556,17.6666666667,1.0,354.740277778,1.0,352.657,0.979861,9.284,0.997222,31.129,1.0,-4.89329,0.995833,19.5907,0.979861,28.8085,0.234655,4.7419,0.979861,6.97307,0.308699,-0.257937,0.972222,0.016089,-0.304157,-0.289994,-0.242413,0.961111,0.967361,0.974306,1.86071,1.86071,1.9001,1.99981,2.16487,2.16487,2.18943,2.23,1.84724,1.80696,1.84724,1.95761,2.18153,2.12649,2.14908,2.17925,-9999,-9999
201107,9.131,1.0,186.11,94.156,1.0,311.07,1.0,2.771,1.0,100.285,1.0,1.632,1.0,2.355,0.968414,0.181839269802,0.968413978495,31.7829301075,1.0,17.7533602151,1.0,354.603494624,1.0,349.748,0.997312,8.979,0.997984,42.124,1.0,-3.0781,0.997984,24.4582,0.997312,36.1807,0.284215,-1.32644,0.997312,-1.96219,0.326044,-0.500254,0.986559,0.0190324,-0.500254,-0.494408,-0.491849,0.986559,0.988575,0.985887,1.70712,1.69384,1.70512,1.70712,2.20153,2.19238,2.19698,2.20153,1.76343,1.698,1.74767,1.76343,2.2599,2.28634,2.29724,2.31022,-9999,-9999
201108,10.66,1.0,242.454,134.597,1.0,316.485,0.796371,3.628,1.0,100.224,1.0,2.019,1.0,1.984,0.979839,0.151812647754,0.967069892473,42.0968411721,0.611559139785,25.4758064516,1.0,365.662350691,0.612231182796,353.178,0.981183,10.658,1.0,44.173,1.0,-0.283602,1.0,33.6245,0.985887,51.5149,0.293716,6.31215,0.985887,9.67062,0.28679,-0.385516,0.939516,0.0261429,-0.437879,-0.405902,-0.344486,0.933468,0.93078,0.932796,2.53922,2.53922,2.54377,2.55808,2.9771,2.90256,2.94967,2.99019,3.09966,2.71454,3.09966,3.10666,3.24004,3.26918,3.45089,3.46015,-9999,-9999
201109,12.141,0.795833,325.109,191.562,0.797917,312.989,0.0,5.06,0.795833,99.907,0.775,1.818,0.265972,2.695,0.771528,0.206902977419,0.754166666667,-9999,-9999,35.0984783795,0.759722222222,-9999,-9999,354.983,0.788194,12.665,0.758333,23.301,0.758333,2.16435,0.755556,48.052,0.786806,73.6188,0.326481,12.2143,0.786806,18.7131,0.369774,-1.15685,0.763194,0.0271538,-1.15685,-1.15497,-1.15403,0.763194,0.764583,0.7625,3.13254,3.11976,3.13254,3.15913,4.28751,4.26353,4.28751,4.31524,2.73987,2.52288,2.5693,2.57438,4.39436,4.39436,4.42115,4.4314,-9999,-9999
201110,14.179,0.999328,412.862,240.15,1.0,334.469,0.0,5.321,0.999328,99.902,1.0,0.728,0.0,2.254,0.993952,0.201958320485,0.993951612903,-9999,-9999,46.2600806452,1.0,-9999,-9999,379.205,0.982527,15.565,0.337366,35.929,0.337366,5.31293,0.337366,59.7569,0.981183,78.475,0.452814,34.3865,0.981183,45.1577,0.443907,-1.85301,0.964382,0.0290476,-1.88194,-1.86251,-1.81272,0.96371,0.96707,0.958333,3.62378,3.48199,3.62378,3.65371,5.50572,5.29571,5.50572,5.51622,3.25542,3.2675,3.30287,3.38606,5.45894,5.40942,5.41301,5.45894,-9999,-9999
