TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201401,24.443,1.0,481.476,215.812,0.998656,407.708,1.0,4.858,1.0,92.493,0.995296,9.716,0.995296,1.775,0.991263,0.375744738542,0.938172043011,166.799216426,0.995295698925,24.642358728,0.995295698925,431.335506749,0.995295698925,383.956,1.0,-9999,-9999,-9999,-9999,-2.25614,0.208333,104.824,0.995968,120.652,2.41194,25.0465,0.997984,28.8287,0.746774,-1.73193,0.976478,0.157391,-2.07993,-1.96462,-1.73193,0.988575,0.989247,0.976478,4.89412,4.89412,5.22155,5.60309,6.96352,6.96352,7.01672,7.1372,5.30836,4.75779,4.85484,5.09187,6.47707,6.35541,6.40486,6.48356,-9999,-9999
201402,24.241,1.0,465.595,167.522,1.0,413.605,1.0,3.717,1.0,92.435,0.995536,15.417,0.8125,1.525,0.977679,0.340131074531,0.893601190476,133.804552938,0.997023809524,19.0859137538,0.997023809524,428.216897796,0.997023809524,382.962,0.999256,22.144,1.0,33.128,1.0,-2.60314,1.0,107.633,0.998512,123.886,2.4495,10.3681,0.999256,11.9337,0.645505,-1.39735,0.986607,0.185769,-1.55766,-1.44785,-1.36751,0.982887,0.985119,0.988839,5.01736,4.98683,5.05901,5.36272,6.58741,6.42977,6.58316,6.73627,6.51148,6.8712,7.02333,8.98043,7.85294,7.30316,7.47379,8.02027,-9999,-9999
201403,23.431,0.945565,429.408,167.804,0.948925,401.602,0.945565,3.593,0.945565,92.779,0.905914,9.25,0.906586,1.674,0.890457,0.342837042782,0.836693548387,123.627548248,0.889784946237,18.9526832696,0.889784946237,423.299811358,0.889784946237,375.244,0.944892,21.298,0.944892,32.702,0.944892,-5.26841,0.944892,83.0411,0.94422,107.691,1.78176,15.5868,0.944892,20.2136,0.624214,-2.12852,0.942204,0.155367,-2.26735,-2.15824,-2.12852,0.939516,0.942204,0.942204,5.15958,4.77108,5.15958,5.43418,7.03843,7.03843,7.42182,7.5627,4.47898,4.17125,4.47898,5.07814,6.55775,6.52837,6.59529,6.74785,-9999,-9999
201404,23.166,1.0,376.641,152.647,1.0,398.029,1.0,3.525,1.0,92.799,0.961111,19.9,0.996528,1.69,0.988889,0.34746109969,0.8625,111.542907801,0.996527777778,17.7477689125,0.996527777778,420.850221631,0.996527777778,398.58,0.997917,21.085,1.0,31.919,1.0,-6.88098,1.0,69.2518,0.997222,99.5083,1.38746,13.1271,0.997222,18.8624,0.582196,-0.471706,0.991667,0.137463,-0.635489,-0.586772,-0.535328,0.990278,0.991667,0.99375,4.78374,4.07161,4.62402,4.78374,5.30924,4.93527,5.15355,5.30924,5.9259,5.39277,5.79089,6.14048,5.65384,5.7241,5.89191,6.07721,-9999,-9999
201405,20.674,1.0,326.169,147.745,1.0,382.407,1.0,3.181,1.0,93.095,0.997312,6.032,0.997312,1.596,0.995968,0.339652306929,0.978494623656,105.78478895,0.997311827957,17.6419583619,0.997311827957,406.227679593,0.997311827957,404.255,0.999328,18.738,1.0,31.265,1.0,-11.2522,1.0,91.0625,1.0,107.186,2.17503,8.19225,0.999328,9.64279,0.646948,-2.64804,0.985887,0.138053,-2.75228,-2.68103,-2.60335,0.990591,0.984543,0.994624,2.00152,1.50839,2.07554,2.18044,4.78378,4.34409,4.69182,4.82782,4.94299,4.64081,4.94299,5.10979,5.68911,5.68911,5.79869,5.848,-9999,-9999
201406,19.149,0.997222,299.47,108.566,0.997917,377.047,0.997222,2.384,0.997222,93.067,0.988194,4.607,0.988194,1.334,0.975694,0.269772431898,0.920833333333,75.6803313169,0.988194444444,13.1774396815,0.988194444444,397.579981053,0.988194444444,398.112,0.997222,17.348,0.996528,33.26,0.996528,-13.2635,0.996528,65.0514,0.996528,81.5471,1.9206,4.37842,0.997222,5.48869,0.530328,-0.986709,0.971528,0.10681,-1.41745,-1.14323,-0.967519,0.99375,0.945139,0.971528,3.16915,2.91743,3.0382,3.28707,4.34519,4.02121,4.2192,4.3761,4.79348,4.79348,4.95892,5.3153,4.91417,4.67811,4.87047,5.08951,-9999,-9999
201407,17.483,1.0,309.022,166.19,1.0,351.407,1.0,3.099,1.0,93.202,0.997984,2.626,0.997984,1.485,0.997984,0.30310701106,0.990591397849,107.867696179,0.997311827957,20.1845725616,0.997311827957,387.607073134,0.997311827957,394.657,0.99328,14.899,1.0,28.828,1.0,-10.2299,0.999328,75.5122,0.995296,92.6415,1.71889,20.4045,0.995296,25.0332,0.60541,-2.49101,0.943548,0.100051,-2.61181,-2.38644,-2.33652,0.938172,0.946909,0.963038,1.75009,1.80572,2.10051,2.32342,4.07786,4.07786,4.54728,4.93878,4.4101,3.75944,4.31906,4.64943,5.80383,5.47477,5.74377,5.87413,-9999,-9999
201408,18.367,1.0,349.846,169.483,1.0,359.34,1.0,3.325,1.0,93.205,0.99664,2.632,0.99664,1.548,0.99664,0.309002440153,0.983198924731,113.419257607,0.996639784946,19.919767597,0.996639784946,392.875577671,0.996639784946,395.216,1.0,15.864,0.998656,30.161,0.998656,-8.57963,0.998656,67.5233,0.998656,94.4462,1.49121,20.1317,0.998656,28.1586,0.627264,-2.33188,0.94422,0.0977705,-2.3949,-2.27365,-2.16654,0.97043,0.946909,0.993952,3.51538,2.73901,3.49095,3.51538,5.7597,5.20128,5.58218,5.7597,3.30058,3.30058,3.39248,3.95572,5.64299,5.64299,5.72255,5.98581,-9999,-9999
201409,19.843,1.0,402.013,269.955,1.0,352.402,1.0,5.836,1.0,93.099,0.996528,0.147,0.996528,1.532,0.996528,0.324769915116,0.985416666667,187.422148345,0.996527777778,31.720212766,0.996527777778,402.245079787,0.996527777778,387.984,0.999306,16.369,1.0,25.492,1.0,-0.152772,1.0,75.1878,0.999306,107.843,1.36907,55.1716,0.999306,79.1333,0.798381,-3.10858,0.957639,0.0854882,-3.11598,-3.02678,-2.90644,0.983333,0.970139,0.979861,3.28385,3.28385,3.42632,3.77441,6.43503,6.30727,6.43503,6.61358,2.39492,2.20456,2.30956,2.94344,5.74266,5.6133,5.74202,6.08321,-9999,-9999
201410,21.222,1.0,446.632,301.177,1.0,356.483,1.0,6.641,1.0,93.03,0.995968,0.368,0.997312,1.817,0.997312,0.384502142299,0.987231182796,210.724262183,0.997311827957,35.5282687028,0.997311827957,410.581059826,0.997311827957,391.554,0.999328,17.703,1.0,20.472,1.0,0.975715,1.0,79.8607,0.999328,113.517,1.41775,67.409,0.999328,95.8178,0.972815,-2.05032,0.988575,0.0767195,-2.28026,-2.14374,-1.93719,0.980511,0.986559,0.983199,4.05699,3.859,4.03393,4.20504,6.23995,6.06189,6.12009,6.20559,2.60416,2.15492,2.37512,2.60416,4.99012,4.96978,5.05315,5.22481,-9999,-9999
