TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200801,31.245,0.0,481.555,307.341,0.0,419.759,0.0,25.335,0.0,97.53,0.0,2.921,0.0,2.252,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.23373,0.0,3.60326,-9999,74.5145,0.0,83.0297,-9999,-0.104321,0.0,-9999,-0.110837,-0.107729,-0.105844,0.0,0.0,0.0,0.0975297,0.104273,0.108389,0.121892,0.211315,0.212002,0.219226,0.229064,0.199287,0.164788,0.181693,0.188873,0.309878,0.309878,0.332305,0.337588,-9999,-9999
200802,28.157,0.0,465.114,240.148,0.0,434.409,0.0,12.597,0.0,97.652,0.0,5.707,0.0,2.182,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.26613,0.0,3.57312,-9999,74.6647,0.0,81.6826,-9999,-0.105848,0.0,-9999,-0.112472,-0.109114,-0.106978,0.0,0.0,0.0,0.0929149,0.0965986,0.103478,0.109673,0.208341,0.208341,0.215949,0.218444,0.19416,0.160549,0.170143,0.184014,0.302131,0.302131,0.331567,0.343187,-9999,-9999
200803,29.623,0.0,427.795,278.166,0.0,414.068,0.0,24.536,0.0,98.161,0.0,0.736,0.0,2.715,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.23373,0.0,3.38396,-9999,74.5145,0.0,77.9763,-9999,-0.104321,0.0,-9999,-0.110837,-0.107729,-0.105844,0.0,0.0,0.0,0.095113,0.100249,0.105817,0.115473,0.208899,0.208899,0.216654,0.222645,0.196603,0.16257,0.17564,0.18633,0.303036,0.303036,0.324211,0.329923,-9999,-9999
200804,26.782,0.0,374.69,274.328,0.0,354.411,0.0,28.067,0.0,98.429,0.0,0.0,0.0,2.799,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.24939,0.0,3.20102,-9999,74.5871,0.0,73.4767,-9999,-0.105059,0.0,-9999,-0.111627,-0.108398,-0.106392,0.0,0.0,0.0,0.0906609,0.0931529,0.101063,0.104787,0.205239,0.205239,0.212586,0.212691,0.191477,0.158331,0.164787,0.181472,0.29214,0.29214,0.310307,0.314667,-9999,-9999
200805,22.9,0.0,324.631,231.375,0.0,333.213,0.0,21.848,0.0,98.767,0.0,0.0,0.0,3.051,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.2836,0.949597,3.26047,0.0,3.31534,-9999,74.5913,0.0,75.8465,-9999,-0.106572,0.0,-9999,-0.112851,-0.109753,-0.107714,0.0,0.0,0.0,0.0844545,0.0844545,0.0901407,0.0944263,0.200415,0.197675,0.200415,0.207278,0.184209,0.152321,0.156733,0.174583,0.278437,0.278437,0.300659,0.309635,-9999,-9999
200806,20.918,0.0,298.99,204.46,0.0,336.32,0.0,16.557,0.0,98.92,0.0,0.082,0.0,3.437,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.93493,0.0,3.24939,0.0,3.24765,-9999,74.5871,0.0,74.5472,-9999,-0.105059,0.0,-9999,-0.111627,-0.108398,-0.106392,0.0,0.0,0.0,0.0811951,0.0811951,0.0829819,0.0909324,0.195773,0.19074,0.195773,0.20256,0.180292,0.149082,0.153401,0.170871,0.260025,0.260025,0.285563,0.295917,-9999,-9999
200807,19.503,0.0,309.738,216.891,0.0,315.619,0.0,17.56,0.0,98.909,0.0,0.0,0.0,3.168,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.91705,0.0,3.25398,0.0,2.88888,-9999,74.6556,0.0,66.2793,-9999,-0.104284,0.0,-9999,-0.111193,-0.107713,-0.105618,0.0,0.0,0.0,0.0787914,0.0781122,0.0787914,0.0883479,0.19278,0.185599,0.19278,0.1978,0.177307,0.146614,0.150861,0.168042,0.272919,0.272919,0.298349,0.308868,-9999,-9999
200808,21.186,0.125672,351.332,246.202,0.127016,331.43,0.125672,19.786,0.125672,98.934,0.114919,0.027,0.0,3.574,0.114919,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.86251,0.125,3.20773,0.125672,3.49466,0.151302,74.4545,0.125672,81.1145,0.64602,-0.0994662,0.123656,0.00736509,-0.108513,-0.104925,-0.100794,0.125,0.125,0.123656,0.0848468,0.0848468,0.0874642,0.0941377,0.195541,0.190279,0.195541,0.202651,0.173523,0.148833,0.152791,0.1673,0.295631,0.295631,0.317029,0.328028,-9999,-9999
200809,27.375,1.0,403.595,278.297,1.0,390.91,1.0,28.179,1.0,98.258,1.0,0.0,0.0,2.944,1.0,0.24612655977,0.980555555556,97.9895833333,0.998611111111,65.7840277778,1.0,499.370138889,1.0,387.513,1.0,31.354,1.0,1.4,1.0,6.825,1.0,3.4689,0.9875,3.7792,0.143149,79.4786,0.990972,86.588,0.476211,0.264742,0.986806,0.0165137,0.211024,0.243727,0.30981,0.9875,0.986111,0.984028,0.368036,0.318259,0.368036,0.439501,0.124309,0.107235,0.124309,0.129692,0.137389,0.137389,0.145514,0.422671,0.0890433,0.0890433,0.140636,0.181282,-9999,-9999
200810,30.306,1.0,447.798,306.108,0.850134,402.499,0.849462,34.727,1.0,98.159,0.999328,0.0,0.0,3.167,0.999328,0.260248797327,0.959005376344,111.053504032,0.994623655914,72.3533653846,0.838709677419,519.462339744,0.838709677419,376.393,1.0,34.683,1.0,1.3,1.0,7.93324,1.0,4.13445,0.99328,4.62303,0.139121,86.841,0.992608,97.1032,0.490319,-0.46335,0.975134,0.0111263,-0.467966,-0.456489,-0.450933,0.962366,0.977151,0.980511,0.00576917,0.00148188,0.00185665,0.00431754,0.462258,0.452415,0.462258,0.471371,0.212444,0.409388,0.44387,0.666526,0.0,0.0,0.0,0.0,-9999,-9999
