TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201201,28.455,0.0,492.078,292.846,0.0,391.113,0.0,24.204,0.0,94.591,0.0,1.441,0.0,2.142,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,2.47443,0.0,2.52011,-9999,75.8116,0.0,77.2113,-9999,0.276492,0.0,-9999,0.271027,0.276492,0.28361,0.0,0.0,0.0,0.24604,0.222172,0.233901,0.258498,-0.0237251,-0.0488557,-0.0440211,-0.0237251,0.380749,0.380749,0.386132,0.405512,0.0,0.0,0.0,0.0,-9999,-9999
201202,29.31,0.0,465.87,298.193,0.0,379.722,0.0,26.405,0.0,94.784,0.0,0.052,0.0,2.58,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,2.51334,0.0,2.56576,-9999,75.8141,0.0,77.3951,-9999,0.275935,0.0,-9999,0.270472,0.275935,0.283143,0.0,0.0,0.0,0.252051,0.226692,0.239215,0.264736,-0.017131,-0.0437799,-0.0383807,-0.017131,0.385645,0.385645,0.391308,0.408912,0.0,0.0,0.0,0.0,-9999,-9999
201203,29.771,0.0,416.207,250.243,0.0,387.181,0.0,27.808,0.0,94.71,0.0,1.034,0.0,1.792,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,2.47443,0.0,2.53699,-9999,75.8116,0.0,77.7284,-9999,0.276492,0.0,-9999,0.271027,0.276492,0.28361,0.0,0.0,0.0,0.255299,0.229115,0.242078,0.268106,-0.0144664,-0.0419119,-0.0358441,-0.0144664,0.388231,0.388231,0.394046,0.410693,0.0,0.0,0.0,0.0,-9999,-9999
201204,27.538,0.0,352.334,220.088,0.0,366.668,0.0,28.665,0.0,95.267,0.0,0.046,0.0,2.119,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.87223,0.599306,2.49324,0.0,2.588,-9999,75.8128,0.0,78.6944,-9999,0.276223,0.0,-9999,0.270759,0.276223,0.283384,0.0,0.0,0.0,0.239593,0.217327,0.228202,0.251806,-0.0298904,-0.0534318,-0.0495622,-0.0298904,0.375512,0.375512,0.380593,0.401877,0.0,0.0,0.0,0.0,-9999,-9999
201205,24.067,0.0,295.568,183.917,0.0,346.398,0.0,26.439,0.0,95.433,0.0,0.35,0.0,1.913,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.80357,0.0,2.52325,0.0,2.64115,-9999,75.8474,0.0,79.3914,-9999,0.275911,0.0,-9999,0.270595,0.275911,0.282941,0.0,0.0,0.0,0.215378,0.19694,0.206677,0.226648,-0.0539517,-0.0717135,-0.0706411,-0.0539517,0.35506,0.35506,0.359004,0.38747,0.0,0.0,0.0,0.0,-9999,-9999
201206,19.458,0.0,267.442,141.599,0.0,344.299,0.0,20.932,0.0,95.478,0.0,2.831,0.0,2.09,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.80517,0.0,2.49324,0.0,2.61865,-9999,75.8128,0.0,79.6263,-9999,0.276223,0.0,-9999,0.270759,0.276223,0.283384,0.0,0.0,0.0,0.18365,0.171564,0.178258,0.193642,-0.0858328,-0.0995067,-0.096489,-0.0858328,0.326852,0.326852,0.329299,0.367203,0.0,0.0,0.0,0.0,-9999,-9999
201207,14.649,0.459005,279.487,193.503,0.459677,298.39,0.459005,16.691,0.459005,95.655,0.451613,0.195,0.451613,2.477,0.451613,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.60825,0.459005,2.07591,0.452957,2.02728,0.0870066,76.4586,0.452957,74.6672,0.51836,0.302387,0.449597,0.00617484,0.299216,0.302387,0.308908,0.446237,0.449597,0.449597,0.144383,0.140438,0.14184,0.150997,-0.153366,-0.160884,-0.158034,-0.155732,0.318584,0.317926,0.318584,0.351067,0.0,0.0,0.0,0.0,-9999,-9999
201208,17.167,1.0,326.379,244.703,1.0,300.513,1.0,17.037,1.0,95.559,1.0,0.0,1.0,2.41,1.0,0.296990018351,0.694220430108,86.3286290323,1.0,45.4254032258,1.0,413.462365591,1.0,379.331,1.0,17.686,1.0,3.5,1.0,2.07997,1.0,2.38086,0.994624,2.32508,0.0785095,84.0457,0.994624,82.0765,0.61153,0.30759,0.977823,0.00533692,0.30456,0.30759,0.311862,0.97043,0.977823,0.979839,0.115546,0.111866,0.114367,0.115047,-0.189014,-0.195724,-0.193499,-0.189681,0.170496,0.170496,0.175376,0.183421,0.0,0.0,0.0,0.0,-9999,-9999
201209,22.305,1.0,387.887,269.984,1.0,332.196,1.0,24.165,1.0,95.284,1.0,0.133,1.0,2.738,1.0,0.338079403725,0.633333333333,102.609027778,1.0,49.6465277778,1.0,449.956944444,1.0,378.163,1.0,23.514,1.0,3.2,1.0,3.72569,1.0,3.76133,0.970833,3.78531,0.0972297,94.8764,0.970833,95.4813,0.673699,0.391026,0.95625,0.00556395,0.390311,0.390477,0.392136,0.954167,0.957639,0.95,0.158968,0.152846,0.155248,0.158968,-0.233169,-0.237465,-0.235229,-0.234598,0.465201,0.446287,0.465201,0.465263,0.000147178,0.0,0.0,0.000147178,-9999,-9999
201210,25.89,0.985215,444.055,303.288,0.985215,352.249,0.985215,30.398,0.985215,95.157,0.850806,0.161,0.981183,2.698,0.981183,0.302888582647,0.602150537634,115.594385776,0.980510752688,48.5793081416,0.980510752688,478.220440847,0.980510752688,381.013,0.940188,28.467,1.0,3.5,1.0,6.25871,0.985215,6.14821,0.899866,5.86666,0.146478,116.007,0.900538,110.695,0.684663,0.481853,0.862231,0.00524878,0.481853,0.48407,0.485995,0.862231,0.854839,0.84207,0.176963,0.172196,0.173339,0.174687,-0.309033,-0.312518,-0.309033,-0.308514,0.383538,0.377548,0.377608,0.384819,0.0180476,0.0139605,0.0156172,0.0180476,-9999,-9999
