TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200101,17.641,0.0,504.027,290.015,0.0,330.286,0.0,9.435,0.0,87.188,0.0,1.181,0.0,2.409,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.59275,0.0,53.4047,0.0,54.805,-9999,36.1904,0.0,37.1393,-9999,-2.06583,0.0,-9999,-2.06583,-2.06583,-2.06583,0.0,0.0,0.0,18.807,18.807,18.807,18.807,20.8729,20.8729,20.8729,20.8729,8.75629,8.75629,8.75629,8.75629,13.982,13.982,13.982,13.982,-9999,0.0
200102,16.832,0.229167,452.83,267.128,0.229167,326.211,0.0,7.862,0.229167,87.23,0.227679,2.798,0.247024,2.485,0.532738,0.42401790527,0.502976190476,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.33903,0.245536,58.3684,0.227679,64.2272,2.36313,34.5167,0.227679,37.9813,1.81633,-1.23079,0.223214,0.575476,-1.23079,-1.23079,-1.23079,0.223214,0.223214,0.223214,18.2694,18.2694,18.2694,18.2694,19.5002,19.5002,19.5002,19.5002,8.35023,8.35023,8.35023,8.35023,13.3472,13.3472,13.3472,13.3472,21.6169,0.782738
200103,10.366,0.948925,373.714,216.153,0.950269,303.4,0.0,3.936,0.948925,87.242,0.93414,2.032,0.93414,3.072,0.977151,0.553627965616,0.809139784946,120.849475997,0.926075268817,29.010107384,0.891129032258,-9999,-9999,326.45,0.938172,14.244,0.946237,-9999,-9999,-2.20312,0.946237,76.8027,0.936828,84.5119,1.64783,33.7554,0.936828,37.1437,1.16214,-1.0375,0.932796,0.342873,-1.0375,-1.0375,-1.0375,0.932796,0.932796,0.932796,11.7658,11.7658,11.7658,11.7658,12.8033,12.8033,12.8033,12.8033,6.30922,6.30922,6.30922,6.30922,10.0317,10.0317,10.0317,10.0317,14.2048,1.0
200104,8.557,1.0,284.87,159.399,1.0,287.965,0.0,4.282,1.0,87.529,1.0,2.007,1.0,2.817,1.0,0.418994905956,0.9375,73.9402777778,1.0,26.7898158663,0.769444444444,-9999,-9999,322.76,0.995833,10.637,1.0,-9999,-9999,-2.65175,1.0,53.4268,0.995833,54.8785,1.11912,20.6036,0.995833,21.1634,1.01901,-0.406887,0.991667,0.233223,-0.406887,-0.406887,-0.406887,0.991667,0.991667,0.991667,9.5915,9.5915,9.5915,9.5915,9.99839,9.99839,9.99839,9.99839,3.94686,3.94686,3.94686,3.94686,7.274,7.274,7.274,7.274,8.62541,1.0
200105,3.676,1.0,213.708,120.059,1.0,282.015,0.0,1.961,1.0,87.178,1.0,0.632,1.0,2.738,1.0,0.416276604555,0.791666666667,49.5793010753,1.0,18.896233802,0.883064516129,-9999,-9999,324.482,0.990591,7.07,1.0,-9999,-9999,-4.37276,1.0,31.5678,0.946237,34.7157,0.814629,16.2066,0.946237,17.8227,1.00613,-0.142258,0.939516,0.239519,-0.142258,-0.142258,-0.142258,0.939516,0.939516,0.939516,7.24131,7.24131,7.24131,7.24131,7.38357,7.38357,7.38357,7.38357,3.49059,3.49059,3.49059,3.49059,6.57286,6.57286,6.57286,6.57286,5.40373,1.0
200106,2.121,1.0,179.973,88.931,1.0,274.387,0.0,1.346,1.0,87.551,1.0,5.28,1.0,3.098,1.0,0.57662068668,0.977777777778,32.5513888889,1.0,15.691849444,0.855555555556,-9999,-9999,325.569,0.993056,5.196,1.0,-9999,-9999,-3.85694,1.0,33.6097,0.993056,25.0747,1.40044,14.5078,0.993056,10.8236,0.994315,-0.234454,0.993056,0.276925,-0.234454,-0.234454,-0.234454,0.993056,0.993056,0.993056,4.61315,4.61315,4.61315,4.61315,4.8476,4.8476,4.8476,4.8476,3.42763,3.42763,3.42763,3.42763,5.03654,5.03654,5.03654,5.03654,4.2311,1.0
200107,1.236,0.884409,192.775,91.928,0.884409,279.248,0.0,1.024,0.884409,87.294,0.870968,2.003,0.870968,2.741,0.592742,0.594494126043,0.575268817204,40.3963844797,0.866935483871,14.5113154079,0.814516129032,-9999,-9999,327.437,0.823925,3.952,0.884409,26.7,0.872312,-3.11526,0.884409,40.4294,0.823925,29.4751,1.72412,17.5949,0.823925,12.8276,1.07651,-1.9469,0.818548,0.266397,-1.9469,-1.9469,-1.9469,0.818548,0.818548,0.818548,4.64358,4.64358,4.64358,4.64358,6.59048,6.59048,6.59048,6.59048,2.62195,2.62195,2.62195,2.62195,4.18117,4.18117,4.18117,4.18117,3.53918,1.0
200108,0.321,0.973118,248.628,110.577,0.973118,272.354,0.0,1.219,0.973118,86.827,0.961022,4.032,0.998656,3.726,0.78629,0.732092175236,0.662634408602,53.1447401299,0.934139784946,-9999,-9999,-9999,-9999,321.794,0.920699,2.828,0.975806,26.3,0.969086,-4.43398,0.974462,37.6211,0.928763,28.6107,2.4378,30.6129,0.932796,23.281,1.44442,-4.09982,0.915323,0.446286,-4.09982,-4.09982,-4.09982,0.915323,0.915323,0.915323,1.48255,1.48255,1.48255,1.48255,5.58237,5.58237,5.58237,5.58237,1.10881,1.10881,1.10881,1.10881,4.67917,4.67917,4.67917,4.67917,3.06314,1.0
200109,5.654,0.984722,330.034,170.005,0.984722,284.217,0.0,2.163,0.984722,87.235,0.969444,3.367,1.0,2.791,0.525,-9999,-9999,96.3665374251,0.956944444444,23.1986366921,0.894444444444,-9999,-9999,322.484,0.883333,6.546,1.0,27.6,0.998611,2.56866,1.0,53.5036,0.883333,47.6647,1.8946,47.9251,0.886111,42.695,1.70025,-1.84953,0.856944,0.211229,-1.84953,-1.84953,-1.84953,0.856944,0.856944,0.856944,7.21245,7.21245,7.21245,7.21245,9.06198,9.06198,9.06198,9.06198,1.88721,1.88721,1.88721,1.88721,5.59792,5.59792,5.59792,5.59792,5.2451,1.0
200110,4.517,0.948925,415.75,191.387,0.948925,286.987,0.0,1.979,0.948925,86.659,0.93414,5.634,0.93414,3.432,0.729839,0.73061478762,0.674731182796,114.427782819,0.92876344086,23.1754318244,0.905913978495,-9999,-9999,322.731,0.88172,8.416,0.947581,27.9,0.94086,0.2681,0.947581,75.4478,0.873656,65.3428,2.18206,57.8573,0.873656,50.1083,1.27941,-1.81754,0.846774,0.329272,-1.81754,-1.81754,-1.81754,0.846774,0.846774,0.846774,6.3365,6.3365,6.3365,6.3365,8.15403,8.15403,8.15403,8.15403,8.95034,8.95034,8.95034,8.95034,8.26503,8.26503,8.26503,8.26503,6.49194,1.0
200111,8.694,0.990278,483.531,267.089,0.990278,295.723,0.0,3.38,0.990278,86.866,0.979167,2.353,0.998611,3.23,0.844444,0.667302459707,0.8375,167.369673118,0.9625,34.5515172297,0.879166666667,-9999,-9999,323.176,0.968056,11.385,0.981944,25.8,0.997222,3.58086,0.983333,90.9766,0.9625,84.5714,2.37845,85.5784,0.963889,79.5533,2.66639,-1.24423,0.943056,0.322452,-1.24423,-1.24423,-1.24423,0.943056,0.943056,0.943056,10.6529,10.6529,10.6529,10.6529,11.8971,11.8971,11.8971,11.8971,4.86534,4.86534,4.86534,4.86534,8.40559,8.40559,8.40559,8.40559,9.66864,1.0
200112,11.437,1.0,515.818,299.689,1.0,299.454,0.0,2.228,0.994624,86.514,1.0,0.671,1.0,3.127,0.770161,0.626779249012,0.759408602151,188.147849462,0.998655913978,37.9008035041,0.911290322581,-9999,-9999,322.272,0.900538,13.389,0.997312,25.1,0.987903,3.13055,0.994624,96.6087,0.893817,97.2193,1.9751,86.0733,0.893817,86.6173,1.92636,-1.73219,0.884409,0.291977,-1.73219,-1.73219,-1.73219,0.884409,0.884409,0.884409,10.3957,10.3957,10.3957,10.3957,12.1279,12.1279,12.1279,12.1279,8.9867,8.9867,8.9867,8.9867,11.1591,11.1591,11.1591,11.1591,12.5678,1.0
200201,14.581,0.798387,504.027,300.644,0.798387,310.021,0.0,4.996,0.797043,86.842,0.767473,1.549,0.767473,3.036,0.764785,0.590088575439,0.599462365591,189.617586233,0.740591397849,35.429588075,0.706989247312,-9999,-9999,335.162,0.770161,15.254,0.799731,21.7,0.776882,3.31048,0.795699,99.6604,0.764785,100.806,2.17658,84.3788,0.760753,85.349,1.71396,-3.90773,0.725806,0.655227,-4.24447,-4.16453,-3.92024,0.729839,0.735215,0.727151,8.91928,8.63942,8.66293,8.89211,12.827,12.793,12.8412,12.9322,9.39084,8.91265,9.39084,9.66683,8.89122,8.64511,8.89122,9.23564,14.9498,1.0
200202,13.799,0.943452,452.83,224.483,0.956845,325.697,0.0,3.624,0.943452,87.008,0.953869,5.107,1.0,3.126,1.0,0.548372646409,0.89880952381,141.370610368,0.927083333333,25.7937298209,0.888392857143,-9999,-9999,338.143,0.936012,15.32,1.0,22.3,1.0,0.926689,0.991071,73.2708,0.919643,77.729,1.33178,53.0007,0.919643,56.2255,1.24551,1.12954,0.837798,0.702817,-0.340955,0.478823,1.12954,0.876488,0.717262,0.837798,17.4142,13.8202,17.0676,17.3485,16.2846,13.2477,16.0968,17.7124,14.5572,12.6111,14.6581,14.9879,10.4895,9.92571,10.587,10.7137,14.9691,1.0
