TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200501,15.36,0.0,503.987,223.663,0.0,377.703,0.0,6.915,0.0,92.628,0.0,3.94,0.0,3.596,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,45.1704,0.0,33.5114,-9999,16.5626,0.0,12.2876,-9999,-1.65945,0.0,-9999,-1.76284,-1.63171,-1.52552,0.0,0.0,0.0,5.3825,5.26943,5.36434,5.46734,7.04251,6.90482,7.04496,7.12242,4.29946,4.08491,4.45768,6.85098,6.03956,6.16341,6.28819,7.06069,-9999,-9999
200502,13.332,0.0,449.301,182.733,0.0,378.953,0.0,4.758,0.0,92.581,0.0,20.026,0.0,3.869,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,45.7324,0.0,34.8317,-9999,16.2902,0.0,12.4073,-9999,-1.68554,0.0,-9999,-1.78874,-1.64399,-1.54354,0.0,0.0,0.0,4.68009,4.59748,4.68045,4.75111,6.36599,6.29741,6.38661,6.43452,3.43788,3.26633,3.5644,5.4781,5.22652,5.32421,5.45013,6.11199,-9999,-9999
200503,12.347,0.0,366.251,160.556,0.0,370.638,0.0,4.718,0.0,93.237,0.0,1.525,0.0,3.397,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,46.2238,0.0,29.4129,-9999,16.5231,0.0,10.5139,-9999,-1.66812,0.0,-9999,-1.77144,-1.62924,-1.52868,0.0,0.0,0.0,4.3615,4.28281,4.40245,4.43543,6.02991,5.95919,6.05414,6.09674,3.07517,2.92171,3.18833,4.90013,4.85656,4.9416,5.06926,5.68041,-9999,-9999
200504,12.759,0.0,274.486,117.5,0.0,369.962,0.0,5.075,0.0,93.447,0.0,2.232,0.0,3.673,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,45.7081,0.0,29.0848,-9999,16.4642,0.0,10.4765,-9999,-1.67055,0.0,-9999,-1.77412,-1.63468,-1.53222,0.0,0.0,0.0,4.48469,4.40424,4.51707,4.55814,6.15555,6.08573,6.17824,6.22741,3.19302,3.03369,3.31053,5.08793,3.89667,3.95317,4.01711,4.55993,-9999,-9999
200505,8.247,0.0,202.007,81.269,0.0,359.913,0.0,2.573,0.0,93.475,0.0,1.605,0.0,3.159,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.42805,0.870296,45.1704,0.0,23.0816,-9999,16.5626,0.0,8.46332,-9999,-1.65945,0.0,-9999,-1.76284,-1.63171,-1.52552,0.0,0.0,0.0,3.1296,3.06771,3.1296,3.34068,4.78904,4.74773,4.79978,4.83104,1.77241,1.68396,1.83763,2.82425,3.06114,3.08509,3.15614,3.58477,-9999,-9999
200506,6.862,0.0,167.991,59.277,0.0,359.9,0.0,1.677,0.0,92.992,0.0,13.796,0.0,3.828,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.3587,0.0,45.7081,0.0,8.56547,-9999,16.4642,0.0,3.08532,-9999,-1.67055,0.0,-9999,-1.77412,-1.63468,-1.53222,0.0,0.0,0.0,2.77598,2.71795,2.77598,3.00697,4.44646,4.40945,4.44646,4.49235,1.46315,1.39013,1.51699,2.33145,2.42458,2.44342,2.50006,2.84087,-9999,-9999
200507,6.314,0.0,180.94,58.316,0.0,361.63,0.0,1.439,0.0,93.335,0.0,8.025,0.0,3.922,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.36712,0.0,45.73,0.0,27.2674,-9999,16.307,0.0,9.72336,-9999,-1.68409,0.0,-9999,-1.78755,-1.64309,-1.54245,0.0,0.0,0.0,2.62197,2.56542,2.62197,2.86417,4.30596,4.281,4.30596,4.35083,1.3187,1.2529,1.36723,2.10129,2.40652,2.42567,2.48147,2.81994,-9999,-9999
200508,6.803,0.218414,237.639,86.741,0.219758,359.369,0.218414,2.151,0.217742,93.063,0.204973,15.118,0.0221774,5.38,0.209677,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.02463,0.217742,48.3939,0.217742,35.6212,1.402,16.5695,0.217742,12.1963,1.27931,-1.70065,0.213038,0.103713,-1.74228,-1.65296,-1.53953,0.216398,0.211022,0.211022,2.75297,2.69596,2.75297,2.97575,4.44979,4.39633,4.42519,4.46011,1.57873,1.52019,1.64116,2.49468,3.19487,3.24039,3.27204,3.70633,-9999,-9999
200509,7.544,1.0,321.233,112.971,1.0,351.316,1.0,1.902,1.0,91.784,1.0,9.712,0.0826389,5.265,1.0,0.767239779585,0.727083333333,47.0472222222,1.0,12.5055555556,1.0,404.720833333,1.0,378.76,1.0,8.025,1.0,38.3,0.902083,0.409028,1.0,49.0586,0.999306,36.1105,1.44249,14.1648,1.0,10.4263,1.00851,-4.9664,0.995139,0.164246,-4.9868,-4.82619,-4.78774,0.99375,0.947222,0.995833,2.43574,2.24669,2.43265,2.63662,7.33699,7.03772,7.36159,7.75509,2.14507,1.68432,2.28858,2.51952,5.37001,4.71292,5.19871,5.37033,-9999,-9999
200510,10.539,1.0,410.547,170.438,1.0,366.888,1.0,3.45,1.0,92.27,0.998656,12.95,0.0611559,5.025,0.998656,0.835022397991,0.813172043011,86.188172043,1.0,17.8548387097,1.0,433.225397382,0.998655913978,372.606,1.0,9.627,0.997312,37.9,0.997312,-1.41351,1.0,73.0062,1.0,56.7256,1.58262,39.7439,1.0,30.8809,1.12387,-4.08798,0.99664,0.203514,-4.09055,-4.05986,-3.82647,0.995968,0.998656,0.991935,3.35126,2.99338,3.35126,3.97071,7.38266,7.073,7.44181,7.82971,2.58026,2.47074,3.34987,3.95251,6.6722,6.75355,7.20086,7.51402,-9999,-9999
