TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201101,21.703,0.0,504.048,297.43,0.0,358.961,0.0,11.636,0.0,98.976,0.0,3.338,0.0,2.392,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,58.9492,0.0,66.1812,-9999,127.143,0.0,142.741,-9999,-2.92673,0.0,-9999,-2.93167,-2.93151,-2.91494,0.0,0.0,0.0,3.86706,3.7767,3.84848,3.94757,6.76611,6.7488,6.77999,6.85255,2.05867,2.01635,2.04719,2.05874,3.62906,3.62906,3.64784,3.95703,-9999,0.0
201102,20.774,0.0,450.853,252.886,0.0,366.874,0.0,9.177,0.0,99.4,0.0,2.744,0.0,2.397,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,58.8853,0.0,65.9979,-9999,126.769,0.0,142.082,-9999,-2.92333,0.0,-9999,-2.92798,-2.92798,-2.90754,0.0,0.0,0.0,3.73424,3.65276,3.71749,3.83307,6.63733,6.6284,6.64547,6.71884,2.0371,1.99523,2.02575,2.03717,3.49479,3.49479,3.51411,3.61151,-9999,0.0
201103,17.871,0.0,369.476,213.843,0.0,345.14,0.0,7.322,0.0,99.512,0.0,1.183,0.0,2.39,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.1726,0.0,65.5608,-9999,127.422,0.0,141.178,-9999,-2.93601,0.0,-9999,-2.9405,-2.9405,-2.91929,0.0,0.0,0.0,3.31616,3.26591,3.30529,3.47427,6.26165,6.23947,6.24603,6.37466,1.97056,1.93006,1.95958,1.97063,3.24473,3.24473,3.25778,3.26603,-9999,0.0
201104,14.67,0.0,278.944,163.264,0.0,323.028,0.0,5.635,0.0,100.077,0.0,0.561,0.0,1.982,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.0063,0.0,65.2793,-9999,127.123,0.0,140.637,-9999,-2.92887,0.0,-9999,-2.93369,-2.93351,-2.91414,0.0,0.0,0.0,2.87541,2.85314,2.87009,3.0846,5.8384,5.80031,5.80632,5.93808,1.89098,1.85212,1.88045,1.89106,2.6046,2.59241,2.61387,2.62613,-9999,0.0
201105,11.116,0.0,207.01,98.436,0.0,317.455,0.0,3.474,0.0,99.934,0.0,0.984,0.0,2.099,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,58.9492,0.0,63.3133,-9999,127.143,0.0,136.556,-9999,-2.92673,0.0,-9999,-2.93167,-2.93151,-2.91494,0.0,0.0,0.0,2.40696,2.40567,2.40665,2.65998,5.39212,5.33797,5.35505,5.48755,1.79712,1.76018,1.7871,1.79719,1.6635,1.65354,1.67235,1.68172,-9999,0.0
201106,10.214,0.0,173.104,88.33,0.0,305.695,0.0,3.115,0.0,100.032,0.0,0.653,0.0,2.482,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.0063,0.0,62.1595,-9999,127.123,0.0,133.916,-9999,-2.92887,0.0,-9999,-2.93369,-2.93351,-2.91414,0.0,0.0,0.0,2.29034,2.29172,2.29789,2.54169,5.28329,5.22523,5.25363,5.37462,1.77267,1.73624,1.76279,1.77274,1.50869,1.5022,1.51759,1.52612,-9999,0.0
201107,9.469,0.0,185.995,82.922,0.0,310.485,0.0,2.861,0.0,99.939,0.0,1.356,0.0,2.732,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,58.897,0.0,64.1003,-9999,126.804,0.0,138.006,-9999,-2.92387,0.0,-9999,-2.92852,-2.92852,-2.90818,0.0,0.0,0.0,2.19656,2.19936,2.21175,2.44423,5.18775,5.12788,5.16428,5.27153,1.75191,1.7159,1.74215,1.75198,1.41788,1.4122,1.42637,1.43439,-9999,0.0
201108,11.196,0.0,242.347,124.905,0.0,309.779,0.0,4.195,0.0,99.866,0.0,1.259,0.0,1.942,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,59.1726,0.0,65.2879,-9999,127.422,0.0,140.59,-9999,-2.93601,0.0,-9999,-2.9405,-2.9405,-2.91929,0.0,0.0,0.0,2.42256,2.42001,2.42194,2.67125,5.4165,5.36206,5.37717,5.49702,1.79804,1.76109,1.78802,1.79811,2.06138,2.05035,2.06991,2.08135,-9999,0.0
201109,13.024,0.0,325.023,189.689,0.0,310.031,0.0,6.35,0.0,99.544,0.0,1.53,0.0,2.7,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.4757,0.0506944,59.0063,0.0,67.0934,-9999,127.123,0.0,144.546,-9999,-2.92887,0.0,-9999,-2.93369,-2.93351,-2.91414,0.0,0.0,0.0,2.6634,2.65001,2.6602,2.89018,5.63667,5.59173,5.59542,5.72803,1.84623,1.80828,1.83594,1.84629,2.96425,2.95316,2.97495,2.98659,-9999,0.0
201110,15.223,0.0,412.811,222.172,0.0,331.763,0.0,7.151,0.0,99.63,0.0,0.781,0.0,2.347,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.9991,0.0,58.9492,0.0,67.3428,-9999,127.143,0.0,145.247,-9999,-2.92673,0.0,-9999,-2.93167,-2.93151,-2.91494,0.0,0.0,0.0,2.9583,2.93096,2.95176,3.15437,5.91332,5.87923,5.88657,6.017,1.90283,1.86372,1.89222,1.9029,3.31236,3.31236,3.33336,3.3457,-9999,0.0
