TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201001,16.866,0.394489,503.988,318.744,0.0,325.606,0.0,9.194,0.394489,92.894,0.369624,1.103,0.0,3.232,0.34207,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.50338,0.393817,113.548,0.322581,145.243,1.79159,62.7512,0.323253,80.2675,1.88201,-5.05829,0.225134,0.230414,-5.24098,-5.05664,-4.7976,0.215054,0.218414,0.239247,4.25053,4.19859,4.25053,4.26487,9.3143,8.99619,9.23705,9.49052,7.87897,4.76195,8.78782,9.34106,11.2207,8.37885,11.5242,12.4267,-9999,-9999
201002,17.933,1.0,449.316,266.136,0.930804,338.873,0.929315,7.623,1.0,93.237,0.999256,2.355,0.0,3.667,0.858631,0.774434077829,0.706845238095,169.217916271,0.915178571429,31.3773021048,0.915178571429,405.070424828,0.915178571429,385.4,0.981399,17.652,1.0,10.425,1.0,1.15737,1.0,77.3306,0.974702,98.9167,0.951278,52.5015,0.973958,67.1567,0.999959,-3.84444,0.91369,0.0874815,-3.86815,-3.83365,-3.66905,0.903274,0.909226,0.924107,4.26304,4.22132,4.27278,4.33755,8.15687,8.03709,8.08467,8.10375,5.67125,5.35945,5.67125,5.89001,8.70302,8.56216,8.71069,8.83639,-9999,-9999
201003,15.554,0.895833,366.281,206.039,0.898522,329.541,0.895833,5.877,0.895833,93.313,0.870296,4.354,0.0490591,2.968,0.766801,0.605867342702,0.585349462366,127.079348166,0.870295698925,26.1373010911,0.870295698925,390.531136918,0.870295698925,379.016,0.892473,15.276,0.895833,14.958,0.895833,-2.01252,0.895161,57.4961,0.892473,83.6863,0.766645,27.9764,0.892473,40.72,0.713703,-3.20873,0.705645,0.0570206,-3.29156,-3.20873,-3.05118,0.693548,0.705645,0.810484,4.41195,4.25691,4.4029,4.46449,7.63652,7.30809,7.57669,7.81169,6.0608,5.79783,6.0608,6.61673,7.80517,7.67985,7.87818,8.03216,-9999,-9999
201004,12.696,1.0,274.528,129.013,1.0,331.972,1.0,3.125,1.0,93.127,1.0,2.28,1.0,3.011,0.899306,0.592132478155,0.551388888889,70.0868055556,1.0,16.0048611111,1.0,374.230555556,1.0,381.428,0.991667,13.265,1.0,15.771,1.0,-3.81036,0.999306,43.7998,0.989583,67.6706,0.531981,3.98961,0.991667,6.16393,0.536519,-1.037,0.964583,0.057667,-1.07565,-1.03889,-1.03131,0.98125,0.963889,0.977083,4.89524,4.77758,4.86297,4.89608,5.91854,5.82641,5.90486,5.9791,4.79106,4.90846,5.05266,5.1468,5.89859,5.90818,5.98746,6.07619,-9999,-9999
201005,9.242,0.857527,202.053,105.726,0.862231,317.787,0.857527,1.755,0.857527,93.071,0.641129,2.072,0.825941,2.774,0.475134,-9999,-9999,55.352116578,0.772849462366,13.8965351655,0.772849462366,354.740340573,0.772849462366,379.462,0.832661,9.851,0.857527,18.079,0.858199,-5.52545,0.855511,29.9961,0.832661,46.344,0.389353,-4.69821,0.831989,-7.25873,0.510804,-1.04052,0.669355,0.0427775,-1.13223,-1.10815,-1.08107,0.693548,0.676747,0.675403,3.70598,3.50387,3.63648,3.70598,4.74494,4.62126,4.74228,4.88187,3.1584,3.19092,3.25436,3.53932,4.27,4.32373,4.38584,4.74151,-9999,-9999
201006,6.239,0.305556,168.039,65.358,0.304861,313.699,0.302083,0.857,0.299306,93.508,0.274306,2.841,0.276389,2.961,0.214583,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,378.366,0.298611,7.641,0.300694,21.885,0.302083,-5.72463,0.298611,17.1293,0.298611,31.9809,0.31405,-2.12274,0.298611,-3.96321,0.454777,-1.9097,0.283333,0.0255896,-1.93026,-1.9097,-1.83152,0.283333,0.283333,0.283333,2.43384,2.34345,2.41938,2.44609,4.20376,4.20376,4.27676,4.34397,2.93335,1.57344,2.85793,2.94607,3.2358,2.85545,3.23579,3.57131,-9999,-9999
201007,5.873,0.950941,180.987,71.577,0.952285,312.089,0.950941,0.647,0.950941,93.461,0.945565,3.66,0.945565,2.674,0.601478,-9999,-9999,34.536989484,0.934811827957,9.47615553925,0.934811827957,339.975605282,0.934811827957,383.842,0.950269,6.931,0.950941,23.763,0.950941,-3.45263,0.950269,23.1565,0.950269,33.6975,0.369078,-4.64047,0.950269,-6.75283,0.50371,-1.36736,0.808468,0.0404981,-1.456,-1.36736,-1.31827,0.797043,0.808468,0.813844,2.0533,2.02947,2.04027,2.05845,3.37976,3.37584,3.39811,3.47155,2.50549,2.01116,2.19954,2.50549,3.99521,3.45412,3.79387,3.92954,-9999,-9999
201008,5.043,1.0,237.682,86.091,1.0,313.166,1.0,0.659,1.0,92.631,1.0,6.335,1.0,3.796,0.53293,-9999,-9999,52.2708333333,1.0,10.3830645161,1.0,336.232526882,1.0,379.937,0.981855,6.526,1.0,26.445,1.0,-3.76551,1.0,32.7064,0.981855,47.5189,0.441883,-7.56608,0.981855,-10.9927,0.531864,-2.01758,0.945565,0.0390182,-2.0253,-1.93238,-1.91811,0.938844,0.950269,0.965054,1.80837,1.82701,1.86151,1.88976,3.88287,3.78736,3.81886,3.83013,1.89521,1.69994,1.86284,2.731,3.98003,3.85182,3.92949,4.22525,-9999,-9999
201009,6.537,1.0,321.268,135.703,1.0,315.05,1.0,1.017,1.0,92.993,1.0,3.973,1.0,3.212,0.78125,-9999,-9999,89.6910165485,0.999305555556,15.6921690307,0.998611111111,344.5125,1.0,378.983,0.996528,7.981,1.0,24.512,0.998611,-1.74834,1.0,40.5135,0.996528,58.8618,0.596547,22.6729,0.996528,32.9413,0.681376,-3.48792,0.989583,0.049479,-3.46974,-3.43941,-3.42349,0.990278,0.977083,0.990278,2.29009,2.24547,2.27646,2.39264,5.72439,5.66468,5.72634,5.83406,2.96005,2.96005,3.00655,3.10937,6.01278,5.9868,6.03587,6.10642,-9999,-9999
201010,10.292,0.927419,410.568,218.67,0.926747,312.002,0.927419,3.006,0.927419,93.133,0.920699,5.656,0.920699,3.202,0.74328,-9999,-9999,147.306547619,0.903225806452,24.8891369048,0.903225806452,363.715075155,0.920698924731,380.09,0.922043,10.703,0.927419,24.385,0.927419,3.23076,0.927419,68.7914,0.916667,94.0272,0.692139,41.7784,0.915995,57.1047,0.906831,-2.83457,0.855511,0.047617,-2.93309,-2.87609,-2.83108,0.843414,0.873656,0.860215,4.44154,4.38223,4.44154,4.51915,7.30748,7.21217,7.31298,7.3631,4.21575,4.00339,4.18911,4.33733,6.81164,6.63059,6.81164,6.95053,-9999,-9999
