TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201201,25.358,0.0,503.946,324.119,0.0,371.462,0.0,22.147,0.0,99.751,0.0,2.115,0.0,4.27,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.185,0.0,21.7264,-9999,102.97,0.0,123.023,-9999,0.366061,0.0,-9999,0.35234,0.35308,0.35995,0.0,0.0,0.0,0.398986,0.371062,0.399315,0.409931,0.0332539,0.0179818,0.046645,0.0499815,0.422386,0.41433,0.559405,0.566882,0.0,0.0,0.0,0.0,-9999,-9999
201202,23.465,0.0,452.852,259.518,0.0,371.607,0.0,15.881,0.0,99.725,0.0,3.527,0.0,2.956,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.254,0.0,23.3323,-9999,103.633,0.0,132.464,-9999,0.379649,0.0,-9999,0.36636,0.366411,0.374201,0.0,0.0,0.0,0.381759,0.343174,0.37837,0.382819,-0.00848436,-0.0166386,0.00416866,0.0127077,0.414781,0.406871,0.549333,0.556675,0.0,0.0,0.0,0.0,-9999,-9999
201203,18.398,0.0,373.556,211.905,0.0,345.422,0.0,8.435,0.0,100.072,0.0,8.457,0.0,3.518,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.185,0.0,24.6621,-9999,102.97,0.0,139.646,-9999,0.366061,0.0,-9999,0.35234,0.35308,0.35995,0.0,0.0,0.0,0.334425,0.294857,0.30568,0.332778,-0.0656274,-0.0592789,-0.0467656,-0.0195623,0.391955,0.384479,0.497078,0.52604,0.0,0.0,0.0,0.0,-9999,-9999
201204,15.965,0.0,286.003,177.143,0.0,328.183,0.0,8.105,0.0,100.488,0.0,0.838,0.0,2.748,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.2184,0.0,25.4837,-9999,103.291,0.0,144.482,-9999,0.372628,0.0,-9999,0.359117,0.359523,0.366838,0.0,0.0,0.0,0.311335,0.267012,0.273625,0.306381,-0.103536,-0.0998257,-0.0746334,-0.0527355,0.379757,0.372515,0.463023,0.50967,0.0,0.0,0.0,0.0,-9999,-9999
201205,11.308,0.0,216.323,122.388,0.0,307.718,0.0,5.627,0.0,100.695,0.0,0.9,0.0,2.851,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.268,0.0,25.2845,-9999,103.244,0.0,142.9,-9999,0.374375,0.0,-9999,0.361356,0.361379,0.369067,0.0,0.0,0.0,0.267184,0.204342,0.2331,0.256215,-0.163985,-0.163985,-0.116996,-0.105118,0.355896,0.349108,0.397884,0.477646,0.0,0.0,0.0,0.0,-9999,-9999
201206,9.726,0.0,184.156,87.663,0.0,310.829,0.0,4.15,0.0,100.498,0.0,0.905,0.0,3.147,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.2184,0.0,26.4711,-9999,103.291,0.0,150.08,-9999,0.372628,0.0,-9999,0.359117,0.359523,0.366838,0.0,0.0,0.0,0.252134,0.187749,0.219319,0.239259,-0.181623,-0.181623,-0.12894,-0.117919,0.347539,0.340911,0.37567,0.466431,0.0,0.0,0.0,0.0,-9999,-9999
201207,9.006,0.0,198.402,94.939,0.0,308.526,0.0,3.681,0.0,100.774,0.0,2.287,0.0,3.293,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.6985,0.823925,18.2022,0.0,27.9851,-9999,103.658,0.0,159.37,-9999,0.37745,0.0,-9999,0.363654,0.364111,0.371497,0.0,0.0,0.0,0.245342,0.18067,0.213154,0.231838,-0.194291,-0.194291,-0.139904,-0.129322,0.343347,0.336798,0.365631,0.460803,0.0,0.0,0.0,0.0,-9999,-9999
201208,9.602,0.0,255.071,131.677,0.0,304.579,0.0,5.187,0.0,100.3,0.0,1.891,0.0,3.835,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.8749,0.0,18.185,0.0,27.9588,-9999,102.97,0.0,158.313,-9999,0.366061,0.0,-9999,0.35234,0.35308,0.35995,0.0,0.0,0.0,0.250983,0.186859,0.218302,0.238119,-0.175914,-0.175914,-0.123321,-0.112233,0.346619,0.340009,0.373961,0.465196,0.0,0.0,0.0,0.0,-9999,-9999
201209,13.087,0.0,336.108,201.617,0.0,307.841,0.0,8.314,0.0,100.179,0.0,1.112,0.0,3.574,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.9239,0.0,18.2184,0.0,23.2672,-9999,103.291,0.0,131.916,-9999,0.372628,0.0,-9999,0.359117,0.359523,0.366838,0.0,0.0,0.0,0.284055,0.228424,0.248595,0.275425,-0.139653,-0.138414,-0.0996634,-0.0836922,0.36494,0.35798,0.422773,0.489785,0.0,0.0,0.0,0.0,-9999,-9999
201210,16.467,0.244624,420.184,281.241,0.245968,316.834,0.244624,12.492,0.244624,100.258,0.239919,0.66,0.239919,3.58,0.239919,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.7601,0.244624,18.733,0.243952,20.4669,0.372854,104.194,0.243952,113.838,1.28013,0.233901,0.241263,0.0390706,0.214716,0.221319,0.236025,0.241263,0.240591,0.241263,0.277845,0.230812,0.241321,0.273548,0.00465892,0.0152373,0.0182869,0.0375227,0.349019,0.342737,0.431065,0.485172,0.0230158,0.0198307,0.0243537,0.0256318,-9999,-9999
