TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199601,2.13,0.0,97.8486,33.853,0.0,284.541,0.0,1.098,0.0,101.325,0.0,0.609,0.0,3.206,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.2549,3.0,0.00394144,0.0,0.0010393,-9999,-1.27095,0.0,-0.33513,-9999,1.88826,0.0,-9999,1.87782,1.88477,1.89547,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199602,1.914,0.0,162.921,51.143,0.0,288.928,0.0,1.182,0.0,101.205,0.0,2.25,0.0,3.535,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.3733,3.0,0.00350386,0.0,-0.00027828,-9999,-1.19596,0.0,0.0949849,-9999,1.88169,0.0,-9999,1.87052,1.87795,1.88938,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199603,4.118,0.0,261.26,108.869,0.0,286.049,0.0,1.839,0.0,101.731,0.0,0.764,0.0,2.634,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.2549,3.0,0.00394144,0.0,-0.00152846,-9999,-1.27095,0.0,0.492861,-9999,1.88826,0.0,-9999,1.87782,1.88477,1.89547,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199604,9.615,0.0,365.821,182.904,0.0,304.015,0.0,4.75,0.0,101.724,0.0,0.305,0.0,2.479,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.3121,3.0,0.00372994,0.0,-0.00144644,-9999,-1.23471,0.0,0.478807,-9999,1.88509,0.0,-9999,1.87429,1.88147,1.89253,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199605,11.058,0.0,446.969,176.052,0.0,325.452,0.0,3.828,0.0,101.352,0.0,2.199,0.0,3.113,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.3408,3.0,0.00373554,0.0,0.00380025,-9999,-0.733207,0.0,-0.745909,-9999,1.88951,0.0,-9999,1.87906,1.88555,1.89625,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199606,15.693,0.00416667,483.36,227.265,0.00486111,339.392,0.0,6.197,0.0,102.043,0.0,0.776,0.0,2.409,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.3121,3.0,0.00460449,0.004167,0.00858512,-9999,-3.04653,0.004167,-5.68028,-9999,1.88509,0.0,-9999,1.87429,1.88147,1.89253,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199607,15.971,1.0,463.6,202.358,1.0,342.902,0.0,5.668,0.0,101.835,0.999328,1.126,0.999328,3.284,0.829973,0.47690168325,0.772849462366,127.502902654,0.999327956989,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.3407,3.0,23.925,1.0,41.6792,-9999,42.5067,1.0,74.0501,-9999,1.87748,0.0,-9999,1.86598,1.87409,1.88586,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199608,16.901,0.998656,393.997,165.88,0.982527,348.207,0.0,5.423,0.0,101.468,0.968414,3.942,0.968414,2.925,0.485215,-9999,-9999,100.146527778,0.967741935484,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.2549,3.0,40.0162,0.998656,69.7113,-9999,5.85405,0.998656,10.1982,-9999,1.88826,0.0,-9999,1.87782,1.88477,1.89547,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199609,13.092,0.983333,296.512,130.501,0.990278,328.073,0.0,3.625,0.0,101.655,0.979861,0.815,0.979861,3.126,0.513194,-9999,-9999,70.7472162258,0.979861111111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.3121,3.0,34.2114,0.983333,55.4105,-9999,11.162,0.983333,18.0785,-9999,1.88509,0.0,-9999,1.87429,1.88147,1.89253,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199610,11.249,1.0,194.462,78.204,1.0,322.531,0.0,2.5,0.0,101.572,0.999328,2.016,0.999328,3.315,0.660618,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-10.8952,3.0,16.4968,1.0,7.31976,-9999,-3.4084,1.0,-1.51233,-9999,1.88951,0.0,-9999,1.87906,1.88555,1.89625,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
