TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,3.727,0.0,103.126,23.401,0.675403,298.774,0.0,0.518,0.0,98.946,0.0,2.845,0.0,3.922,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.46556,0.046371,44.9365,0.0,47.445,-9999,15.2646,0.0,16.1168,-9999,1.41076,0.0,-9999,1.22655,1.36707,1.47991,0.0,0.0,0.0,1.25879,1.1839,1.26699,1.37861,-0.108273,-0.17969,-0.134281,-0.0901214,1.15918,1.15918,1.27169,1.27497,0.0501361,0.0358454,0.0496683,0.0501361,-9999,-9999
200402,5.188,0.0,168.275,59.98,0.611351,294.178,0.0,1.21,0.0,99.91,0.0,1.416,0.0,3.552,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.72368,0.0,44.9159,0.0,91.8457,-9999,15.6055,0.0,31.9108,-9999,1.40079,0.0,-9999,1.25008,1.36864,1.46346,0.0,0.0,0.0,1.41305,1.30582,1.41001,1.50251,0.0469551,-0.0362801,0.0129887,0.0484907,1.19123,1.19123,1.30686,1.31023,0.12742,0.0915194,0.126522,0.127356,-9999,-9999
200403,6.891,0.101478,265.921,118.164,0.532258,289.754,0.0,1.939,0.101478,100.021,0.0,1.127,0.0,3.111,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.45414,0.101478,45.4804,0.09543,47.9523,0.945908,16.9634,0.101478,17.8854,0.424102,1.39245,0.0907258,0.0161129,1.22958,1.36,1.45237,0.0967742,0.0907258,0.0840054,1.59015,1.4242,1.59157,1.64579,0.230144,0.136129,0.173488,0.199554,1.22897,1.22897,1.34826,1.35173,0.247861,0.179242,0.245701,0.247861,-9999,-9999
200404,9.883,0.935417,368.972,165.512,0.940972,312.666,0.0,3.592,0.935417,100.036,0.863194,1.352,0.345139,3.411,0.98125,0.216459414084,0.695138888889,92.2819814793,0.711111111111,-9999,-9999,-9999,-9999,-9999,-9999,401.164,0.997222,9.686,9.615,8.771,8.625,8.538,0.935417,0.935417,0.934722,0.935417,0.935417,32.773,37.677,40.483,-9999,0.934722,0.935417,0.935417,-9999,2.54712,0.934722,58.4926,0.9875,61.6717,0.868203,14.7192,0.993056,15.5192,0.269517,1.37786,0.908333,0.0112594,1.26454,1.29937,1.34431,0.936111,0.932639,0.929167,2.11234,1.8688,2.10054,2.1355,0.765823,0.590285,0.741082,0.790409,1.83899,1.83024,1.88086,1.9465,1.47454,0.822548,0.903695,1.09217,-9999,-9999
200405,11.824,1.0,448.4,210.269,1.0,315.736,0.0,4.176,1.0,100.5,1.0,1.435,1.0,2.234,0.914651,0.191180438528,0.627016129032,98.0024251987,0.998655913978,-9999,-9999,-9999,-9999,-9999,-9999,404.586,0.998656,13.509,13.408,12.539,12.36,12.096,1.0,1.0,1.0,1.0,1.0,29.404,36.73,40.095,-9999,1.0,1.0,1.0,-9999,2.75837,1.0,56.7765,0.993952,61.6312,0.690541,30.5585,0.99664,33.1714,0.310136,0.343361,0.918683,0.0333124,0.197971,0.514389,0.640376,0.890457,0.93078,0.979839,2.55253,2.43137,2.47233,2.55239,2.03815,1.82053,2.00376,2.24002,2.31665,2.22198,2.38741,2.66609,1.78886,1.65189,1.78886,1.98186,-9999,-9999
200406,15.247,1.0,483.822,219.442,1.0,337.839,0.0,3.902,1.0,100.699,1.0,2.247,0.994444,2.389,0.991667,0.242018427661,0.879166666667,114.384168851,0.99375,-9999,-9999,-9999,-9999,-9999,-9999,398.197,0.999306,16.443,16.818,16.035,15.781,15.357,1.0,1.0,1.0,1.0,1.0,28.001,36.063,39.698,-9999,1.0,1.0,1.0,-9999,6.45775,1.0,82.117,0.997917,94.4979,0.767659,11.7298,1.0,13.4983,0.333606,-7.48739,0.976389,0.06541,-7.59979,-7.43488,-7.30198,0.974306,0.979861,0.993056,4.3959,4.30553,4.36477,4.40823,11.8291,11.6758,11.7652,11.8582,4.92826,4.81798,4.87814,4.90689,12.1895,12.2347,12.2633,12.2873,-9999,-9999
200407,16.302,1.0,464.535,212.699,1.0,345.711,0.0,4.075,1.0,100.527,1.0,3.551,0.954973,2.253,0.995296,0.229413931116,0.889112903226,110.735959171,0.989919354839,-9999,-9999,-9999,-9999,-9999,-9999,401.705,1.0,17.67,17.86,17.22,16.919,16.548,1.0,1.0,1.0,1.0,1.0,27.554,35.866,39.746,-9999,1.0,1.0,1.0,-9999,7.9132,1.0,80.6811,0.99664,93.2811,0.626867,7.31432,0.997984,8.4566,0.287126,-9.6925,0.973118,0.0716384,-9.84027,-9.71249,-9.68109,0.944892,0.956989,0.985215,4.72816,4.66574,4.74188,4.82434,14.4384,14.3538,14.4511,14.6544,5.07842,5.06919,5.38144,5.52245,15.1565,14.533,14.8088,15.068,-9999,-9999
200408,17.837,1.0,396.486,169.737,1.0,356.411,0.0,4.042,1.0,100.112,0.999328,4.101,0.952957,2.641,0.99328,0.260757438461,0.902553763441,89.6538784966,0.985887096774,324.825498366,0.788306451613,-9999,-9999,-9999,-9999,402.451,1.0,18.355,18.88,18.186,18.215,18.309,1.0,1.0,1.0,1.0,1.0,27.259,36.451,40.256,-9999,1.0,1.0,1.0,-9999,3.04408,1.0,64.8965,0.998656,91.991,0.593492,-3.99176,0.995968,-5.65834,0.323038,-6.3193,0.953629,0.0535801,-6.2995,-6.27608,-6.25479,0.987903,0.950941,0.949597,4.23,4.20742,4.24569,4.29905,10.5497,10.5169,10.5403,10.5685,4.97522,4.53289,4.81214,5.06082,11.1523,10.7102,10.885,11.0496,-9999,-9999
200409,14.987,0.998611,300.637,144.549,0.998611,337.554,0.0,3.693,0.998611,100.783,0.996528,1.706,0.984028,2.946,0.990972,0.279212847537,0.904166666667,69.2614181378,0.983333333333,296.560019592,0.982638888889,-9999,-9999,-9999,-9999,399.434,0.997917,15.084,15.496,14.827,14.997,15.612,0.998611,0.998611,0.998611,0.998611,0.998611,26.63,36.528,40.821,-9999,0.998611,0.998611,0.998611,-9999,3.99119,0.998611,49.564,0.995139,74.2074,0.440805,-5.85825,0.996528,-8.77099,0.360843,-3.81612,0.984722,0.0539717,-3.8987,-3.86189,-3.81942,0.996528,0.974306,0.98125,3.6925,3.52454,3.64212,3.67058,7.53151,7.42412,7.46182,7.50924,3.63495,3.56076,3.66525,3.8136,7.95487,7.81551,7.88209,7.91752,-9999,-9999
200410,11.175,1.0,199.597,78.592,1.0,320.739,0.0,2.233,1.0,99.885,0.998656,1.631,0.986559,4.007,0.991935,0.240384428901,0.926075268817,32.1457532601,0.98185483871,168.391909663,0.981182795699,-9999,-9999,-9999,-9999,401.887,1.0,12.067,11.016,10.407,10.856,12.058,0.999328,1.0,1.0,1.0,1.0,27.147,36.771,40.6,-9999,1.0,1.0,1.0,-9999,-2.8195,1.0,16.7415,0.997312,25.0654,0.302799,-6.52988,1.0,-9.77655,0.25471,3.08227,0.971774,0.0388877,2.98292,3.02148,3.04798,0.982527,0.983871,0.981855,3.03728,2.95277,3.01507,3.04631,-0.048341,-0.0450588,-0.0407234,0.00698086,3.04192,2.99874,3.03498,3.18542,2.6188,2.48242,2.59894,2.61647,-9999,-9999
