TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199601,-0.486,0.0,104.85,36.279,0.673387,269.337,0.0,0.637,0.0,95.8,0.0,0.748,0.0,2.382,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,70.6154,0.0,74.257,-9999,43.5504,0.0,45.7963,-9999,-5.12568,0.0,-9999,-5.25023,-5.108,-4.92738,0.0,0.0,0.0,2.35394,2.08505,2.19455,5.91765,7.61552,7.2138,7.4127,10.81,2.72408,1.36099,3.3944,5.31088,2.79297,2.30752,2.93891,3.23664,-9999,-9999
199602,-1.473,0.0,170.014,50.431,0.611351,272.374,0.0,0.501,0.0,95.629,0.0,2.891,0.0,2.887,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,70.5616,0.0,132.569,-9999,44.0597,0.0,82.7781,-9999,-5.12941,0.0,-9999,-5.25748,-5.11388,-4.93658,0.0,0.0,0.0,2.26682,2.00025,2.10099,5.65448,7.53237,7.1206,7.32937,10.5605,2.65829,1.32813,3.14858,5.18262,3.65813,2.98927,3.74058,4.11021,-9999,-9999
199603,1.041,0.0,267.429,114.872,0.53293,262.805,0.0,1.191,0.0,96.097,0.0,0.954,0.0,2.083,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,70.6154,0.0,109.213,-9999,43.5504,0.0,67.3544,-9999,-5.12568,0.0,-9999,-5.25023,-5.108,-4.92738,0.0,0.0,0.0,2.48664,2.21583,2.33975,6.32854,7.74822,7.36819,7.54936,11.2209,2.81999,1.68581,3.81259,5.49788,6.89131,5.48104,6.61269,7.41717,-9999,-9999
199604,7.321,0.0,369.986,188.79,0.452083,280.401,0.0,4.122,0.0,96.171,0.0,0.462,0.0,1.961,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,70.5894,0.0,100.464,-9999,43.7966,0.0,62.3321,-9999,-5.12748,0.0,-9999,-5.2533,-5.11084,-4.92916,0.0,0.0,0.0,3.01673,2.76863,2.93473,8.00071,8.28023,7.96491,8.15643,12.8997,3.19193,3.05086,4.6761,6.223,9.16541,7.83416,9.16161,9.7188,-9999,-9999
199605,9.377,0.0,448.856,167.465,0.387769,316.145,0.0,3.167,0.0,95.821,0.0,2.692,0.0,2.462,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.72531,0.0651882,70.7643,0.0,89.6743,-9999,42.9615,0.0,54.4418,-9999,-4.99435,0.0,-9999,-5.13846,-5.01285,-4.79552,0.0,0.0,0.0,3.19151,2.95319,3.12412,8.55115,8.28584,8.04135,8.22186,13.2649,3.31475,3.16825,4.85603,6.46246,9.24471,7.46745,8.9212,9.87498,-9999,-9999
199606,13.893,0.0,483.967,221.04,0.354167,326.138,0.0,5.499,0.0,96.522,0.0,1.636,0.0,1.887,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.59709,0.0,71.0917,0.0,91.2583,-9999,41.6024,0.0,53.4038,-9999,-4.82406,0.0,-9999,-5.11136,-4.84961,-4.59873,0.0,0.0,0.0,3.54641,3.35685,3.52792,9.71836,8.41578,8.33784,8.59409,13.9996,3.54653,3.38979,5.76869,7.47537,9.37502,8.97466,9.42407,10.4841,-9999,-9999
199607,14.286,0.077957,464.832,210.143,0.366935,329.732,0.0,5.252,0.077957,96.272,0.0,1.782,0.0,2.287,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.50993,0.0772849,71.0955,0.077957,103.515,0.782096,40.8179,0.077957,59.4306,1.20633,-4.85218,0.061828,0.124339,-5.11887,-4.8863,-4.64957,0.0732527,0.061828,0.061828,3.57956,3.39408,3.56523,9.82491,8.48432,8.40367,8.62377,14.1507,3.56897,3.41124,5.80519,7.52533,9.31204,8.66969,9.35261,10.2025,-9999,-9999
199608,14.681,0.964382,397.284,172.318,0.96707,337.891,0.0,3.729,0.964382,96.21,0.932796,4.397,0.997984,2.008,0.515457,-9999,-9999,116.165194785,0.932795698925,371.442303009,0.932795698925,359.258,0.881048,13.873,13.535,13.601,13.057,12.172,-9999,0.964382,0.964382,0.964382,0.964382,0.964382,-9999,24.822,23.603,21.084,-9999,-9999,0.964382,0.964382,0.964382,-9999,-9999,-0.698585,0.962366,40.7815,0.853495,59.3776,0.444481,37.5984,0.906586,54.7432,0.698352,-3.35257,0.756048,0.0898931,-3.41291,-3.13102,-2.86259,0.757392,0.787634,0.834005,4.32486,4.18121,4.52254,4.97619,7.45588,7.43577,7.59363,7.97777,3.78831,3.8572,4.16377,4.42731,6.74327,6.74327,6.8933,7.05244,-9999,-9999
199609,9.485,1.0,301.968,116.0,1.0,314.062,0.0,1.913,1.0,96.266,0.999306,1.403,0.999306,1.96,0.972222,0.453134391614,0.779166666667,69.5275856974,0.999305555556,238.48115396,0.999305555556,370.634,1.0,10.062,9.792,9.99,10.119,10.29,-9999,1.0,1.0,1.0,1.0,1.0,-9999,26.801,25.079,21.829,-9999,-9999,1.0,1.0,1.0,-9999,-9999,0.0323401,1.0,31.7284,0.999306,39.57,0.427504,23.9304,0.990972,29.8447,0.65878,-2.90883,0.975694,0.0625106,-2.9911,-2.94434,-2.90883,0.938889,0.982639,0.975694,3.77683,3.71081,3.84612,4.00518,6.73452,6.68176,6.75568,6.91923,2.77564,2.80688,2.93801,3.36472,6.25012,6.16314,6.23336,6.41349,-9999,-9999
199610,8.041,0.988575,201.262,72.107,0.989247,310.905,0.0,1.505,0.988575,96.35,0.982527,2.39,1.0,2.017,0.995968,0.471531047244,0.771505376344,31.2119117221,0.98252688172,142.212181896,0.98252688172,379.936,0.991263,8.938,8.671,8.881,9.065,9.255,-9999,0.988575,0.988575,0.988575,0.988575,0.988575,-9999,27.71,25.616,22.0,-9999,-9999,0.988575,0.988575,0.988575,-9999,-9999,-1.03706,0.987903,17.7787,0.983199,27.1125,0.313786,4.1258,0.995296,6.29184,0.608249,-0.807695,0.976478,0.0416868,-0.74466,-0.686862,-0.612747,0.983199,0.979839,0.958333,2.58969,2.38906,2.49816,2.61684,3.23422,3.00238,3.1984,3.308,2.49408,1.9887,2.17742,2.49408,2.71653,2.71653,3.00154,3.20597,-9999,-9999
