TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200201,24.984,0.936828,435.175,183.091,0.938172,419.152,0.0,4.731,1.0,97.744,0.900538,8.972,0.0,1.949,0.725806,0.294488280009,0.586021505376,-9999,-9999,342.438019881,0.904569892473,384.164,0.94086,-9999,1.0,70.1543,1.0,-9999,1.29239,19.3639,0.997312,-9999,0.592974,2.50629,0.91129,0.138683,2.35115,2.51066,2.57831,0.918011,0.905914,0.900538,10.8134,10.5906,10.7207,10.8134,8.24841,8.11227,8.1921,8.37959,11.5303,11.4203,12.5798,13.2235,9.46693,8.70689,9.35912,9.52358,-9999,-9999
200202,25.051,0.849702,444.532,196.314,0.848214,422.169,0.0,4.161,1.0,97.716,0.971726,10.588,0.0,2.089,0.672619,0.364395583602,0.580357142857,-9999,-9999,377.806712717,0.723214285714,382.87,0.849702,-9999,1.0,88.9307,1.0,-9999,1.4896,17.5217,0.998512,-9999,0.648494,1.36622,0.818452,0.138403,1.1631,1.35868,1.42522,0.840774,0.785714,0.78869,11.1751,10.8062,11.0111,11.1628,9.77465,9.6004,9.69005,9.76759,13.0088,10.6969,13.0358,13.5937,10.425,9.2214,10.477,10.9394,-9999,-9999
200203,24.751,0.932796,442.253,188.208,0.932796,421.432,0.0,3.798,1.0,97.777,1.0,9.076,0.0,1.929,0.831989,0.286022972581,0.762096774194,109.267449744,0.836021505376,365.150508356,0.858870967742,381.529,0.932796,-9999,1.0,76.5534,0.998656,-9999,1.32915,16.5785,0.995968,-9999,0.538763,1.68475,0.896505,0.134052,1.51222,1.58307,1.65051,0.879032,0.891129,0.899194,11.3247,10.8279,11.1513,11.3209,9.66701,9.20607,9.5754,9.70114,14.93,12.0198,13.615,14.5842,11.5726,10.1697,10.4716,11.5291,-9999,-9999
200204,24.949,0.755556,422.151,188.232,0.941667,422.839,0.0,3.761,1.0,97.706,1.0,8.848,0.0,1.847,0.766667,0.302967099734,0.668055555556,121.450324588,0.834722222222,374.783129319,0.886111111111,381.397,0.940278,-9999,1.0,78.7324,1.0,-9999,1.25123,20.0851,0.998611,-9999,0.532087,1.17718,0.929167,0.164271,1.14104,1.19926,1.22368,0.931944,0.927778,0.923611,9.55874,9.30506,9.55874,9.97981,8.34101,8.19606,8.38761,8.74186,10.3358,10.5224,10.713,11.0731,9.19757,9.19757,9.28027,9.41322,-9999,-9999
200205,25.64,0.819892,394.222,199.117,0.978495,418.739,0.0,4.187,1.0,97.744,1.0,7.965,0.0,2.033,0.94086,0.308964230376,0.900537634409,120.852001124,0.91935483871,373.068933263,0.967741935484,381.331,0.978495,-9999,1.0,80.0784,1.0,-9999,1.29407,18.4391,0.998656,-9999,0.544523,1.28124,0.965054,0.135777,1.09337,1.41605,1.51353,0.969086,0.96371,0.956989,9.01477,8.41267,9.17056,10.3375,7.54324,7.31929,7.74725,8.83136,9.93787,10.9494,12.7622,13.2942,9.84698,8.88684,9.84698,10.1428,-9999,-9999
200206,25.204,0.826389,376.952,195.651,0.827778,412.717,0.0,4.858,1.0,97.935,1.0,6.424,0.0,1.875,0.670833,0.29051229202,0.625,138.464663919,0.636111111111,404.821154962,0.677777777778,378.628,0.826389,-9999,1.0,85.4878,1.0,-9999,1.43012,20.1834,0.998611,-9999,0.511706,0.676509,0.8,0.181454,0.227688,0.266246,0.549589,0.752778,0.723611,0.759722,8.10732,8.09085,8.36689,8.60552,7.85396,7.83371,7.91714,8.18425,12.4024,12.2046,12.4469,12.7872,8.88006,9.01887,9.17946,9.39273,-9999,-9999
200207,26.003,0.990591,382.371,230.576,0.991935,405.8,0.0,5.894,1.0,97.898,1.0,6.199,0.0,2.089,0.971774,0.297594748886,0.934139784946,140.503965398,0.940860215054,442.588745987,0.986559139785,379.49,0.990591,-9999,1.0,86.7898,1.0,-9999,1.43348,26.8828,1.0,-9999,0.571762,1.38842,0.951613,0.159111,1.14731,1.34019,1.53776,0.807796,0.916667,0.939516,9.25014,8.52016,8.78984,9.25014,7.71237,7.14564,7.58671,7.78487,12.1091,11.6677,12.4233,13.1206,9.22523,8.93601,9.24143,9.56554,-9999,-9999
200208,26.538,1.0,405.687,250.023,0.994624,401.662,0.0,6.357,1.0,97.828,1.0,5.282,0.0,2.242,0.997312,0.31674885248,0.986559139785,153.491125457,0.981182795699,483.386939076,0.977150537634,379.918,1.0,-9999,1.0,91.1898,1.0,-9999,1.39318,32.202,1.0,-9999,0.65901,0.69037,0.965054,0.106893,0.530273,1.25352,1.79158,0.969086,0.956989,0.821237,9.55519,8.17825,10.2935,10.6484,8.42083,7.78282,8.62284,9.05699,11.6987,9.70969,11.7185,13.583,9.04998,8.30674,9.09426,10.0227,-9999,-9999
200209,27.109,0.998611,429.462,267.17,0.997222,403.721,0.0,9.3,1.0,97.769,1.0,2.89,0.0,2.399,0.945833,0.355545341615,0.923611111111,171.577943425,0.966666666667,530.243175409,0.943055555556,377.005,0.995833,-9999,1.0,102.832,0.998611,-9999,1.50918,33.9453,1.0,-9999,0.706667,-0.298592,0.948611,0.111578,-0.5148,-0.216245,0.054624,0.961111,0.947222,0.938889,8.54441,7.96131,8.65877,9.08399,8.76992,8.4021,8.87502,9.0624,9.23112,8.58511,9.13286,9.63666,8.81266,8.65787,8.94167,9.17715,-9999,-9999
200210,26.965,0.987903,439.812,256.66,0.979839,410.07,0.0,9.146,1.0,97.604,1.0,1.751,0.0,2.485,0.971774,0.389966932145,0.967741935484,168.216922344,0.958333333333,513.61605877,0.915322580645,378.135,0.991935,-9999,1.0,102.173,1.0,-9999,1.39267,25.025,1.0,-9999,0.663439,-1.49219,0.936828,0.114675,-1.56884,-1.49329,-1.44205,0.944892,0.939516,0.919355,8.10173,7.74593,8.10173,8.43119,9.60976,9.30039,9.60976,9.87757,11.1123,10.1762,10.5091,10.9325,11.0149,10.9629,11.0533,11.2937,-9999,-9999
