TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200001,25.048,0.0,435.833,157.811,0.0,419.499,0.0,8.146,0.0,98.495,0.0,4.413,0.0,1.396,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,86.075,0.0,90.6242,-9999,10.8374,0.0,11.4101,-9999,-2.3007,0.0,-9999,-2.5931,-2.35379,-2.00977,0.0,0.0,0.0,4.87863,4.63436,4.87863,5.32329,7.36578,7.17932,7.27038,7.36578,4.98957,4.98957,5.41719,5.75154,7.34649,7.22977,7.34649,7.45751,-9999,0.0
200002,24.814,0.0,444.975,149.507,0.0,419.65,0.0,7.795,0.0,98.643,0.0,5.102,0.0,1.507,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,86.0835,0.0,93.8105,-9999,10.6303,0.0,11.5845,-9999,-2.37153,0.0,-9999,-2.66847,-2.42466,-2.05607,0.0,0.0,0.0,4.84703,4.61685,4.84703,5.30295,7.39776,7.21857,7.29914,7.39776,4.97807,4.97807,5.40471,5.73829,6.99631,6.88456,6.99631,7.10199,-9999,0.0
200003,24.755,0.0,441.859,122.84,0.0,423.182,0.0,7.522,0.0,98.554,0.0,7.926,0.0,1.502,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.86276,0.961694,86.075,0.0,95.6019,-9999,10.8374,0.0,12.0369,-9999,-2.3007,0.0,-9999,-2.5931,-2.35379,-2.00977,0.0,0.0,0.0,4.83912,4.61257,4.83912,5.29796,7.31704,7.13982,7.21172,7.31704,4.9753,4.9753,5.4017,5.73509,5.85816,5.76277,5.85816,5.94651,-9999,0.0
200004,24.832,0.0,420.875,126.071,0.0,424.935,0.0,7.519,0.0,98.638,0.0,6.079,0.0,1.125,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.23051,0.0,86.0791,0.0,96.2538,-9999,10.7373,0.0,12.0064,-9999,-2.33493,0.0,-9999,-2.62953,-2.38805,-2.03215,0.0,0.0,0.0,4.84952,4.61843,4.84952,5.30477,7.364,7.18446,7.2632,7.364,4.97918,4.97918,5.40591,5.73957,6.09025,5.99005,6.09025,6.22287,-9999,0.0
200005,25.318,0.0,392.724,150.932,0.0,421.856,0.0,8.02,0.0,98.66,0.0,4.54,0.0,1.519,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.22488,0.0,86.2287,0.0,97.8002,-9999,10.7384,0.0,12.1794,-9999,-2.34912,0.0,-9999,-2.64712,-2.40172,-2.03512,0.0,0.0,0.0,4.91511,4.65462,4.91511,5.34684,7.45858,7.26423,7.3551,7.45858,5.00288,5.00288,5.43164,5.76689,7.03077,6.91896,7.03077,7.13701,-9999,0.0
200006,25.324,0.0729167,375.967,158.077,0.0423611,415.161,0.0,8.282,0.0520833,98.709,0.0444444,3.764,0.0722222,1.847,0.0486111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.2163,0.0729167,86.4275,0.045139,98.9716,1.89429,10.4614,0.047222,11.9798,0.676551,-2.37777,0.0506944,0.269392,-2.6884,-2.42879,-2.04174,0.0513889,0.0506944,0.0493056,4.92817,4.66045,4.92817,5.38523,7.49582,7.30594,7.39079,7.49582,4.84969,4.84969,5.25693,5.75961,7.23209,7.10791,7.23209,7.42149,-9999,0.0
200007,26.079,0.874328,382.195,173.377,0.882392,414.275,0.0,8.245,0.864919,98.701,0.745296,5.019,1.0,1.773,0.735887,0.264615356901,0.725806451613,129.289423591,0.758064516129,396.071419203,0.748655913978,12.2323046585,0.756048387097,-9999,-9999,-9999,-9999,388.683,0.969086,-9999,-9999,43.041,0.983871,-1.18312,0.983871,90.0888,0.86828,103.164,1.25466,18.9422,0.867608,21.6914,0.472168,-0.834345,0.865591,0.163793,-0.976813,-0.869087,-0.634014,0.865591,0.865591,0.850806,6.50934,6.07089,6.50934,6.94399,7.40723,7.04521,7.34369,7.578,6.4521,5.44661,5.72907,6.94129,6.96974,7.01624,7.16849,7.34108,-9999,0.0
200008,26.691,0.981855,406.055,224.98,0.984543,409.593,0.0,9.782,0.981183,98.66,0.920027,2.973,1.0,2.162,0.93078,0.2950147927,0.941532258065,155.643969961,0.942876344086,479.585273716,0.934811827957,14.3899234129,0.939516129032,-9999,-9999,-9999,-9999,392.411,0.979167,-9999,-9999,42.235,0.983199,-0.758626,0.983199,115.895,0.977823,127.883,1.37966,24.6973,0.977823,27.252,0.513577,-1.01533,0.978495,0.169871,-1.3252,-1.05037,-0.910839,0.979167,0.979167,0.978495,6.93424,6.20506,6.81389,6.97955,8.02992,7.52992,7.92196,7.96089,5.89353,5.55817,5.78547,5.94164,7.46363,7.46363,7.49478,7.68219,-9999,0.0
200009,25.91,0.99375,429.912,218.261,0.995833,413.155,0.0,7.877,0.990278,98.55,0.944444,3.011,1.0,2.167,0.972917,0.295957598975,0.985416666667,144.610520109,0.984722222222,448.408587161,0.981944444444,12.7665798362,0.983333333333,-9999,-9999,-9999,-9999,395.65,0.993056,-9999,-9999,40.278,1.0,-1.76367,1.0,106.183,0.985417,123.52,1.24234,21.6515,0.986806,25.1867,0.485669,-0.939804,0.988889,0.180545,-1.16345,-1.07439,-0.951387,0.990278,0.988889,0.988889,7.3833,6.98541,7.19846,7.3833,8.27285,8.16517,8.27666,8.3231,9.49048,9.5791,9.80539,10.1855,9.98133,9.93752,9.98133,10.2243,-9999,0.0
200010,26.484,0.983199,440.106,211.764,0.872312,413.017,0.0,8.664,0.88172,98.527,0.837366,1.8,1.0,2.254,0.84879,0.298586532532,0.831317204301,146.352171534,0.827956989247,439.171699974,0.827956989247,13.06975028,0.815860215054,-9999,-9999,-9999,-9999,396.462,1.0,-9999,-9999,37.035,0.999328,-0.332884,0.999328,110.026,0.857527,124.367,1.12217,19.7914,0.863575,22.3709,0.447348,-2.56383,0.879032,0.168094,-2.81369,-2.68776,-2.42563,0.879032,0.879032,0.877688,7.45064,6.56783,7.22517,7.58299,9.91293,9.4306,9.91293,10.1059,8.94347,8.94308,9.30909,9.5157,10.7296,10.7296,10.745,10.9553,12.7596,0.977151
