TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200301,-16.124,0.0,119.559,54.412,0.0,205.179,0.0,0.76,0.0,97.096,0.0,0.839,0.0,3.272,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,57.6589,0.0,66.2766,-9999,51.7896,0.0,59.5301,-9999,-1.62618,0.0,-9999,-2.097,-1.76902,-0.726478,0.0,0.0,0.0,0.834393,1.00191,1.17633,1.49446,2.66183,1.83851,2.66183,3.50897,1.95486,1.1502,1.77239,2.05848,2.68103,2.03862,2.53891,3.34404,-9999,-9999
200302,-16.231,0.0,183.192,97.513,0.0,196.554,0.0,0.934,0.0,97.175,0.0,1.06,0.0,3.323,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,57.6016,0.0,67.5957,-9999,51.8692,0.0,60.8687,-9999,-1.60944,0.0,-9999,-2.07856,-1.75559,-0.712404,0.0,0.0,0.0,0.874148,1.03056,1.22618,1.5013,2.68866,1.89657,2.68866,3.51157,1.93565,1.19202,1.75497,2.03825,4.09062,3.24346,3.79741,4.80119,-9999,-9999
200303,-7.23,0.0,276.643,138.373,0.0,230.222,0.0,1.681,0.0,97.059,0.0,1.699,0.0,3.05,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,57.4933,0.0,69.647,-9999,50.7496,0.0,61.4777,-9999,-1.57938,0.0,-9999,-2.04853,-1.74728,-0.655318,0.0,0.0,0.0,2.17058,2.17679,2.44821,3.32637,3.86525,3.84116,4.40414,4.63151,2.83567,1.84077,2.57098,2.98597,5.2304,4.24659,4.87152,5.95197,-9999,-9999
200304,-0.606,0.0,375.372,197.538,0.0,252.883,0.0,3.089,0.0,97.651,0.0,1.676,0.0,3.262,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,57.584,0.0,67.4741,-9999,51.4561,0.0,60.2938,-9999,-1.60485,0.0,-9999,-2.07457,-1.75735,-0.697589,0.0,0.0,0.0,3.36472,3.22051,3.5999,5.25992,4.98417,4.99801,5.72182,5.83444,3.45144,2.2405,3.12927,3.75723,6.62923,5.53224,6.08143,7.32441,-9999,-9999
200305,10.515,0.0,450.687,228.759,0.0,290.816,0.0,6.198,0.0,97.489,0.0,2.044,0.0,2.947,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.51659,0.368952,57.6589,0.0,63.8065,-9999,51.7896,0.0,57.3114,-9999,-1.62618,0.0,-9999,-2.097,-1.76902,-0.726478,0.0,0.0,0.0,6.00647,5.24756,5.64524,9.35083,7.34929,7.23107,7.35384,10.11,4.3246,3.13627,4.20263,4.8261,6.74042,5.95845,6.53065,7.43349,-9999,-9999
200306,16.031,0.0,484.783,260.682,0.0,316.027,0.0,8.708,0.0,97.228,0.0,1.78,0.0,2.7,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.47256,0.0,57.584,0.0,61.8118,-9999,51.4561,0.0,55.234,-9999,-1.60485,0.0,-9999,-2.07457,-1.75735,-0.697589,0.0,0.0,0.0,7.50769,6.13751,6.82553,11.215,8.63477,8.11244,8.4141,12.0158,4.68081,3.79911,4.5488,5.22362,6.93298,6.37831,6.93298,7.7229,-9999,-9999
200307,17.455,0.0,468.534,207.35,0.0,342.09,0.0,6.673,0.0,97.136,0.0,3.943,0.0,3.166,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.47998,0.0,57.5999,0.0,66.3197,-9999,51.8293,0.0,59.6754,-9999,-1.609,0.0,-9999,-2.07818,-1.75576,-0.710971,0.0,0.0,0.0,7.89054,6.37501,7.1605,11.7046,8.97834,8.35387,8.75883,12.5354,4.77975,3.87941,4.64494,5.33403,6.53362,5.79494,6.47608,7.35263,-9999,-9999
200308,16.621,0.430108,406.429,184.066,0.590726,348.702,0.590726,4.795,0.430108,97.519,0.221774,2.464,0.49664,3.055,0.221774,-9999,-9999,120.253292824,0.58064516129,406.911065972,0.58064516129,191.879381944,0.58064516129,13.590260578,0.55376344086,20.467807727,0.575268817204,394.47915162,0.58064516129,395.676,0.915995,14.629,0.72379,-9999,-9999,3.77715,0.695565,60.4845,0.183468,68.1856,0.816212,42.3283,0.183468,47.7177,1.11349,-1.95966,0.106855,0.154908,-2.24107,-1.95966,-1.23275,0.110887,0.106855,0.102151,7.66128,6.23975,6.96173,11.4206,9.12436,8.37496,9.09705,12.4393,4.7262,3.83595,4.5929,5.27427,6.00424,5.12626,5.78249,6.81073,-9999,-9999
200309,12.546,1.0,316.242,137.498,1.0,324.181,1.0,3.56,1.0,97.435,1.0,3.198,1.0,3.552,1.0,0.411551328502,0.998611111111,73.8749284722,1.0,278.698954167,1.0,148.555802083,1.0,10.5406351838,0.924305555556,13.7369088956,0.975,374.08335,1.0,382.305,0.995139,11.392,1.0,-9999,-9999,0.879739,1.0,48.191,1.0,54.3269,0.655176,16.4894,0.998611,18.5888,0.737738,-0.372337,0.979167,0.122255,-0.517288,-0.372337,0.0205149,0.9875,0.979167,0.918056,4.43765,4.15784,4.31199,5.5829,4.60834,4.59921,4.67628,5.41572,4.99671,4.62306,4.95587,5.29112,4.95319,4.5867,4.84708,4.95852,-9999,-9999
200310,3.634,1.0,218.295,82.095,0.887097,298.543,0.885753,1.743,0.934812,97.113,1.0,1.473,1.0,3.24,1.0,0.449958333333,0.961021505376,43.6339891975,0.870967741935,175.736108796,0.870967741935,112.795050154,0.870967741935,8.26154581775,0.82997311828,8.44286798004,0.861559139785,333.612960648,0.870967741935,382.05,0.997312,4.839,1.0,-9999,-9999,-3.50061,1.0,22.2464,0.995968,27.5531,0.430104,11.6964,0.991263,14.4865,0.558486,-0.139685,0.923387,0.0770182,-0.233542,-0.184726,-0.119325,0.919355,0.913306,0.933468,1.72443,1.64974,1.74883,1.8011,1.93084,1.89059,1.91384,1.9332,2.43974,2.30139,2.57193,3.20173,2.22813,2.23194,2.29128,2.49089,-9999,-9999
