TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199401,-29.421,0.0,66.8715,32.979,0.0,150.18,0.0,0.051,0.0,99.021,0.0,0.166,0.0,3.122,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,4.94556,0.0,-9999,-9999,107.19,0.0,-9999,-9999,0.69886,0.0,-9999,0.69886,0.704776,0.804757,0.0,0.0,0.0,0.0194903,0.0174447,0.0297105,0.0386114,-0.68642,-0.773547,-0.693497,-0.679536,0.00399542,0.00444509,0.00534424,0.00561619,0.0,0.0,0.0,0.0,-9999,-9999
199402,-25.085,0.0,128.937,70.837,0.0,160.035,0.0,0.134,0.0,98.604,0.0,0.4,0.0,3.188,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,4.85137,0.0,-9999,-9999,107.107,0.0,-9999,-9999,0.697149,0.0,-9999,0.697149,0.703269,0.804385,0.0,0.0,0.0,0.0422826,0.0381253,0.0619582,0.0783781,-0.671455,-0.740148,-0.671455,-0.655032,0.01424,0.0158837,0.0190673,0.0199371,0.0,0.0,0.0,0.0,-9999,-9999
199403,-8.844,0.194892,228.508,116.536,0.196909,232.668,0.0,0.919,0.0,97.947,0.0,1.01,0.182124,3.415,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,4.5807,0.0,-9999,-9999,91.3663,0.0,-9999,-9999,0.638668,0.0,-9999,0.638668,0.644533,0.73443,0.0,0.0,0.0,0.386953,0.373996,0.434679,0.451073,-0.317543,-0.308772,-0.284214,-0.202122,2.09777,2.10852,2.3684,2.84212,0.0,0.0,0.0,0.0,-9999,-9999
199404,-3.099,0.586806,342.177,224.351,0.594444,225.955,0.0,2.359,0.0,98.378,0.0,0.021,0.534028,3.385,0.489583,-9999,-9999,120.523844675,0.509027777778,-9999,-9999,363.228,0.5875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.665,0.584028,-9999,-9999,90.6603,0.584722,-9999,-9999,0.438037,0.579861,-9999,0.435287,0.441292,0.475002,0.579861,0.579861,0.580556,0.488603,0.472675,0.488391,0.491674,0.0308523,0.00982246,0.0308523,0.0494363,0.884618,0.891068,0.90607,1.11669,0.0700699,0.0594886,0.069124,0.0701164,-9999,-9999
199405,6.793,0.584005,435.229,211.562,0.588038,287.276,0.0,5.032,0.0,98.184,0.0,0.886,0.551075,3.582,0.530914,-9999,-9999,-9999,-9999,409.354641117,0.504704301075,361.69,0.579301,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.89,0.575941,-9999,-9999,64.2551,0.581989,-9999,-9999,-0.805745,0.557796,-9999,-0.881214,-0.805442,-0.778901,0.557796,0.557796,0.558468,1.71462,1.64645,1.7417,1.82278,2.66336,2.47991,2.59507,2.64671,1.53051,1.394,1.46393,1.48452,2.00301,1.99785,2.1247,2.21889,-9999,-9999
199406,15.312,0.950694,479.82,293.157,0.953472,309.902,0.0,9.118,0.0,98.047,0.0,1.072,0.925,3.066,0.895139,0.377898123467,0.810416666667,161.796007954,0.880555555556,563.505635754,0.879166666667,358.86,0.952083,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,63.6348,0.948611,-9999,-9999,88.6176,0.947917,-9999,-9999,-1.43906,0.944444,-9999,-1.48345,-1.43082,-1.35811,0.944444,0.944444,0.944444,2.81989,2.81989,2.87101,2.95963,4.45332,4.18717,4.31591,4.37919,2.52424,2.49454,2.63833,2.76747,4.12075,3.93085,4.08865,4.23047,-9999,-9999
199407,16.694,0.918011,459.134,241.989,0.834677,331.295,0.0,8.96,0.0,98.176,0.0,1.735,0.896505,3.357,0.775538,0.347707308561,0.70564516129,134.606979453,0.778897849462,458.814005667,0.778897849462,353.25,0.919355,13.294,11.281,8.348,1.758,-0.212,0.833333,0.833333,0.833333,0.833333,0.833333,-9999,1.0,60.6863,0.825941,-9999,-9999,67.2301,0.829301,-9999,-9999,0.670432,0.825269,-9999,0.532566,0.551033,0.634956,0.825269,0.825269,0.825269,6.34426,5.70371,5.94592,6.07692,5.16558,5.16558,5.37409,5.50884,4.2721,3.97581,4.09713,4.24906,4.2488,4.19359,4.31754,4.39328,-9999,-9999
199408,14.374,0.982527,381.169,192.498,0.197581,320.076,0.0,7.576,0.0,98.291,0.0,0.739,0.96371,3.444,0.425403,-9999,-9999,-9999,-9999,-9999,-9999,350.579,0.985215,10.388,9.67,7.93,3.197,0.324,0.986559,0.986559,0.986559,0.986559,0.986559,-9999,1.0,32.8634,0.455645,-9999,-9999,45.207,0.466398,-9999,-9999,-0.184197,0.380376,-9999,-0.184197,-0.107155,-0.0729582,0.380376,0.395161,0.391129,3.09443,2.8478,2.88065,2.95639,3.12801,2.94287,2.99542,3.13391,3.19812,3.12842,3.24489,3.47766,4.69825,4.55827,4.65233,4.71959,-9999,-9999
199409,11.419,0.951389,274.285,141.932,0.95625,307.662,0.0,5.122,0.0,98.112,0.0,0.605,0.838194,3.681,0.775,0.388997030543,0.69375,63.0857727355,0.891666666667,262.788250227,0.891666666667,355.764,0.956944,7.398,7.413,6.611,3.54,1.272,0.948611,0.948611,0.948611,0.948611,0.948611,-9999,1.0,32.9054,0.940278,-9999,-9999,26.508,0.94375,-9999,-9999,0.622045,0.935417,-9999,0.549229,0.572995,0.597671,0.935417,0.934722,0.934722,3.88617,3.70727,3.74266,3.80392,3.17845,3.15194,3.17311,3.20295,2.74099,2.65976,2.76207,2.82099,2.27386,2.43586,2.46388,2.51956,-9999,-9999
199410,2.297,0.993952,166.226,63.706,0.995968,288.552,0.0,1.395,0.0,97.918,0.0,0.451,0.981855,3.359,0.916667,0.400986811597,0.865591397849,24.7924778266,0.98185483871,120.745168845,0.98185483871,360.077,0.99664,0.286,1.275,1.557,1.598,1.147,0.993952,0.993952,0.993952,0.993952,0.993952,-9999,1.0,8.20756,0.989919,-9999,-9999,2.71163,0.991935,-9999,-9999,0.744117,0.988575,-9999,0.722156,0.737294,0.747555,0.988575,0.988575,0.988575,1.29928,1.27091,1.3035,1.33206,0.58618,0.552295,0.562109,0.578656,1.13094,1.04852,1.13094,1.20969,0.52372,0.550018,0.576479,0.605844,-9999,-9999
