TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200101,-15.624,0.0,66.6993,21.152,0.0,212.864,0.0,0.899,0.0,98.15,0.0,0.462,0.0,2.422,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,48.4408,0.0,-9999,-9999,41.0646,0.0,-9999,-9999,-1.51619,0.0,-9999,-1.52165,-1.51619,-1.51619,0.0,0.0,0.0,1.24476,0.762857,0.902856,1.24793,2.81429,2.36997,2.42709,2.78003,0.652159,0.546269,0.652159,0.667694,0.99922,0.99922,1.07215,1.07303,-9999,-9999
200102,-21.52,0.0,128.751,54.954,0.0,179.03,0.0,0.884,0.0,98.641,0.0,0.224,0.0,2.212,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,48.0033,0.0,-9999,-9999,40.7178,0.0,-9999,-9999,-1.52724,0.0,-9999,-1.53233,-1.52724,-1.52724,0.0,0.0,0.0,0.769398,0.387055,0.475403,0.754107,2.31755,1.96705,2.02775,2.31755,0.308404,0.243836,0.308404,0.318563,2.178,2.178,2.29961,2.30111,-9999,-9999
200103,-9.932,0.0,228.336,93.556,0.0,229.615,0.0,1.335,0.0,98.429,0.0,0.574,0.0,2.374,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,48.1437,0.0,-9999,-9999,40.3578,0.0,-9999,-9999,-1.50457,0.0,-9999,-1.50983,-1.50457,-1.50457,0.0,0.0,0.0,1.72748,1.25484,1.4125,1.73927,3.32628,2.80036,2.91707,3.27082,1.10758,0.97259,1.10758,1.12626,3.25417,3.25417,3.40326,3.40515,-9999,-9999
200104,-1.131,0.0,342.055,170.767,0.0,248.697,0.0,3.074,0.0,98.305,0.0,0.352,0.0,2.461,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,48.2024,0.0,-9999,-9999,40.7132,0.0,-9999,-9999,-1.51562,0.0,-9999,-1.5209,-1.51562,-1.51562,0.0,0.0,0.0,2.43917,2.09812,2.25756,2.52564,4.11899,3.65076,3.7886,4.05254,1.95353,1.81133,1.95353,1.97126,5.02439,5.02524,5.19559,5.19786,-9999,-9999
200105,6.743,0.0,435.17,184.205,0.0,291.43,0.0,4.866,0.0,97.925,0.0,1.57,0.0,2.954,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,48.4408,0.0,-9999,-9999,41.0646,0.0,-9999,-9999,-1.51619,0.0,-9999,-1.52165,-1.51619,-1.51619,0.0,0.0,0.0,3.03882,2.91443,3.04411,3.1889,4.78354,4.43636,4.56483,4.71055,2.77616,2.55258,2.76697,2.78912,5.33076,5.33177,5.5116,5.51401,-9999,-9999
200106,10.906,0.0,479.801,211.508,0.0,308.317,0.0,6.528,0.0,98.217,0.0,1.137,0.0,2.485,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,48.2024,0.0,-9999,-9999,40.7132,0.0,-9999,-9999,-1.51562,0.0,-9999,-1.5209,-1.51562,-1.51562,0.0,0.0,0.0,3.32981,3.34674,3.4583,3.51098,5.10729,4.85807,4.97567,5.04433,3.22555,3.00144,3.21813,3.23411,6.12447,6.12595,6.3282,6.33092,-9999,-9999
200107,16.117,0.234543,459.098,203.437,0.234543,340.988,0.0,7.325,0.234543,97.98,0.0,1.267,0.0,2.837,0.233199,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,50.7479,0.233871,-9999,0.803209,43.3089,0.233871,-9999,1.07057,-1.48816,0.22379,0.0458781,-1.50529,-1.48821,-1.48717,0.222446,0.22379,0.22379,3.75785,3.95184,4.02512,4.02802,5.51423,5.3909,5.48435,5.51557,4.012,3.82784,4.00608,4.01763,5.95299,5.95967,6.12987,6.14394,-9999,-9999
200108,15.733,1.0,381.075,185.692,1.0,333.011,0.0,6.721,1.0,97.911,0.0,1.373,0.0,3.185,0.989919,0.449140212189,0.993279569892,108.902414485,0.997983870968,506.825649354,0.83938172043,14.2500340299,0.997983870968,25.4343958427,0.997983870968,382.207,0.998656,-9999,-9999,-9999,-9999,-9999,1.0,42.5252,0.997984,-9999,0.555467,47.663,0.997312,-9999,0.763203,-1.7374,0.983871,0.0393475,-1.73563,-1.7303,-1.72656,0.983199,0.985215,0.981183,3.11156,3.1463,3.23701,3.26789,4.88794,4.87463,4.96734,5.00182,3.66802,3.49423,3.62457,3.67692,5.18521,5.17765,5.26356,5.31892,-9999,-9999
200109,9.861,0.971528,274.134,121.409,0.972917,305.967,0.0,4.114,0.971528,98.3,0.0,0.695,0.0,3.03,0.959028,0.411154974579,0.949305555556,60.1275991379,0.951388888889,296.867985696,0.865972222222,10.3926266578,0.951388888889,18.3488407383,0.951388888889,380.189,0.971528,-9999,-9999,-9999,-9999,-9999,1.0,23.6476,0.929167,-9999,0.338081,23.0359,0.928472,-9999,0.608643,-0.985725,0.920139,0.030477,-1.00908,-0.999558,-0.98233,0.922222,0.918056,0.920139,2.14139,2.17168,2.18853,2.22287,3.19576,3.1629,3.1988,3.21174,2.01945,1.95784,2.00019,2.04229,3.1854,3.14124,3.14911,3.17196,-9999,-9999
200110,-0.12,1.0,166.044,58.361,1.0,274.071,0.0,1.095,1.0,97.721,0.0,0.585,0.0,2.912,0.915323,0.434626291615,0.924059139785,21.063577957,1.0,128.651375172,0.998655913978,7.1539952957,1.0,6.74984341398,1.0,374.961,0.995968,-9999,-9999,-9999,-9999,-9999,1.0,8.58164,0.986559,-9999,0.205337,5.80495,0.986559,-9999,0.535973,-0.00746649,0.974462,0.015658,0.0149663,0.0203378,0.0279313,0.93078,0.932124,0.984543,0.840235,0.811616,0.820676,0.828516,0.807285,0.788223,0.806811,0.812896,0.659434,0.607677,0.651754,0.680306,0.864391,0.673761,0.731649,0.8152,-9999,-9999
