TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199601,-21.801,0.0,81.9139,41.446,0.692876,184.236,0.0,0.743,0.0,94.675,1.0,0.344,0.0,2.644,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.8645,0.0,-9999,-9999,38.5018,0.0,-9999,-9999,1.38031,0.0,-9999,1.34591,1.40228,1.42791,0.0,0.0,0.0,0.22447,0.217944,0.22552,0.243632,-1.14868,-1.18775,-1.15626,-1.11794,0.313659,0.271376,0.308652,0.334042,0.0,0.0,0.0,0.0,-9999,0.0
199602,-12.512,0.0,146.474,82.543,0.621408,211.528,0.0,1.047,0.0,94.25,1.0,0.167,0.0,3.302,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.6757,0.0,-9999,-9999,31.5622,0.0,-9999,-9999,1.28834,0.0,-9999,1.2616,1.30616,1.33513,0.0,0.0,0.0,0.504928,0.495997,0.508968,0.531796,-0.762119,-0.817049,-0.775112,-0.753984,0.633471,0.489424,0.650187,0.702779,0.0,0.0,0.0,0.0,-9999,0.0
199603,-10.798,0.0,246.715,153.733,0.534274,210.784,0.0,1.291,0.0,94.965,1.0,0.38,0.0,3.39,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,12.1497,0.0,-9999,-9999,33.9722,0.0,-9999,-9999,1.28688,0.0,-9999,1.26572,1.30224,1.33447,0.0,0.0,0.0,0.54701,0.537183,0.55127,0.576503,-0.713547,-0.772637,-0.731608,-0.708443,0.686386,0.527847,0.704489,0.761936,0.0,0.0,0.0,0.0,-9999,0.0
199604,0.777,0.300694,355.847,173.159,0.522222,264.878,0.0,2.588,0.300694,94.401,1.0,1.55,0.0,3.122,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,13.4833,0.447917,-9999,0.26535,40.8441,0.507639,-9999,0.812058,1.31274,0.317361,0.0124202,1.26659,1.32016,1.35953,0.361806,0.335417,0.313194,1.20673,1.13454,1.18381,1.21973,-0.224857,-0.218362,-0.102035,-0.0844757,1.17214,0.853875,1.19561,1.37036,0.000749766,0.000757967,0.000897338,0.000940658,-9999,0.0
199605,7.209,0.884409,442.352,194.947,0.891801,295.536,0.0,4.766,0.884409,94.65,1.0,1.36,0.0,2.825,1.0,0.470492783555,0.965053763441,-9999,-9999,372.31304971,0.805107526882,-9999,-9999,27.3332478716,0.791666666667,-9999,-9999,-9999,-9999,369.393,1.0,-9999,-9999,-9999,-9999,-9999,1.0,19.9575,0.999328,-9999,0.413352,63.4536,0.999328,-9999,0.854381,1.86799,0.955645,0.0233523,1.82548,1.84094,1.87952,0.97379,0.969086,0.93078,2.27158,2.11724,2.19516,2.26303,0.345358,0.297308,0.330879,0.346245,2.08072,2.13326,2.2191,2.30235,0.855934,0.459359,0.512604,0.743882,-9999,0.0
199606,15.486,1.0,481.807,251.081,1.0,327.059,0.0,7.297,1.0,94.32,0.999306,1.772,0.0,2.967,0.999306,0.521144055504,0.961805555556,-9999,-9999,498.309756265,0.998611111111,-9999,-9999,17.9245331687,0.948611111111,-9999,-9999,-9999,-9999,362.152,0.994444,-9999,-9999,-9999,-9999,-9999,1.0,83.4256,0.993056,-9999,1.04051,43.5066,0.998611,-9999,0.958617,-3.21156,0.946528,0.0851811,-3.23127,-3.21366,-3.19235,0.965972,0.940278,0.960417,6.42176,6.18669,6.28064,6.34884,9.46016,9.38059,9.49994,9.55879,6.13838,5.95493,6.15781,6.22397,9.31996,9.4129,9.46323,9.5403,-9999,0.0
199607,16.91,0.99328,460.551,227.174,0.99328,343.503,0.835349,5.091,0.99328,94.571,1.0,3.065,0.0,2.613,1.0,0.400543193861,0.95497311828,131.994315797,0.575940860215,448.892820609,0.988575268817,-9999,-9999,14.8529525193,0.918682795699,33.882540768,0.668682795699,395.401468254,0.677419354839,356.163,0.999328,-9999,-9999,-9999,-9999,-9999,1.0,88.5684,0.999328,-9999,1.01191,22.0456,1.0,-9999,0.750609,-4.55016,0.94086,0.0733039,-4.65172,-4.58674,-4.57257,0.925403,0.967742,0.961022,6.53844,6.48953,6.73938,6.93626,11.234,11.1052,11.328,11.5301,8.10318,7.97579,8.10318,8.25337,12.2864,11.8464,12.0382,12.3165,-9999,0.0
199608,17.643,1.0,386.073,225.432,1.0,333.926,1.0,7.806,1.0,94.331,1.0,0.907,0.0,2.896,1.0,0.425319207623,0.975806451613,124.054925832,0.965053763441,446.339236359,0.996639784946,-9999,-9999,15.7578674323,0.977822580645,35.2905904628,0.997311827957,399.277862903,1.0,356.741,1.0,-9999,-9999,-9999,-9999,-9999,1.0,97.0689,1.0,-9999,1.03271,14.0505,1.0,-9999,0.732908,-3.35507,0.971102,0.068891,-3.37223,-3.34753,-3.31595,0.965054,0.974462,0.975806,6.68093,6.46798,6.60494,6.66298,9.93362,9.82289,9.95555,10.0054,6.99317,6.47914,6.9198,7.04536,9.72387,9.8037,9.98107,10.071,-9999,0.0
199609,8.717,1.0,283.576,111.165,1.0,312.137,1.0,2.38,1.0,94.414,1.0,1.747,0.0,3.043,1.0,0.518474830575,0.977777777778,50.669088587,0.998611111111,222.998969518,0.997916666667,-9999,-9999,9.41961905246,0.942361111111,17.8229583107,0.995833333333,354.358881944,1.0,359.508,0.999306,-9999,-9999,24.17,0.415972,-9999,1.0,37.0364,0.999306,-9999,0.515987,6.076,1.0,-9999,0.610092,-0.361884,0.997222,0.0362039,-0.352752,-0.307976,-0.255182,0.997222,0.999306,0.997917,3.92943,3.88458,3.92226,3.95914,4.24558,4.20048,4.2169,4.2314,4.03275,4.07573,4.14163,4.21601,4.61529,4.47023,4.5625,4.63487,-9999,0.0
199610,2.645,1.0,178.589,74.848,1.0,281.182,1.0,2.395,1.0,94.254,0.958333,1.394,0.0,2.863,0.958333,0.444009087062,0.970430107527,21.3814092742,1.0,148.45853559,0.999327956989,-9999,-9999,11.0737752467,0.981182795699,11.3972529596,0.995295698925,323.189254032,1.0,367.532,0.999328,-9999,-9999,25.765,0.962366,-9999,1.0,7.60272,0.999328,-9999,0.238657,10.4685,1.0,-9999,0.569553,2.62555,0.99328,0.0252662,2.55907,2.5983,2.7136,0.995296,0.992608,0.992608,2.77089,2.59718,2.64995,2.81716,0.162856,0.0351817,0.0553562,0.0961207,2.49683,2.37889,2.441,2.4999,0.214348,0.0653158,0.199691,0.20719,0.67974,0.0100806
