TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199701,-20.504,0.997984,79.4882,37.386,0.998656,191.243,0.997984,0.384,0.997984,94.596,0.99664,1.05,0.0,3.232,0.99664,-9999,-9999,-5.02512612528,0.996639784946,84.0630664854,0.996639784946,-9999,-9999,9.6132618936,0.996639784946,7.48829412041,0.996639784946,226.010720633,0.996639784946,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,31.9453,0.0,32.0132,-9999,79.939,0.0,80.1088,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199702,-10.308,1.0,142.393,68.447,0.997024,228.811,1.0,0.724,1.0,94.554,1.0,0.36,0.0,2.773,1.0,-9999,-9999,22.7374611829,0.999255952381,147.923517784,0.990327380952,-9999,-9999,13.8715706845,1.0,10.0397946429,1.0,264.908923854,0.999255952381,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.0784,0.0,32.1466,-9999,80.2127,0.0,80.3831,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199703,-6.795,1.0,240.793,144.01,1.0,217.398,0.998656,1.768,1.0,94.512,0.998656,0.402,0.563844,2.812,0.998656,-9999,-9999,66.8244904709,0.990591397849,315.812660042,0.993951612903,-9999,-9999,21.2715684125,0.972446236559,15.9056717929,0.993951612903,276.538668649,0.991935483871,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,31.9583,0.0,32.0262,-9999,79.7203,0.0,79.8896,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199704,1.037,0.957639,350.863,198.979,0.959028,248.301,0.957639,3.767,0.957639,94.614,0.954861,1.495,1.0,3.233,0.954861,-9999,-9999,111.287648065,0.933333333333,421.19230022,0.926388888889,-9999,-9999,23.4796065762,0.925694444444,19.4622065128,0.929861111111,312.989891369,0.933333333333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,31.9912,0.0,35.0458,-9999,79.9488,0.0,87.5826,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199705,8.545,1.0,439.38,199.024,1.0,294.252,1.0,6.109,1.0,94.723,1.0,0.611,1.0,3.202,1.0,-9999,-9999,126.700157744,0.999327956989,424.569498656,1.0,-9999,-9999,15.3695518285,0.903225806452,16.4630315856,0.985887096774,349.905819892,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,31.9453,0.0,36.9238,-9999,79.939,0.0,92.397,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199706,15.562,1.0,481.2,216.293,1.0,334.178,1.0,7.289,1.0,94.177,0.998611,3.172,1.0,3.255,0.998611,-9999,-9999,143.626340544,0.997222222222,462.48395462,0.998611111111,-9999,-9999,15.6637024008,0.925,18.1699286739,0.972916666667,387.923046498,0.998611111111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,31.9912,0.0,36.7289,-9999,79.9488,0.0,91.7886,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199707,18.976,0.888441,461.694,266.79,0.888441,333.184,0.888441,10.472,0.888441,94.465,0.887097,1.294,1.0,3.03,0.887097,-9999,-9999,170.773492103,0.868951612903,564.989585648,0.870967741935,-9999,-9999,19.0332349007,0.853494623656,23.7860584681,0.864247311828,403.282924383,0.870967741935,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,32.07,0.0,36.1301,-9999,80.1871,0.0,90.339,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199708,17.201,1.0,387.848,211.522,1.0,332.891,1.0,7.943,1.0,94.528,1.0,1.266,1.0,3.249,1.0,-9999,-9999,130.426653226,1.0,446.479821008,0.995967741935,-9999,-9999,15.4345431384,0.974462365591,19.3145123651,0.992607526882,394.064671371,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,31.9583,0.0,34.6516,-9999,79.7203,0.0,86.4387,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199709,12.056,0.952778,285.113,133.307,0.953472,313.393,0.952778,4.788,0.952778,94.199,0.95,2.185,1.0,3.575,0.95,-9999,-9999,69.1110565476,0.933333333333,283.346932972,0.929861111111,-9999,-9999,10.6642669688,0.880555555556,12.8368463012,0.915277777778,366.491822917,0.933333333333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,31.9912,0.0,33.7905,-9999,79.9488,0.0,84.4453,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
199710,1.487,0.991263,179.31,61.376,0.989247,284.586,0.991263,1.379,0.991263,94.117,0.989247,2.113,1.0,3.464,0.989247,-9999,-9999,22.0562378447,0.989247311828,126.059754909,0.985887096774,-9999,-9999,7.59259344221,0.951612903226,6.71087687208,0.975134408602,315.92296573,0.989247311828,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,31.9453,0.0,32.8673,-9999,79.939,0.0,82.2462,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
