TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200301,-21.447,0.0,109.147,46.812,0.0,195.824,0.0,0.327,0.0,96.325,0.0,0.612,0.0,2.382,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,40.1859,0.0,46.039,-9999,61.9556,0.0,70.9795,-9999,-1.61777,0.0,-9999,-1.71861,-1.61882,-1.45285,0.0,0.0,0.0,0.598656,0.312707,0.434208,0.621779,2.07994,1.92731,2.0821,2.20403,0.0525701,0.00803361,0.0174153,1.0803,2.64504,2.23206,2.34541,2.55003,-9999,-9999
200302,-20.287,0.0,172.823,82.033,0.0,197.368,0.0,0.452,0.0,96.513,0.0,1.509,0.0,2.558,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,40.1188,0.0,45.9621,-9999,62.3707,0.0,71.4549,-9999,-1.64199,0.0,-9999,-1.743,-1.64598,-1.48112,0.0,0.0,0.0,0.660494,0.371403,0.482837,0.690248,2.16444,2.03355,2.17462,2.29795,0.117101,0.0297165,0.0554337,1.18639,3.46581,3.03224,3.11262,3.37824,-9999,-9999
200303,-11.401,0.0,267.721,142.736,0.0,219.669,0.0,1.192,0.0,96.542,0.0,1.525,0.0,2.297,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.88435,0.894489,39.8233,0.0,49.8269,-9999,62.4883,0.0,78.1853,-9999,-1.60581,0.0,-9999,-1.71239,-1.60799,-1.45212,0.0,0.0,0.0,1.05638,0.72851,0.800805,1.1143,2.53253,2.37584,2.49695,2.67477,0.510848,0.261748,0.395848,1.87948,4.70088,4.21128,4.30662,4.6898,-9999,-9999
200304,-4.072,0.0,369.406,189.402,0.0,246.426,0.0,1.962,0.0,97.112,0.0,1.857,0.0,2.44,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.62641,0.0,40.0401,0.0,54.3244,-9999,62.2682,0.0,84.4824,-9999,-1.62118,0.0,-9999,-1.72405,-1.62374,-1.46139,0.0,0.0,0.0,1.38296,1.03635,1.08817,1.46114,2.86952,2.68492,2.82186,3.00334,0.948166,0.539982,0.798011,2.44788,5.45971,4.91349,5.03149,5.45971,-9999,-9999
200305,8.315,0.0,448.028,236.416,0.0,288.018,0.0,5.567,0.0,97.148,0.0,1.618,0.0,2.03,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.64555,0.0,40.1859,0.0,51.7417,-9999,61.9556,0.0,79.7715,-9999,-1.61777,0.0,-9999,-1.71861,-1.61882,-1.45285,0.0,0.0,0.0,1.84125,1.47176,1.53797,1.99381,3.32253,3.11364,3.32253,3.50548,2.66893,2.55493,3.06254,3.34221,6.33913,5.72329,5.85819,6.33913,-9999,-9999
200306,14.718,0.5625,484.018,250.104,0.515278,316.198,0.539583,8.463,0.5625,96.624,0.53125,2.391,0.0,2.455,0.536111,0.436054498381,0.5125,160.846687649,0.524305555556,-9999,-9999,-9999,-9999,-9999,-9999,14.3343708909,0.502777777778,405.331549871,0.51875,-9999,-9999,-9999,-9999,-9999,-9999,5.05607,0.313194,48.1087,0.0,57.6769,-9999,64.2905,0.0,77.077,-9999,-1.88967,0.0,-9999,-1.96064,-1.88283,-1.74442,0.0,0.0,0.0,2.03737,1.66836,1.77898,2.25963,3.82155,3.59201,3.87633,3.96667,4.01132,3.69261,4.83657,5.09904,6.62571,5.98173,6.12273,6.62571,-9999,-9999
200307,15.361,0.764785,466.973,181.691,0.768817,347.831,0.762769,4.623,0.764785,96.602,0.12836,3.62,0.0,2.251,0.739247,0.374816315028,0.536962365591,122.264742031,0.727150537634,328.334992632,0.724462365591,-9999,-9999,10.8075921582,0.617607526882,8.97139362945,0.586693548387,386.35643109,0.725134408602,-9999,-9999,11.484,0.748656,16.956,0.75672,3.99648,0.745968,42.661,0.0,52.994,-9999,46.9675,0.272177,58.3436,0.726052,-1.31393,0.0,-9999,-1.37613,-1.32198,-1.07894,0.0,0.0,0.0,2.0663,1.69204,1.81199,2.29098,3.28922,3.06375,3.24996,3.40386,4.03542,3.74406,4.51141,5.12481,5.83217,5.19105,5.32207,5.76929,-9999,-9999
200308,16.078,1.0,401.958,158.761,1.0,346.421,1.0,5.363,1.0,96.892,0.842742,5.081,0.0,2.53,1.0,0.464578460272,0.939516129032,104.153352151,1.0,306.242066532,1.0,211.06488087,0.91061827957,10.1546030467,0.89247311828,7.4954289147,0.871639784946,392.365853495,1.0,-9999,-9999,12.827,0.911962,17.73,1.0,3.63689,0.913306,38.8356,0.145833,48.0685,0.6012,33.3107,0.80914,41.2301,0.60315,-0.626999,0.116935,0.0601045,-0.678315,-0.597518,-0.421749,0.126344,0.127016,0.0866935,2.08198,1.71555,1.83548,2.32301,2.62921,2.39626,2.48758,2.74167,4.26071,3.77158,5.09025,5.39665,5.15229,4.5796,4.69555,5.0725,-9999,-9999
200309,12.843,1.0,308.566,129.08,1.0,326.131,1.0,4.111,1.0,97.098,0.977778,4.2,0.0,2.644,1.0,0.407757622576,0.614583333333,74.2346055556,1.0,273.117679167,1.0,150.860440972,1.0,8.35930932979,0.928472222222,5.60692950778,0.909722222222,373.1943125,1.0,361.808,0.868056,11.069,1.0,18.886,1.0,1.62054,1.0,30.6391,0.864583,38.8221,0.472581,19.863,0.0,25.168,1.78368,-0.287675,0.867361,0.038486,-0.401098,-0.381677,-0.114185,0.869444,0.869444,0.865278,2.64846,2.26183,2.39191,2.83082,2.8926,2.67954,2.78373,2.8926,2.93897,2.63495,2.84356,2.98942,2.95063,2.84784,2.95063,3.02175,-9999,-9999
200310,2.687,0.999328,208.479,62.539,1.0,295.418,1.0,1.558,0.999328,96.506,0.965054,3.951,0.0,2.522,1.0,0.422607131822,0.895161290323,29.9845994624,1.0,176.128813725,0.538978494624,95.9647533602,1.0,4.74312984041,0.906586021505,1.28188147784,0.878360215054,323.80328629,1.0,365.003,0.997984,5.338,1.0,21.025,1.0,-2.61274,0.999328,16.3735,0.997984,22.2963,0.305566,-5.48005,0.300403,-7.46235,0.400698,0.146967,0.99328,0.0166563,0.116034,0.141812,0.170754,0.995296,0.99328,0.991935,1.26797,1.19061,1.24993,1.29951,1.11494,1.07255,1.1045,1.12224,1.317,1.0566,1.10846,1.17944,0.93423,0.905076,0.924269,0.952841,-9999,-9999
