TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200101,-8.295,0.0,78.7835,33.032,0.0,234.356,0.0,0.525,0.0,94.832,0.0,0.179,0.0,2.273,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.2161,0.0,10.8134,0.0,7.99193,-9999,-0.0784114,0.0,-0.0579522,-9999,0.351819,0.0,-9999,0.340007,0.351595,0.386489,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.421534,0.421534,0.427187,0.526178,0.0,0.0,0.0,0.0,-9999,-9999
200102,-16.782,0.0,141.65,71.756,0.0,201.981,0.0,0.353,0.0,95.235,0.0,0.262,0.0,2.192,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.8783,0.71875,11.1397,0.0,8.84987,-9999,-0.0759626,0.0,-0.0603481,-9999,0.35994,0.0,-9999,0.347959,0.354606,0.395139,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.284719,0.284719,0.288537,0.355399,0.0,0.0,0.0,0.0,-9999,-9999
200103,-5.418,0.0,240.122,135.423,0.0,230.25,0.0,1.388,0.0,94.959,0.0,0.411,0.0,2.354,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.9142,1.0,11.13,0.0,9.96039,-9999,0.0606078,0.106183,0.0542388,-9999,0.358644,0.0,-9999,0.347659,0.351643,0.393169,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.461156,0.461156,0.46734,0.575635,0.0,0.0,0.0,0.0,-9999,-9999
200104,2.165,0.0,350.392,186.969,0.0,255.529,0.0,3.998,0.0,94.825,0.0,0.821,0.0,2.274,0.0,0.210933152519,0.871527777778,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,378.93,0.821528,-9999,-9999,-9999,-9999,8.28232,1.0,31.8127,0.871528,29.1017,1.07045,34.2657,0.885417,31.3456,2.47166,0.58823,0.51875,0.121229,0.564376,0.566203,0.588057,0.55625,0.56875,0.481944,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.559866,0.561417,0.576355,0.69885,0.0,0.0,0.0,0.0,-9999,-9999
200105,11.005,0.733871,439.156,203.466,0.714382,286.449,0.0,7.429,0.733871,94.625,0.0,0.626,0.678091,2.09,0.725806,0.276342714355,0.986559139785,101.99027883,0.695564516129,384.454466805,0.702284946237,-9999,-9999,-9999,-9999,-9999,-9999,374.674,0.992608,7.686,0.707661,20.044,0.721774,6.88888,1.0,40.5918,0.994624,37.1326,0.553239,56.5764,0.994624,51.7551,0.735634,0.799802,0.897849,0.0388319,0.755578,0.799085,0.808225,0.930108,0.903898,0.888441,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.22263,1.08499,1.23747,1.25734,0.474793,0.391803,0.474793,0.485567,-9999,-9999
200106,14.097,1.0,481.125,199.761,1.0,308.446,0.0,7.054,1.0,94.92,0.0,2.52,1.0,1.329,0.996528,0.190342834631,0.94375,107.3269375,1.0,383.254127246,0.997916666667,-9999,-9999,-9999,-9999,-9999,-9999,369.315,0.997917,11.604,1.0,19.578,1.0,0.389428,1.0,64.9427,0.997917,61.4411,0.8348,48.0511,0.997917,45.4603,0.57581,-0.657044,0.945833,0.0461202,-0.657346,-0.638334,-0.615969,0.963194,0.982639,0.939583,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.40608,2.31577,2.40608,2.79293,3.21412,3.11124,3.21412,3.39419,-9999,-9999
200107,18.21,1.0,461.555,208.928,1.0,328.314,0.0,8.588,1.0,94.756,0.0,2.181,1.0,1.453,1.0,0.218644265233,0.995295698925,111.756068548,1.0,401.78555578,1.0,-9999,-9999,-9999,-9999,-9999,-9999,373.936,1.0,15.13,1.0,18.301,1.0,-7.33549,1.0,81.2214,1.0,77.9251,0.956583,42.9079,1.0,41.1665,0.566688,0.0485841,0.959005,0.0496612,0.0388845,0.0709658,0.0907414,0.958333,0.966398,0.962366,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.37352,3.22245,3.38935,3.73769,3.44323,3.27728,3.46906,3.6542,-9999,-9999
200108,17.911,1.0,387.486,175.342,1.0,319.993,0.0,9.7,1.0,94.864,0.0,0.468,1.0,1.442,1.0,0.215685234795,0.987903225806,86.6271034946,1.0,337.195319892,1.0,-9999,-9999,-9999,-9999,-9999,-9999,377.578,1.0,15.012,1.0,16.245,1.0,-6.80985,1.0,56.0889,1.0,55.5768,0.821653,38.2311,1.0,37.882,0.521629,0.445476,0.977151,0.0418051,0.396936,0.441055,0.452665,0.983871,0.983199,0.971774,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.40055,2.64028,2.77952,3.10963,2.04716,2.10216,2.27773,2.42925,-9999,-9999
200109,11.731,1.0,284.523,113.646,1.0,296.411,0.0,5.868,1.0,94.978,0.0,0.547,1.0,1.369,0.995833,0.202059781691,0.992361111111,53.2136736111,1.0,218.550252083,1.0,-9999,-9999,-9999,-9999,-9999,-9999,381.409,1.0,10.352,1.0,12.367,1.0,-6.7981,1.0,5.60822,1.0,5.55701,0.296674,29.9176,1.0,29.6445,0.526556,-0.0429388,0.958333,0.0322993,-0.156507,-0.0656957,-0.0429388,0.967361,0.9625,0.958333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.306187,0.310791,0.361039,0.392728,0.240551,0.240551,0.243193,0.265137,-9999,-9999
200110,1.301,1.0,178.592,58.977,1.0,256.238,0.0,2.523,1.0,94.566,0.0,0.577,1.0,1.414,0.999328,0.21459611568,0.948924731183,14.2047715054,1.0,113.418181452,1.0,-9999,-9999,-9999,-9999,-9999,-9999,386.298,1.0,2.356,1.0,12.538,1.0,-6.743,0.234543,1.82934,1.0,1.41392,0.163772,8.41815,1.0,6.50649,0.408258,-0.0291969,0.981855,0.0299681,-0.0524505,-0.0365473,-0.032205,0.99664,0.979839,0.979839,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.333634,0.268314,0.322399,0.343362,0.126065,0.108096,0.126065,0.136798,-9999,-9999
