TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200201,-0.926,1.0,158.463,64.774,1.0,265.271,0.0,0.723,1.0,98.674,0.0,1.836,0.0,2.386,1.0,-9999,-9999,15.3433924731,1.0,125.005740863,0.997311827957,12.65345696,0.998655913978,-9999,-9999,-9999,-9999,11.773,1.0,-0.408171,1.0,80.8043,0.0,71.6042,-9999,24.9142,0.0,22.0776,-9999,-4.33174,0.0,-9999,-4.35776,-4.27411,-4.23087,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200202,-1.486,1.0,220.806,100.266,1.0,255.151,0.0,0.916,1.0,98.869,0.0,2.314,0.0,2.335,1.0,-9999,-9999,31.3534122024,1.0,192.819127976,1.0,16.9311345365,0.994047619048,-9999,-9999,-0.172,0.729167,11.921,1.0,0.166089,1.0,81.1701,0.0,70.9627,-9999,24.5159,0.0,21.4329,-9999,-4.29925,0.0,-9999,-4.31607,-4.23389,-4.20195,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200203,0.573,1.0,307.969,146.708,1.0,266.256,0.0,1.509,1.0,99.107,0.0,2.274,0.0,2.289,1.0,-9999,-9999,70.3962513441,1.0,282.130492608,1.0,15.3789884846,0.985887096774,-9999,-9999,0.004,1.0,12.591,1.0,1.23602,1.0,81.599,0.0,78.3116,-9999,24.7379,0.0,23.7413,-9999,-4.30985,0.0,-9999,-4.32736,-4.24328,-4.21049,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200204,7.419,1.0,395.452,173.157,0.991667,299.877,0.0,2.929,1.0,99.118,0.0,4.296,0.0,1.822,1.0,-9999,-9999,92.6414923611,1.0,326.440189771,0.988194444444,14.1299837048,0.976388888889,-9999,-9999,5.202,1.0,12.806,1.0,2.02899,1.0,81.1919,0.0,84.8599,-9999,24.7296,0.0,25.8468,-9999,-4.31409,0.0,-9999,-4.33432,-4.25098,-4.21485,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200205,10.835,1.0,458.818,235.966,1.0,308.592,0.0,4.437,1.0,98.999,0.0,3.971,0.0,2.058,1.0,-9999,-9999,130.402065188,1.0,453.779730511,1.0,16.0446216309,0.969758064516,-9999,-9999,8.075,0.991935,13.063,1.0,2.78831,1.0,96.4274,0.0,100.784,-9999,20.7282,0.0,21.6647,-9999,-3.83233,0.0,-9999,-4.74412,-4.43166,-3.79814,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200206,19.227,1.0,486.259,280.602,1.0,359.76,0.0,6.772,1.0,98.91,0.0,2.599,0.0,1.601,1.0,-9999,-9999,172.910865278,1.0,539.619970833,1.0,18.3566427996,0.993055555556,-9999,-9999,15.4,0.999306,8.26,1.0,5.69986,1.0,113.574,0.0,162.05,-9999,21.3457,0.0,30.4565,-9999,-4.45325,0.0,-9999,-5.57284,-5.29205,-4.45381,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200207,22.67,1.0,472.797,302.281,1.0,367.179,0.0,8.679,1.0,99.014,0.168683,1.993,0.0,1.429,1.0,-9999,-9999,189.664194392,0.999327956989,581.310827957,1.0,17.326709216,0.995295698925,-9999,-9999,17.842,0.999328,6.984,1.0,4.90487,1.0,146.774,0.271505,169.126,1.52708,20.0985,0.272177,23.1593,0.71468,-5.01872,0.268145,0.102038,-5.90459,-5.59548,-5.01872,0.303091,0.293683,0.268145,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200208,21.081,1.0,421.07,264.835,1.0,360.376,0.0,6.203,1.0,99.245,0.461694,1.893,0.0,1.323,1.0,-9999,-9999,159.979475134,1.0,509.298752688,1.0,14.8504017754,0.992607526882,364.936,0.59207,17.684,1.0,8.063,1.0,3.03928,1.0,111.474,0.58871,128.45,1.16687,17.2469,0.591398,19.8735,0.682473,-4.77789,0.594086,0.0961962,-4.86894,-4.77789,-4.53298,0.603495,0.594086,0.563844,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200209,18.532,1.0,342.763,210.966,1.0,345.742,0.0,5.225,1.0,99.102,0.179861,2.288,0.0,1.282,1.0,-9999,-9999,115.154654167,1.0,405.703159722,1.0,11.9677274747,0.988888888889,366.585,0.308333,15.558,0.999306,8.222,1.0,1.46366,1.0,88.5825,0.308333,94.7084,1.13077,10.3942,0.308333,11.113,0.690981,-5.06916,0.219444,0.17645,-5.05961,-5.02442,-2.43458,0.217361,0.222222,0.190278,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200210,8.546,1.0,253.421,111.853,1.0,303.842,0.0,1.992,1.0,99.227,0.493952,1.656,0.0,1.476,1.0,-9999,-9999,45.5683967056,0.999327956989,215.101124328,1.0,6.77604918981,0.979166666667,371.32,0.671371,8.527,1.0,10.754,1.0,-2.4816,1.0,42.1202,0.670699,41.5313,0.770613,1.23046,0.671371,1.21325,0.615647,-0.448524,0.608199,0.0996105,-0.427201,-0.375762,-0.240446,0.608199,0.603495,0.603495,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200211,3.473,1.0,177.499,58.22,1.0,286.83,0.0,1.525,1.0,98.663,0.0104167,2.909,0.0,2.09,1.0,-9999,-9999,6.72506041667,1.0,111.961926389,1.0,3.9951103963,0.957638888889,379.971,0.155556,3.578,1.0,11.819,1.0,-2.16433,1.0,35.2816,0.150694,33.2363,0.830185,-14.9904,0.155556,-14.1214,0.882505,0.660705,0.0604167,0.0323492,0.573633,0.693466,0.711123,0.0645833,0.0604167,0.0604167,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200212,-2.186,1.0,141.276,50.779,1.0,261.359,0.0,0.717,1.0,98.89,0.659274,1.393,0.0,2.089,1.0,0.431742433757,0.629032258065,8.34776344086,1.0,97.6523978495,1.0,6.93071035071,0.993951612903,384.738,0.823925,-0.124,1.0,11.779,1.0,-2.68514,1.0,29.6449,0.820565,26.6223,0.659023,-16.3165,0.823925,-14.6529,0.634223,1.60784,0.758737,0.048901,1.59918,1.60653,1.64843,0.747312,0.758737,0.747312,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200301,-7.569,1.0,158.463,74.809,1.0,237.965,0.0,0.622,1.0,98.85,0.0,0.95,0.0,2.065,1.0,-9999,-9999,17.6474153226,1.0,143.862723118,1.0,11.6977587366,1.0,375.898,0.0752688,-3.827,1.0,8.878,1.0,-4.44897,1.0,22.7584,0.075269,20.1672,0.774436,6.4337,0.075269,5.70118,1.12081,0.705622,0.0799731,0.051485,0.704411,0.717023,0.734481,0.0799731,0.0799731,0.0799731,1.14433,1.14433,1.14774,1.15205,0.437162,0.417129,0.427303,0.440915,1.81268,1.78369,1.81131,1.81268,0.0,0.0,0.0,0.0,-9999,-9999
200302,-6.565,1.0,220.806,118.149,1.0,232.997,0.0,0.746,1.0,98.953,0.780506,1.817,0.0,2.029,1.0,0.484737225877,0.706845238095,48.3970714286,1.0,227.210143601,1.0,17.1631979167,1.0,378.282,0.976935,-5.172,1.0,8.487,1.0,-2.30371,0.998512,26.5232,0.974702,23.1878,0.560855,28.653,0.97619,25.0498,0.763634,0.299294,0.953125,0.0459983,0.299294,0.328338,0.339153,0.953125,0.956845,0.948661,0.673018,0.63019,0.654426,0.673884,0.37179,0.297864,0.336916,0.37179,1.47932,1.44038,1.46811,1.47476,0.00410477,0.00410477,0.0041067,0.0107541,-9999,-9999
