TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200201,-0.922,1.0,158.927,62.231,1.0,273.694,0.0,0.722,1.0,98.956,0.0,2.08,0.0,2.386,1.0,-9999,-9999,11.469374328,1.0,128.22912836,1.0,10.6345404986,0.995295698925,16.264358871,1.0,-9999,-9999,-9999,-9999,0.241,1.0,14.597,1.0,-0.412824,1.0,50.3123,0.0,59.8963,-9999,94.854,0.0,112.923,-9999,-0.180636,0.0,-9999,-0.349963,-0.193869,-0.153954,0.0,0.0,0.0,1.52396,1.1063,1.59642,1.6689,1.70459,1.60273,1.70963,1.8681,0.0989281,0.0697634,0.0989281,0.118292,0.566404,0.561486,0.575527,0.599189,-9999,-9999
200202,-1.488,1.0,221.245,95.676,1.0,264.499,0.0,0.917,1.0,99.15,0.0,2.678,0.0,2.336,1.0,-9999,-9999,28.7173370536,1.0,197.351234644,0.999255952381,14.0436203031,0.991071428571,21.4516525298,0.997023809524,-9999,-9999,-9999,-9999,-0.176,1.0,17.694,1.0,0.165531,1.0,50.3456,0.0,60.6064,-9999,95.0454,0.0,114.416,-9999,-0.177684,0.0,-9999,-0.338845,-0.185639,-0.144837,0.0,0.0,0.0,1.48272,1.08215,1.55482,1.63146,1.6604,1.56359,1.67024,1.82253,0.0938987,0.0663621,0.0938987,0.112212,0.841447,0.832621,0.851419,0.887209,-9999,-9999
200203,0.348,1.0,308.325,132.463,1.0,274.59,0.0,1.333,1.0,99.387,0.0,2.601,0.0,2.274,1.0,-9999,-9999,71.8519657258,1.0,272.976528898,1.0,15.1754440163,0.987231182796,22.6009799376,0.994623655914,-9999,-9999,-9999,-9999,0.256,1.0,16.716,1.0,-0.385214,1.0,36.3791,0.0,49.9187,-9999,55.0944,0.0,75.5995,-9999,0.657637,0.0,-9999,0.370397,0.607707,0.61476,0.0,0.0,0.0,1.61787,1.15749,1.68862,1.74892,0.960237,0.846642,0.960237,1.13778,0.135717,0.0990699,0.135717,0.155902,1.13555,1.12217,1.14956,1.19671,-9999,-9999
200204,6.98,1.0,395.672,165.677,0.998611,305.137,0.0,2.453,1.0,99.398,0.0,4.928,0.0,2.124,1.0,-9999,-9999,103.19391875,1.0,335.647971277,0.999305555556,15.631331088,0.982638888889,21.5306513182,0.990972222222,-9999,-9999,-9999,-9999,6.029,1.0,13.987,1.0,1.25024,1.0,26.3015,0.0,36.9454,-9999,39.1759,0.0,55.0299,-9999,0.686507,0.0,-9999,0.582025,0.695773,0.724963,0.0,0.0,0.0,2.10512,1.41898,2.12448,2.18192,1.41861,0.848738,1.39848,1.45983,0.388967,0.309065,0.389205,0.43506,1.3571,1.34221,1.38471,1.43194,-9999,-9999
200205,10.441,1.0,458.897,216.07,1.0,313.056,0.0,3.692,1.0,99.279,0.0,4.551,0.0,2.711,1.0,-9999,-9999,135.382150538,1.0,430.117697581,1.0,20.3488547554,0.977150537634,21.9441872712,0.975134408602,-9999,-9999,-9999,-9999,10.319,1.0,14.141,1.0,1.58852,1.0,30.943,0.178763,40.4372,0.830838,66.3769,0.179435,86.7431,1.83307,0.211719,0.18414,0.0727386,0.159127,0.218274,0.257172,0.178091,0.182796,0.183468,2.36301,1.56042,2.36301,2.4435,2.1513,1.40775,2.11471,2.19168,0.534607,0.431547,0.534607,0.595775,1.71858,1.70039,1.76393,1.81341,-9999,-9999
200206,18.928,1.0,486.262,252.697,0.994444,359.547,0.0,6.312,1.0,99.216,0.333333,2.979,0.0,2.23,1.0,0.499593400601,0.882638888889,176.707063889,1.0,528.434019755,0.999305555556,22.8120465831,0.995138888889,26.1237141041,0.997916666667,-9999,-9999,370.745,0.997917,17.748,1.0,10.465,1.0,3.531,1.0,38.0515,0.994444,49.7267,0.792644,94.5968,0.994444,123.622,1.3894,-1.21992,0.979861,0.0670931,-1.25701,-1.21235,-1.19425,0.988194,0.980556,0.980556,3.64489,2.98716,3.15314,3.33767,4.85803,4.1984,4.37411,4.58442,2.00054,1.83422,1.97414,2.11324,3.52438,3.5109,3.66407,3.72813,-9999,-9999
200207,22.511,1.0,472.832,272.37,0.986559,366.288,0.0,8.452,1.0,99.116,0.999328,2.284,0.0,2.173,0.999328,0.494031878102,0.882392473118,188.331058282,0.999327956989,571.651818066,0.996639784946,23.5661061959,0.995295698925,27.5659805318,0.994623655914,-9999,-9999,362.893,1.0,21.12,1.0,6.871,1.0,2.67788,1.0,44.6922,0.997984,51.7998,0.93988,115.642,0.995296,134.033,1.29172,-0.956839,0.986559,0.0593895,-0.975951,-0.956395,-0.940611,0.986559,0.991263,0.992608,2.83186,2.83186,2.88691,2.93522,3.79,3.7981,3.84697,3.87723,2.76262,2.67866,2.75977,2.97517,3.78848,3.69649,3.76202,3.86727,-9999,-9999
200208,20.898,1.0,421.225,242.363,0.997984,360.107,0.0,5.901,1.0,99.291,1.0,2.169,0.0,2.095,1.0,0.447197102031,0.851478494624,154.542227823,1.0,491.340223118,1.0,21.2738030817,0.996639784946,23.91383783,0.996639784946,-9999,-9999,363.817,0.798387,21.07,1.0,6.918,1.0,2.34324,1.0,37.6864,0.993952,47.0066,1.32706,84.5831,0.997984,105.501,1.35998,-0.119057,0.807796,0.0738441,-0.168734,-0.149494,-0.102128,0.80914,0.783602,0.80914,2.13263,2.01831,2.14371,2.24076,2.22881,2.16316,2.2561,2.32237,3.88624,3.8045,4.48373,4.91635,4.51201,3.8611,4.15507,4.3733,-9999,-9999
200209,18.251,1.0,343.06,199.389,1.0,346.81,0.0,5.146,1.0,99.379,1.0,2.623,0.0,2.069,1.0,0.454817801718,0.8625,112.473639583,1.0,349.706974666,0.95,19.7338196649,0.995138888889,21.11510222,0.988194444444,-9999,-9999,374.42,0.995833,19.628,1.0,6.413,1.0,1.8167,0.999306,23.0513,0.992361,25.2628,0.732554,77.3871,0.994444,84.8113,1.34563,0.0469174,0.972222,0.0666236,-0.124795,0.0147486,0.137477,0.984722,0.974306,0.922917,2.10065,2.09013,2.13239,2.31483,2.0562,2.13606,2.19574,2.21985,2.23965,2.18528,2.33125,3.00202,2.20322,2.25706,2.32002,2.70116,-9999,-9999
200210,8.596,1.0,253.827,106.792,0.998656,308.74,0.0,1.854,1.0,99.289,1.0,1.894,0.0,1.94,1.0,0.493567755819,0.754032258065,48.5216538978,1.0,211.324350145,0.995295698925,9.1107821417,0.987231182796,12.1047752534,0.993279569892,-9999,-9999,391.86,0.34207,11.256,1.0,11.862,1.0,-2.28099,1.0,13.2987,0.99664,21.9918,0.303682,17.4751,0.998656,28.8983,0.909107,0.455261,0.953629,0.0532619,0.290099,0.430569,0.562401,0.969086,0.958333,0.94422,1.93177,1.82896,1.93177,2.04545,1.47851,1.48147,1.48979,1.52387,1.96625,1.54096,1.76687,1.96399,1.47739,1.36184,1.46677,1.5919,-9999,-9999
