TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201201,-0.101,0.880376,159.462,61.214,0.881048,277.122,0.880376,1.698,0.880376,101.271,0.84207,2.55,0.0,4.194,0.873656,0.702016408653,0.985215053763,17.2268343119,0.86626344086,105.553914492,0.866935483871,13.6843245775,0.846774193548,11.9784957822,0.856182795699,310.311325966,0.867607526882,-9999,-9999,1.231,0.879704,23.378,0.879704,-4.0916,0.880376,8.81952,0.983199,13.8015,0.246456,1.35192,0.985887,2.11559,0.61991,0.96446,0.967742,0.0243545,0.942025,0.973058,1.02772,0.973118,0.966398,0.96371,1.13253,1.06515,1.10769,1.18377,0.14985,0.119255,0.147014,0.155167,1.04444,1.02373,1.05904,1.10401,0.158207,0.151418,0.158793,0.170552,-9999,-9999
201202,0.75,0.998563,223.166,87.355,0.997845,276.735,0.998563,1.823,0.998563,101.477,0.0344828,1.126,0.0,3.668,0.994971,0.597018678161,1.0,35.7470283438,0.997126436782,148.309188603,0.996408045977,14.4784703282,0.989224137931,14.3120429245,0.984913793103,312.755221003,0.997126436782,-9999,-9999,0.806,0.998563,22.615,0.998563,-3.0443,0.998563,7.43984,1.0,11.6424,0.202479,17.3955,1.0,27.2219,0.686858,0.643109,0.990661,0.025499,0.639198,0.647852,0.682186,0.990661,0.990661,0.980603,0.870449,0.833696,0.851026,0.913948,0.222675,0.193316,0.208922,0.22993,0.567638,0.556673,0.575415,0.597209,0.0594677,0.0586548,0.0710037,0.0768125,-9999,-9999
201203,8.532,1.0,311.777,162.947,1.0,306.633,1.0,4.312,1.0,101.474,0.0,2.174,0.0,3.772,0.997984,0.600836430575,0.998655913978,94.8798921299,0.999327956989,278.834625672,1.0,19.6712459221,0.988575268817,22.2547990065,0.986559139785,351.45109543,1.0,-9999,-9999,6.425,1.0,22.726,1.0,2.62592,1.0,14.9516,1.0,23.2534,0.315668,44.329,1.0,68.9423,0.922038,1.14857,0.99328,0.0315251,1.14569,1.15338,1.22552,0.99328,0.992608,0.976478,1.97947,1.94932,1.97103,2.01345,0.825925,0.777179,0.800493,0.8149,1.04462,1.17252,1.2529,1.36183,0.387375,0.425764,0.470833,0.505538,-9999,-9999
201204,8.644,1.0,398.463,207.243,1.0,295.248,1.0,5.34,1.0,101.256,0.0,1.533,0.0,3.482,1.0,0.563294642857,0.933333333333,121.505508333,1.0,349.409835417,1.0,24.2807981736,0.995833333333,28.3350873298,0.996527777778,351.385372222,1.0,-9999,-9999,7.557,1.0,21.281,1.0,0.569013,1.0,18.4788,0.999306,25.7751,0.345204,68.2419,0.999306,95.1873,1.01945,0.869104,0.997222,0.0329589,0.861477,0.87264,0.932329,0.997222,0.997222,0.990278,2.37857,2.27622,2.3418,2.39209,1.48849,1.41347,1.45229,1.48849,0.992063,0.990264,1.03993,1.15936,0.622886,0.641991,0.658811,0.712836,-9999,-9999
201205,18.418,1.0,460.493,276.302,1.0,343.867,1.0,9.91,1.0,101.454,0.967742,1.234,0.0,3.049,0.999328,0.432169354839,1.0,172.278304235,0.999327956989,480.737205088,0.999327956989,26.5227126843,0.994623655914,47.0805926586,0.997983870968,399.877935527,0.999327956989,403.951,1.0,13.946,1.0,17.654,1.0,5.75717,1.0,40.6327,0.999328,66.6412,0.709275,60.8805,1.0,99.8493,0.844418,-1.19305,0.950269,0.0811521,-1.55866,-1.23556,-1.17224,0.903226,0.936156,0.989919,5.07835,4.58763,4.95596,5.07835,6.31391,5.99304,6.30986,6.46573,3.9516,3.90425,4.05578,4.36152,5.34698,5.46427,5.68717,5.83472,-9999,-9999
201206,21.167,1.0,486.474,276.461,1.0,362.29,1.0,9.645,1.0,101.283,0.997222,3.093,0.0,3.308,0.997222,0.461673011364,0.978472222222,174.189026226,0.997222222222,484.773306486,0.997222222222,18.5712110283,0.982638888889,49.4187319246,0.992361111111,413.746703324,0.997222222222,396.323,1.0,16.806,1.0,13.012,1.0,4.49333,1.0,69.3236,0.991667,122.771,0.973097,27.0365,0.993056,47.8811,0.705524,-4.73447,0.941667,0.123512,-4.79421,-4.69844,-4.53899,0.906944,0.896528,0.963889,5.64028,5.50536,5.63056,5.85973,10.3758,10.1988,10.335,10.4292,4.55563,4.61778,4.82756,5.07856,9.3902,9.46174,9.62629,9.74789,-9999,-9999
201207,24.89,1.0,471.769,278.313,1.0,384.725,1.0,11.405,1.0,101.351,0.99664,1.725,0.0,2.85,0.99664,0.389326280591,0.82123655914,179.020404327,0.995967741935,494.854979853,0.995967741935,18.8804013254,0.989247311828,47.708545257,0.993951612903,435.093067333,0.996639784946,403.941,1.0,20.279,1.0,3.901,1.0,3.60216,1.0,72.5854,0.993952,108.715,0.961941,45.1309,0.994624,67.5948,0.79236,-4.90223,0.851478,0.133196,-4.95769,-4.82439,-4.57426,0.763441,0.699597,0.875,6.44155,6.45771,6.92735,7.31931,11.7165,11.4992,11.7165,12.001,4.99674,4.74994,5.04725,6.35819,9.73519,9.63808,9.91587,10.8294,-9999,-9999
201208,22.263,0.998656,419.207,241.437,1.0,369.099,1.0,9.409,0.998656,101.394,0.997312,2.665,0.0,2.74,0.997312,0.355407556796,0.851478494624,146.867257407,0.997311827957,420.678405371,0.997311827957,16.8682272925,0.987231182796,41.2480520596,0.99126344086,420.736705088,0.997311827957,398.941,0.995968,18.849,1.0,4.583,1.0,1.3318,1.0,61.9624,0.990591,100.609,0.853745,27.7658,0.991935,45.0835,0.621069,-3.38211,0.883737,0.120495,-3.78697,-3.44855,-3.3906,0.832661,0.90121,0.882392,5.31319,5.10118,5.39069,5.47754,8.71199,8.50876,8.85837,9.24118,6.39373,4.36195,5.87266,7.69819,9.26542,8.09705,9.03287,10.1805,-9999,-9999
201209,16.693,0.998611,340.545,186.93,1.0,344.431,1.0,6.609,0.998611,101.474,0.997222,3.05,0.0,2.935,0.997222,0.386173123123,0.992361111111,101.962296749,0.997222222222,317.03623091,0.997222222222,13.7299927318,0.992361111111,32.8412382033,0.99375,396.09902565,0.997222222222,401.334,1.0,15.693,1.0,6.015,1.0,-2.0498,1.0,44.783,1.0,88.5198,0.774549,7.58925,1.0,15.0012,0.634404,-2.9321,0.940972,0.12517,-3.1317,-2.96899,-2.9294,0.917361,0.74375,0.928472,2.54915,2.34981,2.54915,3.11483,5.47236,5.26795,5.48352,6.23055,2.11372,2.35349,2.83683,3.21124,5.22798,5.36947,5.69059,5.86155,-9999,-9999
201210,11.391,0.671371,251.446,100.365,1.0,332.129,1.0,3.154,0.671371,101.209,0.99664,4.25,0.0,3.427,0.800403,0.535506648936,0.998655913978,47.9328327328,0.996639784946,167.160077142,0.996639784946,9.95111873918,0.980510752688,17.5989396742,0.980510752688,366.484574239,0.996639784946,402.008,1.0,11.101,1.0,10.732,1.0,-3.1329,1.0,16.0844,1.0,37.4806,0.371138,0.317856,1.0,0.74068,0.611279,0.274412,0.987231,0.0763262,0.20617,0.274412,0.34098,0.989919,0.987231,0.978495,3.23163,2.12399,3.2286,3.46686,2.95519,1.92504,2.69399,3.18985,1.93672,1.59853,1.68219,1.89189,1.61826,1.51922,1.54313,1.59988,-9999,-9999
