TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200601,24.733,0.0,440.919,129.662,0.0,421.227,0.0,3.121,0.0,99.115,0.0,7.223,0.0,1.231,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.6625,0.0,-9999,-9999,53.7508,0.0,-9999,-9999,0.155247,0.0,-9999,0.138563,0.153247,0.16067,0.0,0.0,0.0,1.03187,1.00011,1.03187,1.05576,0.871203,0.871203,0.876626,0.881708,1.4652,1.42827,1.45293,1.46459,0.966187,0.948917,0.951887,0.965949,-9999,-9999
200602,24.922,0.0,447.85,123.135,0.0,421.038,0.0,3.229,0.0,99.137,0.0,8.47,0.0,1.377,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.7795,0.0,-9999,-9999,54.5547,0.0,-9999,-9999,0.153509,0.0,-9999,0.135883,0.15159,0.159737,0.0,0.0,0.0,1.03973,1.00773,1.03973,1.0638,0.879997,0.880062,0.886225,0.892511,1.48806,1.45056,1.47559,1.48744,0.918389,0.9014,0.904294,0.918166,-9999,-9999
200603,25.084,0.0,442.188,145.491,0.0,413.504,0.0,3.711,0.0,99.192,0.0,4.673,0.0,1.405,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.6257,0.0,-9999,-9999,53.7288,0.0,-9999,-9999,0.156315,0.0,-9999,0.139482,0.154271,0.161758,0.0,0.0,0.0,1.04646,1.01425,1.04646,1.07068,0.884702,0.884702,0.890145,0.896115,1.50764,1.46964,1.495,1.50701,1.04284,1.02637,1.02938,1.04257,-9999,-9999
200604,25.063,0.0,418.681,128.045,0.0,419.307,0.0,3.423,0.0,99.105,0.0,8.459,0.0,1.256,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.6862,0.0,-9999,-9999,53.9933,0.0,-9999,-9999,0.155074,0.0,-9999,0.138046,0.153084,0.160754,0.0,0.0,0.0,1.04566,1.01348,1.04566,1.06986,0.884904,0.884904,0.890584,0.896502,1.50615,1.46819,1.49353,1.50553,0.941076,0.925006,0.927806,0.940843,-9999,-9999
200605,24.395,0.0,388.288,140.836,0.0,411.181,0.0,3.607,0.0,99.363,0.0,3.001,0.0,1.333,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.6625,0.0,-9999,-9999,53.7508,0.0,-9999,-9999,0.155247,0.0,-9999,0.138563,0.153247,0.16067,0.0,0.0,0.0,1.01822,0.986882,1.01822,1.04179,0.85755,0.85755,0.862972,0.867717,1.42868,1.39268,1.41671,1.42809,1.02274,1.00609,1.00913,1.02249,-9999,-9999
200606,24.258,0.0,369.943,144.666,0.0,405.836,0.0,4.057,0.0,99.439,0.0,1.584,0.0,1.364,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,11.6862,0.0,-9999,0.384292,53.9933,0.0,-9999,0.762338,0.155074,0.0,0.0131048,0.138046,0.153084,0.160754,0.0,0.0,0.0,1.01272,0.981547,1.01272,1.03615,0.851961,0.851961,0.857641,0.862746,1.41456,1.37891,1.40271,1.41397,1.03811,1.02189,1.02486,1.03785,-9999,-9999
200607,21.913,0.912634,375.828,118.762,0.912634,395.204,0.0,4.327,0.912634,99.587,0.0,0.085,0.911962,1.768,0.911962,0.1711613663,0.663978494624,44.0753236607,0.903225806452,234.514203571,0.903225806452,179.182251823,0.903225806452,370.048,0.912634,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,13.8545,0.912634,-9999,0.28755,45.6368,0.912634,-9999,0.46555,0.346456,0.911962,0.00871559,0.334406,0.341899,0.346553,0.911962,0.911962,0.911962,0.968943,0.962048,0.969676,0.975294,0.628586,0.622991,0.627078,0.629939,1.14952,1.15362,1.15908,1.16355,0.752086,0.760632,0.800748,0.803563,-9999,-9999
200608,21.582,1.0,401.085,108.482,1.0,398.289,0.0,4.066,1.0,99.542,0.0,0.17,1.0,1.762,1.0,0.168399531894,0.657930107527,44.1614516129,1.0,225.472482005,0.999327956989,185.250128266,1.0,363.135,1.0,25.363,25.673,26.843,0.998656,1.0,1.0,-9999,1.0,14.339,0.874328,-9999,0.290231,40.9863,1.0,-9999,0.488985,0.322655,1.0,0.00836856,0.314108,0.319877,0.32206,1.0,1.0,1.0,0.78825,0.770789,0.775626,0.7805,0.463227,0.452896,0.456009,0.461648,0.867316,0.856158,0.861473,0.898534,0.511839,0.529248,0.547518,0.55378,-9999,-9999
200609,22.553,1.0,427.878,102.649,1.0,415.546,0.0,3.426,1.0,99.493,0.0,0.589,1.0,1.921,1.0,0.167434160611,0.56875,43.6950729167,1.0,213.851163556,1.0,186.588196333,1.0,362.14,1.0,25.56,25.66,26.56,0.997917,0.994444,0.999306,-9999,1.0,24.9246,0.536111,-9999,0.507732,36.7554,1.0,-9999,0.677816,0.366048,0.998611,0.0119449,0.366517,0.37229,0.37373,0.998611,0.998611,0.998611,0.732566,0.722369,0.730301,0.734214,0.36116,0.353647,0.356924,0.360858,0.857771,0.855724,0.858696,0.87089,0.258536,0.267145,0.273646,0.286827,-9999,-9999
200610,24.224,1.0,441.709,119.786,1.0,418.067,0.0,3.243,1.0,99.314,0.0,8.258,1.0,2.222,0.999328,-9999,-9999,54.7976478495,1.0,249.555174942,1.0,190.669972186,1.0,372.864,0.998656,27.073,26.742,26.867,0.995968,0.995968,0.995968,-9999,1.0,46.906,0.998656,-9999,0.757819,27.8979,0.998656,-9999,0.501213,0.415732,0.995968,0.0262794,0.404841,0.413209,0.419856,0.995968,0.995968,0.995968,1.96787,1.94207,1.95774,1.97372,1.54041,1.53723,1.54453,1.55325,2.42198,2.38097,2.41668,2.43638,1.92849,1.90829,1.92783,1.94442,-9999,-9999
