TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_5,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_5_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200501,-0.541,0.0,126.711,50.377,0.0,283.834,0.0,0.734,0.0,97.635,0.0,2.568,0.0,1.266,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.06398,3.0,113.29,0.0,147.876,-9999,22.0066,0.0,28.7249,-9999,5.75032,0.0,-9999,4.88645,5.73987,6.24966,0.0,0.0,0.0,3.55017,3.38283,3.42397,4.36335,-2.10104,-2.35806,-1.85555,-1.4091,1.11606,0.410878,0.973539,1.4428,4.43001,3.02744,4.51907,4.88486,-9999,-9999
200502,-1.555,0.0,190.235,77.984,0.0,285.233,0.0,0.44,0.0,96.985,0.0,2.94,0.0,1.176,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.04986,3.0,113.6,0.0,142.096,-9999,21.8029,0.0,27.2722,-9999,5.75631,0.0,-9999,4.90396,5.74586,6.25852,0.0,0.0,0.0,3.12317,2.95126,2.99344,3.776,-2.52842,-2.79552,-2.41731,-1.842,0.867071,0.295213,0.705923,1.09517,5.87969,4.05955,5.98959,6.57186,-9999,-9999
200503,4.149,0.0,282.631,145.641,0.0,294.401,0.0,1.58,0.0,97.055,0.0,1.724,0.0,0.951,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.06925,3.0,113.098,0.0,137.626,-9999,21.6034,0.0,26.2888,-9999,5.74549,0.0,-9999,4.90434,5.73527,6.25516,0.0,0.0,0.0,5.26611,5.1142,5.15173,6.80511,-0.378569,-0.593433,0.18094,0.681028,2.16878,0.943843,2.23486,2.94566,8.66748,6.08373,8.80962,9.90042,-9999,-9999
200504,9.0,0.0,379.32,172.104,0.0,316.942,0.0,3.193,0.0,96.9,0.0,3.25,0.0,1.054,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.0614,3.0,113.32,0.0,127.695,-9999,21.8044,0.0,24.5703,-9999,5.75052,0.0,-9999,4.89806,5.74015,6.25431,0.0,0.0,0.0,7.11236,6.98312,7.01523,9.30985,1.46328,1.27816,2.18969,2.95335,3.35297,1.56116,3.47921,4.43727,9.57492,6.73282,9.72983,10.9639,-9999,-9999
200505,13.46,0.0,452.397,217.576,0.0,330.716,0.0,4.76,0.0,97.251,0.0,4.127,0.0,0.959,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.06398,3.0,113.29,0.0,120.265,-9999,22.0066,0.0,23.3614,-9999,5.75032,0.0,-9999,4.88645,5.73987,6.24966,0.0,0.0,0.0,9.27077,9.20786,9.23369,12.0604,3.61956,3.54155,4.42457,5.94666,5.26526,2.66621,5.42176,7.05277,11.1852,7.90149,11.359,12.886,-9999,-9999
200506,17.837,0.0,485.225,261.835,0.0,344.609,0.0,6.934,0.0,97.454,0.0,2.272,0.0,0.933,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.0614,3.0,113.32,0.0,112.928,-9999,21.8044,0.0,21.7289,-9999,5.75052,0.0,-9999,4.89806,5.74015,6.25431,0.0,0.0,0.0,11.5115,11.5428,11.5596,14.9202,5.86239,5.82527,6.73112,9.16691,7.41318,3.62432,7.41318,9.92595,12.6077,8.8744,12.795,14.6196,-9999,-9999
200507,18.179,0.0,469.508,217.192,0.0,356.704,0.0,5.517,0.0,97.25,0.0,3.638,0.0,1.043,0.168683,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.05097,3.0,109.526,0.134409,107.212,-9999,20.7683,0.170699,20.3294,-9999,5.61489,0.0504032,-9999,4.77895,5.59134,6.10778,0.0423387,0.0524194,0.0873656,11.6458,11.6772,11.6939,15.0935,6.13826,6.12399,6.98296,9.47972,7.46319,3.65719,7.46319,9.92584,11.7074,8.26272,11.8906,13.4703,-9999,-9999
200508,16.116,0.0,409.363,181.169,0.0,349.647,0.0,4.023,0.0,97.315,0.0,5.033,0.0,0.955,0.206989,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,428.653,0.214382,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.06925,3.0,91.9842,0.160618,89.4429,1.95401,13.4804,0.209005,13.108,0.861333,-1.44601,0.0719086,0.423215,-1.61867,-1.37518,-1.26374,0.0739247,0.0537634,0.0598118,10.5184,10.505,10.5104,13.5999,12.2699,11.8131,12.1265,15.4832,6.26009,3.13637,6.43766,7.94427,10.0644,7.08182,10.2262,11.5345,-9999,-9999
200509,15.438,0.730556,321.366,146.014,0.732639,348.969,0.73125,3.385,0.730556,97.411,0.0,3.727,0.71875,0.928,0.852083,0.119219256545,0.780555555556,-9999,-9999,279.288215674,0.720138888889,-9999,-9999,-9999,-9999,452.201,0.854861,17.114,16.955,16.779,17.035,17.226,17.194,17.321,17.121,16.847,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,55.733,44.585,43.1,45.531,0.730556,0.730556,0.730556,0.730556,-7.0614,3.0,62.563,0.827083,60.0294,0.686961,12.2571,0.854167,11.7608,0.283092,0.633308,0.775,0.111669,0.51421,0.62334,0.729508,0.777778,0.797222,0.773611,10.5136,9.63875,10.2801,11.6268,9.96906,8.99218,9.74756,10.7531,7.38478,6.71323,7.84066,8.59526,8.56214,7.79706,8.30113,8.62771,-9999,-9999
200510,11.462,0.462366,224.929,84.108,1.0,333.485,1.0,2.025,0.459677,97.482,0.0,2.604,1.0,0.923,0.624328,0.0993412056303,0.58064516129,-9999,-9999,175.629022171,1.0,-9999,-9999,-9999,-9999,458.011,0.965726,12.556,12.126,12.258,12.578,12.85,12.941,13.341,13.497,14.548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55.821,45.308,42.634,45.638,0.557796,0.557796,0.557796,0.557796,-7.27352,3.0,26.8328,0.961694,24.8159,0.562736,9.72358,0.959005,8.99269,0.234566,-1.05637,0.827957,0.198528,-1.68114,-1.34754,-1.05637,0.900538,0.818548,0.827957,7.84301,4.37837,5.39573,7.5703,9.04672,6.08067,6.28143,8.65457,5.27664,4.45891,4.91222,5.26048,6.98717,6.46861,6.81283,6.9412,-9999,-9999
