TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
199701,-1.539,1.0,129.524,75.853,0.997984,228.783,0.0,2.242,1.0,83.6,1.0,0.332,1.0,1.206,0.985887,0.189966478868,0.973790322581,0.416610535982,0.985215053763,-9999,-9999,-9999,-9999,-9999,-9999,356.149,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.08613,3.0,4.34737,1.0,2.25246,0.235615,-1.28722,0.998656,-0.666935,0.788513,1.28447,0.927419,0.0593222,1.11219,1.44048,1.62768,0.985887,0.74664,0.607527,1.25963,1.17471,1.76683,2.17211,-0.0179827,-0.0126519,0.156693,0.450295,1.14193,0.854072,1.03243,1.14546,0.0,0.0,0.0,0.0129503,-9999,-9999
199702,-1.864,1.0,192.987,116.823,1.0,235.326,0.0,2.349,1.0,83.935,1.0,0.882,1.0,2.073,1.0,0.269090033291,0.99255952381,37.7001499177,0.999255952381,-9999,-9999,-9999,-9999,-9999,-9999,362.515,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.07498,3.0,8.19216,1.0,10.903,0.369693,1.71098,1.0,2.27715,0.911615,0.896636,0.96875,0.0521347,0.829209,0.875034,0.910796,0.912946,0.938244,0.994792,1.04909,0.976933,1.08539,1.13397,0.11481,0.0562138,0.21453,0.275335,0.843004,0.828539,0.95136,1.0438,0.0438388,0.0308473,0.0502901,0.171734,-9999,-9999
199703,-0.287,1.0,284.956,155.89,0.998656,246.094,0.0,2.081,1.0,84.024,1.0,1.206,1.0,2.038,0.985215,0.269289004375,0.994623655914,85.0233201886,0.983870967742,-9999,-9999,-9999,-9999,-9999,-9999,360.301,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.1013,3.0,13.8527,0.999328,29.0013,0.454275,20.1972,0.999328,42.2838,0.816583,0.643612,0.979167,0.0426024,0.542653,0.702101,0.829535,0.991935,0.971774,0.893145,1.57917,1.48,1.68654,1.94913,0.963097,0.913849,0.994355,1.12333,0.726233,0.719475,0.834305,1.04612,0.550824,0.529355,0.602403,0.628504,-9999,-9999
199704,-1.048,1.0,380.84,216.968,1.0,233.677,0.0,2.034,1.0,83.508,1.0,2.293,1.0,2.237,0.999306,0.301436591303,0.989583333333,132.060934102,0.999305555556,-9999,-9999,-9999,-9999,-9999,-9999,359.432,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.08788,3.0,15.7492,1.0,32.8538,0.492893,45.5407,1.0,95.0003,1.16552,0.42008,0.980556,0.0356584,0.371722,0.481822,0.623438,0.995833,0.970833,0.965278,1.47142,1.38253,1.51634,1.68206,1.07095,1.00891,1.05382,1.08597,0.942549,0.943561,1.16992,1.36077,0.765713,0.711739,0.780955,0.837382,-9999,-9999
199705,4.803,1.0,453.043,237.09,0.987231,267.839,0.0,3.361,1.0,83.597,1.0,2.129,1.0,2.139,0.985215,0.329194477356,0.995295698925,145.867800424,0.98185483871,-9999,-9999,-9999,-9999,-9999,-9999,354.429,0.997312,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.08613,3.0,34.7064,0.999328,71.7624,0.707948,51.0646,1.0,105.586,1.11198,-0.810945,0.971102,0.051423,-1.12492,-0.834168,-0.751831,0.984543,0.851478,0.888441,2.35782,1.81595,2.09962,2.35782,3.34694,2.84894,3.12925,3.25327,2.73567,1.8757,2.3591,2.66573,3.80288,3.31914,3.57426,3.67169,-9999,-9999
199706,7.266,0.998611,485.379,197.732,0.934028,312.965,0.0,2.263,0.998611,83.367,1.0,4.803,1.0,2.248,0.919444,0.300490772387,0.916666666667,137.751785142,0.918055555556,-9999,-9999,-9999,-9999,-9999,-9999,350.713,0.998611,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.08788,3.0,46.6573,0.997917,94.83,0.961841,24.1665,0.998611,49.1179,0.918156,-0.786481,0.94375,0.0833354,-1.17883,-0.708091,-0.4578,0.973611,0.934028,0.894444,3.82681,3.67724,4.11068,4.9346,4.80825,4.73282,4.98461,5.40149,3.8219,3.34448,3.78607,4.04455,5.35173,4.73057,5.14424,5.29884,-9999,-9999
199707,8.117,0.997984,469.868,191.128,0.995968,310.915,0.0,2.455,0.997984,83.937,0.983199,5.984,1.0,1.996,0.997984,0.281836949264,0.989247311828,123.665798835,0.997983870968,-9999,-9999,-9999,-9999,-9999,-9999,345.755,0.997984,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.07622,3.0,46.684,0.997312,92.8868,1.14492,20.9193,0.997312,41.6228,0.878377,-0.304244,0.975134,0.0931805,-0.547374,-0.304244,-0.215584,0.984543,0.975134,0.953629,5.75813,5.32869,5.47599,5.73262,6.15057,5.59681,5.80655,6.1179,4.93946,4.67558,4.85335,5.17974,5.68181,5.41351,5.58192,5.72679,-9999,-9999
199708,11.018,0.997984,410.486,203.24,1.0,317.694,0.0,3.894,0.997984,84.043,0.999328,3.842,1.0,1.73,0.999328,0.257563364293,0.890456989247,124.848310446,0.997311827957,-9999,-9999,-9999,-9999,-9999,-9999,346.166,0.997984,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.1013,3.0,51.5872,0.997984,94.8502,1.27026,27.6444,0.997984,50.8281,0.888813,0.867688,0.961022,0.111983,0.244899,1.30881,1.51561,0.983199,0.764113,0.797715,6.81712,5.63464,6.74864,7.33992,5.74299,5.05046,5.50494,6.05657,5.56232,4.02499,4.46335,5.21644,5.38162,4.5488,4.87347,5.3594,-9999,-9999
199709,8.453,1.0,323.349,198.388,1.0,294.049,0.0,3.634,1.0,84.203,1.0,1.747,1.0,2.08,1.0,0.271027212669,0.990972222222,102.656298611,1.0,-9999,-9999,25.3670892301,0.660416666667,-9999,-9999,346.758,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.08788,3.0,44.0013,0.999306,116.446,1.09884,21.2094,1.0,56.129,0.749036,0.835199,0.966667,0.0855082,0.334331,0.82898,0.945316,0.985417,0.922917,0.929861,4.85994,3.75862,5.02193,5.43935,3.91006,3.42429,4.11979,4.51204,2.94898,2.78084,3.1501,3.44955,3.35954,3.33024,3.45756,3.63978,-9999,-9999
199710,3.28,1.0,227.514,118.313,0.989919,266.626,0.0,2.584,1.0,83.609,1.0,1.865,1.0,1.903,0.983871,0.256922181818,0.95564516129,46.5300154249,0.98252688172,-9999,-9999,16.3949938488,0.996639784946,-9999,-9999,354.293,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.08613,3.0,21.5403,0.999328,54.4189,0.697854,9.71789,1.0,24.5511,0.71005,1.16227,0.955645,0.0812591,0.767154,1.29176,1.47865,0.983199,0.94422,0.91129,3.79432,2.93158,3.81954,4.14691,2.67398,2.11846,2.57045,2.73814,3.03254,1.84642,2.42933,3.25214,2.22728,1.72518,2.03888,2.22728,-9999,-9999
