TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_9,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,TS_F_MDS_9_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200501,-1.899,0.0,127.383,59.166,0.0,261.774,0.0,1.171,0.0,85.736,0.0,1.488,0.0,1.404,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.16354,3.0,109.339,0.0,107.444,-9999,32.5287,0.0,31.9651,-9999,-4.28448,0.0,-9999,-4.47016,-4.33086,-4.20195,0.0,0.0,0.0,2.3901,2.18866,2.3901,2.5143,6.70427,6.6543,6.70396,6.84645,8.85314,7.05237,7.16421,8.95924,4.96277,4.54397,4.61226,5.44557,-9999,-9999
200502,-2.984,0.0,190.893,89.66,0.0,268.738,0.0,0.868,0.0,85.045,0.0,2.036,0.0,1.627,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.1612,3.0,108.704,0.0,121.565,-9999,32.2172,0.0,36.0291,-9999,-4.25913,0.0,-9999,-4.4472,-4.30767,-4.18141,0.0,0.0,0.0,2.01726,1.81923,2.01726,2.14153,6.30935,6.26178,6.31053,6.43897,8.63187,6.87611,6.98515,8.73532,6.48503,6.02198,6.10098,7.06619,-9999,-9999
200503,2.856,0.0,283.188,149.79,0.0,277.249,0.0,1.639,0.0,85.315,0.0,1.512,0.0,1.274,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.16411,3.0,109.046,0.0,136.463,-9999,32.4583,0.0,40.6191,-9999,-4.28671,0.0,-9999,-4.47063,-4.3344,-4.20721,0.0,0.0,0.0,3.88698,3.67829,3.85748,4.00828,8.19671,8.13783,8.18675,8.405,9.86805,7.86084,7.9855,9.98631,8.7654,8.29012,8.37821,9.46471,-9999,-9999
200504,6.562,0.0,379.685,172.273,0.0,301.925,0.0,2.203,0.0,85.263,0.0,3.233,0.0,1.637,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.16301,3.0,109.04,0.0,128.501,-9999,32.4076,0.0,38.1915,-9999,-4.27736,0.0,-9999,-4.46318,-4.32486,-4.19737,0.0,0.0,0.0,5.06735,4.8555,5.03292,5.18491,9.36004,9.30926,9.34858,9.61438,10.6556,8.48824,8.62285,10.7834,9.58004,9.07278,9.16719,10.34,-9999,-9999
200505,11.114,0.0,452.553,226.442,0.0,308.365,0.0,3.225,0.0,85.685,0.0,3.887,0.0,1.466,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.16354,3.0,109.339,0.0,124.881,-9999,32.5287,0.0,37.1526,-9999,-4.28448,0.0,-9999,-4.47016,-4.33086,-4.20195,0.0,0.0,0.0,7.10864,6.97522,7.0219,7.17896,11.372,11.3528,11.4344,11.4954,11.4824,9.14684,9.29189,11.62,11.3882,10.8763,10.9771,12.2398,-9999,-9999
200506,15.234,0.0,485.263,252.326,0.0,320.182,0.0,4.539,0.0,85.96,0.0,3.182,0.0,1.399,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.16301,3.0,109.04,0.0,116.759,-9999,32.4076,0.0,34.7015,-9999,-4.27736,0.0,-9999,-4.46318,-4.32486,-4.19737,0.0,0.0,0.0,9.15884,9.07068,9.14583,9.1779,13.3726,13.3684,13.5339,13.6122,12.1848,9.70632,9.86024,12.3308,12.3068,11.792,11.8961,13.2059,-9999,-9999
200507,15.884,0.179435,469.595,222.999,0.0,340.9,0.0,4.053,0.179435,85.801,0.0,4.866,0.077957,1.654,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.16138,3.0,108.736,0.0,112.888,-9999,32.2356,0.0,33.4665,-9999,-4.26089,0.0,-9999,-4.44874,-4.30933,-4.18295,0.0,0.0,0.0,9.44321,9.35879,9.42807,9.4585,13.6367,13.6327,13.8007,13.8895,12.3043,9.80156,9.95698,12.4518,11.7448,11.197,11.3037,12.6327,-9999,-9999
200508,13.164,1.0,409.633,185.938,0.0,335.952,0.0,2.581,1.0,85.796,0.0,11.974,1.0,1.396,0.881048,0.162107937839,0.780241935484,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,368.742,0.889785,15.037,15.372,15.246,15.249,15.32,15.308,15.385,15.212,15.041,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.41,54.308,60.036,61.969,57.401,1.0,1.0,1.0,1.0,0.991263,-5.16411,3.0,84.9169,0.692204,86.8299,1.62559,23.5891,0.879704,24.1205,0.771689,-3.01483,0.492608,0.193788,-3.41647,-3.12506,-2.96038,0.526882,0.352151,0.449597,7.23145,6.7053,7.16057,7.45318,10.3169,10.1402,10.2506,10.3987,11.8647,9.4514,9.60127,12.0069,10.2228,9.69951,9.79812,11.0226,-9999,-9999
200509,12.672,0.879167,321.842,142.187,0.725694,334.919,0.724306,2.227,0.879167,85.891,0.0,3.428,0.870833,1.583,1.0,0.167619693227,0.899305555556,-9999,-9999,277.472387013,0.699305555556,-9999,-9999,-9999,-9999,365.226,1.0,15.217,15.385,15.191,15.202,15.295,15.344,15.431,15.262,14.994,0.879167,0.879167,0.879167,0.879167,0.879167,0.879167,0.879167,0.879167,0.879167,44.75,51.596,57.692,61.47,56.93,0.878472,0.878472,0.879167,0.879167,0.879167,-5.16301,3.0,61.2574,0.972917,61.73,0.608703,12.8856,0.997917,12.985,0.331177,-0.817606,0.925694,0.0677375,-1.13123,-0.891844,-0.668652,0.947917,0.929167,0.916667,6.81618,6.27907,6.74547,7.31926,7.69883,7.40888,7.68646,7.97736,8.84269,7.55342,7.81962,8.8117,8.63267,8.25626,8.37208,8.62674,-9999,-9999
200510,9.6,1.0,225.548,114.28,1.0,301.683,1.0,2.657,1.0,85.953,0.0,2.181,1.0,1.126,1.0,0.121208493471,0.867607526882,-9999,-9999,238.14910369,1.0,-9999,-9999,-9999,-9999,381.745,1.0,10.11,10.163,10.205,10.311,10.447,10.681,10.972,11.192,11.837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.964,49.76,57.279,61.192,56.625,1.0,1.0,1.0,1.0,1.0,-5.13964,3.0,33.1435,0.976478,34.0314,0.528485,9.20013,0.998656,9.4466,0.371895,-1.16235,0.975806,0.104288,-1.33969,-1.23659,-0.960106,0.975806,0.975806,0.977823,4.38452,4.09996,4.22984,4.81452,5.55308,5.41123,5.48462,5.71461,4.34703,4.17394,4.41336,4.5838,5.22989,5.11765,5.28934,5.42139,-9999,-9999
