TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,-0.888,0.0,124.806,39.739,0.0,282.388,0.0,1.253,0.0,92.707,0.0,5.761,0.0,3.078,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,44.0321,0.0,-9999,-9999,97.4549,0.0,-9999,-9999,0.672809,0.0,-9999,-0.162936,0.657113,1.0263,0.0,0.0,0.0,1.71975,1.39042,1.71975,2.16132,0.733874,0.268242,1.25183,1.99107,1.51721,1.46454,1.51677,1.57844,4.26711,4.13552,4.26206,4.43773,-9999,-9999
200402,0.162,0.0,189.848,92.563,0.0,262.729,0.0,1.955,0.0,93.406,0.0,1.714,0.0,2.551,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,43.7703,0.0,-9999,-9999,97.5271,0.0,-9999,-9999,0.641105,0.0,-9999,-0.179551,0.621265,0.991925,0.0,0.0,0.0,1.81967,1.51439,1.81967,2.22297,0.875496,0.426492,1.36909,2.05764,1.92922,1.86225,1.92865,2.00708,7.87277,7.67184,7.86533,8.06045,-9999,-9999
200403,1.923,0.0,284.362,141.918,0.0,272.86,0.0,2.496,0.0,93.504,0.0,1.478,0.0,2.282,0.0443548,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,44.011,0.016801,-9999,-9999,97.2942,0.045027,-9999,-9999,0.711608,0.00806452,-9999,-0.171823,0.705373,1.10844,0.00268817,0.0127688,0.0174731,1.98813,1.73171,1.98813,2.32332,0.938075,0.528265,1.43316,2.13046,2.84158,2.74293,2.84074,2.95626,10.4412,10.1998,10.4313,10.6171,-9999,-9999
200404,7.11,0.0,381.186,197.609,0.0,293.578,0.0,3.657,0.0,92.882,0.0,2.372,0.0,2.556,0.995833,0.537949348025,0.822916666667,-9999,-9999,383.14,0.990278,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,51.7863,0.851389,-9999,-9999,70.4859,0.981944,-9999,-9999,-1.61163,0.53125,-9999,-1.87556,-1.69331,-1.61163,0.693056,0.575694,0.53125,2.48641,2.3801,2.48641,2.61667,4.18965,4.10261,4.20274,4.25775,5.61892,5.42385,5.61727,5.84569,13.3005,13.0152,13.2879,13.4593,-9999,-9999
200405,9.586,0.0,453.752,218.566,0.0,304.215,0.0,4.192,0.0,93.093,0.0,3.196,0.0,2.5,0.982527,0.517903832413,0.854838709677,-9999,-9999,372.551,0.962366,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,76.028,0.820565,-9999,-9999,57.5337,0.972446,-9999,-9999,-4.02476,0.501344,-9999,-3.99939,-3.88757,-3.77349,0.452285,0.601478,0.348118,2.72777,2.71912,2.72088,2.74729,6.51436,6.49451,6.60628,6.74318,7.61575,7.35124,7.59697,7.91246,14.3106,14.0061,14.2969,14.4748,-9999,-9999
200406,13.983,0.0,485.381,237.068,0.0,326.172,0.0,5.508,0.0,93.524,0.0,2.936,0.0,2.371,0.997222,0.484977321909,0.855555555556,-9999,-9999,363.791,0.922222,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,111.475,0.790972,-9999,-9999,48.8581,0.984028,-9999,-9999,-4.52924,0.475694,-9999,-5.11756,-4.96817,-4.7339,0.356944,0.638194,0.391667,3.1567,2.96555,3.10672,3.34467,7.89655,7.68926,8.1511,8.39408,12.4534,12.0209,12.4227,12.9386,15.2776,14.9583,15.2631,15.4364,-9999,-9999
200407,15.543,0.0,467.938,236.366,0.0,336.129,0.0,5.341,0.0,93.48,0.0,4.334,0.0,2.323,0.99664,0.495191812658,0.851478494624,-9999,-9999,363.673,0.946237,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,121.215,0.832661,-9999,-9999,54.564,0.975134,-9999,-9999,-4.72589,0.459677,-9999,-5.0407,-4.77134,-4.5874,0.663306,0.168683,0.229839,3.30861,3.03916,3.23797,3.57534,8.32117,7.53829,8.17666,8.59282,14.5572,14.0516,14.5213,15.1244,15.2587,14.942,15.2441,15.4101,-9999,-9999
200408,16.247,0.0,406.044,200.722,0.0,340.442,0.0,5.221,0.0,93.238,0.0,4.396,0.0,2.494,0.994624,0.496004891733,0.835349462366,-9999,-9999,360.399,0.921371,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,114.771,0.796371,-9999,-9999,42.3863,0.976478,-9999,-9999,-4.85631,0.415323,-9999,-5.28702,-4.92916,-4.29208,0.639113,0.510753,0.321237,3.37702,3.07237,3.29709,3.68939,8.30619,7.31003,8.21745,8.98611,15.5298,14.9904,15.4915,16.1348,13.7035,13.4073,13.6904,13.8732,-9999,-9999
200409,12.602,0.3625,316.838,149.792,0.363889,322.448,0.0,3.75,0.3625,93.728,0.0,2.213,0.0,2.874,0.975,0.528936991057,0.8125,-9999,-9999,369.319,0.9625,13.477,13.523,13.564,13.525,13.253,0.781944,0.781944,0.781944,0.781944,0.781944,14.073,12.368,14.038,8.903,0.781944,0.781944,0.781944,0.781944,-9999,1.0,70.8419,0.921528,-9999,2.00604,38.2013,0.988889,-9999,0.979044,-2.72152,0.688194,0.105601,-3.0333,-2.89877,-2.77997,0.588194,0.759722,0.713194,2.78231,2.666,2.75136,2.77779,5.5638,5.46367,5.59994,5.76293,9.73801,9.68901,9.8419,10.0274,10.0069,9.90548,9.96135,10.077,-9999,-9999
200410,9.736,1.0,220.146,89.628,1.0,315.561,0.0,2.122,1.0,93.004,0.0,2.618,0.0,2.324,0.997312,0.461257652752,0.819220430108,172.361517473,1.0,379.106,1.0,10.607,10.873,10.992,11.206,11.2,1.0,1.0,1.0,1.0,1.0,18.83,16.402,18.122,13.591,1.0,1.0,1.0,1.0,-9999,1.0,45.7639,0.999328,-9999,1.27418,14.9073,1.0,-9999,1.09847,0.192075,0.986559,0.152138,-0.456176,-0.0854725,0.192075,0.99664,0.760753,0.986559,2.79275,1.81871,2.85079,3.95766,2.74892,2.27714,2.75556,3.66599,3.65008,1.79031,2.4372,3.65008,3.12406,2.02858,2.65994,3.05709,-9999,-9999
