TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200201,-0.63,1.0,126.174,41.805,1.0,283.321,0.0,0.799,1.0,97.783,1.0,1.904,1.0,1.975,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.161,-0.24,0.814,1.0,1.0,1.0,-9999,-9999,46.293,-9999,-9999,1.0,-9999,1.0,10.4552,0.131048,-9999,0.434533,-3.28029,0.163978,-9999,0.421369,0.474343,0.0967742,0.0325275,0.374516,0.464295,0.49666,0.0947581,0.0967742,0.0967742,0.923347,0.923134,0.93228,0.959841,0.467902,0.381329,0.467271,0.573446,1.80142,1.38282,1.65141,1.80089,0.91156,0.726292,0.855768,0.910273,-9999,-9999
200202,4.584,1.0,189.707,71.061,1.0,316.861,0.0,1.763,1.0,96.901,1.0,5.529,1.0,3.485,0.999256,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,389.495,0.998512,4.271,4.132,4.234,1.0,1.0,1.0,46.273,48.361,49.526,1.0,1.0,1.0,-9999,1.0,29.248,0.994792,-9999,0.401434,-12.0088,0.997024,-9999,0.335127,0.270633,0.988095,0.0219592,0.233802,0.270568,0.272393,0.994792,0.985119,0.995536,1.74234,1.7351,1.75055,1.75452,1.48416,1.47548,1.48138,1.48551,1.66321,1.53168,1.58651,1.61041,1.67335,1.60906,1.63565,1.65214,-9999,-9999
200203,6.081,1.0,282.185,145.958,1.0,303.306,0.0,2.901,1.0,96.966,1.0,3.313,1.0,2.552,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,395.306,0.981855,7.038,7.0,6.704,1.0,1.0,1.0,43.281,46.439,47.712,1.0,1.0,1.0,-9999,1.0,48.8349,0.936156,-9999,0.424174,2.18824,0.939516,-9999,0.317859,-1.8521,0.816532,0.0389335,-1.8838,-1.85171,-1.83965,0.822581,0.816532,0.811156,2.64105,2.69163,2.69652,2.7061,4.55586,4.53692,4.5478,4.56803,2.80787,2.62243,2.70134,2.8069,5.56936,5.4108,5.45027,5.55771,-9999,-9999
200204,8.396,0.977778,379.028,181.26,0.977778,311.709,0.0,4.175,0.977083,96.574,1.0,1.46,1.0,2.527,0.977083,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,387.823,0.905556,9.543,9.312,8.918,1.0,1.0,1.0,32.92,36.961,43.312,1.0,1.0,1.0,-9999,1.0,61.93,0.882639,-9999,0.481634,6.43907,0.879167,-9999,0.289477,-5.79535,0.797222,0.0569048,-5.96085,-5.84517,-5.79666,0.802083,0.809722,0.795139,4.07061,3.94649,4.07065,4.27894,10.0674,9.91605,9.94395,10.0741,3.13422,2.72679,3.14079,3.4823,9.45379,9.20728,9.45475,9.61097,-9999,-9999
200205,12.32,0.533602,452.272,187.623,0.534946,340.591,0.0,3.926,0.533602,96.643,1.0,3.967,1.0,1.732,0.52957,0.16870854857,0.574596774194,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,385.847,0.844758,14.32,13.8,13.095,0.977151,0.977151,0.977151,39.633,42.129,44.336,0.977151,0.977151,0.977151,-9999,1.0,74.59,0.780242,-9999,0.522965,13.0164,0.952957,-9999,0.360553,-3.38583,0.622984,0.164837,-3.41533,-3.29797,-3.13414,0.609543,0.630376,0.530242,7.76573,7.29227,7.76515,7.91991,11.3824,10.5443,11.0631,11.3806,4.89269,4.39872,4.84575,5.10147,4.59454,4.2274,4.59454,4.71373,-9999,-9999
200206,18.204,1.0,485.194,257.924,1.0,354.618,0.0,6.934,1.0,96.853,1.0,1.543,1.0,1.863,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,401.123,0.360417,18.484,17.918,16.661,0.970139,0.970139,0.970139,34.189,39.563,41.588,0.970139,0.970139,0.970139,-9999,1.0,106.698,0.342361,-9999,0.599948,8.44735,0.342361,-9999,0.34294,-2.41692,0.136111,0.177686,-2.56991,-2.41795,-2.24542,0.184028,0.136111,0.135417,8.81315,7.76619,8.81315,9.68743,11.657,10.5984,11.3099,12.5051,2.82922,2.69025,2.93154,4.60289,7.1754,7.00168,7.20855,7.554,-9999,-9999
200207,17.783,1.0,469.437,224.668,1.0,358.784,0.0,6.403,1.0,96.767,1.0,4.014,1.0,2.045,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,387.252,0.983871,19.313,18.88,18.075,1.0,1.0,1.0,27.835,34.03,38.694,1.0,1.0,1.0,-9999,1.0,100.647,0.965054,-9999,0.564344,1.29016,0.977151,-9999,0.360057,-3.49393,0.899866,0.071751,-3.545,-3.44167,-3.32157,0.897849,0.900538,0.930108,7.98952,7.8538,7.97456,8.9548,11.3828,11.2874,11.3555,12.3705,7.94731,6.22669,7.6169,7.96327,11.5623,10.3849,11.2654,11.525,-9999,-9999
200208,17.04,1.0,409.146,190.237,1.0,359.631,0.0,4.499,1.0,96.746,1.0,4.44,1.0,1.803,1.0,0.155581396218,0.608198924731,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,400.897,1.0,18.794,18.373,17.752,1.0,1.0,1.0,36.115,41.404,42.73,1.0,1.0,1.0,-9999,1.0,72.9349,0.999328,-9999,0.585776,10.7381,1.0,-9999,0.414745,-0.842395,0.943548,0.116631,-0.846865,-0.805102,-0.772614,0.96707,0.97043,0.96707,7.68145,7.43893,7.65195,7.75413,8.51307,8.23582,8.49378,8.52754,6.13817,6.32008,6.52123,7.21935,7.41373,7.43191,7.52249,7.88303,-9999,-9999
200209,12.666,1.0,320.985,132.277,1.0,338.682,0.0,2.914,1.0,96.959,1.0,4.607,1.0,2.046,1.0,0.162529785254,0.68125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,387.245,0.997222,14.904,14.976,15.461,1.0,1.0,1.0,38.223,42.057,44.642,1.0,1.0,1.0,-9999,1.0,54.6837,0.988889,-9999,0.474979,0.511834,0.995139,-9999,0.342146,-1.1047,0.949306,0.0600679,-1.11383,-1.09678,-1.07993,0.955556,0.956944,0.952083,5.76567,5.74723,5.77492,5.90176,6.99607,6.82145,6.87578,6.98988,5.23819,5.03104,5.24557,5.3758,6.55054,6.55827,6.58316,6.66902,-9999,-9999
200210,9.169,1.0,224.433,89.384,1.0,331.918,0.0,1.802,1.0,96.699,1.0,6.572,1.0,2.145,1.0,0.172102195369,0.686827956989,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,391.658,0.99328,10.7,10.729,11.416,1.0,1.0,1.0,44.391,48.64,49.125,1.0,1.0,1.0,-9999,1.0,35.9852,0.987903,-9999,0.42598,-5.51706,0.992608,-9999,0.367643,-1.54669,0.97043,0.0454984,-1.55737,-1.54669,-1.53827,0.972446,0.97043,0.97043,3.80272,3.78801,3.82114,3.86443,5.41936,5.33965,5.36731,5.41936,3.30081,3.4905,3.5835,3.72805,5.30245,5.3469,5.42706,5.49636,-9999,-9999
