TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,0.92,0.993952,126.17,39.473,0.795699,297.477,0.794355,0.431,0.0,93.788,0.0,4.945,0.999328,2.491,0.986559,0.219242954211,0.790994623656,-9999,-9999,-9999,-9999,383.93,0.985887,1.527,1.539,1.795,-9999,2.703,3.453,-9999,1.0,1.0,1.0,-9999,1.0,1.0,-9999,15.462,17.62,27.183,17.825,1.0,1.0,0.791667,0.372984,-9999,1.0,11.4678,0.943548,-9999,-9999,-12.5424,0.987903,-9999,-9999,1.53318,0.842742,-9999,1.46801,1.53517,1.60598,0.84879,0.843414,0.840726,1.3912,1.34028,1.39311,1.44087,-0.142026,-0.168197,-0.147104,-0.130355,2.57193,2.48952,2.56361,2.86229,0.692661,0.668028,0.695859,0.803186,-9999,-9999
200402,1.475,0.881466,191.185,92.08,0.882902,266.525,0.881466,1.35,0.0,94.5,0.0,0.825,0.862069,1.917,0.996408,0.205928239688,0.798850574713,160.403470764,0.854885057471,-9999,-9999,406.967,1.0,1.565,1.538,1.748,-9999,2.503,3.082,-9999,0.881466,0.881466,0.881466,-9999,0.881466,0.881466,-9999,20.49,21.148,20.288,17.787,0.881466,0.881466,0.881466,0.0,-9999,1.0,17.1775,0.994253,-9999,-9999,-6.84533,0.993534,-9999,-9999,0.926099,0.944684,-9999,0.920573,0.928552,0.98691,0.944684,0.943966,0.936782,1.20463,1.19525,1.22833,1.34349,0.306025,0.263299,0.30418,0.34018,1.45187,1.51464,1.65946,1.9886,0.802729,0.558592,0.61627,0.675561,-9999,-9999
200403,4.357,0.885753,285.487,136.276,0.887097,281.455,0.885753,1.84,0.0,94.589,0.0,1.37,0.870968,1.818,0.987231,0.207381688887,0.800403225806,243.418067156,0.865591397849,-9999,-9999,383.327,1.0,4.857,4.523,4.485,-9999,4.52,4.469,-9999,0.885753,0.885753,0.885753,-9999,0.885753,0.885753,-9999,21.698,22.926,20.293,17.825,0.885753,0.885753,0.885753,0.0,-9999,1.0,39.548,0.997984,-9999,-9999,12.6336,0.997984,-9999,-9999,0.402375,0.966398,-9999,0.376584,0.395997,0.415056,0.965054,0.974462,0.969086,1.46337,1.29494,1.34727,1.42398,1.02968,0.888694,0.923006,1.03356,1.01475,0.914836,0.971251,1.03174,0.959032,0.831523,0.886843,0.916477,-9999,-9999
200404,9.734,0.886111,381.917,188.403,0.885417,303.432,0.886111,3.327,0.0,93.927,0.0,0.788,0.881944,1.984,0.869444,0.25575297556,0.708333333333,323.635648394,0.866666666667,-9999,-9999,379.887,0.885417,10.336,9.911,9.773,-9999,9.275,8.516,-9999,0.886111,0.886111,0.886111,-9999,0.886111,0.886111,-9999,22.121,25.612,20.751,17.924,0.886111,0.886111,0.886111,0.0,-9999,1.0,70.4313,0.885417,-9999,-9999,13.3683,0.885417,-9999,-9999,-2.39117,0.885417,-9999,-2.42577,-2.4053,-2.36223,0.885417,0.885417,0.885417,4.22256,4.10935,4.15133,4.16721,6.52253,6.50321,6.52253,6.56621,3.33937,3.22433,3.64806,3.71075,6.72033,6.50287,6.70457,6.74706,-9999,-9999
200405,12.657,1.0,454.061,219.259,1.0,315.134,1.0,4.204,0.0,94.138,0.0,2.891,0.999328,1.278,0.994624,0.209764085354,0.907930107527,414.149450637,0.999327956989,-9999,-9999,399.094,1.0,12.536,12.225,12.198,-9999,12.008,11.466,-9999,1.0,1.0,1.0,-9999,1.0,1.0,-9999,18.749,22.539,19.263,18.475,1.0,1.0,1.0,0.0,-9999,1.0,96.8157,1.0,-9999,-9999,-0.0643359,1.0,-9999,-9999,-7.75042,0.997312,-9999,-7.76858,-7.75042,-7.72001,0.998656,0.997312,0.997984,5.18033,5.06928,5.10986,5.13824,12.8746,12.8006,12.8727,12.8892,5.87983,5.73037,5.80876,5.87298,13.5473,13.4546,13.4828,13.5258,-9999,-9999
200406,16.869,1.0,485.459,227.678,1.0,343.517,1.0,5.735,0.0,94.56,0.0,3.35,0.927083,1.034,0.997222,0.219084159363,0.893055555556,408.770315684,0.973611111111,-9999,-9999,394.571,1.0,15.651,15.233,15.121,-9999,14.667,13.886,-9999,1.0,1.0,1.0,-9999,1.0,1.0,-9999,18.992,20.647,17.421,18.931,1.0,1.0,1.0,0.0,-9999,1.0,108.42,0.998611,-9999,-9999,-1.65085,1.0,-9999,-9999,-7.9736,0.997222,-9999,-7.98724,-7.93204,-7.87065,0.997222,0.998611,0.996528,4.82134,4.80141,4.89884,5.15064,12.8091,12.791,12.8161,13.0502,5.75373,5.42099,5.71044,5.77676,13.4333,13.216,13.4268,13.4839,-9999,-9999
200407,18.639,1.0,468.128,226.072,1.0,358.204,1.0,5.611,0.0,94.499,0.0,7.224,0.0819892,1.006,0.99664,0.211543764754,0.888440860215,176.072281015,0.698252688172,-9999,-9999,398.242,1.0,17.465,17.043,16.939,-9999,16.48,15.696,-9999,1.0,1.0,1.0,-9999,1.0,1.0,-9999,15.03,17.19,12.652,18.986,1.0,1.0,1.0,0.0,-9999,1.0,98.7793,1.0,-9999,-9999,13.8816,1.0,-9999,-9999,-1.55151,0.998656,-9999,-1.53742,-1.48153,-1.43769,0.998656,0.998656,0.998656,6.00179,6.04419,6.10719,6.18632,7.60886,7.5546,7.6083,7.65181,6.52225,6.34962,6.41204,6.61844,7.51727,7.58557,7.63407,7.75192,-9999,-9999
200408,19.364,0.979167,406.61,199.357,0.980511,385.199,0.979167,5.133,0.0,94.242,0.0,2.276,0.745968,1.396,0.918683,0.166728899165,0.824596774194,341.096895795,0.909946236559,-9999,-9999,391.948,0.965054,19.673,18.942,20.695,-9999,19.604,18.281,-9999,0.979167,0.977823,0.630376,-9999,0.630376,0.630376,-9999,20.719,21.843,19.456,19.027,0.979167,0.979167,0.979167,0.0,-9999,1.0,54.5487,0.949597,-9999,-9999,33.3586,0.998656,-9999,-9999,4.23783,0.903226,-9999,3.98329,4.12368,4.18609,0.911962,0.911962,0.905914,4.55213,4.41509,4.67869,4.80551,0.921028,0.487442,0.562491,0.768472,4.17925,4.16918,4.27501,4.72309,0.990518,1.09,1.17653,1.32533,-9999,-9999
200409,15.797,0.941667,317.82,163.379,0.943056,370.929,0.941667,3.903,0.0,94.767,0.0,1.69,0.939583,1.546,0.502083,-9999,-9999,325.683502009,0.933333333333,-9999,-9999,386.357,0.971528,16.919,16.141,16.236,-9999,16.457,16.316,-9999,0.815972,0.941667,0.941667,-9999,0.941667,0.941667,-9999,20.796,25.048,21.808,19.273,0.941667,0.941667,0.941667,0.570139,-9999,1.0,45.9171,0.963194,-9999,-9999,27.5003,0.970833,-9999,-9999,2.4737,0.895139,-9999,2.39258,2.46789,2.52707,0.935417,0.917361,0.904861,2.42579,2.63269,2.81146,2.96504,0.491341,0.209481,0.386647,0.527943,2.97021,2.1088,2.23157,3.0084,0.58167,0.534371,0.709244,1.07407,-9999,-9999
200410,11.666,0.928763,221.412,84.419,0.93078,367.885,0.928763,2.104,0.0,94.015,0.0,5.086,0.730511,1.342,0.575941,-9999,-9999,177.111960828,0.900537634409,-9999,-9999,422.46,0.926747,15.01,11.758,12.039,-9999,12.735,13.063,-9999,0.0,0.928763,0.928763,-9999,0.928763,0.928763,-9999,21.03,26.332,22.687,24.646,0.928763,0.928763,0.928763,0.928763,-9999,1.0,36.1222,0.926747,-9999,-9999,6.45821,0.926747,-9999,-9999,0.892714,0.77621,-9999,0.847858,0.887274,0.954956,0.768145,0.77621,0.835349,1.63758,1.59787,1.63767,1.77246,0.765101,0.743864,0.772689,0.826652,2.48863,1.55468,2.16241,2.43017,0.784484,0.671713,1.02269,1.21755,-9999,-9999
