TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200301,-13.92,1.0,161.134,93.997,1.0,182.482,1.0,0.999,1.0,92.93,1.0,0.0,1.0,2.659,0.998656,0.499189821237,1.0,10.4696995968,1.0,-9999,-9999,-2.755,1.0,11.0,1.0,-9999,1.0,2.90149,1.0,-9999,0.0890963,10.8926,1.0,-9999,0.637331,0.0636431,0.618952,-9999,0.0617232,0.0891603,0.102176,0.618952,0.645833,0.645161,0.416656,0.359152,0.416656,0.450904,0.359001,0.257175,0.35727,0.376467,0.422388,0.422389,0.422392,0.427526,0.357381,0.357382,0.357383,0.363294,-9999,-9999
200302,-7.688,1.0,223.33,137.338,1.0,199.68,1.0,1.838,1.0,93.006,0.995536,0.025,0.995536,2.604,0.999256,0.458173762918,0.998511904762,41.2613822917,1.0,-9999,-9999,-2.011,1.0,11.0,1.0,-9999,1.0,5.32159,0.999256,-9999,0.142806,25.9841,1.0,-9999,0.75776,0.00796818,0.901786,0.0219909,0.0151647,0.0269534,0.0487895,0.93378,0.924107,0.914435,0.402544,0.391422,0.402544,0.451617,0.386284,0.381149,0.384654,0.400298,1.31383,1.29155,1.31389,1.3368,0.85415,0.845609,0.8542,0.874287,-9999,-9999
200303,-2.786,1.0,310.013,178.255,1.0,221.97,1.0,2.892,1.0,93.068,0.9375,0.372,0.9375,2.443,0.9375,0.410301471917,0.999327956989,80.5140917809,1.0,-9999,-9999,-0.915,1.0,16.5,1.0,-9999,1.0,10.3565,1.0,-9999,0.241062,43.9755,1.0,-9999,0.720268,0.254199,0.948925,0.0164157,0.264057,0.281068,0.293552,0.948925,0.942204,0.952957,0.8407,0.836014,0.848613,0.870615,0.576636,0.552022,0.578562,0.586098,2.0225,1.94816,1.98195,2.01864,1.23668,1.21162,1.21839,1.24057,-9999,-9999
200304,6.869,1.0,396.709,181.515,1.0,274.005,1.0,6.044,1.0,92.582,1.0,2.583,1.0,3.014,0.983333,0.567855941607,0.950694444444,91.46436875,1.0,-9999,-9999,2.544,1.0,36.5,1.0,-9999,1.0,28.6728,0.988194,-9999,0.442236,39.5347,0.991667,-9999,0.826493,-0.0496932,0.964583,0.0269777,-0.0583632,-0.0409455,-0.0297264,0.964583,0.964583,0.975694,1.72666,1.70477,1.71879,1.7297,1.79052,1.74025,1.75376,1.78431,1.48735,1.46947,1.48629,1.51682,1.67308,1.6572,1.66643,1.67593,-9999,-9999
200305,13.843,1.0,459.269,213.881,1.0,306.474,1.0,9.348,1.0,92.631,1.0,0.623,1.0,2.556,0.997984,0.445817210305,0.997983870968,110.182890457,1.0,-9999,-9999,10.38,1.0,30.6,1.0,-9999,1.0,55.929,0.999328,-9999,0.672734,38.3998,0.999328,-9999,0.769126,-1.21533,0.984543,0.0531063,-1.21121,-1.20718,-1.19566,0.985215,0.983871,0.988575,5.02044,5.02044,5.03614,5.08588,6.24002,6.22264,6.24522,6.26916,4.1225,4.07653,4.12245,4.16663,5.43017,5.3701,5.40002,5.42858,-9999,-9999
200306,17.085,1.0,486.271,217.163,1.0,341.979,1.0,6.865,1.0,92.138,1.0,3.183,1.0,2.059,0.999306,0.347831500774,0.99375,126.52335625,1.0,-9999,-9999,15.181,1.0,24.9,1.0,-9999,1.0,75.684,0.999306,-9999,0.920964,23.2221,1.0,-9999,0.697129,-3.77952,0.979167,0.0918983,-3.91456,-3.75678,-3.70426,0.978472,0.9875,0.988889,7.44725,7.09492,7.51742,7.65819,11.2329,11.0906,11.2329,11.3817,6.01953,6.00044,6.14747,6.49038,10.1033,10.0764,10.1238,10.3077,-9999,-9999
200307,18.476,1.0,472.992,181.742,1.0,372.048,1.0,4.954,1.0,92.318,1.0,5.897,1.0,1.665,0.993952,0.293429442212,0.987231182796,122.296516258,0.999327956989,-9999,-9999,17.395,1.0,35.6,1.0,-9999,1.0,75.8734,0.998656,-9999,0.960291,12.4176,0.999328,-9999,0.56923,-2.32121,0.992608,0.103052,-2.60828,-2.38133,-2.32365,0.991935,0.99328,0.991935,9.38332,8.88604,9.39603,9.69851,11.8036,11.5701,11.7499,12.0291,7.24609,6.42128,7.32342,8.35511,10.0593,9.73795,10.9255,11.0791,-9999,-9999
200308,18.006,1.0,421.958,216.18,1.0,339.448,1.0,6.326,1.0,92.489,1.0,1.145,0.935484,2.26,0.997984,0.370006087031,0.989247311828,123.837647849,1.0,-9999,-9999,17.377,1.0,23.6,1.0,-9999,1.0,87.4872,0.994624,-9999,0.890867,13.9556,0.998656,-9999,0.629614,-1.95383,0.991263,0.0957282,-2.00124,-1.97664,-1.94987,0.991935,0.991935,0.99328,9.52603,9.46786,9.5164,9.55723,11.5252,11.4283,11.4805,11.5355,7.80699,7.09242,8.5055,8.96531,10.0313,9.79016,10.4247,10.5977,-9999,-9999
200309,13.537,1.0,344.468,174.321,1.0,310.275,1.0,5.83,1.0,92.932,1.0,0.957,0.984028,2.179,1.0,0.374585419559,0.51875,85.6820388889,1.0,-9999,-9999,13.372,1.0,18.9,1.0,-9999,1.0,49.6298,0.831944,-9999,0.543081,16.9192,0.853472,-9999,0.715681,-0.576318,0.767361,0.0602327,-0.596814,-0.511941,-0.428268,0.756944,0.765972,0.790972,5.39037,5.14308,5.37114,5.39037,5.91754,5.56664,5.88412,5.97717,4.33875,4.04567,4.07732,4.33012,5.75277,5.5739,5.62369,5.7056,-9999,-9999
200310,5.289,1.0,255.752,118.75,1.0,271.917,1.0,3.956,1.0,92.937,1.0,0.887,1.0,2.901,0.995968,0.528429457598,0.98252688172,39.6991711136,0.999327956989,-9999,-9999,6.128,1.0,24.1,1.0,-9999,1.0,20.1024,0.998656,-9999,0.428062,15.3273,0.998656,-9999,0.694251,0.293693,0.998656,0.0328049,0.304594,0.313348,0.326229,0.998656,0.998656,0.998656,1.67235,1.62616,1.67235,1.69771,1.35966,1.32561,1.35966,1.37148,1.33433,1.36833,1.37808,1.42285,1.11271,1.11895,1.12722,1.13163,-9999,-9999
200311,-2.811,1.0,180.119,93.088,0.997222,240.73,1.0,2.386,1.0,93.362,1.0,0.58,1.0,2.485,0.831944,0.417374505944,0.896527777778,19.3421068091,0.991666666667,-9999,-9999,0.923,1.0,31.6,1.0,-9999,1.0,9.40419,0.990972,-9999,0.246905,12.5879,0.995139,-9999,0.664331,0.0169637,0.921528,0.0183516,-0.00410002,0.0248791,0.0534123,0.921528,0.921528,0.923611,0.4005,0.304189,0.399996,0.421237,0.375621,0.315839,0.355793,0.37113,0.738809,0.688851,0.726666,0.738809,0.547872,0.53766,0.539349,0.545431,-9999,-9999
