TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200701,-11.314,0.0,145.41,81.611,0.637769,205.526,0.0,0.757,0.0,100.187,0.0,0.061,0.0,2.534,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,20.6447,0.0,15.6094,-9999,44.7646,0.0,33.8464,-9999,0.242544,0.0,-9999,0.238574,0.242718,0.282956,0.0,0.0,0.0,0.119916,0.109039,0.115247,0.12403,-0.122628,-0.158161,-0.133565,-0.125387,0.409635,0.00299645,0.406111,0.491392,0.375492,0.226023,0.37652,0.468441,-9999,-9999
200702,-4.391,0.0,208.368,130.636,0.59747,220.013,0.0,2.416,0.0,99.565,0.0,0.074,0.0,3.733,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.6822,0.713542,20.6059,0.0,17.021,-9999,43.4342,0.0,35.8778,-9999,0.242674,0.0,-9999,0.238359,0.242674,0.281759,0.0,0.0,0.0,0.236132,0.219697,0.227783,0.242664,-0.00654254,-0.0390951,-0.0238209,-0.0106716,0.519354,0.0178685,0.514886,0.623009,0.466652,0.298001,0.466737,0.573139,-9999,-9999
200703,-1.984,0.0,297.789,177.931,0.531586,236.423,0.0,3.075,0.0,99.466,0.0,0.448,0.0,4.027,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,27.6439,0.0,21.8988,0.0,18.5524,-9999,43.1152,0.0,36.5268,-9999,0.294766,0.0,-9999,0.295178,0.296182,0.317716,0.0,0.0,0.0,0.283778,0.265694,0.274024,0.29128,-0.0109888,-0.0347309,-0.0264754,-0.0198468,0.554331,0.0295073,0.549563,0.664967,0.5423,0.355018,0.5423,0.662604,-9999,-9999
200704,7.239,0.0,389.09,228.379,0.466667,268.894,0.0,7.063,0.0,99.102,0.0,0.218,0.0,3.622,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,27.5665,0.0,21.983,0.0,20.5539,-9999,45.4072,0.0,42.4554,-9999,0.279579,0.0,-9999,0.280673,0.281991,0.297117,0.0,0.0,0.0,0.492464,0.46961,0.475687,0.503727,0.212885,0.184799,0.196299,0.207391,0.674855,0.124316,0.66905,0.809546,0.62068,0.420326,0.623625,0.754648,-9999,-9999
200705,16.915,0.401882,456.413,243.128,0.607527,326.371,0.401882,11.767,0.401882,98.342,0.322581,0.445,0.0,4.069,0.322581,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28.6373,0.401882,29.5155,0.401882,29.3638,0.587858,53.3914,0.40121,53.117,0.685912,0.206343,0.395833,0.0224716,0.208658,0.211872,0.223699,0.396505,0.399866,0.391129,0.880256,0.865741,0.871312,0.903854,0.673913,0.655918,0.658665,0.680038,1.09167,0.57328,1.03335,1.08231,0.89327,0.688655,0.86885,0.89327,-9999,-9999
200706,24.089,1.0,486.028,266.557,1.0,371.473,1.0,18.387,1.0,98.358,0.999306,0.16,0.000694444,3.988,0.996528,0.285356348404,0.997916666667,129.884725906,1.0,551.874986806,1.0,58.3857958826,1.0,449.756477083,1.0,338.72,1.0,22.971,1.0,19.1,1.0,25.0687,1.0,52.9658,1.0,52.6936,0.557676,52.3916,1.0,52.1224,0.511789,-0.349508,0.950694,0.019289,-0.366116,-0.346014,-0.336173,0.95,0.969444,0.952083,1.73214,1.68202,1.71907,1.73214,2.08108,2.04696,2.06282,2.07874,2.53323,2.36002,2.45062,2.56944,2.35061,2.2783,2.33691,2.41713,-9999,-9999
200707,23.951,1.0,471.657,238.376,1.0,387.104,1.0,11.43,1.0,98.124,0.999328,3.432,1.0,2.984,1.0,0.235675199611,0.997983870968,134.705041766,1.0,497.242021505,1.0,48.9739672372,1.0,441.822606855,1.0,358.458,1.0,23.985,1.0,54.0,1.0,14.1924,1.0,72.0877,1.0,80.7901,0.673131,35.4438,1.0,39.7226,0.413729,-1.20694,0.977151,0.0295058,-1.20818,-1.18668,-1.16408,0.977151,0.977151,0.989247,2.95145,2.95145,2.95844,3.03771,4.15963,4.14273,4.15963,4.25955,4.17745,4.17745,4.29483,4.48688,4.83803,4.72173,4.79138,4.91123,-9999,-9999
200708,22.818,1.0,416.515,220.176,1.0,377.376,1.0,10.021,1.0,98.486,1.0,1.035,1.0,2.904,1.0,0.228464611359,0.997311827957,118.953889956,0.997983870968,454.526743608,0.997983870968,47.5964651431,1.0,430.510797715,1.0,367.317,1.0,21.934,1.0,65.8,1.0,6.28904,1.0,73.5459,1.0,83.7493,0.702896,26.0683,1.0,29.6849,0.446337,-1.87331,0.957661,0.0360886,-1.92041,-1.87331,-1.8317,0.945565,0.957661,0.965054,2.89091,2.85437,2.89049,2.92968,4.76392,4.75335,4.76401,4.77746,5.47727,4.99754,5.32029,5.45011,6.05534,5.83869,5.96294,6.07791,-9999,-9999
200709,17.418,1.0,334.225,182.729,1.0,330.46,0.945833,9.887,1.0,99.204,1.0,0.653,1.0,2.697,0.875694,0.217485164468,0.65,79.8019733048,0.651388888889,366.849718056,1.0,43.1775705373,0.651388888889,395.773496554,0.651388888889,363.584,0.945833,17.066,1.0,44.4,1.0,-0.122202,1.0,37.6934,0.945139,40.4209,0.393628,32.8794,0.945833,35.2586,0.481484,0.0640357,0.872222,0.0184145,-0.00105492,0.0267428,0.0644436,0.846528,0.89375,0.881944,2.26849,2.21494,2.26307,2.26956,2.19982,2.19766,2.20214,2.2132,3.83171,3.79435,3.86301,4.01332,2.12598,2.02081,2.06962,2.20925,-9999,-9999
200710,7.549,1.0,241.888,141.502,1.0,269.571,1.0,6.387,1.0,99.663,1.0,0.297,1.0,3.733,0.999328,0.254410437244,0.997311827957,26.5980981942,1.0,269.69519086,1.0,35.3077233434,1.0,349.234264785,1.0,360.772,1.0,8.634,1.0,34.7,1.0,-7.14935,1.0,13.9866,1.0,11.0495,0.23845,28.7314,1.0,22.6979,0.483966,0.307589,0.989247,0.0066679,0.307517,0.308493,0.313172,0.986559,0.989247,0.995968,0.558842,0.548628,0.555941,0.558842,0.251037,0.239616,0.243908,0.248922,1.15876,0.806485,1.01115,1.15876,0.494635,0.377083,0.479758,0.561117,-9999,-9999
