TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,-9.592,1.0,245.491,162.211,0.998656,180.98,1.0,1.909,1.0,59.747,0.0,0.019,1.0,2.002,0.989919,-9999,-9999,-5.96538884993,0.998655913978,-9999,-9999,-5.549,1.0,5.2,1.0,-9999,1.0,8.10555,0.811156,-9999,0.250525,12.0183,0.810484,-9999,0.450273,0.0779159,0.622984,0.00550527,0.065053,0.077479,0.0783459,0.627688,0.616935,0.625672,0.148153,0.120631,0.1307,0.153783,0.0518531,0.0518531,0.0609315,0.0781954,0.108455,0.108302,0.127412,0.12775,0.0972392,0.0933995,0.0949235,0.0949235,-9999,-9999
200402,-6.673,1.0,300.931,217.896,1.0,164.736,1.0,3.038,1.0,59.838,0.0,0.097,1.0,2.812,0.999282,0.173810699072,0.778735632184,20.2406706102,0.996408045977,-9999,-9999,-3.487,1.0,6.6,1.0,-9999,1.0,13.132,0.989943,-9999,0.343458,32.4969,0.991379,-9999,0.666551,0.0041496,0.921695,0.00608107,-0.00398199,-0.000497289,0.00275223,0.928161,0.921695,0.927443,0.241631,0.236458,0.239127,0.241125,0.233744,0.234524,0.24169,0.24436,0.308056,0.260208,0.291115,0.293636,0.333335,0.291886,0.293391,0.304571,-9999,-9999
200403,0.922,1.0,370.458,249.608,1.0,190.045,1.0,6.094,1.0,60.123,0.0,0.0,1.0,3.64,0.99328,0.224928405012,0.621639784946,39.5044666409,0.997311827957,-9999,-9999,3.083,1.0,9.6,1.0,-9999,1.0,14.2364,0.969086,-9999,0.1786,47.91,0.965726,-9999,0.630625,-0.131331,0.946909,0.00691881,-0.130977,-0.129376,-0.123482,0.958333,0.966398,0.932124,0.402193,0.39634,0.398107,0.398843,0.526674,0.519366,0.527215,0.529165,0.293567,0.29352,0.322093,0.330335,0.478411,0.47843,0.49629,0.500004,-9999,-9999
200404,2.187,1.0,430.088,251.293,1.0,235.955,1.0,4.416,1.0,60.161,0.0,0.297,1.0,3.048,0.999306,-9999,-9999,73.6084091785,0.996527777778,-9999,-9999,7.781,1.0,10.1,1.0,-9999,1.0,22.7466,0.770139,-9999,0.267396,55.0429,0.774306,-9999,0.608497,-0.219454,0.774306,0.00744939,-0.219266,-0.217225,-0.213895,0.773611,0.775694,0.774306,0.286941,0.284372,0.286941,0.291372,0.513944,0.50068,0.503957,0.508313,0.178243,0.114103,0.124995,0.154134,0.483384,0.452542,0.456375,0.472998,-9999,-9999
200405,7.362,1.0,466.527,284.159,1.0,255.447,1.0,6.571,1.0,60.194,0.0,1.784,1.0,3.508,0.989919,0.193239503957,0.993279569892,101.669216112,0.999327956989,-9999,-9999,12.16,1.0,11.6,1.0,-9999,1.0,74.3363,0.997984,-9999,0.961557,54.724,0.997984,-9999,0.658732,-0.329001,0.988575,0.0111235,-0.332744,-0.329034,-0.325278,0.980511,0.987903,0.989247,0.436649,0.436055,0.438536,0.441505,0.765412,0.763462,0.767538,0.778988,0.192105,0.190942,0.212935,0.219789,0.616966,0.610585,0.627247,0.631883,-9999,-9999
200406,8.649,1.0,479.48,252.616,1.0,302.829,1.0,3.689,1.0,60.295,0.0,5.917,1.0,2.536,0.997222,-9999,-9999,144.090202305,0.999305555556,-9999,-9999,12.344,1.0,21.3,1.0,-9999,1.0,144.329,0.964583,-9999,1.34851,19.9044,0.965972,-9999,0.290945,-1.13223,0.882639,0.0191694,-1.15196,-1.13234,-1.0812,0.859722,0.882639,0.903472,0.762264,0.72798,0.759943,0.770377,1.89083,1.85882,1.88418,1.8997,1.71256,1.32214,1.63417,1.77364,2.58227,2.4161,2.55255,2.64573,-9999,-9999
200407,9.779,1.0,471.087,208.598,1.0,324.173,1.0,3.165,1.0,60.339,0.0,5.155,1.0,2.431,0.992608,0.168853808233,0.989919354839,123.95662836,1.0,-9999,-9999,13.327,1.0,24.7,1.0,-9999,1.0,106.275,0.997984,-9999,1.00492,14.7673,0.997984,-9999,0.209588,-1.47581,0.995296,0.0245909,-1.47646,-1.465,-1.45465,0.995296,0.992608,0.995968,1.14372,1.13145,1.14666,1.16672,2.62253,2.59,2.62253,2.63833,2.00913,1.88153,1.93532,2.08375,3.06822,3.00706,3.02425,3.12079,-9999,-9999
200408,10.574,1.0,440.742,237.867,1.0,307.993,1.0,4.078,1.0,60.457,0.0,2.926,1.0,2.41,0.997312,0.164675923801,0.995295698925,124.499005802,0.997983870968,-9999,-9999,13.994,1.0,24.5,1.0,-9999,1.0,114.098,1.0,-9999,1.01109,15.0365,1.0,-9999,0.233034,-1.06093,0.997312,0.0236546,-1.06093,-1.04449,-1.02761,0.997312,0.995968,0.998656,1.71681,1.6989,1.71179,1.72804,2.7638,2.7424,2.75227,2.76931,1.77698,1.73871,1.7672,1.83374,2.51582,2.45141,2.51239,2.54122,-9999,-9999
200409,8.795,1.0,389.123,246.484,1.0,268.723,1.0,5.279,1.0,60.631,0.0,0.967,1.0,2.312,0.997917,0.151752015944,0.996527777778,97.6382957151,0.997222222222,-9999,-9999,13.221,1.0,13.4,1.0,-9999,1.0,79.3694,0.999306,-9999,0.797365,24.7041,0.999306,-9999,0.348282,-0.371301,0.993056,0.0198156,-0.380658,-0.370827,-0.363643,0.998611,0.990278,0.986806,1.28786,1.27169,1.28786,1.30743,1.67588,1.65229,1.65942,1.66765,0.842401,0.735202,0.753305,0.84182,1.44407,1.37091,1.37374,1.43685,-9999,-9999
200410,2.35,1.0,322.428,201.564,1.0,229.362,1.0,3.885,1.0,60.5,0.0,0.735,1.0,2.557,0.840054,0.166358234322,0.987903225806,53.1571809248,0.997311827957,-9999,-9999,6.763,1.0,10.6,1.0,-9999,1.0,29.6469,0.995968,-9999,0.445644,32.4548,0.995968,-9999,0.480277,0.103018,0.985887,0.0104038,0.101316,0.104932,0.107973,0.991263,0.991263,0.978495,0.523594,0.51361,0.52056,0.523594,0.415088,0.403067,0.414656,0.421369,0.358242,0.308463,0.322714,0.346517,0.495881,0.445213,0.447396,0.486297,-9999,-9999
