TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200301,12.574,1.0,294.646,121.633,1.0,312.334,1.0,5.47,1.0,98.382,1.0,0.897,0.998656,1.741,0.998656,0.253511046387,0.979838709677,49.4979809898,0.999327956989,-9999,-9999,12.66,1.0,25.5,1.0,-9999,1.0,38.7512,1.0,-9999,0.647642,27.301,0.999328,-9999,0.628299,-2.19812,0.947581,0.0417563,-2.26228,-2.22204,-2.15058,0.9375,0.946909,0.945565,1.35123,1.18498,1.27098,1.43499,3.49506,3.40831,3.47858,3.6229,3.40906,2.39217,3.35714,4.17921,4.6762,3.41065,4.10169,4.34637,-9999,-9999
200302,14.938,1.0,341.472,80.512,1.0,363.245,1.0,2.656,1.0,98.102,1.0,0.715,0.968006,1.793,0.967262,0.23835004344,0.661458333333,47.7566421289,0.999255952381,-9999,-9999,15.188,1.0,21.8,1.0,-9999,1.0,19.8841,0.951637,-9999,0.502763,12.0031,0.970238,-9999,0.488291,-0.357885,0.864583,0.0466062,-0.788383,-0.41709,-0.335431,0.738095,0.851935,0.864583,2.44419,2.01683,2.09264,2.40372,2.69453,2.43101,2.56734,2.99138,2.44741,1.81233,2.43279,3.02618,2.81702,2.27689,2.56213,2.69961,-9999,-9999
200303,15.909,1.0,396.358,76.406,1.0,376.664,1.0,2.648,1.0,97.966,1.0,2.893,0.68414,1.938,0.68414,0.328497188506,0.567876344086,52.409030914,1.0,-9999,-9999,16.326,1.0,27.2,1.0,-9999,1.0,31.4332,0.87836,-9999,0.665632,13.6603,0.892473,-9999,0.531153,-1.31417,0.725806,0.0625815,-1.25599,-1.1685,-1.06293,0.749328,0.701613,0.741935,2.38535,2.35488,2.37963,2.43563,3.63711,3.5117,3.55995,3.66451,1.60894,1.58613,1.71514,3.08586,2.76897,2.84322,2.88213,3.30431,-9999,-9999
200304,21.277,1.0,439.401,111.702,1.0,400.229,1.0,4.328,1.0,97.55,1.0,2.997,1.0,1.834,1.0,0.287273512935,0.897916666667,79.5415381944,1.0,-9999,-9999,20.255,1.0,28.2,1.0,-9999,1.0,36.9373,0.997917,-9999,0.983924,11.3663,0.996528,-9999,0.690613,-1.26355,0.975,0.0861391,-1.31768,-1.26355,-1.11596,0.972222,0.975,0.877083,2.60584,2.39229,2.46071,2.59781,3.78216,3.64837,3.72035,3.78822,3.52873,2.38184,3.50069,4.09898,3.90808,3.73953,4.10275,4.41818,-9999,-9999
200305,24.608,1.0,461.45,145.569,1.0,413.719,1.0,6.45,1.0,97.223,1.0,1.681,1.0,2.224,1.0,0.259504690334,0.97311827957,105.423046371,1.0,-9999,-9999,23.097,1.0,22.0,1.0,-9999,1.0,51.9825,0.999328,-9999,0.974433,17.0453,1.0,-9999,0.559875,-1.71053,0.985887,0.0784249,-1.79456,-1.71366,-1.58617,0.995968,0.990591,0.952957,3.37334,3.1678,3.27873,3.53501,5.16157,4.93881,4.98222,5.17727,3.18942,3.18942,3.43211,3.58584,5.0487,4.79159,4.99291,5.06489,-9999,-9999
200306,25.111,1.0,467.515,136.415,1.0,419.295,1.0,5.806,1.0,96.972,1.0,9.587,1.0,2.437,0.999306,0.309486405512,0.853472222222,99.6262493056,1.0,-9999,-9999,24.058,1.0,25.6,1.0,-9999,1.0,44.1963,0.993056,-9999,0.967611,8.34237,0.993056,-9999,0.579132,-0.652307,0.897222,0.062635,-0.838005,-0.784516,-0.723358,0.865278,0.9125,0.75,3.40738,3.06793,3.38163,3.41815,4.20087,3.83067,4.18665,4.23828,3.5732,3.70183,4.60502,5.63763,5.1768,4.23785,4.80018,5.15128,-9999,-9999
200307,27.525,1.0,463.0,234.258,1.0,405.057,0.998656,10.188,1.0,97.181,1.0,2.965,1.0,2.636,0.993952,0.329025411789,0.760752688172,162.466179435,1.0,-9999,-9999,25.572,1.0,20.6,0.998656,-9999,1.0,72.9662,0.954973,-9999,1.26179,17.9434,0.959677,-9999,0.733296,-1.18132,0.913306,0.0629409,-1.20635,-1.17159,-0.999697,0.943548,0.920027,0.892473,3.6494,3.6494,3.70447,3.76209,4.76699,4.72831,4.81254,4.90101,3.10058,2.84456,3.02647,3.57613,4.28006,4.27941,4.3415,4.60488,-9999,-9999
200308,26.59,1.0,445.986,171.297,1.0,421.578,1.0,7.15,1.0,96.961,1.0,10.381,1.0,1.886,0.998656,0.271484653724,0.833333333333,125.401109902,0.999327956989,-9999,-9999,25.895,1.0,24.5,1.0,-9999,1.0,68.9053,0.978495,-9999,1.28401,15.0074,0.977823,-9999,0.667493,-0.79953,0.897177,0.0755252,-0.872424,-0.771235,-0.659024,0.968414,0.698253,0.868952,4.24685,3.93155,4.12768,4.26091,4.73222,4.71458,4.76357,4.83185,4.00276,3.75871,4.33052,5.14997,5.00359,4.70482,4.95141,5.19577,-9999,-9999
200309,25.238,1.0,411.663,164.722,1.0,405.467,1.0,7.624,1.0,97.33,1.0,10.18,1.0,1.975,0.9875,0.272806282318,0.7125,111.593720833,1.0,-9999,-9999,24.826,1.0,26.1,1.0,-9999,1.0,61.9176,0.995833,-9999,1.07675,19.108,0.997222,-9999,0.688075,-0.798606,0.852778,0.0636025,-0.995345,-0.798606,-0.744705,0.954167,0.852778,0.821528,3.97705,3.77917,3.89018,4.08779,4.6953,4.638,4.6986,4.81352,5.3514,3.77321,4.39709,5.07105,4.49177,4.71327,5.11187,5.4771,-9999,-9999
200310,22.159,1.0,360.732,180.062,1.0,357.773,1.0,10.205,1.0,97.898,1.0,0.368,0.634409,1.958,1.0,0.253123276887,0.99126344086,95.5597358585,0.999327956989,-9999,-9999,22.102,1.0,17.5,1.0,-9999,1.0,67.4323,1.0,-9999,1.00487,24.7709,1.0,-9999,0.62661,-2.44646,0.935484,0.0624657,-2.52257,-2.47809,-2.45895,0.913978,0.940188,0.709677,2.91999,2.83324,2.92061,3.04212,5.56491,5.31133,5.3996,5.55704,3.14166,3.11472,3.48969,4.20708,5.9732,5.17738,5.40129,5.9732,-9999,-9999
