TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200901,-16.401,0.0,163.629,101.334,0.634409,163.829,0.0,0.691,0.0,87.167,0.0,0.008,0.0,4.617,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,79.7899,0.0,83.539,-9999,22.7361,0.0,23.8045,-9999,-0.168637,0.0,-9999,-0.230789,-0.180428,-0.151258,0.0,0.0,0.0,0.768992,0.412585,0.568283,0.645221,0.978392,0.572583,0.719542,0.79105,0.00603677,0.00402018,0.00679662,0.275291,1.40152,1.33112,1.35953,2.98524,-9999,-9999
200902,-9.345,0.0,225.682,141.293,0.589286,185.633,0.0,2.002,0.0,86.799,0.0,0.157,0.0,4.054,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,80.3059,0.0,95.6648,-9999,22.9277,0.0,27.3127,-9999,-0.159394,0.0,-9999,-0.216985,-0.170695,-0.142478,0.0,0.0,0.0,1.13694,0.73377,0.933068,1.07542,1.33916,0.946771,1.05176,1.23196,0.0289508,0.0208894,0.0291238,0.688387,1.71089,1.62911,1.6687,3.41593,-9999,-9999
200903,-4.018,0.0,311.911,194.299,0.530914,206.63,0.0,3.291,0.0,86.804,0.0,0.579,0.0,4.564,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,79.6971,0.0,102.904,-9999,22.6272,0.0,29.216,-9999,-0.177039,0.0,-9999,-0.232372,-0.188038,-0.161268,0.0,0.0,0.0,1.405,0.998468,1.21908,1.46838,1.62076,1.23806,1.36496,1.62076,0.0763685,0.0592314,0.0697609,1.13574,2.05333,1.95316,2.00801,3.96654,-9999,-9999
200904,4.931,0.0,397.868,207.085,0.472222,256.643,0.0,5.097,0.0,86.834,0.0,1.69,0.0,3.988,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,79.9185,0.0,107.969,-9999,22.7582,0.0,30.7461,-9999,-0.168655,0.0,-9999,-0.225942,-0.180021,-0.151975,0.0,0.0,0.0,1.82028,1.54218,1.69944,2.08247,2.02964,1.74037,1.85141,2.28916,0.258631,0.213773,0.234708,2.17903,2.03262,1.90743,1.97225,4.17919,-9999,-9999
200905,12.87,0.0,459.677,244.914,0.421371,286.734,0.0,10.116,0.0,86.725,0.0,1.117,0.0,4.056,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.9499,0.143145,79.8596,0.0,102.846,-9999,22.5199,0.0,29.0018,-9999,-0.11981,0.0,-9999,-0.188292,-0.117684,-0.103806,0.0,0.0,0.0,2.14622,2.03802,2.10143,2.61612,2.33494,2.15783,2.23814,2.73261,0.597586,0.457145,0.540213,3.3339,1.5876,1.40005,1.48753,4.10411,-9999,-9999
200906,15.466,0.0,486.271,252.117,0.395833,309.523,0.0,9.828,0.0,86.107,0.0,2.394,0.0,4.326,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.9372,0.0,80.2288,0.0,103.321,-9999,22.0639,0.0,28.4146,-9999,-0.0559478,0.0,-9999,-0.148448,-0.0590705,-0.00162931,0.0,0.0,0.0,2.24579,2.20116,2.22754,2.78502,2.40223,2.25711,2.31393,2.76944,0.746448,0.559724,0.674581,3.74105,1.68448,1.50079,1.58569,4.30288,-9999,-9999
200907,19.429,0.0530914,473.163,230.07,0.405242,342.72,0.0,10.923,0.0530914,86.375,0.0,2.108,0.0,2.837,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.0894,0.0530914,80.5801,0.053091,110.469,1.02846,22.255,0.053091,30.5099,0.551142,-0.0442298,0.0530914,0.0581001,-0.133077,-0.0491168,0.00903287,0.0530914,0.0530914,0.0530914,2.38905,2.40081,2.42512,3.03469,2.53033,2.4616,2.52161,3.00478,1.02657,0.752385,0.927326,4.3948,1.44115,1.27494,1.34767,3.99803,-9999,-9999
200908,17.829,0.952957,422.774,248.197,0.956317,331.085,0.0,10.252,0.952957,86.709,0.920699,2.751,0.920699,2.7,0.920699,0.202437555261,0.920698924731,127.003253653,0.900537634409,487.078939821,0.920698924731,383.648,0.952957,17.966,0.952957,19.079,0.952957,10.8079,0.952957,63.2587,0.952285,86.7228,0.491113,26.067,0.952285,35.7359,0.342497,-0.0236695,0.948925,0.0369409,-0.0228476,-0.00552763,0.0300085,0.946237,0.950269,0.943548,1.50966,1.60442,1.63669,1.83653,1.56713,1.6222,1.64332,1.806,0.941431,0.689474,0.85045,1.68303,1.24851,1.09586,1.16285,1.74919,-9999,-9999
200909,11.702,1.0,346.047,183.404,1.0,299.053,0.0,7.096,1.0,86.976,1.0,1.194,1.0,3.338,1.0,0.230299305556,1.0,92.38678125,1.0,352.552002778,1.0,367.449,1.0,12.513,1.0,12.615,1.0,-0.0309499,1.0,32.7502,1.0,45.8589,0.439707,33.2634,1.0,46.5775,0.455199,-0.149685,0.997222,0.0237002,-0.180513,-0.166847,-0.160874,0.99375,0.996528,0.996528,0.282864,0.307632,0.320212,0.327129,0.470611,0.479428,0.486365,0.495081,0.449881,0.329457,0.349777,0.435142,0.663667,0.543792,0.565673,0.6007,-9999,-9999
200910,3.751,1.0,257.92,134.801,1.0,246.871,0.0,4.764,1.0,87.011,1.0,0.967,1.0,4.06,1.0,0.264294061237,0.997311827957,56.2040362903,1.0,259.052942876,1.0,368.312,1.0,4.605,1.0,10.583,1.0,-6.31669,1.0,15.5949,1.0,22.4365,0.257899,27.8613,1.0,40.0842,0.415914,0.34,1.0,0.0135492,0.336575,0.338734,0.340147,0.999328,0.997984,1.0,0.00402116,0.00465168,0.00528709,0.00611786,-0.337729,-0.335523,-0.333257,-0.33119,0.459702,0.449439,0.48044,0.486495,0.0,0.0,0.0,0.0,-9999,-9999
