TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200301,-13.699,1.0,195.488,135.96,1.0,151.511,1.0,1.749,1.0,67.621,0.0,0.013,1.0,1.971,0.978495,0.239773965858,0.865591397849,8.535144527,0.997311827957,-9999,-9999,-9.021,1.0,6.3,1.0,-9999,1.0,4.95735,0.99664,-9999,0.0734766,39.9767,0.99664,-9999,0.54283,0.0185465,0.767473,0.00696165,0.0167281,0.0185465,0.0240061,0.767473,0.767473,0.733871,0.39757,0.401689,0.407338,0.409029,0.361185,0.371602,0.389255,0.39151,0.0489705,0.0532563,0.169987,0.169997,0.323432,0.323431,0.323432,0.394237,-9999,-9999
200302,-9.9,1.0,255.207,157.608,1.0,188.571,1.0,2.036,1.0,67.303,0.0,0.054,1.0,1.908,0.879464,0.243509837535,0.637648809524,44.0144089807,1.0,-9999,-9999,-5.771,1.0,6.8,1.0,-9999,1.0,8.65185,0.945685,-9999,0.186635,51.9805,0.94494,-9999,0.50766,0.010067,0.786458,0.00519818,0.00301725,0.00736799,0.0222307,0.758929,0.758929,0.793899,0.342527,0.338821,0.342527,0.348951,0.338116,0.326284,0.33321,0.335803,0.0952131,0.128473,0.378983,0.378998,0.526797,0.526797,0.526814,0.558937,-9999,-9999
200303,-5.731,1.0,335.184,199.835,1.0,223.702,0.995968,2.366,1.0,67.417,0.0,0.626,1.0,1.801,0.860887,0.237629213717,0.790322580645,88.6371739355,0.999327956989,-9999,-9999,-2.249,1.0,8.6,1.0,-9999,1.0,29.8868,0.96707,-9999,0.340672,59.5334,0.961022,-9999,0.577636,0.156614,0.902554,0.0106439,0.152152,0.15524,0.159132,0.902554,0.902554,0.902554,0.449291,0.439074,0.444694,0.452289,0.289773,0.284809,0.289712,0.294029,0.477864,0.457238,0.50447,0.506564,0.454153,0.393378,0.394008,0.787566,-9999,-9999
200304,0.119,1.0,411.507,236.842,1.0,245.489,1.0,3.271,1.0,67.671,0.0,1.213,1.0,2.076,0.994444,0.27319563365,0.979861111111,120.614783287,0.997222222222,-9999,-9999,1.857,1.0,23.1,1.0,-9999,1.0,47.7165,0.996528,-9999,0.433446,66.0183,0.997222,-9999,0.580353,0.536404,0.986806,0.0111591,0.536827,0.538528,0.540309,0.986806,0.984722,0.9875,0.79377,0.795821,0.79966,0.80501,0.257052,0.256482,0.262624,0.265252,0.88519,0.856472,0.859961,0.866495,0.363914,0.355763,0.360711,0.362301,-9999,-9999
200305,3.149,1.0,463.776,236.545,1.0,269.102,1.0,3.206,1.0,67.819,0.0,1.7,1.0,1.865,0.899866,0.256231331116,0.954301075269,137.274297601,0.998655913978,-9999,-9999,4.822,1.0,25.0,1.0,-9999,1.0,61.0905,0.997312,-9999,0.505496,60.7061,0.99664,-9999,0.485235,0.199549,0.993952,0.016605,0.189085,0.193963,0.19886,0.993952,0.993952,0.993952,1.22514,1.23993,1.24865,1.26468,1.04704,1.04481,1.05347,1.06543,1.50817,1.47275,1.52286,1.56719,1.35233,1.35233,1.38034,1.40358,-9999,-9999
200306,6.858,1.0,485.257,272.136,1.0,283.703,0.999306,3.837,1.0,67.943,0.0,2.383,1.0,1.914,0.917361,0.261565780797,0.758333333333,168.456035855,0.998611111111,-9999,-9999,9.788,1.0,24.4,1.0,-9999,1.0,90.5583,0.993056,-9999,0.528339,57.2631,0.99375,-9999,0.393904,-1.2677,0.975694,0.0345959,-1.27505,-1.26832,-1.26548,0.98125,0.965278,0.978472,2.90218,2.87395,2.8889,2.90904,4.17046,4.14328,4.16152,4.18391,2.62868,2.42723,2.47007,2.55768,3.78772,3.79991,3.82326,3.85757,-9999,-9999
200307,8.205,1.0,474.285,216.261,1.0,308.601,0.997984,2.845,1.0,67.948,0.0,3.003,1.0,1.45,0.853495,0.208627445515,0.782930107527,135.515343683,1.0,-9999,-9999,10.878,1.0,25.2,0.997984,-9999,1.0,85.344,0.99664,-9999,0.631796,28.6985,0.997984,-9999,0.362226,-1.74109,0.99328,0.0460984,-1.74593,-1.73855,-1.73365,0.992608,0.992608,0.993952,4.27913,4.27788,4.29075,4.30652,6.01617,6.01617,6.02834,6.05118,5.39106,4.96819,5.09036,5.24343,6.51778,6.47226,6.50324,6.57182,-9999,-9999
200308,8.998,1.0,432.035,211.954,1.0,316.316,1.0,2.657,1.0,68.114,0.0,4.784,1.0,1.442,1.0,0.216277773555,0.963037634409,138.518506048,1.0,-9999,-9999,12.456,1.0,27.8,1.0,-9999,1.0,83.4898,0.998656,-9999,0.609717,28.1649,1.0,-9999,0.339327,-1.40494,0.990591,0.0471645,-1.41428,-1.39112,-1.36955,0.989247,0.987231,0.997312,5.10215,5.14438,5.16877,5.20162,6.53323,6.53234,6.55199,6.57399,5.38903,5.42298,5.4642,5.5159,6.66517,6.66955,6.69781,6.72603,-9999,-9999
200309,5.163,1.0,365.137,204.288,1.0,285.437,1.0,2.717,1.0,68.237,0.0,3.147,1.0,1.518,0.997222,0.213535618624,0.981944444444,117.636958289,0.995138888889,-9999,-9999,8.698,1.0,27.7,1.0,-9999,1.0,63.2162,1.0,-9999,0.463059,35.3753,1.0,-9999,0.358749,-0.458627,0.995139,0.0332599,-0.450473,-0.446372,-0.426761,0.990972,0.996528,0.997917,3.19323,3.18138,3.18975,3.20636,3.64243,3.61651,3.63502,3.65627,3.70236,3.36694,3.70155,3.83535,3.57217,3.57668,3.80299,3.86788,-9999,-9999
200310,-0.185,1.0,284.895,167.013,1.0,241.024,1.0,2.419,1.0,68.276,0.0,0.539,1.0,1.606,0.997312,0.212134269093,0.991935483871,65.9448865145,0.994623655914,-9999,-9999,3.424,1.0,26.4,1.0,-9999,1.0,28.5371,1.0,-9999,0.309401,47.0873,0.998656,-9999,0.392919,0.35358,0.995296,0.0139928,0.344916,0.352605,0.355503,0.995296,0.994624,0.989919,1.49112,1.49557,1.50368,1.51059,1.13946,1.14659,1.15333,1.16046,1.53046,1.57241,1.58915,1.5977,1.08504,1.06568,1.07729,1.08768,-9999,-9999
