TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200201,-15.114,0.691532,197.189,136.745,0.834005,161.436,0.0,1.045,0.691532,69.024,0.0,0.051,0.55914,1.737,0.55914,0.14743627451,0.548387096774,24.0095512098,0.547715053763,271.888449338,0.547715053763,66.5000085784,0.548387096774,384.288,0.669355,-4.575,0.691532,15.0,0.691532,-13.6546,0.691532,3.74578,0.691532,5.86749,0.054502,11.4248,0.691532,17.8962,0.366468,0.345581,0.681452,0.0199501,0.282261,0.307684,0.32851,0.686828,0.667339,0.678091,0.164708,0.122357,0.160477,0.183554,-0.147504,-0.16812,-0.155589,-0.137302,0.436195,0.429291,0.454392,0.505952,0.168678,0.15511,0.16351,0.174068,-9999,-9999
200202,-9.424,0.997024,256.759,171.975,0.997768,175.283,0.0,1.95,0.997024,69.014,0.0,0.014,0.995536,2.076,0.995536,0.184695259354,0.995535714286,46.8308533864,0.994047619048,311.699107315,0.994791666667,42.4627566964,0.995535714286,369.198,0.997024,-3.339,0.997024,15.8,0.997024,-4.4513,0.997024,4.01049,0.997024,6.28214,0.0836523,29.7601,0.997024,46.6171,0.485701,0.138875,0.97619,0.0168693,0.115557,0.122751,0.155412,0.988839,0.980655,0.978423,0.0571234,0.0553265,0.0587761,0.0631638,-0.0732192,-0.105279,-0.0668057,-0.0528746,0.213216,0.212967,0.214478,0.222597,0.0333311,0.0168093,0.0498853,0.0504687,-9999,-9999
200203,-4.747,0.994624,336.378,218.895,0.993952,201.835,0.0,2.636,0.994624,68.995,0.0,0.516,0.99328,2.471,0.991263,0.194821615678,0.989247311828,76.6908370812,0.991935483871,394.387045304,0.992607526882,56.3865687252,0.993279569892,371.967,0.993952,0.386,0.994624,22.4,0.994624,4.73728,0.994624,6.89529,0.99328,11.096,0.140877,38.4683,0.993952,61.9037,0.56587,0.564974,0.981855,0.0268993,0.542225,0.550555,0.591315,0.985887,0.983199,0.983199,0.488276,0.479175,0.485489,0.493204,-0.0805269,-0.12288,-0.059311,-0.0506212,0.315315,0.229095,0.243153,0.316591,0.0704425,0.0551899,0.069195,0.0764564,-9999,-9999
200204,1.644,0.884028,412.175,242.145,0.893056,231.067,0.0,3.709,0.884028,68.989,0.0,0.851,0.78125,2.501,0.78125,0.208115751066,0.740277777778,105.358489402,0.764583333333,468.876153553,0.765277777778,56.4750593699,0.765972222222,368.012,0.885417,5.135,0.884028,38.9,0.884028,12.6731,0.884028,12.4912,0.883333,21.0414,0.152757,42.7376,0.884028,71.9911,0.484803,1.03689,0.874306,0.0309562,0.989075,1.00123,1.07268,0.878472,0.876389,0.86875,0.741933,0.706406,0.736382,0.79651,-0.26482,-0.297508,-0.282072,-0.271585,1.04286,0.797636,0.834832,1.04286,0.0606285,0.0306767,0.0553069,0.158131,-9999,-9999
200205,3.196,0.834005,463.935,243.628,0.84543,265.726,0.0,2.396,0.834005,69.298,0.0,3.245,0.72043,2.192,0.72043,0.180973037249,0.680107526882,119.195237143,0.716397849462,503.464336887,0.719758064516,71.8243639519,0.720430107527,362.259,0.831989,8.272,0.834005,51.4,0.834005,8.2864,0.834005,27.0694,0.829301,50.2207,0.271214,29.596,0.833333,54.9082,0.430265,0.877088,0.821237,0.0393789,0.718869,0.744919,0.946254,0.824597,0.824597,0.81586,1.62547,1.52344,1.58118,1.72806,0.823218,0.779707,0.80457,0.817241,1.71633,1.67218,1.72558,1.75498,1.11101,1.03779,1.07121,1.12811,-9999,-9999
200206,8.778,0.988194,485.147,252.089,0.990278,286.915,0.0,3.719,0.988194,69.334,0.0,4.128,0.974306,2.183,0.971528,0.175766655216,0.938888888889,140.069641509,0.972222222222,493.022966592,0.975,48.709001745,0.974305555556,382.026,0.986111,14.451,0.988194,44.2,0.988194,10.9301,0.988194,51.6408,0.986806,87.0707,0.555791,25.9063,0.988889,43.6802,0.324092,-0.217588,0.972222,0.059746,-0.414811,-0.296415,-0.18676,0.977083,0.974306,0.972222,3.19908,3.09149,3.13756,3.21173,3.4354,3.38411,3.42798,3.49472,3.02341,2.86132,2.96336,3.03159,3.63655,3.63141,3.65001,3.70424,-9999,-9999
200207,11.36,1.0,474.288,262.351,0.993952,295.043,0.0,4.354,1.0,69.393,0.0,2.303,0.998656,2.043,0.997984,0.180570919563,0.97311827957,148.20048255,0.997311827957,496.415763199,0.997311827957,52.1970070126,0.998655913978,371.307,0.999328,17.327,1.0,33.2,1.0,6.92815,1.0,71.5685,0.998656,104.897,0.630989,25.6101,1.0,37.5364,0.37117,-1.90728,0.987231,0.0671822,-2.06494,-2.02106,-1.87874,0.990591,0.988575,0.987231,3.82332,3.77968,3.83687,3.96996,5.82439,5.79041,5.84612,5.90379,3.62492,3.54727,3.61867,3.66987,5.94899,5.94899,6.01118,6.03366,-9999,-9999
200208,9.568,1.0,432.469,245.981,1.0,275.986,0.0,3.841,1.0,69.567,0.0,2.981,1.0,1.766,1.0,0.181921687406,0.995295698925,137.159370448,0.996639784946,464.37666722,0.994623655914,47.2406908602,1.0,387.068,0.999328,15.799,1.0,37.1,1.0,1.46725,1.0,61.5043,0.997312,95.9721,0.596318,26.6695,1.0,41.6154,0.364161,-0.728968,0.981183,0.0670623,-0.776762,-0.759578,-0.635593,0.984543,0.984543,0.980511,4.01292,3.99338,4.02501,4.12352,4.75778,4.70194,4.75607,4.8123,3.91659,3.91659,4.02467,4.11433,5.19227,5.04956,5.07663,5.13857,-9999,-9999
200209,6.088,1.0,366.101,192.487,0.9875,279.484,0.0,2.888,1.0,69.721,0.0680556,2.1,1.0,2.181,1.0,0.228496222138,0.984027777778,101.281193056,1.0,361.751468621,0.975694444444,33.8909215278,1.0,373.223,1.0,11.338,1.0,40.1,1.0,-1.08442,1.0,33.7129,1.0,53.489,0.3538,30.8058,1.0,48.8766,0.382171,0.0264402,0.977778,0.0437221,0.00919564,0.0158062,0.0657744,0.979167,0.977778,0.977083,2.68489,2.6773,2.69275,2.74082,2.68036,2.61617,2.65357,2.68821,2.06412,2.06259,2.10215,2.30836,2.65544,2.49492,2.51916,2.62996,-9999,-9999
200210,-1.537,0.465054,286.3,180.912,0.662634,208.565,0.0,2.53,0.465054,69.527,0.0,0.843,0.229167,1.962,0.229167,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,358.196,0.465054,3.931,0.465054,28.6,0.465054,-2.8296,0.465054,14.5406,0.464382,20.9985,0.162566,42.1807,0.464382,60.9142,0.374737,0.51869,0.450269,0.0170317,0.442624,0.448546,0.55418,0.451613,0.452957,0.446237,0.686489,0.659189,0.666727,0.689123,0.241263,0.1654,0.219859,0.230256,0.693958,0.647154,0.681115,0.700258,0.274144,0.269224,0.274144,0.282108,-9999,-9999
