TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200301,6.236,1.0,271.029,87.898,1.0,294.388,1.0,2.335,1.0,101.24,1.0,1.858,1.0,1.423,1.0,0.203250123331,0.957661290323,36.3653299731,1.0,-9999,-9999,6.089,1.0,28.2,1.0,-9999,1.0,19.8614,1.0,-9999,0.458233,18.6568,1.0,-9999,0.534137,-1.35513,0.924731,0.0635606,-1.35431,-1.30016,-1.18678,0.909946,0.830645,0.983199,0.970225,0.970225,1.11787,1.38872,2.33345,2.20426,2.41888,2.72314,1.07679,1.04486,1.11262,1.32865,2.23533,2.22305,2.32622,2.40756,-9999,-9999
200302,10.516,1.0,321.706,88.552,1.0,329.994,1.0,2.831,1.0,100.809,1.0,1.811,1.0,1.831,0.999256,0.272243912582,0.813244047619,51.2549627976,1.0,-9999,-9999,9.457,1.0,27.3,1.0,-9999,1.0,24.3999,0.991071,-9999,0.404617,16.0728,0.985863,-9999,0.450757,-1.64838,0.875,0.0382656,-1.61731,-1.4868,-1.37942,0.957589,0.947173,0.845982,1.40711,1.38782,1.47808,1.52876,2.95999,2.87099,2.92727,3.02296,2.1396,2.14112,2.49002,2.89391,2.9448,2.92188,3.03563,3.15404,-9999,-9999
200303,12.105,1.0,383.397,98.788,1.0,338.796,1.0,3.062,1.0,100.665,1.0,3.545,1.0,1.947,1.0,0.2993940063,0.83938172043,61.9409280914,1.0,-9999,-9999,10.946,1.0,28.1,1.0,-9999,1.0,34.5175,0.995968,-9999,0.586564,15.5982,0.992608,-9999,0.614927,-1.47145,0.979839,0.0569005,-1.75312,-1.54804,-1.46585,0.93414,0.901882,0.991263,2.04617,2.02872,2.12991,2.22616,3.52798,3.49604,3.65099,3.93041,2.08696,1.90451,2.23659,2.51482,3.12675,3.02769,3.15164,3.35473,-9999,-9999
200304,19.25,1.0,434.917,141.653,1.0,373.801,1.0,5.368,1.0,100.087,0.938194,4.593,1.0,2.075,1.0,0.276334702479,0.85,101.86969291,1.0,-9999,-9999,16.677,1.0,26.7,1.0,-9999,1.0,60.1069,0.992361,-9999,0.741158,17.9016,0.991667,-9999,0.487319,-2.03139,0.969444,0.0647211,-2.12144,-2.07939,-2.01313,0.984028,0.990972,0.875694,3.46822,3.45891,3.82801,3.9164,5.63303,5.56665,5.78637,5.95557,3.15996,3.0543,3.28927,3.54188,4.90911,4.77645,4.87144,4.93166,-9999,-9999
200305,22.902,1.0,464.344,150.961,1.0,399.767,1.0,5.961,1.0,99.69,0.340726,6.526,1.0,1.774,1.0,0.246422914141,0.938844086022,113.298942402,1.0,-9999,-9999,21.626,1.0,21.2,1.0,-9999,1.0,68.5479,1.0,-9999,0.951616,16.2306,0.987903,-9999,0.493392,-3.40443,0.989919,0.092707,-4.09464,-3.62194,-3.34408,0.771505,0.975134,0.991935,4.34337,4.14968,4.73848,5.27245,7.72068,7.40148,8.36042,9.41016,3.80967,3.10201,3.44606,4.18883,6.4213,6.10661,6.25992,6.38808,-9999,-9999
200306,26.214,1.0,474.076,184.094,1.0,412.984,1.0,9.625,1.0,99.307,1.0,1.853,1.0,2.047,0.998611,0.286547768062,0.941666666667,130.169383333,1.0,-9999,-9999,24.697,1.0,17.1,1.0,-9999,1.0,97.9439,0.997222,-9999,1.24009,9.46406,0.998611,-9999,0.561485,-2.17211,0.947917,0.0820466,-2.20212,-2.10078,-1.91407,0.926389,0.977778,0.9,6.19801,5.48838,5.86895,6.06664,8.08117,7.61625,7.86223,7.97412,6.36812,5.71127,6.33208,6.81853,8.56783,8.08456,8.37714,8.67123,-9999,-9999
200307,31.787,1.0,468.02,254.277,1.0,420.805,1.0,23.22,1.0,99.377,1.0,0.126,1.0,2.601,0.999328,0.327393986845,0.999327956989,167.984916667,1.0,-9999,-9999,28.368,1.0,11.3,1.0,-9999,1.0,97.477,0.998656,-9999,1.12036,47.1574,1.0,-9999,0.802448,-0.847462,0.972446,0.0622585,-1.01206,-0.847462,-0.783692,0.976478,0.972446,0.951613,4.37936,4.15546,4.56415,4.84234,5.28862,5.27781,5.43468,5.61333,4.06784,3.98441,4.58368,4.83114,5.34325,5.30197,5.59343,5.76505,-9999,-9999
200308,28.871,1.0,444.911,202.11,1.0,427.369,1.0,12.86,1.0,99.326,1.0,4.626,1.0,1.718,0.998656,0.239412717658,0.97311827957,143.894036962,1.0,-9999,-9999,27.379,1.0,12.1,1.0,-9999,1.0,83.091,0.999328,-9999,1.19111,32.2537,0.997312,-9999,0.662713,-0.978261,0.985215,0.0804654,-1.54473,-1.33291,-0.883564,0.967742,0.938844,0.997984,5.23193,4.47331,4.63006,5.32912,6.26218,5.87273,5.99986,6.1612,5.15538,4.49019,4.84368,5.15538,6.12617,5.81239,5.94491,6.1229,-9999,-9999
200309,25.397,1.0,402.451,188.797,1.0,397.92,1.0,9.826,1.0,99.863,1.0,1.41,1.0,1.534,0.998611,0.206620436226,0.825,132.181140799,1.0,-9999,-9999,24.829,1.0,11.5,1.0,-9999,1.0,65.8636,0.941667,-9999,1.02866,30.5443,0.944444,-9999,0.559495,-1.84209,0.881944,0.08871,-1.94424,-1.86669,-1.84286,0.886111,0.83125,0.875,4.58727,4.05142,4.44178,4.74702,6.477,5.90147,6.4566,6.62947,3.05609,3.4558,3.99198,5.28393,5.56895,5.71668,5.96608,6.77137,-9999,-9999
200310,19.359,1.0,343.809,144.452,1.0,349.48,1.0,8.78,1.0,100.541,1.0,0.458,1.0,1.64,0.99664,0.221576565031,0.997983870968,69.607405914,1.0,-9999,-9999,19.348,1.0,10.2,1.0,-9999,1.0,33.8748,1.0,-9999,0.642787,28.7527,0.999328,-9999,0.596728,-1.41073,0.934812,0.0566331,-1.4505,-1.39389,-1.3508,0.813844,0.981855,0.824597,2.45224,2.40621,2.4887,2.59507,3.81191,3.75816,3.94776,4.01186,2.86009,2.63065,2.78428,3.1182,4.13581,4.01002,4.37438,4.48218,-9999,-9999
