TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201001,-18.365,0.0,165.531,99.009,0.633737,162.195,0.0,0.782,0.0,85.792,0.0,0.234,0.0,4.132,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.22909,0.0,-9999,-9999,-4.3099,0.0,-9999,-9999,-0.756035,0.0,-9999,-0.762064,-0.756035,-0.751917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.773242,0.750657,0.756035,0.761642,0.386408,0.386408,0.386408,0.386408,0.0,0.0,0.0,0.0,-9999,-9999
201002,-13.565,0.0,227.471,137.363,0.587798,170.914,0.0,1.497,0.0,85.516,0.0,0.092,0.0,3.791,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.22352,0.0,-9999,-9999,-3.95783,0.0,-9999,-9999,-0.761002,0.0,-9999,-0.769242,-0.761002,-0.75598,0.0,0.0,0.0,1.38981e-08,1.38981e-08,1.38981e-08,1.38981e-08,0.778535,0.755204,0.761002,0.769242,0.497588,0.497588,0.497589,0.497589,0.0,0.0,0.0,0.0,-9999,-9999
201003,-6.386,0.0,313.351,190.848,0.532258,190.099,0.0,2.996,0.0,85.495,0.0,0.371,0.0,4.774,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.27389,0.0,-9999,-9999,-4.38979,0.0,-9999,-9999,-0.766593,0.0,-9999,-0.773451,-0.766593,-0.761815,0.0,0.0,0.0,8.50822e-08,8.50822e-08,8.50822e-08,8.50822e-08,0.785134,0.760903,0.766594,0.772517,0.660911,0.660911,0.660912,0.660912,0.0,0.0,0.0,0.0,-9999,-9999
201004,-0.031,0.0,398.744,220.788,0.473611,212.776,0.0,5.017,0.0,85.435,0.0,0.785,0.0,4.458,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.24279,0.0,-9999,-9999,-4.22789,0.0,-9999,-9999,-0.761217,0.0,-9999,-0.767846,-0.761217,-0.756591,0.0,0.0,0.0,2.56549e-07,2.56549e-07,2.56549e-07,2.56549e-07,0.778985,0.755601,0.761218,0.767753,0.791582,0.791582,0.791583,0.791583,0.0,0.0,0.0,0.0,-9999,-9999
201005,11.356,0.0,459.98,234.28,0.424059,267.933,0.0,9.507,0.0,85.188,0.0,0.97,0.0,4.484,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.22909,0.0,-9999,-9999,-4.3099,0.0,-9999,-9999,-0.756035,0.0,-9999,-0.762064,-0.756035,-0.751917,0.0,0.0,0.0,9.08009e-07,9.08009e-07,9.08009e-07,9.08009e-07,0.773243,0.750657,0.756036,0.761643,0.985897,0.985897,0.985898,0.985899,0.0,0.0,0.0,0.0,-9999,-9999
201006,20.332,0.0,486.263,256.472,0.402778,307.398,0.0,17.418,0.0,85.267,0.0,0.303,0.0,3.265,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.24279,0.0,-9999,-9999,-4.22789,0.0,-9999,-9999,-0.761217,0.0,-9999,-0.767846,-0.761217,-0.756591,0.0,0.0,0.0,1.36994e-06,1.36994e-06,1.36994e-06,1.36994e-06,0.778986,0.755602,0.761219,0.767754,1.11134,1.11134,1.11134,1.11134,0.0,0.0,0.0,0.0,-9999,-9999
201007,24.698,0.0,473.285,265.452,0.405914,334.912,0.0,22.264,0.0,85.198,0.0,0.223,0.0,2.972,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.22538,0.0,-9999,-9999,-3.98397,0.0,-9999,-9999,-0.761023,0.0,-9999,-0.769097,-0.761023,-0.756039,0.0,0.0,0.0,1.64167e-06,1.64167e-06,1.64167e-06,1.64167e-06,0.778581,0.755244,0.761025,0.769099,1.16583,1.16583,1.16583,1.16583,0.0,0.0,0.0,0.0,-9999,-9999
201008,18.253,0.0,423.387,230.357,0.450269,300.515,0.0,12.796,0.0,85.475,0.0,1.658,0.0,3.261,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.27389,0.0,-9999,-9999,-4.38979,0.0,-9999,-9999,-0.766593,0.0,-9999,-0.773451,-0.766593,-0.761815,0.0,0.0,0.0,1.22881e-06,1.22881e-06,1.22881e-06,1.22881e-06,0.785135,0.760905,0.766595,0.772518,1.08571,1.08571,1.08571,1.08571,0.0,0.0,0.0,0.0,-9999,-9999
201009,12.298,0.0,347.243,170.77,0.506944,286.243,0.0,7.115,0.0,85.796,0.0,3.857,0.0,3.064,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.24279,0.0,-9999,-9999,-4.22789,0.0,-9999,-9999,-0.761217,0.0,-9999,-0.767846,-0.761217,-0.756591,0.0,0.0,0.0,9.72146e-07,9.72146e-07,9.72146e-07,9.72146e-07,0.778986,0.755602,0.761218,0.767753,0.999568,0.999568,0.999569,0.999569,0.0,0.0,0.0,0.0,-9999,-9999
201010,3.804,0.0,259.568,140.49,0.565188,234.161,0.0,4.408,0.0,86.038,0.0,0.685,0.0,3.445,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.15054,0.0,-9999,-9999,-0.767391,0.0,-9999,-9999,-0.695741,0.0,-9999,-0.733957,-0.695741,-0.681266,0.0,0.0,0.0,4.89572e-07,4.89572e-07,4.89572e-07,4.89572e-07,0.703527,0.681267,0.695741,0.723045,0.861641,0.861641,0.861642,0.861642,0.0,0.0,0.0,0.0,-9999,-9999
