TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,-4.813,0.564516,110.486,33.5,0.0,270.567,0.0,0.135,0.564516,90.649,0.0,2.96,0.0,2.716,0.950941,0.407920294212,0.944892473118,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,382.123,0.950269,0.8,1.1,1.455,0.97379,0.97379,0.97379,-9999,-9999,-9999,-9999,-9999,1.0,1.0247,0.77621,-9999,-9999,3.80401,0.958333,-9999,-9999,0.915156,0.665323,-9999,0.880839,0.915156,0.931844,0.761425,0.665323,0.650538,0.950056,0.891846,0.920773,0.943195,-0.00701406,-0.02128,0.00796801,0.0293963,2.41848,2.31851,2.40801,2.4784,2.99563,2.93573,3.0065,3.08463,-9999,-9999
200402,-0.604,1.0,175.67,60.459,0.0,282.379,0.0,0.218,1.0,91.178,0.0,4.491,0.0,2.44,0.943966,0.470160106152,0.913074712644,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,382.099,0.135057,-0.397,-0.273,0.051,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,1.0,7.47952,0.860632,-9999,-9999,-1.18858,0.93319,-9999,-9999,-0.270693,0.101293,-9999,-0.326105,-0.273503,-0.238232,0.0977011,0.10273,0.106322,0.518534,0.463077,0.492851,0.503841,0.746283,0.741314,0.766389,0.806925,2.70422,2.59282,2.69251,2.77122,4.54377,4.48285,4.55637,4.65157,-9999,-9999
200403,2.341,1.0,272.305,106.534,0.0,286.467,0.0,0.881,1.0,91.561,0.0,4.092,0.0,2.303,0.792339,0.400261823012,0.759408602151,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,372.538,0.19422,-0.609,-0.537,-0.302,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,1.0,4.0107,0.774866,-9999,-9999,28.8901,0.792339,-9999,-9999,-3.07589,0.15121,-9999,-3.05491,-3.03159,-3.00894,0.144489,0.161962,0.155242,0.759507,0.708958,0.744562,0.763132,3.72639,3.6965,3.73712,3.8015,2.8874,2.77526,2.87489,2.95894,6.5994,6.54863,6.61268,6.72108,-9999,-9999
200404,8.276,0.951389,373.247,166.589,0.00763889,296.746,0.00694444,2.058,0.904167,91.105,0.0,2.638,0.0,2.06,0.720139,0.343672284906,0.698611111111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,383.597,0.696528,2.265,1.704,1.414,0.951389,0.951389,0.951389,-9999,-9999,-9999,-9999,-9999,1.0,21.984,0.721528,-9999,0.599106,48.0653,0.723611,-9999,1.74357,-4.97296,0.49375,0.112121,-4.96754,-4.95556,-4.90608,0.516667,0.436111,0.565972,1.2674,1.19667,1.26518,1.30946,6.22676,6.09407,6.22938,6.26907,3.23726,3.11597,3.22349,3.32065,9.09056,9.05296,9.10393,9.22705,-9999,-9999
200405,10.421,1.0,450.312,170.756,1.0,319.443,1.0,2.99,1.0,91.034,0.0,2.877,1.0,1.888,0.997312,0.356847696954,0.997311827957,116.636458712,0.999327956989,507.18166102,0.633064516129,421.696203162,0.63373655914,18.0767302504,0.627688172043,192.009619629,0.630376344086,24.0306474555,0.628360215054,358.675836093,0.999327956989,376.177,0.958333,5.795,4.992,4.738,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,1.0,18.2087,0.99328,-9999,0.417137,46.398,0.999328,-9999,1.23515,-5.48803,0.90457,0.0853825,-5.53538,-5.47904,-5.4136,0.901882,0.943548,0.954301,2.41939,2.11065,2.26694,2.43599,7.69395,7.52759,7.80497,7.94017,1.78104,1.69677,1.84993,2.02238,6.44912,6.29515,6.38539,6.57268,-9999,-9999
200406,14.406,1.0,484.417,188.805,1.0,345.023,1.0,2.369,0.997917,91.33,0.0,5.451,1.0,1.712,0.927083,0.32463569904,0.920138888889,132.3385105,1.0,528.974107549,0.665277777778,418.640661177,0.666666666667,22.5549794287,0.654166666667,186.7112415,0.666666666667,28.8550309125,0.663888888889,382.587222917,1.0,382.205,0.964583,9.074,7.72,7.243,0.997917,0.997917,0.997917,-9999,-9999,-9999,-9999,-9999,1.0,25.6054,0.990278,-9999,0.578077,53.9983,0.994444,-9999,1.13772,-3.82182,0.940278,0.0887969,-3.99513,-3.89347,-3.8495,0.95,0.933333,0.946528,4.62412,4.10639,4.51624,4.72776,8.17712,8.00825,8.44878,8.73285,5.5236,4.3226,4.68468,5.86071,8.87179,8.22171,8.70145,9.17247,-9999,-9999
200407,16.608,1.0,465.771,193.314,1.0,352.559,1.0,3.413,1.0,91.347,0.0,4.886,1.0,1.678,0.977823,0.318052814653,0.977822580645,133.861703981,0.999327956989,564.42773676,0.648521505376,315.622242033,0.650537634409,22.7474444886,0.639784946237,156.354825507,0.650537634409,31.7945212884,0.645161290323,391.828602494,0.999327956989,389.828,0.988575,10.87,9.822,9.087,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,1.0,33.9373,0.99664,-9999,0.638874,54.7686,0.998656,-9999,1.07003,-3.93019,0.977823,0.0855091,-3.96871,-3.93095,-3.91168,0.967742,0.969758,0.968414,4.55551,4.36773,4.59363,4.83775,8.42201,8.28179,8.53955,8.76289,4.338,4.65643,4.88091,5.32483,8.7624,8.55532,8.68559,8.82435,-9999,-9999
200408,18.013,1.0,399.848,190.527,0.923387,336.631,0.918683,4.715,1.0,91.217,0.0,3.423,1.0,1.915,0.969758,0.349328864953,0.959677419355,116.706637264,0.875672043011,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,397.484098368,0.875672043011,390.261,0.987231,12.133,10.855,10.458,0.952957,0.950269,0.950269,-9999,-9999,-9999,-9999,-9999,1.0,24.2628,0.991263,-9999,0.426446,55.74,0.998656,-9999,1.12449,-5.23085,0.939516,0.126736,-5.32099,-5.26146,-5.20706,0.943548,0.943548,0.947581,2.70452,2.49135,2.69233,2.85635,7.78756,7.68756,7.91526,8.11134,3.19627,2.29585,2.66633,3.05396,8.53347,7.39568,7.73394,8.16963,-9999,-9999
200409,12.873,0.999306,306.266,143.629,1.0,318.939,1.0,3.3,0.999306,91.654,0.0,2.627,1.0,2.076,0.999306,0.339481875732,0.999305555556,74.2766795271,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,372.115422222,1.0,343.977,0.999306,9.492,9.279,9.206,0.998611,0.998611,0.998611,-9999,-9999,-9999,-9999,-9999,1.0,0.77234,0.993056,-9999,0.0936918,47.4133,0.999306,-9999,1.13224,-1.4935,0.402083,0.0976207,-1.70613,-1.5187,-1.38768,0.400694,0.398611,0.386806,0.226316,0.206279,0.228025,0.403477,1.87736,1.81206,1.92541,2.19642,0.75472,0.896154,1.0282,1.26546,0.561635,0.55384,0.742145,0.821878,-9999,-9999
200410,8.637,0.799731,206.667,82.455,0.998656,316.372,1.0,1.304,0.796371,91.323,0.0504032,3.125,1.0,3.342,0.965054,0.438870921036,0.952284946237,30.5814784724,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,357.841211022,1.0,336.328,0.99664,6.017,5.969,6.177,0.795699,0.795699,0.795699,-9999,-9999,-9999,-9999,-9999,1.0,2.26402,0.995296,-9999,0.0690323,10.3,0.999328,-9999,0.797084,-0.611366,0.827285,0.0352229,-0.683533,-0.647569,-0.627561,0.813844,0.829973,0.823925,0.543102,0.215903,0.420435,0.540683,1.16574,0.881849,1.05684,1.15497,0.984786,0.805905,0.829783,0.980947,0.694597,0.555317,0.601303,0.696982,-9999,-9999
