TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200901,0.038,0.0,80.3061,24.221,0.0,292.273,0.0,0.801,0.0,101.314,0.0,0.615,0.0,2.589,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.01632,0.0,-9999,-9999,0.769059,0.0,-9999,-9999,0.886315,0.0,-9999,0.886315,0.886315,0.886315,0.0,0.0,0.0,1.08793,1.05544,1.08793,1.09803,0.211355,0.173345,0.201614,0.211713,0.374479,0.378405,0.381579,0.387833,0.134776,0.128318,0.130759,0.137009,-9999,-9999
200902,0.229,0.0,143.253,43.922,0.0,294.238,0.0,0.636,0.0,100.934,0.0,1.604,0.0,2.817,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.03923,0.0,-9999,-9999,0.905992,0.0,-9999,-9999,0.882045,0.0,-9999,0.882045,0.882045,0.882045,0.0,0.0,0.0,1.0942,1.06287,1.0942,1.10392,0.221532,0.185012,0.212151,0.221876,0.38675,0.390806,0.394083,0.400542,0.227065,0.218864,0.222791,0.229891,-9999,-9999
200903,3.644,0.0,241.57,91.854,0.0,303.08,0.0,1.37,0.0,100.877,0.0,1.623,0.0,2.661,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,4.98742,0.0,-9999,-9999,0.904998,0.0,-9999,-9999,0.881223,0.0,-9999,0.881223,0.881223,0.881223,0.0,0.0,0.0,1.2031,1.19405,1.2031,1.20612,0.324513,0.317425,0.321877,0.32514,0.695056,0.702345,0.708235,0.719843,0.417553,0.409507,0.41462,0.420144,-9999,-9999
200904,9.748,0.0,351.408,216.542,0.0,293.359,0.0,4.686,0.0,101.506,0.0,0.123,0.0,2.317,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.01349,0.0,-9999,-9999,0.858484,0.0,-9999,-9999,0.883233,0.0,-9999,0.883233,0.883233,0.883233,0.0,0.0,0.0,1.38297,1.37298,1.38485,1.4326,0.489751,0.490235,0.501698,0.5384,1.74764,1.76597,1.78078,1.80996,0.823704,0.823704,0.827392,0.844539,-9999,-9999
200905,12.512,0.0,439.64,229.9,0.0,321.66,0.0,4.604,0.0,101.661,0.0,1.608,0.0,2.522,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.01632,0.0,-9999,-9999,0.769059,0.0,-9999,-9999,0.886315,0.0,-9999,0.886315,0.886315,0.886315,0.0,0.0,0.0,1.46102,1.44526,1.46401,1.51554,0.558946,0.558946,0.577812,0.633446,2.36415,2.38894,2.40898,2.44846,0.874369,0.874369,0.877784,0.896046,-9999,-9999
200906,14.65,0.0,481.288,240.873,0.0,336.786,0.0,4.793,0.0,101.226,0.0,2.347,0.0,2.898,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.01349,0.0,-9999,-9999,0.858484,0.0,-9999,-9999,0.883233,0.0,-9999,0.883233,0.883233,0.883233,0.0,0.0,0.0,1.51854,1.4983,1.52238,1.58896,0.615066,0.615066,0.639146,0.710069,2.97818,3.00941,3.03465,3.08438,0.919667,0.919667,0.922523,0.941944,-9999,-9999
200907,18.985,0.0,461.854,233.907,0.0,358.733,0.0,6.7,0.0,100.986,0.0,2.855,0.0,2.363,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.03674,0.0,-9999,-9999,0.901395,0.0,-9999,-9999,0.88216,0.0,-9999,0.88216,0.88216,0.88216,0.0,0.0,0.0,1.62936,1.60011,1.63492,1.73223,0.717948,0.717948,0.752765,0.854274,4.57005,4.61797,4.6567,4.73302,0.90712,0.907061,0.908655,0.928198,-9999,-9999
200908,19.569,0.0,388.266,204.351,0.0,352.667,0.0,8.854,0.0,101.468,0.0,1.391,0.0,2.438,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,4.98742,0.0,-9999,-9999,0.904998,0.0,-9999,-9999,0.881223,0.0,-9999,0.881223,0.881223,0.881223,0.0,0.0,0.0,1.6435,1.61305,1.64929,1.75073,0.731827,0.731827,0.768069,0.874109,4.83653,4.88725,4.92824,5.00901,0.80139,0.800903,0.801866,0.818986,-9999,-9999
200909,15.632,0.253472,285.795,135.511,0.254861,336.757,0.253472,5.607,0.253472,101.686,0.0,1.086,0.0,2.771,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.66827,0.0,-9999,-9999,0.846349,0.0,-9999,-9999,0.904785,0.0,-9999,0.904811,0.905361,0.906425,0.0,0.0,0.0,1.54351,1.52123,1.54774,1.62131,0.616023,0.616023,0.64244,0.716681,3.34232,3.37737,3.40569,3.46151,0.576506,0.570621,0.575046,0.584169,-9999,-9999
200910,7.847,1.0,180.143,60.919,1.0,324.933,1.0,1.425,1.0,101.353,0.0,2.085,0.0,2.941,0.0,-9999,-9999,27.1572563105,1.0,116.814754839,1.0,9.30817336492,1.0,10.46730267,1.0,348.227524194,1.0,-9999,-9999,9.227,9.764,10.343,0.518145,0.518145,0.518145,-9999,1.0,5.50857,0.031586,-9999,0.117221,-0.474725,0.031586,-9999,0.345364,1.08382,0.031586,0.0356255,1.08293,1.08503,1.08919,0.031586,0.031586,0.031586,1.32879,1.32277,1.32993,1.38239,0.237343,0.237537,0.245652,0.265748,1.34518,1.35929,1.37068,1.39315,0.292492,0.284757,0.289634,0.295112,-9999,-9999
