TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200101,0.533,0.52957,99.3021,35.093,0.528898,275.633,0.52957,1.004,0.52957,99.499,0.525538,0.774,0.525538,2.704,0.525538,-9999,-9999,-1.07131410256,0.501344086022,83.0645219494,0.512096774194,-9999,-9999,-9999,-9999,-9999,-9999,11.5846875,0.516129032258,308.811294071,0.501344086022,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.00663,0.52957,2.6216,0.528226,2.92931,0.116954,-1.46691,0.528226,-1.63908,0.308099,-0.0297484,0.442204,0.0169092,-0.0466193,-0.0195891,0.00381464,0.439516,0.418683,0.441532,0.254521,0.254521,0.299463,0.315211,0.289673,0.286257,0.310022,0.338352,0.548323,0.511057,0.602023,0.665578,0.497492,0.47172,0.494412,0.516413,-9999,-9999
200102,2.661,1.0,162.881,67.107,1.0,282.677,1.0,1.853,1.0,99.758,1.0,0.676,1.0,3.417,1.0,0.215315976832,0.845982142857,13.1867166667,1.0,133.890543378,1.0,-9999,-9999,-9999,-9999,39.5391171577,1.0,12.0512499226,1.0,324.62450744,1.0,382.464,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.556,30.94,31.016,-9999,1.0,1.0,1.0,-9999,-1.6974,1.0,8.41981,1.0,11.436,0.191165,-1.54798,1.0,-2.10251,0.373481,-0.172623,0.969494,0.0130855,-0.178243,-0.171146,-0.149123,0.973958,0.952381,0.976935,0.925715,0.875402,0.915682,0.939981,1.09782,1.03384,1.07645,1.10147,1.252,0.961054,1.06012,1.16829,1.31017,1.14224,1.22324,1.2829,-9999,-9999
200103,3.746,0.909946,259.048,78.73,0.911962,300.024,0.909946,1.332,0.909946,98.731,0.882392,2.33,0.882392,3.206,0.882392,-9999,-9999,32.6160098214,0.882392473118,166.475546429,0.882392473118,-9999,-9999,-9999,-9999,59.1489494048,0.882392473118,15.6871511905,0.882392473118,330.791992262,0.882392473118,382.844,0.814516,4.265,4.825,5.281,-9999,-9999,-9999,0.695565,0.695565,0.695565,-9999,-9999,-9999,30.34,32.162,31.267,-9999,0.909946,0.909946,0.909946,-9999,0.525601,0.909946,15.2822,0.811156,24.4374,0.256504,6.31707,0.809812,10.1015,0.365044,-0.887313,0.78293,0.0194227,-0.976876,-0.884326,-0.846111,0.788978,0.78293,0.768145,1.19724,1.19891,1.20669,1.22233,2.08156,2.05689,2.10488,2.19616,1.46554,1.3138,1.45483,1.51878,2.03514,2.03514,2.05812,2.07259,-9999,-9999
200104,7.781,1.0,363.516,152.39,1.0,296.691,1.0,3.182,1.0,99.275,1.0,0.95,1.0,3.251,1.0,0.251603267846,0.616666666667,68.6378055556,1.0,292.222125,1.0,-9999,-9999,-9999,-9999,80.7370625,1.0,26.5283819444,1.0,353.849958333,1.0,377.281,0.865972,9.09,8.252,7.578,-9999,-9999,-9999,1.0,1.0,1.0,-9999,-9999,-9999,28.003,29.717,30.921,-9999,1.0,1.0,1.0,-9999,2.07136,1.0,37.5546,0.865278,47.1891,0.347001,17.2407,0.863889,21.6637,0.348649,-4.27723,0.847917,0.0470724,-4.39448,-4.27723,-4.22099,0.854167,0.847917,0.840278,2.88568,2.90321,2.91829,2.99737,7.17741,7.16658,7.24106,7.34924,3.38004,3.34513,3.40132,3.4115,7.14501,7.11857,7.14501,7.20837,-9999,-9999
200105,14.234,1.0,445.333,231.375,1.0,314.83,1.0,5.691,1.0,99.767,1.0,0.854,1.0,2.487,1.0,0.237321301638,0.889784946237,114.44609543,1.0,433.04429002,0.986559139785,-9999,-9999,-9999,-9999,86.9116397849,1.0,48.5131922043,1.0,383.409784946,1.0,383.794,1.0,15.78,14.259,12.268,-9999,-9999,-9999,1.0,1.0,1.0,-9999,-9999,-9999,22.658,24.129,28.037,-9999,1.0,1.0,1.0,-9999,2.67368,1.0,83.972,0.997984,97.6828,0.570969,12.0945,1.0,14.0692,0.45997,-8.08201,0.948253,0.0783061,-8.1799,-8.08201,-8.04466,0.954301,0.948253,0.946909,6.06192,5.74415,6.12611,6.28975,14.1169,13.9536,14.2401,14.329,6.94002,6.72008,6.92524,7.05174,14.3046,14.3046,14.384,14.4833,-9999,-9999
200106,14.426,1.0,483.176,210.314,1.0,329.689,1.0,4.696,1.0,99.661,1.0,0.0,1.0,2.51,1.0,0.267554465515,0.863194444444,111.5405,1.0,392.778740839,0.999305555556,-9999,-9999,-9999,-9999,111.4565625,1.0,41.5552708333,1.0,386.909951389,1.0,387.871,0.999306,15.322,14.446,13.299,-9999,-9999,-9999,1.0,1.0,1.0,-9999,-9999,-9999,17.15,17.669,23.666,-9999,1.0,1.0,1.0,-9999,2.05831,1.0,65.6112,0.995833,78.4505,0.5084,26.1041,0.994444,31.2123,0.461988,-6.21,0.966667,0.0697684,-6.32762,-6.21,-6.09514,0.972917,0.966667,0.963889,5.7951,5.51456,5.8018,5.92102,12.0104,11.8548,11.9923,12.0491,7.47428,6.98645,7.37502,7.75424,12.7337,12.6936,12.9584,13.1791,-9999,-9999
200107,18.82,1.0,465.351,234.221,1.0,348.327,1.0,8.082,1.0,99.593,1.0,1.452,1.0,2.322,1.0,0.247760317498,0.739247311828,131.19624328,1.0,445.890705645,1.0,-9999,-9999,-9999,-9999,92.8501209677,1.0,36.5660752688,1.0,414.600430108,1.0,391.54,0.999328,19.186,18.121,16.126,-9999,-9999,-9999,1.0,1.0,0.998656,-9999,-9999,-9999,21.872,22.201,23.391,-9999,1.0,1.0,1.0,-9999,2.97608,1.0,51.7984,0.998656,59.1605,0.493884,60.5088,0.99664,69.1089,0.600856,1.77419,0.931452,0.0362518,1.75946,1.78308,1.82512,0.948925,0.950941,0.920027,5.41181,5.00176,5.40872,5.45764,3.6375,3.21948,3.59322,3.64319,4.62018,4.17012,4.53523,4.61916,2.97677,2.91546,3.12158,3.16338,-9999,-9999
200108,19.428,1.0,397.506,179.855,1.0,360.174,1.0,8.759,1.0,99.73,1.0,1.068,1.0,2.599,1.0,0.248305580972,0.762768817204,88.8072110215,1.0,349.963797627,0.998655913978,-9999,-9999,-9999,-9999,83.4112365591,1.0,29.417311828,1.0,421.940611559,1.0,391.649,0.997984,21.601,20.504,18.422,-9999,-9999,-9999,1.0,1.0,0.986559,-9999,-9999,-9999,21.874,25.119,25.71,-9999,1.0,1.0,1.0,-9999,6.48675,1.0,26.962,0.995296,26.3501,0.459765,57.3083,0.995968,56.0077,0.554842,3.32046,0.942204,0.0252776,3.30323,3.32825,3.37383,0.969758,0.950941,0.929435,2.94576,2.93602,2.97146,3.0081,-0.371971,-0.383143,-0.367642,-0.3412,3.60464,2.84602,2.95989,3.32333,0.221741,0.132777,0.15926,0.190659,-9999,-9999
200109,12.594,1.0,301.057,96.219,1.0,339.331,1.0,2.973,1.0,99.206,1.0,2.252,1.0,4.08,1.0,0.263614728865,0.899305555556,44.9084444444,1.0,197.420402778,1.0,-9999,-9999,-9999,-9999,64.8621388889,1.0,13.7661180556,1.0,376.813479167,1.0,384.885,1.0,12.667,13.163,14.368,-9999,-9999,-9999,1.0,1.0,1.0,-9999,-9999,-9999,23.019,25.533,25.473,-9999,1.0,1.0,1.0,-9999,-2.12419,1.0,26.5602,1.0,35.3586,0.405084,8.80766,0.997917,11.7253,0.387345,3.04204,0.9875,0.026144,2.99203,3.04204,3.09889,0.992361,0.9875,0.985417,2.87439,2.7945,2.87478,2.92473,-0.167394,-0.201491,-0.174114,-0.165511,3.14675,3.13233,3.14675,3.15535,0.109305,0.0807762,0.105856,0.112839,-9999,-9999
200110,12.576,1.0,199.01,68.924,0.958333,331.51,1.0,2.698,1.0,99.843,1.0,0.815,1.0,2.614,1.0,0.197818582231,0.610887096774,25.4476747312,1.0,98.6019982941,0.944892473118,-9999,-9999,-9999,-9999,43.1458266129,1.0,7.31854166667,1.0,374.603259409,1.0,412.44,0.977151,11.722,12.079,12.645,-9999,-9999,-9999,1.0,1.0,1.0,-9999,-9999,-9999,20.115,27.437,26.244,-9999,1.0,0.836022,1.0,-9999,-1.75357,1.0,20.7011,0.975134,20.6447,0.353569,4.72474,0.974462,4.71187,0.325999,2.79174,0.888441,0.0245958,2.63193,2.8097,2.93584,0.94422,0.881048,0.802419,1.95969,1.91562,1.95969,2.05367,-0.838263,-0.996608,-0.797127,-0.58754,2.88365,2.71707,2.92033,3.10102,0.0,0.0,7.87485e-05,0.000373531,-9999,-9999
