TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,-2.303,1.0,100.35,28.907,0.946909,275.931,0.0,0.802,1.0,96.64,0.0,2.294,1.0,2.614,0.866263,0.204924026591,0.864919354839,-5.22114833562,0.999327956989,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,385.797,0.94422,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.99292,1.0,5.31556,0.943548,5.54366,0.250048,-8.48474,0.950941,-8.84882,0.283121,0.591304,0.94422,0.0198106,0.587685,0.591304,0.600925,0.94422,0.94422,0.94422,0.537454,0.537454,0.557381,0.578785,-0.0538504,-0.0538504,-0.0303037,-0.0181331,0.616111,0.555282,0.581652,0.616111,0.0782659,0.0748624,0.0782659,0.0796307,-9999,-9999
200402,1.44,1.0,165.464,43.307,1.0,286.712,0.0,1.693,1.0,97.284,0.0,1.742,0.862069,3.164,0.823994,0.251391945845,0.823275862069,5.35280681911,0.997126436782,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,382.161,0.977011,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.63601,1.0,13.3409,0.976293,22.6842,0.26159,-9.13683,0.992816,-15.5358,0.428901,0.433303,0.977011,0.0173892,0.425208,0.433303,0.499536,0.977011,0.977011,0.974138,0.839226,0.815929,0.839226,0.905642,0.405923,0.390378,0.395704,0.407045,0.954023,0.791966,0.833926,0.897799,0.372955,0.30774,0.311725,0.327475,-9999,-9999
200403,2.679,1.0,263.479,100.658,1.0,283.135,0.0,2.131,1.0,97.636,0.0,1.71,1.0,2.553,0.999328,0.214411175932,0.999327956989,41.6786693548,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,388.664,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.22247,1.0,18.532,0.999328,35.5395,0.281766,2.59643,0.999328,4.97926,0.307071,-0.203862,0.999328,0.0291145,-0.203862,-0.196358,-0.185335,0.999328,0.999328,1.0,0.651177,0.684576,0.709489,0.744197,0.855038,0.880934,0.893699,0.916863,1.37796,1.11346,1.27741,1.37796,1.30794,1.20514,1.3019,1.3406,-9999,-9999
200404,8.049,1.0,367.324,155.362,1.0,303.131,0.0,3.573,1.0,97.052,0.0,0.853,1.0,1.94,0.990972,0.173312343911,0.990972222222,94.5425902778,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,384.591,0.997222,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.92627,1.0,40.5859,0.997222,67.5015,0.368351,13.303,0.999306,22.1252,0.329548,-2.35928,0.995833,0.0592202,-2.49518,-2.35928,-2.1088,0.997222,0.995833,0.990278,2.45307,2.18109,2.45307,3.2006,4.81234,4.67626,4.81234,5.24487,1.59103,1.42234,1.82337,2.62346,4.44146,4.34122,4.5782,4.90268,-9999,-9999
200405,10.274,1.0,447.653,150.084,1.0,318.795,0.0,3.213,1.0,97.022,0.0,3.742,0.756048,2.009,0.995296,0.193965959353,0.994623655914,97.8961597125,0.998655913978,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,382.496,0.999328,11.867,11.493,10.489,-9999,-9999,1.0,1.0,1.0,-9999,-9999,-9999,-9999,3.29153,1.0,48.7238,0.999328,77.0205,0.380805,11.7303,1.0,18.5427,0.301844,-3.6071,0.995296,0.0674439,-3.6737,-3.60679,-3.31391,0.997984,0.995296,0.965726,3.94434,3.90442,3.98988,5.5096,7.55144,7.57811,7.59667,8.7728,3.26137,3.26137,3.48402,4.69734,7.67524,7.67524,7.8074,8.47598,-9999,-9999
200406,14.39,1.0,483.583,194.681,0.6875,335.886,0.0,4.686,1.0,97.309,0.0,2.077,1.0,2.058,1.0,0.211958333333,1.0,124.588534722,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,377.106,0.958333,14.552,13.879,12.494,-9999,-9999,0.997222,0.997222,0.997222,-9999,-9999,-9999,-9999,6.60208,1.0,61.1952,0.960417,92.7755,0.443228,16.6798,1.0,25.2876,0.375774,-1.42502,0.9,0.0614003,-1.4564,-1.42502,-1.12677,0.93125,0.9,0.849306,5.10322,5.0246,5.09617,5.63937,6.52824,6.40176,6.52824,6.76682,5.73473,5.53559,5.82837,5.9128,7.88251,7.88251,7.93305,8.20561,-9999,-9999
200407,16.102,1.0,464.048,196.654,0.99328,345.294,0.0,5.235,1.0,97.297,0.0,3.729,1.0,2.09,0.992608,0.188072244449,0.994623655914,131.940241071,0.891129032258,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,377.203,0.978495,17.613,17.11,15.585,-9999,-9999,1.0,1.0,1.0,-9999,-9999,-9999,-9999,4.5762,1.0,71.8478,0.976478,109.677,0.53685,10.5922,0.999328,16.1692,0.333702,-0.598368,0.949597,0.0831649,-0.709617,-0.598368,-0.332239,0.959677,0.949597,0.906586,6.58449,6.46059,6.58449,7.2757,7.18286,7.15346,7.23222,7.69659,5.56832,5.0422,5.76873,6.06876,6.62872,6.48035,6.80043,7.07464,-9999,-9999
200408,17.431,1.0,395.185,173.966,1.0,349.269,0.0,6.675,1.0,97.078,0.0,1.358,1.0,2.018,1.0,0.187620967742,1.0,111.914439631,0.999327956989,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,378.638,0.997984,18.131,17.605,16.488,-9999,-9999,1.0,1.0,1.0,-9999,-9999,-9999,-9999,4.83797,1.0,65.429,0.999328,99.2749,0.591347,5.31811,1.0,8.06913,0.412531,-0.955075,0.991263,0.0982606,-1.00216,-0.955075,-0.811571,0.990591,0.991263,0.968414,3.71885,3.67248,3.71885,4.48224,4.67392,4.65973,4.67392,5.29381,3.67014,3.67014,3.88693,4.46679,4.85198,4.85198,5.05716,5.28895,-9999,-9999
200409,12.56,1.0,298.477,131.018,1.0,319.525,0.0,4.395,1.0,97.558,0.0,2.387,1.0,2.229,1.0,0.201451388889,1.0,76.7087013889,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,376.091,0.96875,13.22,13.455,13.712,-9999,-9999,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-0.205368,1.0,45.1816,0.970833,74.1474,0.461705,1.41773,0.999306,2.32664,0.368839,-1.52535,0.9625,0.0634014,-1.55801,-1.52535,-1.09883,0.963194,0.9625,0.961806,3.17019,3.06355,3.09761,3.17019,4.69553,4.42321,4.64325,4.69553,3.02831,2.74774,2.8668,5.2287,4.65129,4.46373,4.53752,5.41091,-9999,-9999
200410,9.275,1.0,196.903,79.599,1.0,306.144,0.0,2.802,1.0,97.109,0.0,1.323,1.0,2.003,0.998656,0.193353494624,1.0,31.7278323038,0.999327956989,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,377.35,0.959005,9.136,9.522,10.296,-9999,-9999,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-3.02167,1.0,22.3102,0.972446,38.7877,0.30545,-2.44983,0.999328,-4.25919,0.325158,0.600971,0.950269,0.0355966,0.536107,0.585675,0.641234,0.958333,0.943548,0.952957,3.49644,3.40114,3.4105,3.45321,2.89547,2.76435,2.86405,2.88176,2.59283,2.68615,2.79912,2.88907,2.50099,2.51611,2.5946,2.65238,-9999,-9999
