TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,-2.919,0.0,100.745,27.649,0.0,266.999,0.0,0.789,0.0,95.532,0.0,2.841,0.0,3.662,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.5983,0.077957,41.3963,0.0,51.7377,-9999,17.0183,0.0,21.2698,-9999,-8.86502,0.0,-9999,-8.95333,-8.86502,-8.66624,0.0,0.0,0.0,1.80281,1.66546,1.80281,1.87371,10.4557,10.4567,10.6328,10.7237,0.712446,0.710342,0.712108,0.724612,2.45033,2.43205,2.45026,2.45728,-9999,-9999
200402,0.756,0.0,165.864,55.711,0.0,278.192,0.0,1.401,0.0,96.168,0.0,1.941,0.0,4.533,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.2882,0.0,41.3646,0.0,51.6981,-9999,17.1018,0.0,21.3741,-9999,-8.80814,0.0,-9999,-8.89905,-8.80814,-8.61838,0.0,0.0,0.0,2.40659,2.22763,2.40659,2.49377,11.0099,11.0099,11.1724,11.2851,1.38407,1.37998,1.38341,1.40771,4.69077,4.6661,4.69077,4.70278,-9999,-9999
200403,2.599,0.0,263.827,119.52,0.0,274.479,0.0,2.034,0.0,96.516,0.0,1.451,0.0,3.915,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.3947,0.0,41.3963,0.0,-9999,-9999,17.0183,0.0,-9999,-9999,-8.86502,0.0,-9999,-8.95333,-8.86502,-8.66624,0.0,0.0,0.0,2.76044,2.55779,2.76044,2.82848,11.4133,11.4185,11.5795,11.7019,1.90076,1.89515,1.89986,1.93322,9.27239,9.25485,9.28435,9.30311,-9999,-9999
200404,7.852,0.985417,367.559,169.017,0.986806,288.295,0.985417,3.458,0.985417,95.939,0.0,0.663,0.980556,2.937,0.0,-9999,-9999,66.2192694278,0.965277777778,-9999,-9999,-9999,-9999,37.0214655172,0.966666666667,353.048218391,0.966666666667,-9999,-9999,8.456,8.078,7.795,0.984722,0.984722,0.984722,-9999,-9999,6.47947,0.984722,40.0937,0.0,66.3896,0.824211,14.2607,0.0,23.6138,0.795318,-6.91176,0.0,0.158653,-6.91176,-6.90231,-6.85983,0.0,0.0,0.0,3.83495,3.77664,3.83486,3.97928,10.7373,10.6684,10.7373,10.8391,3.87473,3.86329,3.87289,3.9409,12.4908,12.4889,12.5148,12.5892,-9999,-9999
200405,9.495,1.0,447.76,167.113,1.0,318.702,1.0,2.725,1.0,95.909,0.0,4.406,0.998656,2.67,0.538978,0.259223811363,0.512768817204,86.1531241234,0.997311827957,325.991501547,0.996639784946,11.6915819308,0.998655913978,38.3934946237,0.998655913978,360.184187997,0.998655913978,373.68,0.844758,10.378,10.272,10.159,1.0,1.0,1.0,-9999,-9999,3.47671,1.0,41.202,0.84207,68.2248,0.307802,10.5571,0.840726,17.4812,0.308242,-6.656,0.799059,0.0477109,-6.70316,-6.6821,-6.63483,0.78293,0.81922,0.811156,4.81043,4.72902,4.81085,4.92947,11.5141,11.4121,11.5141,11.596,4.9087,5.06597,5.21804,5.41626,11.8791,11.9936,12.1343,12.1907,-9999,-9999
200406,13.611,0.697917,483.617,218.738,0.704861,334.009,0.697917,3.996,0.697917,96.193,0.0,2.463,0.665278,2.425,0.867361,0.276756646854,0.86875,133.477081742,0.607638888889,450.685117565,0.608333333333,17.8712351077,0.608333333333,47.2989975094,0.608333333333,381.858156516,0.608333333333,375.326,0.997917,13.904,13.624,13.357,0.697917,0.697917,0.697917,-9999,-9999,6.46065,0.697917,56.6577,0.995139,101.503,0.384576,7.54325,0.995833,13.5138,0.389514,-6.1987,0.791667,0.0537809,-6.1457,-6.06668,-5.92507,0.804167,0.752083,0.8625,6.25368,6.33928,6.41884,6.53401,12.4293,12.1979,12.4293,12.5502,6.46249,6.17198,6.36794,6.97442,12.3885,12.164,12.3885,12.6066,-9999,-9999
200407,15.42,1.0,464.118,215.797,1.0,340.723,1.0,5.01,1.0,96.181,0.0,3.152,1.0,2.405,0.94086,0.289811101548,0.936155913978,116.604959677,1.0,428.660907258,1.0,46.0309554598,0.935483870968,44.5918821839,0.935483870968,391.921903736,0.935483870968,372.164,0.997312,16.01,15.749,15.538,0.978495,0.980511,0.978495,-9999,-9999,4.96466,0.978495,45.1516,0.997312,72.5324,0.359542,26.9267,0.997312,43.2556,0.51354,-0.0737859,0.961694,0.0362256,-0.0849585,-0.0438956,-0.0429482,0.981855,0.959677,0.940188,5.43659,5.2173,5.43524,5.49042,5.48025,5.30207,5.47049,5.52239,4.95276,4.95276,5.0261,5.36538,5.09673,5.11649,5.21351,5.41288,-9999,-9999
200408,17.421,1.0,395.371,197.438,1.0,332.182,1.0,7.309,1.0,95.965,0.0,0.01,1.0,3.426,0.53293,-9999,-9999,86.6910685484,1.0,396.749052419,0.998655913978,-9999,-9999,-9999,-9999,-9999,-9999,372.662,0.971774,17.294,17.157,17.021,0.204301,0.204973,0.204301,-9999,-9999,1.74882,0.204301,40.7921,0.971774,56.2522,0.444155,30.9464,0.972446,42.675,0.420506,3.68256,0.860887,0.0266394,3.66556,3.76176,3.76999,0.873656,0.848118,0.833333,5.57241,5.24304,5.57241,5.60034,1.81066,1.5744,1.81066,1.83688,5.13169,4.98854,5.13169,5.44239,1.01649,0.955923,1.12031,1.30536,-9999,-9999
200409,12.781,0.859028,298.785,147.513,0.861111,306.961,0.859028,4.989,0.859028,96.439,0.0,2.074,0.848611,3.714,0.999306,0.26581501182,0.999305555556,49.1944605072,0.831944444444,322.463096014,0.831944444444,30.3885257371,0.753472222222,28.5584176662,0.753472222222,386.047933846,0.753472222222,369.973,1.0,13.899,13.937,14.007,0.849306,0.849306,0.849306,-9999,-9999,0.216837,0.849306,26.9177,1.0,30.9977,0.392487,10.1548,0.998611,11.694,0.489942,1.09381,0.958333,0.021928,1.04307,1.08073,1.09381,0.843056,0.963194,0.958333,3.01566,3.01057,3.01813,3.03784,1.92965,1.92965,1.95337,1.97083,2.72363,2.5523,2.70697,2.90171,1.77162,1.64735,1.70782,1.80139,-9999,-9999
200410,9.064,0.99328,197.287,85.503,0.993952,296.221,0.99328,2.679,0.99328,95.995,0.0,1.071,0.983871,3.525,0.998656,0.260693665264,0.998655913978,3.77673736559,0.984543010753,168.826154032,0.984543010753,13.5167569892,0.984543010753,21.9924615591,0.984543010753,354.39456586,0.984543010753,377.998,0.979839,8.997,9.115,9.229,0.99328,0.99328,0.99328,-9999,-9999,-5.30601,0.99328,15.7312,0.978495,18.1157,0.221504,-16.6232,1.0,-19.1428,0.508548,-0.827771,0.952957,0.0246141,-0.931476,-0.809934,-0.703261,0.952957,0.952285,0.883065,2.73547,2.74557,2.75444,2.76016,3.5454,3.43479,3.5454,3.70074,2.7689,2.7689,2.90809,3.05471,3.69324,3.64276,3.74779,3.79032,-9999,-9999
200411,2.622,1.0,118.207,30.828,1.0,302.117,1.0,0.766,1.0,96.33,0.0,3.632,0.381944,4.105,0.922222,0.285081372978,0.897916666667,-5.16752777778,1.0,60.1178528369,0.999305555556,21.1249861111,1.0,13.0852152778,1.0,324.442458333,1.0,398.118,0.536806,3.469,3.744,4.043,1.0,1.0,1.0,-9999,-9999,-9.68025,1.0,1.90153,0.536806,2.37656,0.0693515,-14.5055,0.997222,-18.1293,0.442025,0.648761,0.376389,0.0188222,0.481837,0.653301,0.813765,0.494444,0.375,0.331944,1.65738,1.5004,1.62728,1.67346,1.00399,0.87124,0.936601,1.00399,1.72389,1.31637,1.72698,1.92509,1.93141,1.71851,1.79607,1.94094,-9999,-9999
