TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200901,-5.881,0.0,113.321,43.126,0.0,251.456,0.0,1.179,0.0,86.688,0.0,1.011,0.0,0.942,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,69.1811,0.0,4.63624,-9999,76.3008,0.0,5.11338,-9999,1.84224,0.0,-9999,1.66696,1.78026,1.93548,0.0,0.0,0.0,0.689257,0.655346,0.671266,0.689257,-1.24729,-1.24729,-1.12181,-0.992779,0.866198,0.664046,0.75056,0.866198,0.541767,0.429849,0.51476,0.728295,-9999,-9999
200902,-3.635,0.0,176.998,59.649,0.0,270.555,0.0,1.236,0.0,86.422,0.0,4.345,0.0,1.507,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,69.4658,0.0,21.6629,-9999,77.0641,0.0,24.0324,-9999,1.8509,0.0,-9999,1.68098,1.79087,1.94473,0.0,0.0,0.0,0.85838,0.823451,0.839205,0.865933,-1.07189,-1.06981,-0.967415,-0.845192,1.05259,0.82144,0.915865,1.05319,0.663717,0.537218,0.630857,0.904686,-9999,-9999
200903,-0.277,0.0,271.328,101.024,0.0,283.728,0.0,1.497,0.0,86.507,0.0,4.642,0.0,1.561,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.47821,0.178763,69.0571,0.0,70.5106,-9999,76.9949,0.0,78.6154,-9999,1.84632,0.0,-9999,1.66882,1.7837,1.94026,0.0,0.0,0.0,1.14677,1.10422,1.12328,1.18444,-0.74308,-0.74308,-0.677456,-0.559489,1.3611,1.08764,1.18832,1.36268,0.931706,0.778509,0.884988,1.29866,-9999,-9999
200904,7.682,0.00625,371.829,192.925,0.00694444,294.778,0.00625,3.561,0.00625,86.624,0.0,1.98,0.0,1.122,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.475525,0.0,69.0432,0.00625,71.4706,1.07018,75.329,0.00625,77.9774,0.804893,1.83186,0.00625,0.0279836,1.6668,1.77392,1.92496,0.00625,0.00625,0.00625,2.00726,1.93686,2.00726,2.32838,0.307318,0.193547,0.251192,0.376823,2.22854,1.86904,2.00106,2.22854,1.3305,1.16106,1.26268,1.91134,-9999,-9999
200905,8.801,1.0,449.118,194.884,1.0,314.047,1.0,2.925,1.0,87.204,0.999328,8.696,0.999328,1.459,0.999328,-9999,-9999,118.787262783,0.999327956989,384.75979324,0.999327956989,26.7188192061,0.999327956989,362.875857498,0.999327956989,379.431,0.994624,11.174,1.0,37.859,1.0,3.57903,0.0920699,62.3823,1.0,64.7276,0.745857,55.7231,0.988575,57.818,0.557094,0.762794,0.954301,0.0158353,0.66216,0.733919,0.74972,0.396505,0.974462,0.963038,2.50733,2.4397,2.50973,2.64035,1.83842,1.70005,1.7675,1.88413,2.49105,2.45077,2.84491,3.05316,1.76137,1.81003,2.04904,2.44705,-9999,-9999
200906,9.56,0.995833,484.341,191.606,0.995833,322.089,0.995833,2.143,0.995833,86.919,0.994444,11.507,0.994444,1.542,0.990278,-9999,-9999,118.2720875,0.994444444444,368.603415632,0.99375,26.8445513889,0.994444444444,365.669472222,0.994444444444,371.522,0.972222,12.897,0.995833,37.004,0.995833,4.28362,0.985417,64.804,0.994444,67.2404,0.794089,50.4631,0.949306,52.3603,0.517237,0.223259,0.89375,0.0219758,0.17739,0.202519,0.2553,0.938889,0.911111,0.866667,3.25037,3.04027,3.25037,3.39358,3.04743,2.86503,3.04743,3.09653,2.96857,2.96857,3.06152,3.15577,2.87971,2.8559,2.87971,2.99892,-9999,-9999
200907,12.854,1.0,467.619,186.365,1.0,335.541,1.0,3.534,1.0,87.134,1.0,10.13,1.0,1.177,1.0,-9999,-9999,114.575556223,0.999327956989,363.268168039,0.998655913978,25.7108669355,1.0,380.826370968,1.0,359.388,0.946909,15.606,1.0,36.754,1.0,4.78487,1.0,74.3011,0.997312,68.4897,0.723025,44.7196,0.97379,41.2219,0.453543,0.650691,0.884409,0.0284534,0.623228,0.645533,0.661942,0.450941,0.689516,0.895161,3.76218,3.67786,3.76218,4.16337,3.21399,3.01592,3.12097,3.48389,3.52309,3.52323,3.84091,4.28792,2.8573,3.03803,3.21918,3.42317,-9999,-9999
200908,14.276,1.0,403.779,202.785,1.0,325.108,1.0,4.506,1.0,87.377,1.0,6.191,1.0,1.157,0.999328,-9999,-9999,109.862721774,1.0,391.838091398,1.0,29.0943548387,1.0,387.857479839,1.0,356.044,0.99664,16.604,1.0,34.308,1.0,4.6305,1.0,62.8321,1.0,53.6856,0.663081,60.3295,1.0,51.5473,0.479323,1.4898,0.883737,0.0278404,1.28228,1.41191,1.48397,0.966398,0.834677,0.922043,3.83617,3.72256,3.83617,4.05823,2.4629,2.25914,2.33126,2.67276,4.18556,3.36409,4.10284,4.31875,2.58267,2.20066,2.58267,2.75986,-9999,-9999
200909,10.62,1.0,311.675,136.96,1.0,315.057,1.0,2.409,1.0,87.385,1.0,1.943,1.0,1.469,0.999306,-9999,-9999,63.7899930556,1.0,261.588208333,1.0,20.2982291667,1.0,366.786006944,1.0,361.903,0.994444,14.178,1.0,34.021,1.0,-0.223479,1.0,35.6658,0.995833,27.3155,0.506383,47.3066,0.995833,36.231,0.543377,1.21998,0.921528,0.0222739,1.11764,1.18907,1.2255,0.980556,0.933333,0.911111,2.79432,2.73078,2.80096,3.04325,1.73194,1.5456,1.61189,1.74606,3.33402,1.76974,2.3186,3.15241,1.52669,0.995749,1.23578,1.72322,-9999,-9999
200910,3.352,1.0,212.438,68.396,1.0,303.659,1.0,1.187,1.0,86.847,1.0,2.747,1.0,1.329,0.664651,-9999,-9999,22.0644846717,0.999327956989,129.731784013,0.993279569892,22.3728158602,1.0,326.801572581,1.0,374.381,0.918683,9.487,1.0,36.476,1.0,-5.51867,1.0,19.3298,0.938844,13.6164,0.403006,19.6298,0.947581,13.8277,0.343772,1.20183,0.899866,0.0147352,1.06403,1.17245,1.20304,0.784274,0.888441,0.900538,1.48374,1.44487,1.48374,2.09769,0.329894,0.270499,0.28515,0.983301,1.2662,1.03936,1.10925,1.28589,0.618234,0.500698,0.577714,0.799036,-9999,-9999
