TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200201,-0.322,0.0,97.7167,29.931,0.0,282.083,0.0,0.981,0.0,96.309,0.0,1.264,0.0,3.632,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.69636,3.0,18.2963,0.0,27.5735,-9999,58.5697,0.0,88.2677,-9999,0.949225,0.0,-9999,0.895484,1.05042,1.10369,0.0,0.0,0.0,2.51233,2.51233,2.6411,2.69356,1.57158,1.55229,1.57158,1.61768,3.01455,2.56426,3.01723,3.06479,0.838023,0.69496,0.835623,0.855723,-9999,0.0
200202,3.908,0.0,161.267,49.897,0.0,292.803,0.0,1.713,0.0,95.2,0.0,3.07,0.0,5.065,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.65959,3.0,18.2595,0.0,22.4755,-9999,58.469,0.0,71.9689,-9999,0.946796,0.0,-9999,0.891561,1.03657,1.09834,0.0,0.0,0.0,3.00832,3.00832,3.16455,3.22757,2.07834,2.06153,2.10959,2.15163,3.32792,2.83082,3.33088,3.38339,1.12705,0.966714,1.12365,1.149,-9999,0.0
200203,4.089,0.0,257.628,115.404,0.0,282.629,0.0,2.148,0.0,95.802,0.0,1.311,0.0,3.069,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.75108,3.0,18.0955,0.108199,20.6013,-9999,58.6102,0.114247,66.7263,-9999,0.949814,0.0262097,-9999,0.890053,1.04185,1.09921,0.0208333,0.0147849,0.0282258,3.02967,3.02967,3.18714,3.25061,2.10192,2.07986,2.13193,2.17335,3.33807,2.83946,3.34104,3.39371,1.87705,1.65224,1.8709,1.90857,-9999,0.0
200204,6.957,0.674306,362.544,148.216,0.682639,293.962,0.68125,2.999,0.674306,95.652,0.677083,1.623,0.678472,3.041,0.447222,0.674393657151,0.616666666667,75.4862013889,1.0,-9999,-9999,-9999,-9999,13.6386145833,0.666666666667,349.9824375,0.666666666667,377.89,0.875694,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.8369,3.0,21.4142,0.873611,22.8091,0.480011,51.1997,0.872222,54.5347,0.73468,0.606441,0.728472,0.0534241,0.585208,0.601744,0.612349,0.713889,0.734028,0.747222,3.4788,3.4788,3.62681,3.6845,2.86304,2.89857,3.04161,3.07215,3.40719,3.10259,3.40719,3.56258,2.56043,2.19435,2.40722,2.53321,3.27624,0.450694
200205,12.346,1.0,444.882,177.104,1.0,327.569,1.0,3.473,1.0,95.618,1.0,2.41,1.0,2.678,1.0,0.525893205197,0.829301075269,99.553077957,1.0,350.837476645,0.988575268817,94.4912432796,1.0,28.9633064516,1.0,377.295725806,1.0,376.921,0.998656,11.315,11.044,10.721,10.326,9.628,8.551,1.0,1.0,1.0,1.0,1.0,1.0,40.492,41.276,35.054,45.573,1.0,1.0,1.0,1.0,5.08641,3.0,48.726,0.99664,51.8999,0.664139,39.2361,0.99328,41.7918,0.703698,-3.50558,0.976478,0.0704101,-3.52495,-3.51461,-3.49603,0.974462,0.966398,0.966398,5.49568,5.44148,5.49568,5.51127,9.04358,8.92866,8.9949,9.0234,5.78891,4.63203,5.39111,5.5825,9.25406,8.51713,9.06044,9.24632,3.77566,1.0
200206,15.359,1.0,483.031,214.213,0.997917,335.39,1.0,4.596,1.0,95.806,1.0,2.063,1.0,2.891,1.0,0.50016946172,0.738194444444,123.373638889,1.0,408.780241459,0.983333333333,102.575930556,1.0,33.7710069444,1.0,393.511777778,1.0,377.625,0.984028,13.958,13.743,13.45,13.034,12.284,11.037,1.0,1.0,1.0,1.0,1.0,1.0,37.92,38.618,33.161,45.165,1.0,1.0,1.0,1.0,4.10736,3.0,79.505,0.980556,83.749,0.773642,32.6722,0.973611,34.4163,0.700946,-8.16125,0.923611,0.0906071,-8.16255,-8.13291,-8.06135,0.905556,0.954167,0.952778,5.44028,5.17048,5.30365,5.44028,13.5903,13.3119,13.4272,13.5349,6.17847,5.67284,6.08261,6.17847,13.7556,13.637,13.9542,14.0093,4.43119,1.0
200207,16.036,1.0,465.077,167.345,1.0,349.618,1.0,5.025,1.0,95.616,1.0,3.919,1.0,3.043,1.0,0.555387139499,0.790322580645,95.9083198925,1.0,330.301617867,0.993279569892,85.4768951613,1.0,24.7698185484,1.0,396.893555108,1.0,376.095,1.0,14.59,14.42,14.176,13.804,13.176,12.192,1.0,1.0,1.0,1.0,1.0,1.0,36.819,36.435,30.95,44.885,1.0,1.0,1.0,1.0,3.08865,3.0,64.3122,0.99664,78.2973,0.713838,11.3557,0.995296,13.8251,0.573097,-5.87469,0.953629,0.0778959,-5.98526,-5.87469,-5.76597,0.94086,0.953629,0.961694,5.91984,5.49657,5.57693,6.24124,11.8976,11.2691,11.5194,12.2448,5.21578,5.1794,5.44059,5.69052,10.7506,10.7845,10.9152,11.5864,4.60958,1.0
200208,17.908,1.0,396.768,174.265,1.0,354.517,1.0,4.736,1.0,95.624,1.0,3.223,1.0,2.419,1.0,0.443266029142,0.788978494624,96.6057258065,1.0,348.512829301,1.0,85.2240322581,1.0,24.6361962366,1.0,407.587237903,1.0,382.438,1.0,16.589,16.436,16.194,15.834,15.147,13.942,1.0,1.0,1.0,1.0,1.0,1.0,37.192,37.024,31.483,45.085,1.0,1.0,1.0,1.0,2.75247,3.0,68.9733,1.0,78.5006,0.71426,13.4894,1.0,15.3527,0.654546,-5.37606,0.891129,0.0903975,-5.7771,-5.37606,-5.2429,0.858871,0.891129,0.920027,5.5543,5.54132,5.59439,5.68247,11.1123,10.9304,11.059,11.3605,5.68242,5.75357,6.37232,7.321,11.9446,11.1378,11.456,11.8775,5.18315,1.0
200209,11.97,1.0,299.823,130.073,1.0,320.456,1.0,3.189,1.0,95.967,1.0,1.357,1.0,2.576,1.0,0.512183924719,0.836111111111,56.6372031619,0.999305555556,252.410852985,0.999305555556,60.5956041667,1.0,18.9875763889,1.0,374.772909722,1.0,378.538,1.0,12.299,12.583,12.656,12.804,12.975,13.046,1.0,1.0,1.0,1.0,1.0,1.0,32.645,33.301,28.437,44.582,1.0,1.0,1.0,1.0,-2.50204,3.0,43.813,1.0,47.7376,0.560763,10.6842,1.0,11.6412,0.648704,-4.20784,0.985417,0.0688734,-4.22489,-4.19963,-4.18012,0.985417,0.977778,0.976389,3.58471,3.47759,3.56117,3.61024,7.79849,7.67577,7.7574,7.80809,3.72455,3.67587,4.27819,4.95104,7.58504,7.63421,8.00312,8.38083,4.02643,1.0
200210,6.489,1.0,197.466,61.115,1.0,310.46,1.0,1.265,1.0,95.31,1.0,5.487,1.0,3.72,0.999328,0.693087983986,0.757392473118,15.998089253,0.999327956989,118.059651253,0.999327956989,34.5162768817,1.0,9.05940860215,1.0,346.378682796,1.0,382.606,1.0,7.673,8.014,8.137,8.405,8.857,9.604,1.0,1.0,1.0,1.0,1.0,1.0,39.315,38.657,31.75,45.117,1.0,1.0,1.0,1.0,-3.55188,3.0,8.25025,0.998656,8.98927,0.319948,-4.3035,0.997984,-4.68898,0.646503,0.502344,0.979839,0.042444,0.468746,0.502344,0.543001,0.980511,0.979839,0.979839,2.50577,2.50624,2.51993,2.52888,1.99198,2.00113,2.00843,2.04102,2.85271,2.63416,2.85271,2.96589,2.18661,2.16897,2.25485,2.30245,3.0233,1.0
