TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200801,-0.117,1.0,101.507,33.456,1.0,284.694,1.0,0.485,1.0,92.448,1.0,3.18,1.0,4.505,0.602823,0.86237197853,0.592741935484,0.375880056754,0.998655913978,-9999,-9999,-9999,-9999,3.18620933871,1.0,314.370046371,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.266949,1.0,11.2598,0.252016,5.0839,0.428552,21.5074,0.990591,9.71079,1.23493,0.982232,0.247312,0.0333473,0.967073,0.972146,0.995398,0.251344,0.247312,0.245296,1.22118,1.20579,1.22137,1.23243,0.251263,0.22116,0.242898,0.253486,1.22926,1.05013,1.1395,1.30497,0.372589,0.346938,0.374531,0.431761,-9999,-9999
200802,0.961,1.0,166.636,63.568,1.0,276.519,1.0,1.161,1.0,93.084,1.0,1.265,1.0,3.644,0.5,-9999,-9999,15.1953202604,0.999281609195,-9999,-9999,-9999,-9999,4.64837572629,1.0,319.925813218,1.0,396.894,0.716954,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.04696,1.0,9.09151,0.716954,8.35569,0.284276,34.5876,0.717672,31.7883,0.917956,0.321645,0.501437,0.0273978,0.311405,0.321645,0.350112,0.502155,0.501437,0.499282,1.29786,1.29633,1.32753,1.36831,0.976518,0.985201,1.00041,1.0208,0.901833,0.861618,0.906664,1.01893,0.546388,0.525085,0.546388,0.616409,-9999,-9999
200803,0.329,1.0,264.499,100.024,1.0,275.721,1.0,0.852,1.0,91.252,1.0,4.111,1.0,4.208,0.832661,0.74411205823,0.832661290323,49.3590050948,1.0,-9999,-9999,-9999,-9999,9.62257786761,1.0,316.874573925,1.0,393.557,0.989247,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.87438,1.0,11.5113,0.988575,10.5796,0.313818,44.3662,0.989247,40.7754,1.20157,-0.188561,0.981855,0.0333664,-0.199161,-0.188561,-0.155598,0.984543,0.981855,0.979167,1.6761,1.65858,1.68184,1.71437,1.8708,1.85636,1.86607,1.87829,1.12064,1.16021,1.20381,1.40067,1.46497,1.47529,1.52507,1.56174,-9999,-9999
200804,4.344,1.0,368.013,136.272,1.0,298.121,1.0,1.22,1.0,91.941,1.0,4.266,1.0,2.866,0.972222,0.452038303377,0.972222222222,87.6101569686,0.997916666667,-9999,-9999,-9999,-9999,9.06158715069,1.0,336.489418056,1.0,391.516,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.60302,1.0,29.4495,0.999306,39.0658,0.543367,35.974,0.999306,47.7208,0.856616,-1.84233,0.9125,0.0509214,-2.02846,-1.92494,-1.86656,0.938194,0.916667,0.909722,2.27418,2.27204,2.36498,2.44122,4.19911,4.16745,4.3005,4.36193,3.0307,2.73311,3.0307,3.40951,4.76278,4.73216,4.86578,5.03278,-9999,-9999
200805,11.632,1.0,447.966,217.038,1.0,306.93,1.0,3.878,1.0,92.465,0.979167,0.585,1.0,2.792,0.699597,0.46021598138,0.662634408602,136.712792621,1.0,-9999,-9999,-9999,-9999,13.7248294032,1.0,373.530622984,1.0,382.763,0.963038,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.40478,1.0,47.6519,0.961022,59.129,0.655338,57.8409,0.963038,71.7721,0.857062,-3.84204,0.854167,0.093307,-3.94151,-3.86673,-3.72562,0.762769,0.817876,0.880376,5.61531,5.59221,5.62474,5.68824,9.43879,9.31975,9.57118,9.8614,5.77987,4.77294,5.40808,6.28368,9.70994,8.74667,9.50791,9.87713,-9999,-9999
200806,14.422,1.0,483.684,218.22,1.0,326.924,1.0,4.618,1.0,92.338,1.0,1.631,1.0,2.84,0.991667,0.476313877791,0.990972222222,140.945902256,1.0,-9999,-9999,-9999,-9999,15.7285429583,1.0,388.470115278,1.0,377.222,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.39052,1.0,53.5569,1.0,65.4886,0.730945,58.9247,0.999306,72.0522,0.971235,-3.35642,0.8875,0.0876819,-3.52553,-3.35642,-3.0848,0.940972,0.8875,0.875,7.37225,7.30626,7.43468,7.8323,10.7196,10.7522,10.9071,11.1693,7.89807,6.61769,7.73996,9.39243,11.9126,10.5664,11.8212,12.6542,-9999,-9999
200807,15.2,1.0,464.252,203.754,1.0,338.776,1.0,4.581,1.0,91.979,0.997312,2.653,1.0,3.116,0.999328,0.551499631234,0.999327956989,135.692734902,1.0,-9999,-9999,-9999,-9999,14.1274968757,1.0,392.709247312,1.0,380.516,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.14747,1.0,60.5632,0.998656,76.3265,0.74098,44.427,0.999328,55.9904,1.0381,-2.65259,0.94086,0.0775429,-2.85172,-2.69742,-2.602,0.940188,0.939516,0.945565,8.03233,7.83414,7.89211,8.03482,10.5978,10.5012,10.5306,10.6202,7.26139,7.17377,7.47565,7.86973,10.1948,10.1948,10.3391,10.6018,-9999,-9999
200808,14.569,1.0,395.729,174.171,1.0,332.835,1.0,3.699,1.0,91.898,0.999328,2.954,1.0,3.056,0.999328,0.601349465225,0.999327956989,106.234200011,1.0,-9999,-9999,-9999,-9999,12.0643342392,1.0,388.707033602,1.0,374.223,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.09342,1.0,53.1532,1.0,62.4925,0.666692,36.3145,0.999328,42.6951,1.06504,-1.53042,0.981855,0.0757838,-1.6029,-1.55693,-1.53723,0.991935,0.964382,0.981855,7.9789,7.77716,7.85161,7.89023,9.47472,9.36837,9.39934,9.45347,7.67794,7.21444,7.44708,7.6065,9.42361,9.09594,9.29775,9.39112,-9999,-9999
200809,9.492,1.0,299.379,114.146,1.0,317.221,1.0,1.663,1.0,93.312,0.0,1.971,1.0,2.903,0.998611,0.467913186022,0.998611111111,61.2261820958,0.998611111111,-9999,-9999,-9999,-9999,7.81053097083,1.0,361.5957875,1.0,380.071,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.70212,1.0,28.3415,1.0,37.3377,0.493647,19.8432,1.0,26.1419,0.786,-1.28,0.972222,0.0679079,-1.35128,-1.28515,-1.25317,0.954167,0.764583,0.9625,4.40065,4.50878,4.81002,5.06542,5.60866,5.73509,6.17945,6.33716,6.86988,5.29682,6.27485,6.93051,7.14447,6.46183,7.00165,7.23177,-9999,-9999
200810,6.548,1.0,198.027,76.001,1.0,299.441,1.0,0.971,1.0,91.788,0.698253,3.449,1.0,3.219,0.997312,0.612252542038,0.997311827957,23.2088103326,1.0,-9999,-9999,-9999,-9999,5.65492100538,1.0,346.57824328,1.0,382.572,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.62078,1.0,19.393,1.0,24.196,0.449604,1.30932,1.0,1.6336,0.932432,1.07098,0.984543,0.0526073,1.00244,1.06166,1.1472,0.994624,0.984543,0.983199,5.44832,5.33514,5.58083,5.63651,4.42424,4.33613,4.45827,4.50985,4.67916,4.43156,4.73292,4.91161,4.13739,4.01648,4.1852,4.27698,-9999,-9999
