TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
201101,0.605,0.0,102.635,30.076,0.0,293.828,0.0,0.568,0.0,95.835,0.0,2.89,0.0,3.204,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,58.3367,0.0,75.9108,-9999,37.2025,0.0,48.4098,-9999,-2.14762,0.0,-9999,-2.19496,-2.14329,-2.08913,0.0,0.0,0.0,2.85574,2.75728,2.77856,2.90596,4.99884,4.93796,4.96984,5.00279,2.62531,2.44669,2.75743,3.32962,2.05824,1.88931,2.04137,2.24615,-9999,-9999
201102,1.895,0.0,166.264,55.369,0.0,298.454,0.0,1.069,0.0,95.715,0.0,1.189,0.0,2.977,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.53851,0.410714,58.0656,0.0,71.4014,-9999,37.3053,0.0,45.8731,-9999,-2.15579,0.0,-9999,-2.20844,-2.15495,-2.0974,0.0,0.0,0.0,3.12298,3.01539,3.06314,3.19311,5.27776,5.19657,5.2522,5.27828,2.99182,2.79654,3.11875,3.7424,3.28887,3.06769,3.26362,3.54806,-9999,-9999
201103,4.387,0.0,262.012,132.775,0.0,283.513,0.0,2.618,0.0,96.177,0.0,0.689,0.0,2.829,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.0489,0.0,58.1602,0.0,71.5177,-9999,37.1988,0.0,45.7422,-9999,-2.15119,0.0,-9999,-2.20474,-2.15299,-2.09201,0.0,0.0,0.0,3.7138,3.58607,3.69159,3.80854,5.86671,5.79094,5.83141,5.86679,4.01924,3.7995,4.07959,4.79731,5.79833,5.51756,5.75908,6.13094,-9999,-9999
201104,10.514,0.0,365.538,198.069,0.0,307.617,0.0,5.904,0.0,95.931,0.0,1.195,0.0,2.465,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.11857,0.0,58.1916,0.0,68.0523,-9999,37.2332,0.0,43.5425,-9999,-2.15139,0.0,-9999,-2.20252,-2.15026,-2.09269,0.0,0.0,0.0,5.28591,5.09072,5.11121,5.39918,7.43638,7.27175,7.30875,7.54944,7.16172,6.6309,7.06342,7.8577,7.54588,7.20294,7.49751,7.91635,-9999,-9999
201105,12.41,0.549059,446.265,245.061,0.552419,312.028,0.548387,7.994,0.0,95.891,0.526882,0.978,0.0,2.683,0.514113,-9999,-9999,121.61628342,0.502016129032,-9999,-9999,58.3736453993,0.502016129032,377.335817274,0.502016129032,396.402,0.547715,13.072,13.222,13.028,0.548387,0.548387,0.548387,5.19703,0.548387,63.142,0.547715,73.8416,-9999,32.2487,0.547715,37.7134,-9999,-2.53488,0.545699,-9999,-2.5684,-2.53498,-2.50206,0.546371,0.546371,0.545027,5.37987,5.27606,5.37886,5.51674,7.90963,7.84211,7.90963,8.05172,6.34338,6.0782,6.29862,6.83757,8.07227,7.97423,8.05541,8.4194,-9999,-9999
201106,14.157,1.0,483.473,218.84,1.0,339.98,1.0,6.227,0.0,95.696,1.0,2.623,0.0,2.568,0.980556,0.284844020379,0.603472222222,122.708368613,0.996527777778,-9999,-9999,47.5125569444,1.0,387.167419444,1.0,391.83,0.997222,15.637,16.078,15.483,1.0,1.0,1.0,9.32922,1.0,75.5525,0.997222,88.55,-9999,22.6017,1.0,26.4899,-9999,-0.69008,0.993056,-9999,-0.766317,-0.670435,-0.65374,0.991667,0.994444,0.994444,8.16517,8.16788,8.19718,8.27766,8.83195,8.83422,8.90639,9.03634,7.93167,7.82665,7.9042,8.0642,8.80347,8.74141,8.7792,8.93794,-9999,-9999
201107,13.237,1.0,465.916,177.354,1.0,346.766,1.0,5.33,0.0,95.392,1.0,2.397,0.0,2.501,0.958333,0.220897163158,0.605510752688,102.966586679,0.997311827957,-9999,-9999,36.3487143817,1.0,382.871225806,1.0,395.148,0.997312,15.118,15.372,15.04,1.0,1.0,1.0,3.1988,1.0,63.7073,0.997312,75.6558,-9999,21.3675,1.0,25.3751,-9999,-0.677004,0.993952,-9999,-0.720653,-0.702513,-0.691223,0.995296,0.992608,0.99328,6.9757,6.88955,7.02889,7.08309,7.58866,7.58866,7.73772,7.78626,6.45227,6.38765,6.59116,6.8675,7.44647,7.35479,7.45217,7.65769,-9999,-9999
201108,15.418,0.997312,399.038,182.104,0.997312,348.793,0.997312,5.253,0.0,95.536,0.995968,3.559,0.659946,2.681,0.986559,0.261576430678,0.591397849462,96.1697132399,0.995295698925,-9999,-9999,38.2218991935,0.995967741935,393.73597235,0.995967741935,392.634,0.993952,16.05,16.222,15.958,0.997312,0.997312,0.997312,5.5509,0.997312,71.4804,0.993952,82.8516,-9999,7.89417,0.995968,9.14998,-9999,-0.077133,0.989919,-9999,-0.21166,-0.00585876,0.0276836,0.989247,0.991263,0.990591,8.5416,8.65046,8.76645,8.86977,8.67096,8.61697,8.72928,9.0862,8.6415,8.54637,8.6108,8.69485,8.85692,8.84935,8.8902,8.99193,-9999,-9999
201109,14.111,0.990972,303.628,147.627,0.991667,333.274,0.990972,4.215,0.0,95.762,0.986111,1.453,0.986111,2.975,0.977778,0.249969557354,0.686111111111,60.0400357253,0.985416666667,-9999,-9999,36.1439594246,0.986111111111,381.489875099,0.986111111111,393.521,0.988889,14.049,14.067,14.04,0.990972,0.990972,0.990972,1.08121,0.990972,51.4326,0.988194,59.7413,-9999,0.431376,0.989583,0.501063,-9999,1.09088,0.988194,-9999,1.08544,1.09633,1.12637,0.986806,0.988194,0.988194,6.93948,6.78982,6.87317,7.07725,5.84649,5.69504,5.76462,5.91979,7.19525,6.72086,6.95442,7.17053,5.94885,5.79481,5.92481,5.9835,-9999,-9999
201110,9.232,1.0,202.237,97.578,1.0,304.427,1.0,2.611,0.0,95.996,1.0,1.984,1.0,3.168,0.899866,0.262298973105,0.680779569892,20.8240522192,0.999327956989,-9999,-9999,23.5333938172,1.0,355.944032258,1.0,399.288,0.998656,9.944,9.709,10.052,1.0,1.0,1.0,-6.03419,0.999328,29.2513,0.998656,37.6864,-9999,-8.5208,0.999328,-10.9779,-9999,0.181118,0.99664,-9999,0.135834,0.141773,0.207057,0.99664,0.997312,0.99664,4.02107,4.02036,4.02567,4.05125,3.89286,3.82967,3.8682,3.88829,4.13623,3.93566,4.03385,4.13623,4.09416,3.99242,4.035,4.08843,-9999,-9999
